Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"A.T.A. Anlagentechnik Aschersleben
GmbH & Co. KG",Übernahme aus BÜE,2008,2009,2000,2000
"AaTeuM Akademie für angewandte
Technologie und Management GmbH",AO-032-07,2007,2013,"257947,18","257947,18"
"AaTeuM Akademie für angewandte
Technologie und Management GmbH",AO-059-08,2008,2014,"283161,83","283161,83"
"AaTeuM Akademie für angewandte
Technologie und Management GmbH",AO-076-09,2009,2014,"145625,31","145625,31"
"AaTeuM Akademie für angewandte
Technologie und Management GmbH",AO-128-06,2008,2012,"144027,38","144027,38"
"AaTeuM Akademie für angewandte
Technologie und Management GmbH",Bürgerarbeit Lutherstadt Eisleben,2010,,1918080,
"AaTeuM Akademie für angewandte
Technologie und Management GmbH",Juniormeister,2009,2014,"448984,84","448984,84"
"AaTeuM Akademie für angewandte
Technologie und Management GmbH","Mitarbeiterqualifizierung  in Solid Works, AutoDesk Inventor,
EBCL Teil A, ECDL 1-4",2012,,24800,
"AaTeuM Akademie für angewandte
Technologie und Management GmbH","Modellprojekt zur Entwicklung von Mobilen Gärtnerteams
zum Erhalt der regionalhistorischen Gartenkultur im Land
Sachsen-Anhalt",2011,,"350842,42",
"AaTeuM Akademie für angewandte
Technologie und Management GmbH","Qualifizierung in den Bereichen EBCL, ECDL 1-3, AutoDesk
Inventor und Solid Works",2012,,28800,
AB Bau- u. Spezialbau GmbH,Übernahme aus Betriebsstillegung/-einschränkung,2009,2009,4000,4000
ABASYS GmbH,AO-010-07,2007,,"66737,09",
ABASYS GmbH,AO-123-06,2008,2012,"28359,59","28359,59"
ABASYS GmbH,"Zukunft mit Arbiet, Schleswiger Str. 9-10 in 06749 Bitterfeld-
Wolfen",2008,2013,"184060,58","184060,58"
Abdulaziz Salmanov,Berufliche Erprobung im Unternehmen,2014,,8640,
Abel,"Übernahme aus Betriebsstilllegung oder -
einschränkung/Landkreis Harz",2009,2009,2000,2000
ABP Maschinenbau GmbH,Übernahme aus Betriebsstilllegung/-einschränkung,2008,2009,2000,2000
"ABQ Architektenbüro GbR
Jerx/Grasemann",Anerkannte Weiterbildung zum Energieberater,2008,2010,"2607,79","2607,79"
"ABS ""Drömling"" GmbH","Unterstützende Maßnahmen zur Entwicklung der
touristischen Infrastruktur Kellerberge/Kämmereiforst",2013,,"46180,52",
"ABS ""Drömling"" GmbH","Zusätzliche  Angebote im pädagogischen Bereich in Schulen
des Altmarkkreises Salzwedel",2011,,"114562,5",
"ABS ""Drömling"" GmbH",Aktiv zur Rente - Sonderförderung Bereich Wolmirstedt,2013,,"23447,47",
"ABS ""Drömling"" GmbH","Aller - Radweg, Aller - Elbe - Radweg, Elberadweg
(Aktiv zur Rente PLUS)
Unterstützende Maßnahmen zur Entwicklung der
touristischen Infrastruktur",2014,,"87642,75",
"ABS ""Drömling"" GmbH","Aller - Radweg, Aller - Elbe - Radweg, Elberadweg
(Aktiv zur Rente), unterstützende Maßnahmen zur Entwicklun
g der touristischen Infrastruktur
Unterstützende Maßnahmen zur Entwicklung der
touristischen Infrastruktur",2011,,"115254,6",
"ABS ""Drömling"" GmbH","Aller-Radweg, Aller-Elbe-Radweg, Elberadweg -
Überregionale Radwege, die den sanften Tourismus im
Landkreis Börde forcieren",2008,,"108830,3",
"ABS ""Drömling"" GmbH","Altmarkrundkurs (Aktiv zur Rente)
Unterstützende Maßnahmen zur Entwicklung der
touristischen Infrastruktur im
Altmarkkreis Salzwedel",2011,,"173702,67",
"ABS ""Drömling"" GmbH","Altmarkrundkurs (nördlicher Bereich)
Unterstützende Maßnahmen zur Entwicklung dertouristischen Infrastruktur im Altmarkkreis Salzwedel
Aktiv zur Rente PLUS",2014,,"88478,51",
"ABS ""Drömling"" GmbH","Altmarkrundkurs (südlicher Bereich)
Unterstützende Maßnahmen zur Entwicklung der
touristischen Infrastruktur im Altmarkkreis Salzwedel
Aktiv zur Rente PLUS",2014,,"87644,79",
"ABS ""Drömling"" GmbH","Altmarkrundkurs - Forcieren des sanften Tourismus im
Altmarkkreis Salzwedel",2008,,"109754,32",
"ABS ""Drömling"" GmbH","Aufbereitung analoger Datenbestände in digitale Kataster  im
Altmarkkreises Salzwedel
Aktiv zur Rente PLUS",2014,,"17484,71",
"ABS ""Drömling"" GmbH","Bedürftige produzieren für Bedürftige
Schaffung von zusätzlichen Gartenflächen zur Unterstützung
der Tafelaktivitäten",2013,,"34866,45",
"ABS ""Drömling"" GmbH","Bedürftige produzieren für Bedürftige - Aktiv zur Rente
- Schaffung von zusätzlichen Gartenflächen zur
Unterstützung der Tafelaktivitäten",2010,,"94022,58",
"ABS ""Drömling"" GmbH",Berufliche Erprobung im Unternehmen,2014,,7776,
"ABS ""Drömling"" GmbH","Berufliche Erprobung von Arbeitnehmer/innen in
erwerbswirtschaftlich orientierten Tätigkeiten",2013,,"10165,33",
"ABS ""Drömling"" GmbH","Biotopverbessernde Projekte im Naturpark Drömling
Aktiv zur Rente PLUS",2014,,"70596,33",
"ABS ""Drömling"" GmbH",Das Rolandnetzwerk -  Sicherung des kulturellen Erbes,2011,,"19585,92",
"ABS ""Drömling"" GmbH","Das Rolandnetzwerk - Sicherung des kulturellen Erbes mit
überregionaler Bedeutung",2008,,"17076,97",
"ABS ""Drömling"" GmbH","Das Rolandnetzwerk - Sicherung des kulturellen Erbes mit
überregionaler Bedeutung
Aktiv zur Rente PLUS",2014,,"35054,36",
"ABS ""Drömling"" GmbH","Entwicklung der touristischen Infrastruktur, Vernetzung derüberregionalen Radwege im Altmarkkreis Salzwedel
(Aktiv zur Rente)",2010,,"313623,07",
"ABS ""Drömling"" GmbH","Erlebnis Grünes Band Ohreaue
Aktiv zur Rente PLUS",2014,,"88721,06",
"ABS ""Drömling"" GmbH","Erweiterung des museumspädagogischen Angebotes in der
Langobardenwerkstatt Zethlingen
Aktiv zur Rente PLUS",2014,,"35054,36",
"ABS ""Drömling"" GmbH","Ganztagsschule ""G. - E.- Lessing"", Sekundarschule
""Comenius""/ Salzwedel
Schaffung zusätzlicher Angebote im pädagogischen Bereich
in Schulen
des Altmarkkreis Salzwedel - Aktiv zur Rente PLUS",2014,,"37515,68",
"ABS ""Drömling"" GmbH","Integration von Kindern von Flüchtlingen und Asylbewerbern
in kommunalen
Einrichtungen von Kalbe/Milde
Aktiv zur Rente PLUS",2014,,"17149,04",
"ABS ""Drömling"" GmbH","Jugendherberge Haldensleben
Schaffung zusätzlicher Angebote in der Kinder- und
Jugendarbeit
(Aktiv zur Rente PLUS)",2014,,"17364,72",
"ABS ""Drömling"" GmbH","Kellerberge/ Kämmereiforst
Unterstützende Maßnahmen zur Entwicklung der
touristischen Infrastruktur
Aktiv zur Rente PLUS",2014,,"88678,6",
"ABS ""Drömling"" GmbH","Landwirtschaftliches - und Grenzmuseum Böckwitz
Unterstützung bei der Aufarbeitung und nachhaltigen
Sicherung des kulturellen ErbesAktiv zur Rente PLUS",2014,,"34689,42",
"ABS ""Drömling"" GmbH","Landwirtschaftliches - und Grenzmuseum Böckwitz (Aktiv zur
Rente)
Unterstützung bei der Aufarbeitung und nachhaltigen
Sicherung des kulturellen Erbes",2011,,"7548,12",
"ABS ""Drömling"" GmbH","Schaffung von Elementen aus Holz für den Tourismus -
Holzwerkstatt Klötze",2009,,"121962,65",
"ABS ""Drömling"" GmbH","Schaffung von Elementen aus Holz für den Tourismus -
Holzwerkstatt Klötze
Aktiv zur Rente PLUS",2014,,"76515,33",
"ABS ""Drömling"" GmbH","Schaffung von Elementen aus Holz für den Tourismus
Holzwerkstatt Klötze",2012,,"80181,06",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
Friedrich-Ludwig-Jahn-Gymnasium Salzwedel
Aktiv zur Rente PLUS",2014,,"18650,02",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
Pestalozzischule, Förderschule für Lernbehinderte/
Salzwedel
Aktiv zur Rente PLUS",2014,,"18650,02",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
in Grundschulen der Stadt Klötze
Aktiv zur Rente PLUS",2014,,"51770,62",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
in Schulen der Verbandsgemeinde Flechtingen
Aktiv zur Rente PLUS",2014,,"34561,73",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
in Schulen des Landkreis Börde/ Bereich Wolmirstedt
Aktiv zur Rente PLUS",2014,,"55950,03",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
in den Grundschulen der Einheitsgemeinde Hansestadt
Gardelegen
Aktiv zur Rente PLUS",2014,,"102894,22",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
der Ganztagsschule
J. Gutenberg - Grundschule
(Aktiv zur Rente PLUS)",2014,,"17149,04",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
im Landkreis Börde/
BÖRDELAND-SCHULE Oschersleben
Aktiv zur Rente PLUS",2014,,"37300,02",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
im Landkreis Börde/ Schule Miteinander in Wefensleben
Aktiv zur Rente PLUS",2014,,"18650,01",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
in Grundschulen
der Stadt Haldensleben
Aktiv zur Rente PLUS",2014,,"51447,11",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
in Grundschulen der
Einheitsgemeinde Oebisfelde-Weferlingen
Aktiv zur Rente PLUSin Schulen
des Altmarkkreis Salzwedel/ Bereich Klötze
(Aktiv zur Rente PLUS)",2014,,"68596,16",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
in Schulen
des Altmarkkreis Salzwedel/ Bereich Gardelegen
Aktiv zur Rente PLUS",2014,,"18650,02",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
in Schulen des
Altmarkkreis Salzwedel/ Sekundarschule ""J.F. Danneil"",
Kalbe/Milde
Aktiv zur Rente PLUS",2014,,"18650,02",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
in Schulen des Altmarkkreises Salzwedel",2008,,"65617,96",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
in Schulen des Landkreises Börde",2008,,"110723,59",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote im pädagogischen Bereich
in Schulen des Landkreises Börde",2011,,"133797,6",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote in der Kinder- und
Jugendarbeit in Ortsteilen
der Stadt Haldensleben
Aktiv zur Rente PLUS",2014,,"34561,73",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote in der Kinder- und
Jugendarbeit in den Städten Haldensleben und Oebisfelde",2008,,"46708,23",
"ABS ""Drömling"" GmbH","Schaffung zusätzlicher Angebote in der Kinder- und
Jugendarbeit in den Städten Haldensleben und Oebisfelde(Aktiv zur Rente PLUS)",2011,,"66585,12",
"ABS ""Drömling"" GmbH","Sekundarschule Beetzendorf
Schaffung zusätzlicher Angebote im pädagogischen Bereich
Aktiv zur Rente PLUS",2014,,"18757,85",
"ABS ""Drömling"" GmbH","Umwelt-, naturschutz- und tourismusverbessernde Projekte
in der Einheitsgemeinde Stadt Kalbe (Milde)
Aktiv zur Rente PLUS",2014,,"53372,2",
"ABS ""Drömling"" GmbH","Unterstützende Maßnahme zur Entwicklung der touristischen
Infrastruktur Kellerberge/kämmereiforst",2010,,"125399,32",
"ABS ""Drömling"" GmbH","Unterstützende Maßnahmen zur Entwicklung der
touristischen Infrastruktur
Vernetzung der überregionalen Radwege im Altmarkkreis
Salzwedel
(Aktiv zur Rente)",2013,,"103928,48",
"ABS ""Drömling"" GmbH","Unterstützende Maßnahmen zur Entwicklung der
touristischen Infrastruktur
Vernetzung der überregionalen Radwege und
Erholungsgebiete
Aktiv zur Rente PLUS",2014,,"70627,22",
"ABS ""Drömling"" GmbH","Unterstützende Maßnahmen zur Entwicklung der
touristischen Infrastruktur
Vernetzung von Erholungsgebieten und regionalen
Radwegen mit Ortschaften im
Bereich der Gemeinde Calvörde
(Aktiv zur Rente PLUS)",2014,,"71058,55",
"ABS ""Drömling"" GmbH","Unterstützende Maßnahmen zur Entwicklung der
touristischen Infrastruktur
in der Gemeinde Erxleben
Aktiv zur Rente PLUStouristischen Infrastruktur
auf überregionalen Radwegen
Aller - Radweg, Aller - Harz - Radweg, Telegraphenradweg
Berlin - Koblenz
Aktiv zur Rente PLUS",2014,,"70596,33",
"ABS ""Drömling"" GmbH","Unterstützende Maßnahmen zur Entwicklung der
touristischen Infrastruktur
in der Gemeinde Flechtingen
(Aktiv zur Rente PLUS)",2014,,"71058,55",
"ABS ""Drömling"" GmbH","Unterstützende Maßnahmen zur Entwicklung der
touristischen Infrastruktur, Vernetzung der überregionalen
Radwege (Aller-Radweg und Altmarkrundkurs) durch das
Radwegesystem im Naturpark Drömling (Aktiv zur Rente)
Vernetzung der überregionalen Radwege
(A",2011,,"100481,06",
"ABS ""Drömling"" GmbH","Unterstützung bei der Aufarbeitung und nachhaltigen
Sicherung des kulturellen Erbes auf der Mahn- und
Gedenkstätte in Gardelegen",2012,,"20076,99",
"ABS ""Drömling"" GmbH","Unterstützung bei der Aufarbeitung und nachhaltigen
Sicherung des kulturellen Erbes auf der Mahn- und
Gedenkstätte in Gardelegen",2009,,"31800,88",
"ABS ""Drömling"" GmbH","Unterstützung bei der Aufarbeitung und nachhaltigen
Sicherung des kulturellen Erbes im ""Johann Friedrich-Danneil
-Museum"" Salzwedel",2011,,9675,
"ABS ""Drömling"" GmbH","Unterstützung bei der Aufarbeitung und nachhaltigen
Sicherung des kulturellen Erbes im ""Johann-Friedrich-
Danneil"" Museum Salzwedel",2008,,"8485,88",
"ABS ""Drömling"" GmbH","Unterstützung bei der Aufarbeitung und nachhaltigen
Sicherung des kulturellen Erbes im Fremdenverkehrsverein
Jeetze - Ohre - Drömling e.V.
Aktiv zur Rente PLUS",2014,,"17399,35",
"ABS ""Drömling"" GmbH","Unterstützung bei der Aufarbeitung und nachhaltigen
Sicherung des kulturellen Erbes in der Langobardenwerkstatt
Zethlingen sowie in dem Landwirtschaftlichen- und
Grenzmuseum Böckwitz",2008,,"32374,54",
"ABS ""Drömling"" GmbH","Unterstützung bei der Aufarbeitung und nachhaltigen
Sicherung des kulturellen Erbes und Forcieren des sanften
Tourismus im Fremdenverkehrsverein Mieste",2014,,"17399,35",
"ABS ""Drömling"" GmbH","Unterstützung bei der Entwicklung und Umsetzung
zusätzlicher Angebote
Behindertensport Haldensleben",2010,,"6520,29",
"ABS ""Drömling"" GmbH","Unterstützung bei der Entwicklung und Umsetzung
zusätzlicher Angebote in der Kinder- und Jugendarbeit,
Bibliothek der Einheitsgemeinde Stadt Bismark (Altmark)
Aktiv zur Rente",2011,,"8013,32",
"ABS ""Drömling"" GmbH","Unterstützung bei der Integration (Beratung und Betreuung)
von Flüchtlingen
im Bereich Haldensleben
Aktiv zur Rente PLUS",2014,,"35054,36",
"ABS ""Drömling"" GmbH","Unterstützung bei der Integration (Beratung und Betreuung)
von Flüchtlingen
im Bereich Oschersleben
Aktiv zur Rente PLUS",2014,,"35054,36",
"ABS ""Drömling"" GmbH","Unterstützung des Breitensport in der Einheitsgemeinde
Stadt Bismark (Altmark)
Aktiv zur Rente",2011,,"8337,28",
"ABS ""Drömling"" GmbH","Unterstützung des Breitensports in Oebisfelde, Etingen/
Rätzlingen und BösdorfOebisfelde",2011,,"12247,82",
"ABS ""Drömling"" GmbH","Unterstützung des Breitensports in der Stadt Oebisfelde-
Weferlingen
Aktiv zur Rente PLUS",2014,,"53542,24",
"ABS ""Drömling"" GmbH",Unterstützung in der Bibliothek Klötze,2011,,"8812,5",
"ABS ""Drömling"" GmbH","Vernetzung der überregionalen Radwege (Aller-Radweg und
Altmarkrundkurs) durch das Radwegesystem im Naturpark
Drömling",2008,,"99125,86",
"ABS ""Drömling"" GmbH","Weteritzer Park - Aktiv zur Rente
Unterstützende Maßnahmen zur Entwicklung der
touristischen Infrastruktur",2010,,"10332,21",
"ABS ""Drömling"" GmbH","Weteritzer Park - Erhalt von Kulturgut und unterstützende
Maßnahmen zur Entwicklung der touristischen Infrastruktur
Aktiv zur Rente PLUS",2014,,"35452,48",
"ABS ""Drömling""GmbH Klötze","Aktiv in der Kulturlanschaft Altmark- Kulurpädagogik und -
management/FP-LOK/Freilichtmuseum Diesdorf, Mohnker
Straße 23, 29413 Diesdorf",2009,2010,"9527,73","9527,73"
"ABS ""Drömling""GmbH Klötze","Integration einer langzeitarbeitslosen gehörlosen Frau (Grad
der Behinderung 100%)/FP LOK/Altmarkkreis Salzwedel",2011,2012,"9283,06","9283,06"
"ABS ""Drömling""GmbH Klötze","Schaffung von Möglichkeiten-Aktiv die Altmark zu
erleben/ABS ""Drömling"" GmbH /FP-LOK",2009,2010,"9835,53","9835,53"
