Tytu≥ projektu;Nazwa beneficjenta;WartoúÊ projektu;Dofinansowanie z EU;Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiÍkszym niø jedna jednostka administracyjna?
MediQ - symulacja w edukacji medycznej - program rozwojowy Uniwersytetu Medycznego w Lublinie;UNIWERSYTET MEDYCZNY W LUBLINIE;21572776.75;18181536.24;Nie;nauka i edukacja;Nie
Dydaktyka, Innowacja, RozwÛj. Podniesienie jakoúci kszta≥cenia poprzez rozwÛj innowacyjnej edukacji.;UNIWERSYTET JAGIELLO—SKI - COLLEGIUM MEDICUM;21380976.13;18019886.68;Nie;nauka i edukacja;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie radomskim i m. Radom (II);POWIAT RADOMSKI / POWIATOWY URZ•D PRACY W RADOMIU;21307303.40;17957795.30;Nie;praca i integracja spo≥eczna;Tak
Plan Dzia≥aÒ na rok 2016 w ramach Osi Priorytetowej XIII Pomoc Techniczna Dzia≥anie 13.1 Pomoc Techniczna -WRR;WOJEW”DZTWO åL•SKIE;21121176.00;17952999.60;Nie;brak;Nie
Wdroøenie programu rozwoju Uniwersytetu Medycznego w Bia≥ymstoku z wykorzystaniem Centrum Symulacji Medycznej;UNIWERSYTET MEDYCZNY W BIA£YMSTOKU;21289743.93;17942996.18;Nie;nauka i edukacja;Nie
Poprawa jakoúci kszta≥cenia studentÛw GdaÒskiego Uniwersytetu Medycznego poprzez rozwÛj infrastruktury dydaktycznej i wsparcie procesu nauczania o metody symulacji medycznej;GDA—SKI UNIWERSYTET MEDYCZNY;20653039.29;17406381.51;Nie;nauka i edukacja;Nie
RozwÛj i utrzymanie ogÛlnopolskiego Rejestru Us≥ug Rozwojowych (RUR);POLSKA AGENCJA ROZWOJU PRZEDSI BIORCZOåCI;19874272.82;16750037.13;Nie;brak;Nie
Wielkopolskie Centrum Ekonomii Solidarnej;FUNDACJA POMOCY WZAJEMNEJ BARKA;19638205.40;16692474.59;Nie;praca i integracja spo≥eczna;Tak
Realizacja Programu Rozwojowego w zakresie Symulacji Medycznej w Uniwersytecie Medycznym im. Karola Marcinkowskiego w Poznaniu;UNIWERSYTET MEDYCZNY IM. KAROLA MARCINKOWSKIEGO W POZNANIU;19746705.00;16642522.97;Nie;nauka i edukacja;Nie
Centrum Innowacyjnej Edukacji Medycznej Pomorskiego Uniwersytetu Medycznego w Szczecinie;POMORSKI UNIWERSYTET MEDYCZNY W SZCZECINIE;18897068.09;15926448.98;Nie;nauka i edukacja;Nie
Plan Dzia≥aÒ na rok 2016 w ramach Osi Priorytetowej XIII Pomoc Techniczna Dzia≥ania 13.1 Pomoc Techniczna - WFR;WOJEW”DZTWO åL•SKIE;18605880.00;15814998.00;Nie;brak;Nie
Wielkopolski Oúrodek Ekonomii Spo≥ecznej;STOWARZYSZENIE NA RZECZ SP”£DZIELNI SOCJALNYCH;17906331.44;15220381.72;Nie;praca i integracja spo≥eczna;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w mieúcie £odzi (I);MIASTO £”Dè / POWIATOWY URZ•D PRACY W £ODZI;16472300.00;15136400.00;Nie;praca i integracja spo≥eczna;Nie
RozwÛj dydaktyki w Centrum Symulacji Medycznej we Wroc≥awiu;UNIWERSYTET MEDYCZNY IM. PIAST”W åL•SKICH WE WROC£AWIU;17857272.16;15050108.97;Nie;nauka i edukacja;Nie
Program rozwojowy Wydzia≥u Nauk Medycznych UWM w Olsztynie;UNIWERSYTET WARMI—SKO - MAZURSKI W OLSZTYNIE;17313095.97;14591477.28;Nie;nauka i edukacja;Nie
RozwÛj bankÛw zadaÒ do egzaminu zawodowego;CENTRALNA KOMISJA EGZAMINACYJNA;17264220.92;14550285.39;Nie;brak;Nie
Wsparcie procesu zarzπdzania i wdraøania RPO WP poprzez finansowanie kosztÛw organizacyjnych, technicznych, administracyjnych w UrzÍdzie Marsza≥kowskim WojewÛdztwa Podkarpackiego w Rzeszowie w 2015 r.;WOJEW”DZTWO PODKARPACKIE - URZ•D MARSZA£KOWSKI WOJEW”DZTWA PODKARPACKIEGO;17111320.00;14544622.00;Nie;administracja;Nie
Nauczanie symulacyjne drogπ rozwoju dydaktyki medycznej w Collegium Medicum Uniwersytetu Miko≥aja Kopernika;UNIWERSYTET MIKO£AJA KOPERNIKA;17136688.55;14442801.11;Nie;nauka i edukacja;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w m. st. Warszawa (II);M.ST. WARSZAWA/ URZ•D PRACY M.ST. WARSZAWY;16731039.40;14100920.01;Nie;praca i integracja spo≥eczna;Nie
Plan Dzia≥aÒ na rok 2016 w ramach Osi Priorytetowej XIII Pomoc Techniczna Dzia≥ania 13.1 Pomoc Techniczna - WFS;WOJEW”DZTWO åL•SKIE;16567000.00;14081950.00;Nie;brak;Nie
Obudü swÛj potencja≥ - EFS;KOMENDA G£”WNA OCHOTNICZYCH HUFC”W PRACY;16052000.00;13528625.60;Nie;praca i integracja spo≥eczna;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w mieúcie £odzi (II);MIASTO £”Dè / POWIATOWY URZ•D PRACY W £ODZI;14704149.00;13511986.00;Nie;praca i integracja spo≥eczna;Nie
Ocena, ewaluacja i kontrola WRPO 2014-2020 w latach 2015-2023 - IZ;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;15714718.00;13357510.30;Nie;brak;Nie
Dzia≥alnoúÊ Instytucji Poúredniczπcej (WUP) w zakresie realizacji RPO WM 2014 - 2020 w latach 2015 - 2018 Pomoc Techniczna;WOJEW”DZKI URZ•D PRACY W KRAKOWIE;15597436.00;13257820.60;Nie;brak;Nie
Oúrodek Wsparcia Ekonomii Spo≥ecznej w subregionie kaliskim;FUNDACJA IM. KR”LOWEJ POLSKI åW. JADWIGI;15387569.30;13079433.90;Nie;praca i integracja spo≥eczna;Tak
Zagraniczna mobilnoúÊ kadry edukacji szkolnej;FUNDACJA ROZWOJU SYSTEMU EDUKACJI;16148000.00;12848000.00;Nie;wspÛ≥praca miÍdzynarodowa;Nie
Pomoc techniczna RPO WP na lata 2014 - 2020 dla WojewÛdzkiego UrzÍdu Pracy w Rzeszowie na rok 2016.;WOJEW”DZKI URZ•D PRACY W RZESZOWIE;14926798.00;12687778.30;Nie;administracja;Nie
Wsparcie szpitali we wdraøaniu standardÛw jakoúci i bezpieczeÒstwa opieki;CENTRUM MONITOROWANIA JAKOåCI W OCHRONIE ZDROWIA W KRAKOWIE;14996190.00;12638788.93;Nie;ochrona zdrowia;Nie
Akcja aktywizacja - EFS;KOMENDA G£”WNA OCHOTNICZYCH HUFC”W PRACY;14586757.50;12420855.74;Nie;praca i integracja spo≥eczna;Tak
"Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie tarnowskim i m. TarnÛw (I) -""M≥odzi na start""";GMINA MIASTA TARNOWA - POWIATOWY URZ•D PRACY W TARNOWIE;12809362.54;11770523.24;Nie;praca i integracja spo≥eczna;Nie
Plan Dzia≥aÒ Pomocy Technicznej RPO WO 2014-2020 na 2016 rok;INSTYTUCJA ZARZ•DZAJ•CA RPO WO 2014-2020;13315000.00;11317750.00;Nie;brak;Nie
"""LOWES - LeszczyÒski Oúrodek Wsparcia Ekonomii Spo≥ecznej""";STOWARZYSZENIE CENTRUM PROMOCJI I ROZWOJU INICJATYW OBYWATELSKICH PISOP;13130634.00;11161038.90;Nie;praca i integracja spo≥eczna;Tak
Plan Dzia≥aÒ na rok 2016 w ramach Osi Priorytetowej XIII Pomoc Techniczna Dzia≥ania 13.1 Pomoc Techniczna - åCP;åL•SKIE CENTRUM PRZEDSI BIORCZOåCI;13086454.00;11123485.90;Nie;brak;Nie
PLAN DZIA£A— POMOCY TECHNICZNEJ MJWPU na lata 2015 ñ 2018 w zakresie informacji i promocji RPO WM;MAZOWIECKA JEDNOSTKA WDRAØANIA PROGRAM”W UNIJNYCH;13682398.00;10945918.00;Nie;brak;Nie
Oúrodek Wsparcia Ekonomii Spo≥ecznej w Subregionie pilskim;STOWARZYSZENIE ETAP;12764185.46;10849557.64;Nie;praca i integracja spo≥eczna;Tak
Pomoc techniczna PO WER dla Ministerstwa Rozwoju na rok 2016;MINISTERSTWO ROZWOJU, DEPARTAMENT EUROPEJSKIEGO FUNDUSZU SPO£ECZNEGO;12800000.00;10787840.00;Nie;brak;Nie
Wdraøanie Konwencji o prawach osÛb niepe≥nosprawnych - wspÛlna sprawa;POLSKIE FORUM OS”B NIEPE£NOSPRAWNYCH;12287123.86;10355587.99;Nie;praca i integracja spo≥eczna;Nie
Bilans Kapita≥u Ludzkiego;POLSKA AGENCJA ROZWOJU PRZEDSI BIORCZOåCI;11999754.69;10113393.25;Nie;brak;Nie
Plan Dzia≥aÒ Pomocy Technicznej RPO WO 2014-2020 na lata 2014-2015;INSTYTUCJA ZARZ•DZAJ•CA RPO WO 2014-2020;11756893.92;9993359.83;Nie;brak;Nie
Wsparcie administracji zajmujπcej siÍ wdraøaniem RPO WZ 2014-2020 w 2016 roku.;WOJEW”DZTWO ZACHODNIOPOMORSKIE;11144293.00;9867899.05;Nie;brak;Nie
Nowoczesna Szko≥a Zawodowa - Nowoczesny Region;WOJEW”DZTWO åWI TOKRZYSKIE - URZ•D MARSZA£KOWSKI WOJEW”DZTWA åWI TOKRZYSKIEGO;11586919.89;9848881.90;Nie;nauka i edukacja;Nie
RPO Pomoc Techniczna ñ zatrudnienie i szkolenia w UMWD w 2015 roku;INSTYTUCJA ZARZ•DZAJ•CA REGIONALNYM PROGRAMEM OPERACYJNYM DLA WOJEW”DZTWA DOLNOåL•SKIEGO/URZ•D MARSZA£KOWSKI WOJEW”DZTWA DOLNOåL•SKIEGO/SEKRETARZ WOJEW”DZTWA - DEPARTAMENT PRAWNY I KADR/WYDZIA£ KADR, SZKOLENIA I SPRAW SOCJALNYCH;11584712.00;9847005.20;Nie;brak;Nie
Wsparcie potencja≥u organizacyjnego i instytucjonalnego WRPO 2014-2020 w latach 2015-2023 - WUP w Poznaniu ;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;11448801.00;9731480.00;Nie;brak;Nie
Aktywizacja osÛb w wieku 30 lat i powyøej pozostajπcych bez pracy w powiecie radomskim i m. Radom (I);POWIAT RADOMSKI / POWIATOWY URZ•D PRACY W RADOMIU;12133500.00;9706800.00;Nie;praca i integracja spo≥eczna;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie rzeszowskim (I);POWIAT RZESZOWSKI/POWIATOWY URZ•D PRACY W RZESZOWIE;10526600.00;9672892.74;Nie;praca i integracja spo≥eczna;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy na terenie Gminy Miejskiej KrakÛw (I);GMINA MIEJSKA KRAK”W - GRODZKI URZ•D PRACY W KRAKOWIE;10503638.54;9651793.45;Nie;praca i integracja spo≥eczna;Nie
Dzia≥anie XII.2 - System realizacji;WOJEW”DZTWO £”DZKIE;10950329.00;9307779.65;Nie;brak;Nie
Partnerstwo na rzecz kszta≥cenia zawodowego. Etap 1: Forum partnerÛw spo≥ecznych;KRAJOWY OåRODEK WSPIERANIA EDUKACJI ZAWODOWEJ I USTAWICZNEJ;10908156.00;9193393.88;Nie;brak;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w Bydgoszczy i powiecie bydgoskim (I);MIASTO BYDGOSZCZ, POWIAT BYDGOSKI/POWIATOWY URZ•D PRACY W BYDGOSZCZY;9958909.77;9151409.83;Nie;praca i integracja spo≥eczna;Tak
Aktywizacja osÛb po 29. roku øycia pozostajπcych bez pracy w mieúcie £odzi (II);MIASTO £”Dè / POWIATOWY URZ•D PRACY W £ODZI;10685123.00;9082420.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie radomskim i m. Radom (I);POWIAT RADOMSKI / POWIATOWY URZ•D PRACY W RADOMIU;10593300.00;8928033.24;Nie;praca i integracja spo≥eczna;Nie
RozwÛj kompetencji pielÍgniarskich;MINISTERSTWO ZDROWIA;10583307.00;8919611.13;Nie;nauka i edukacja;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie rzeszowskim(II);POWIAT RZESZOWSKI/POWIATOWY URZ•D PRACY W RZESZOWIE;9668965.00;8884994.26;Nie;praca i integracja spo≥eczna;Tak
Oúrodek Wsparcia Ekonomii Spo≥ecznej Centralno-Wschodni.;"STOWARZYSZENIE WSPIERANIA ORGANIZACJI POZARZ•DOWYCH ""MOST""";10353219.05;8800236.19;Nie;brak;Tak
"Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie tarnowskim i m. TarnÛw (II) -""M≥odzi na startî";GMINA MIASTA TARNOWA - POWIATOWY URZ•D PRACY W TARNOWIE;9301345.32;8547006.21;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb po 29. roku øycia pozostajπcych bez pracy w mieúcie £odzi (I);MIASTO £”Dè / POWIATOWY URZ•D PRACY W £ODZI;9829570.00;8355130.00;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb w wieku 30 lat i wiÍcej pozostajπcych bez pracy na terenie Gminy Miejskiej KrakÛw (II);GMINA MIEJSKA KRAK”W - GRODZKI URZ•D PRACY W KRAKOWIE;9801632.97;8331388.02;Nie;brak;Nie
Wsparcie administracyjne jednostki zajmujπcej siÍ wdraøaniem RPO WZ 2014-2020 na 2016 r.;WOJEW”DZKI URZ•D PRACY W SZCZECINIE;9786275.00;8318333.75;Nie;brak;Nie
Podnosimy kwalifikacje pielÍgniarek i po≥oønych;POLSKIE CENTRUM EDUKACJI I ANALIZ ORDO SP. Z O. O.;9633704.30;8119285.98;Nie;nauka i edukacja;Tak
Wsparcie podmiotÛw podstawowej opieki zdrowotnej we wdraøaniu standardÛw jakoúci i bezpieczeÒstwa opieki;CENTRUM MONITOROWANIA JAKOåCI W OCHRONIE ZDROWIA W KRAKOWIE;9601350.00;8092017.78;Nie;ochrona zdrowia;Nie
Pozytywne ø≥obki na ålπsku;FUNDACJA POZYTYWNE INICJATYWY;9449133.10;8031763.14;Nie;brak;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w Powiecie Nowosπdeckim (I);POWIAT NOWOS•DECKI/POWIATOWY URZ•D PRACY DLA POWIATU NOWOS•DECKIEGO;8666666.00;7963799.39;Nie;praca i integracja spo≥eczna;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w Mieúcie CzÍstochowa i powiecie czÍstochowskim (I);MIASTO CZ STOCHOWA/POWIATOWY URZ•D PRACY W CZ STOCHOWIE;9443100.00;7959100.00;Nie;praca i integracja spo≥eczna;Nie
RPO Pomoc Techniczna 2014-2020 - DWUP;DOLNOåL•SKI WOJEW”DZKI URZ•D PRACY;9319366.00;7921461.10;Nie;brak;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy we W≥oc≥awku i Powiecie W≥oc≥awskim (II);MIASTO W£OC£AWEK, POWIAT W£OC£AWSKI/POWIATOWY URZ•D PRACY WE W£OC£AWKU;8550280.00;7856852.00;Nie;praca i integracja spo≥eczna;Tak
Plan Dzia≥aÒ Pomocy Technicznej WUP na lata 2015-2018 w zakresie wsparcia procesÛw wdraøania RPO WM;WOJEW”DZKI URZ•D PRACY W WARSZAWIE;9774836.00;7819869.00;Nie;brak;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie limanowskim (I);POWIAT LIMANOWSKI/POWIATOWY URZ•D PRACY W LIMANOWEJ;8467928.25;7781179.27;Nie;praca i integracja spo≥eczna;Nie
Oúrodek Wsparcia Ekonomii Spo≥ecznej - subregion centralny zachodni;STOWARZYSZENIE WSP”£PRACY REGIONALNEJ;9044663.10;7687963.63;Nie;brak;Tak
Regionalny Oúrodek Wspierania Ekonomii Spo≥ecznej;CENTRUM SPO£ECZNEGO ROZWOJU;8977254.99;7630666.74;Nie;brak;Tak
GPS - GotowoúÊ Praca SamodzielnoúÊ;MIASTO GDA—SK;8969919.88;7624431.90;Nie;brak;Nie
"""Aktywizacja osÛb m≥odych pozostajπcych bez pracy w Mieúcie CzÍstochowa i powiecie czÍstochowskim (II)""";MIASTO CZ STOCHOWA/POWIATOWY URZ•D PRACY W CZ STOCHOWIE;8960060.94;7551539.36;Nie;praca i integracja spo≥eczna;Nie
Pomys≥ na siebie - YEI;KOMENDA G£”WNA OCHOTNICZYCH HUFC”W PRACY;9169000.00;7539470.58;Nie;praca i integracja spo≥eczna;Nie
Zatrudnienie osÛb oraz umowy cywilno-prawne w ramach RPOWå 2014-2020 w 2016 r.;WOJEW”DZTWO åWI TOKRZYSKIE - URZ•D MARSZA£KOWSKI WOJEW”DZTWA åWI TOKRZYSKIEGO;8711100.00;7404435.00;Nie;brak;Nie
Wsparcie administracji zajmujπcej siÍ zarzπdzaniem RPO WZ 2014-2020 w roku 2016;WOJEW”DZTWO ZACHODNIOPOMORSKIE;10212773.00;7378594.00;Nie;brak;Nie
Najlepsi z najlepszych!;MINISTERSTWO NAUKI I SZKOLNICTWA WYØSZEGO;8470000.00;7138516.00;Nie;nauka i edukacja;Nie
"""Aktywizacja osÛb bezrobotnych w wieku 30+ zarejestrowanych w Powiatowym UrzÍdzie Pracy w CzÍstochowie (I)""";MIASTO CZ STOCHOWA / POWIATOWY URZ•D PRACY W CZ STOCHOWIE;8309700.00;7063200.00;Nie;brak;Tak
Wsparcie wdraøania RPO WL w 2016 r.;WOJEW”DZTWO LUBELSKIE;8299040.00;7054184.00;Nie;brak;Nie
Plan Dzia≥aÒ na rok 2016 w ramach Osi Priorytetowej XIII Pomoc Techniczna Dzia≥ania 13.1 Pomoc Techniczna - WUP;WOJEW”DZKI URZ•D PRACY W KATOWICACH;8239165.39;7003290.58;Nie;brak;Nie
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w Powiecie KoniÒskim (I);POWIAT KONI—SKI / POWIATOWY URZ•D PRACY W KONINIE;8304827.52;6999308.63;Nie;praca i integracja spo≥eczna;Tak
By-PAS Bytomska Pracownia Aktywnoúci Spo≥ecznej;BYTOM - MIASTO NA PRAWACH POWIATU;8195845.00;6966468.25;Nie;brak;Tak
Aktywizacja osÛb m≥odych pozostajπcych bez pracy w powiecie kieleckim (I);POWIAT KIELECKI/POWIATOWY URZ•D PRACY W KIELCACH;7521100.00;6911300.00;Nie;praca i integracja spo≥eczna;Nie
Zintegrowany system zapewnienia wysokiej jakoúci us≥ug OúrodkÛw Wsparcia Ekonomii Spo≥ecznej;MINISTERSTWO RODZINY, PRACY I POLITYKI SPO£ECZNEJ;8197841.88;6909141.13;Nie;brak;Nie
Jurajski Oúrodek Wsparcia Ekonomii Spo≥ecznej;AGENCJA ROZWOJU REGIONALNEGO W CZ STOCHOWIE SP”£KA AKCYJNA;8022058.00;6818749.30;Nie;brak;Tak
Zatrudnienie osÛb oraz umowy cywilno-prawne w ramach RPOWå;WOJEW”DZTWO åWI TOKRZYSKIE - URZ•D MARSZA£KOWSKI WOJEW”DZTWA åWI TOKRZYSKIEGO;8000000.00;6800000.00;Nie;brak;Nie
DOSKONALENIE KADR MEDYCZNYCH. Kursy kwalifikacyjne i specjalistyczne dla pielÍgniarek i po≥oønych.;ZAK£AD DOSKONALENIA ZAWODOWEGO;7924746.50;6678976.35;Nie;nauka i edukacja;Tak
Obs≥uga zadaÒ DIP w ramach PT 2016;DOLNOåL•SKA INSTYTUCJA POåREDNICZ•CA;7838231.00;6662496.35;Nie;brak;Nie
