NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Abwasserzweckverband Altes Land und Geestrand,"Neubau der zentralen Abwasseranlage in der Gemeinde Steinkirchen
, Ortsteile Sietwende/Wetterndorf",,2014,,"244757,75"
Abwasserzweckverband Oyten/Ottersberg,"Sanierung und Erweiterung der GKA Oyten/Ottersberg
- II. und
III.
Bauabschnitt",,2015,,"5126776,97"
ACAR DÖNER Fleischhandels GmbH,Konzeption einer Web-Marketingstrategie,,2010,,7500
"Achimer Stadtwald Grundstücks- und Erschließungsgesellschaft
mbH & Co. KG","Ehemalige Steuben-Kaserne Achim -
Tankbehälter 7 und 10 -
Entsorgung Tankinhalte",,2013,,"581399,82"
Ackermann-Leder Hohmann und Sedlacek OHG,Entwicklung eines kunden- und marktbezogenen Marketingkonzeptes,,2010,,4800
ACTIVO-MED GmbH,Erweiterung der Betriebsstätte,,2011,,49500
ad fontes Lüneburg GmbH,Optimierung der Personalentwicklung und Weiterbildung,,2013,,8000
Adference GmbH,"Gründung und Aufbau Ihres Unternehmens ""Adference GmbH""",,2015,,18000
Agentur für Marketing und Vertrieb im Bauwesen,Beratung zur Kundengewinnung durch Web-Marketing,,2014,,10000
AHG Marhenke Automobil Handels GmbH & Co. KG,Erarbeitung einer strategischen Vorgehensweise zum Webmarketing,,2012,,10000
AHG-Marhenke Automobil Handels GmbH Marhenke Dietrich,"Multimediale Darstellung des Unternehmens; Erstellung eines
Pflichtenheftes, Begleitung bei der Umsetzung",,2009,,10000
AIC Group GmbH,"Weiterentwicklung der ai.suite zu einer Omnichannel-
Kampagnenman agement-Software,durch Ergänzung der
Onlinekanäle",2014,,100000,
Airbrush Lenz,"Versandhandel, Direktverkauf (Messen)",,2012,,124600
"Akademie für erneuerbare Energien Lüchow-Dannenberg GmbH
i.Gr.","Akademie für erneuerbare Energien, Lüchow-Dannenberg",,2012,,"84932,97"
aktivsales GmbH audio video print,Errichtung einer Betriebsstätte,,2012,,77000
Akzent Hotel Zur Grünen Eiche,Entwicklung von Marketingmaßnahmen,,2010,,10000
Alfred Paulsen GmbH & Co. KG,Designberatung für einen zeitgemäßen Markenauftritt,,2012,,9506
Alfred Toepfer Akademie für Naturschutz,"GPS-gestützes Besucherinformationszentrum für den Naturpark
Lüneburger Heide (""Heide-Guide"")",,2011,,"303720,54"
ALLBOX GmbH & Co.KG,"Beratung zum Ausbau der Geschäftsfelder im Bereich Internet und
den Social Medien",,2014,,"7637,5"
Alte Apotheke,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,8800
Amarus gemeinnützige GmbH,Erstellung einer professionellen Internetpräsenz,,2013,,9000
AMBAU GmbH Stahl- und Anlagenbau,"Bau einer Anlage zur seriellen Herstellung von Stahlrohrtürmen für
Offshore - Windkraftanlagen",,2013,,6637500
Andrea Lütvogt,Entwicklung des Erscheinungsbildes,,2012,,3600
Andrea Stüber,Erstellung eines Web-Marketing-Konzeptes,,2012,,1440
Andreas Körber Möbeltischlerei,"Beratung zum Ausbau der Wettbewerbsfähigkeit durch Verbesserung
der Web-Präsenz und Web-Kommunikation",,2014,,3200
Andreas Müller-Training und Weiterbildung,Entwicklung eines Corporate Design,,2012,,2000
anemos Gesellschaft für Umweltmeteorologie mbH,Einstellung einer Innovationsassistentin,,2012,,12000
anemos Gesellschaft für Umweltmeteorologie mbH,Einstellung einer Innovationsassistentin,,2014,,18000
anemos Gesellschaft für Umweltmeteorologie mbH,Einstellung eines Innovationsassistenten,,2012,,12000
Angela Kuttig Fachärztin für Kinder- und Jugendmedizin,"Neukundengewinnung und Kundenbindung soll durch gezielte und
systematische Marketingaktivitäten unterstützt werden",,2011,,4800
Annegret Paustian,Bodensanierung Marktstraße 16 in Winsen/Luhe,,2015,,"205413,69"
Antje Clemens Physio & Vita,Entwicklung eines Corporate Design,,2012,,2400
apoblist GmbH & Co. KG,Begleitende Beratung bei der Findung geeigneter Investoren,,2010,,10000
apoblist GmbH & Co. KG,"Errichtung einer Betriebsstätte/ Bau eines Logistikbetriebes-
Blisterzentrums",,2012,,"222585,7"
APT GmbH Automation und Produktionstechnik,"Entwicklung, Konstruktion und Bau eines Nahtverfolgungssystems
und einer vierachsigen Brennerpositionierung",,2015,,"85526,04"
APT GmbH Automation und Produktionstechnik,"Schweißeinrichtung zum Schweißen von
nichtrotationssymmetrischen Werkstücken",,2010,,"48500,3"
Arbeitsgemeinschaft Urlaub und Freizeit auf dem Lande e.V.,Kinderland Niedersachsen - Kinder herzlich willkommen,,2014,,"88426,35"
Arbeitsgemeinschaft Urlaub und Freizeit auf dem Lande e.V.,"__LandPferdeNaturFerien, Bett & Box - Urlaub rund um¿s Pferd - N
iedersachsen",2014,,45000,
Architekt Gerhard Schulenburg,Verbesserung des Web-Marketing-Konzeptes,,2012,,5500
Architekten für Nachhaltiges Bauen GmbH,Begleitende Beratung zur Einführung von Unternehmensstrukturen,,2014,,3800
Architektenbüro Prickner & Ampting GBR,Entwurf einer Marketingstrategie,,2009,,2000
art & day GmbH,Erstellung von einem Marketingkonzept,,2009,,9265
Artenreich Höhbeck,Landschaftspflegehof Höhbeck,2013,,60000,
Arztpraxis Bernd Reuter,Beratung zum Corporate Design,,2010,,4800
Atlantic Mineralölwerke GmbH,Erarbeitung einer optimalen Kommunikationsstrategie,,2012,,10000
Augenoptik Müller,Planung der Unternehmensübergabe und Betriebsbewertung,,2010,,"1322,7"
Augenoptik Stemmann e.K,Planung der Unternehmensübergabe,,2010,,"1322,7"
aukos Automatisierungskomponenten und -s ysteme GmbH,"Ist-Analyse der Optimierungsmöglichkeiten Dienstleistungsportfol io,
Produktprogramm, Kundengruppen etc.",,2009,,10000
Aurum Cordis GmbH & Co. KG,"Begleitende Beratung bei der Erstellung eines Konzeptes für einen
gesteigerten Verkauf der Dienstleistungen",,2010,,5000
Aurum Cordis GmbH & Co. KG,Einstellung einer Innovationsassistentin,,2011,,6650
Auto Marhenke GmbH & Co. KG,Erstellung eines Marketingkonzeptes,,2010,,10000
Autohaus Burian GmbH,"Begleitende Beratung zur Entwicklung von alternativen
Nachfolgestrategien und Konzepten",,2013,,10000
Autohaus Cordes GmbH & Co. KG,Erstellung einer professionellen Internetpräsenz,,2011,,10000
Autohaus Eberstein GmbH,Beratung zur Erstellung eines Web-Marketing-Konzeptes,,2014,,4000
Autohaus Eberstein GmbH,Erstellung eines Marketingkonzeptes,,2011,,3800
Autohaus Kuhn+Witte GmbH & Co. KG,Konzept zur Überarbeitung des aktuellen Internetauftrittes,,2013,,10000
Autohaus Manikowski,"Marketingkonzept zur Revitalisierung ""ruhender"" Kundenbe-
ziehungen im Service",,2009,,4000
Autohaus Ottens GmbH,Überarbeitung und Vereinheitlichung des Corporate Designs,,2012,,4920
Autohaus Preuß,"Absatzförderung und Marktposition absichern und ausbauen
Erarbeitung und Umsetzung von betrieblichen Marketingkonzepten",,2011,,10000
Autohaus Spreckelsen GmbH & Co. KG,Erarbeitung eines einheitlichen Erscheinungsbildes,,2012,,10000
Auto-Service Wehber und Meyer,Beratung zur Übergabe des Unternehmens an einen Mitarbeiter,,2014,,4000
AvK Hotel GmbH,Hotelgewerbe,,2011,,"465541,49"
azubix Felix Matthes,"Beratung zur Entwicklung einer Marketingstrategie damit Neukunden
künftig über das Internet generiert werden können",,2013,,1400
B + B SahaRa,Ermittlung des Personalbedarfs für eine neue Organisationsstruktur,,2012,,2800
Bäcker Kohrs GmbH,"Entwicklung eines innovativen Herstellungsverfahrens für Vorteige im
Bäckerhandwerk",,2011,,"69932,99"
Bäckerei Behrens e.K.,"Erarbeitung eines betrieblichen Konzeptes zur Umsetzung von
Qualifizierungsmaßnahmen", ,2013,,2000
Bäckerei Dietz,"Bestandsaufnahme und Analyse der bestehenden
Werbemaßnahmen, Steigerung der Wettbewerbsfähigkeit und Image-
Aufbau",,2010,,4000
Bäckerei Dietz,Erarbeitung eines professionellen Internetauftrittes,,2013,,3800
Bäckerei Heinz-Jürgen Peters,Positionierungsanalyse des Unternehmensmarketings,,2010,,10000
Bäckerei Krassmann GmbH,Ausbau und Stabilisierung der Marktposition,,2009,,10000
Bäckerei Manfred Ickert,Entwicklung einer Web-Marketingstrategie,,2011,,2560
Bäckerei Rotermundt,Stärkung der Marktposition,,2010,,10000
Bäckerei und Hofladen Wörme oHG,Erstellung eines Maßnahmeplans,,2010,,3500
Badstudio Röndigs GmbH & Co. KG,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2013,,4400
Bahnhof Creativ OHG,Marketingkonzeption zur Stabilisierung des Unternehmens am Markt,,2008,,4000
Baker Hughes Inteq GmbH,Elektronik-Komponenten für extrem hohe Temperaturen,2009,,5049500,
Baker Hughes Inteq GmbH,"Neue Hochleistungs-Werkstoffe für Tiefbohrsysteme in
geothermischen Anwendungen",2011,,1460600,
Balance Point Control GmbH,"Beratung zu Konzeption und Design-Entwurf von Print- und
Onlinemedien",,2011,,10000
Bargmann-Hebetechnik GmbH,Erweiterung der Betriebsstätte,,2011,,"108732,72"
Bartels Druck GmbH,Erweiterung einer Betriebsstätte,,2013,,"748604,23"
Baubedarf Rafael Roloff,"Beratung zur Steigerung des Bekanntheitsgrades des Unternehmens
durch gezieltes Webmarketing",,2013,,875
Bauck GmbH & Co. KG,Erweiterung einer bestehenden Betriebsstätte,,2012,,1575000
Bauckhof Fleischmanufaktur GmbH,eigene Schlachterei,,2011,,400000
Bauhaus Schulz GmbH,Beratung und Konzeption zur Erstellung einer prof. Internetpräsenz,,2013,,2400
Baum Stahl- und Metallbau,Optimierung der Außenwirkung und des Corporate Design,,2011,,4000
Baumann Metallbau GmbH,"Neubau Planungs- ,Verwaltungsgebäude, Werkhalle; CNC-
Fertigungsm Prototypenwerkstatt, Fassdenprüfstand und Lehr-
Weiterbildunswer",,2014,,"99871,51"
Bauschuttrecycling-Gesellschaft mbH,"Erstellung eines Web-Marketing-Konzeptes für die
Bauschuttrecycling-Gesellschaft mbH",,2012,,1580
Bauunternehmen H.P. Meyer GmbH,"Beratung und Konzeption zur Erstellung einer professionellen
Internetpräsenz",,2014,,4000
Bauunternehmen Lüdke,"Beratung zur Neukundengewinnung und Kundenbindung durch Web-
Marketing",,2014,,3600
Bauunternehmen Sascha Piasecky GmbH,"Beratung und Konzeption zur Erstellung einer professionellen
Internetpräsenz",,2014,,6400
bbm consulting GmbH,Schaffung Bürofläche + Einrichtung einer Servicewerkstatt,,2011,,"45897,3"
BDS Bau-Daten-Service GmbH,"Erstellung eines Web-Marketing-Konzeptes für die BDS Bau-Daten-
Service GmbH",,2012,,1580
Beauty Point - Isabella Jakubowski,Erstellung eines Online-Marketingkonzeptes,,2013,,3225
BenCon cad und consulting e.K.,Überarbeitung der Marketingstrategie,,2009,,4400
BerdinProScout,Gründung und Aufbau des Unternehmens BerdinPProScout,2012,,18000,
Bernd Löbl e. K.,"Gespräche und Verhandlungen mit potentiellen Nachfolgern sollen
vorbereitet und begeleitet werden; Unternehmensbewertung",,2009,,6400
Best Western Castanea Resort Hotel,"Beratung zur zukunftsoptimierten Positionierung der Marke ""Best
Western Premier Castanea Resort Hotel"" im Web",,2013,,2800
Bestattungen Siemers und Feindt,Erarbeitung eines professionellen Internet-Auftrittes,,2012,,4800
Bestattungsinstitut Fricke,Erarbeitung eines Web-Marketing-Konzeptes,,2011,,2000
Bestattungsinstitut Gerd Herzog (Nachfolger) KG,"Entwicklung eines Marketingkonzeptes mit der Zielsetzung: Stärkung
der Marktposition; Erhöhung des Bekanntheitsgrades",,2008,,1500
BestSilver GmbH & Co. KG,Vorbereitung der Unternehmensnachfolge,,2011,,4000
Betreuungsbüro Claudia Sonnwald,"Beratung zum Aufbau und Einführung des Web-Marketing-Systems
sowie zur Optimierung des Internetauftritts",,2013,,6000
Biber Biologische Baustoffe und Einrichtungen GmbH,Beratung zur Überarbeitung der Website,,2014,,9600
Biber Biologische Baustoffe und Einrichtungen GmbH,Dienstleistung zur Förderung einer nachhaltigen Bauweise,2014,,20000,
"Bildungs- und Tagungszentrum Ostheide (BTO) - HVHS
Barendorf e.V",BTO macht fit fürs Studium,2011,,635650,
Bildungszentrum HVHS Hustedt e. V.,"Exploration eines Erhebungsverfahrens zur Wirkung politischer
Erwachsenenbildung am Beispiel Akademiekurs der HVHS",2014,,43340,
Bildungszentrum HVHS Hustedt e. V.,"Optimierung Lehr-/Lernbedingungen im Bildungszentrum HVHS
Husted t e.V. für die Innovationsoffensive Offene Hochschule
Niedersach",,2015,,"1588576,89"
Bildwerk Albertz & Bodmann GbR,"Konzeptionelle Beratung zur Erstellung einer professionellen
Internetpräsenz",,2011,,2400
Biosphaerium Elbtalaue GmbH,"Partner vorgestellt: Projekte im Naturschutz und Menschen in der
Niedersächsischen Elbtalaue",2014,,33700,
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Abschließende Maßnahmen zur Renaturierung des Thalmühlbach -
Oberlaufes am Höhbeck",2014,,117320,
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Einrichtung eines Netzes von Aussichtstürmen mit begleitender
Information im Biosphärenreservat Niedersächsische Elbtalaue",,2011,,"237974,79"
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Neubau von zwei Beobachtungstürmen mit begleitender
informationeller Beschilderung",,2013,,"156073,88"
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Regionalcoaching für das Biosphärenreservat Niedersächsische
Elbtalaue",,2011,,29869
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,Sicherung eines frostfreien Winterquartiers für Fledermäuse,,2014,,"11040,7"
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Verbesserung der ökologischen Situation des 'Thalmühlenbaches'
am Höhbeck/Lüchow-Dannenberg",,2013,,"377190,71"
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Zeitfenster - natur- und kulturhistorische Besonderheiten am Höh
beck zwischen Elbe und Gartow",,2013,,"222201,54"
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Zeitfenster Teil II - natur- und kulturhistorische Besonderheiten am
Höhbeck",2013,,215747,
Birke Elektrotechnik,"Ermittlung des Personalbedarfs und Durchführen einer
Qualifizierungsbedarfsanalyse",,2012,,2875
Bistromat Pausenservice GmbH,Verbesserung des gesamten einheitlichen Erscheinungsbildes,,2012,,3000
Bley & Löcherbach,"Beratung zur Vorbereitung zur Bewertung der einzelnen
Mitarbeiterqualifikation",,2013,,2000
Blickfang - Iris Tellermann,Entwicklung einer Marketingstrategie,,2011,,2000
blumengalerie Antje Cardano,Beratung zur optimalen Positionierung im Web.,,2014,,2375
Bohlmann Reitböden,Erarbeitung eines Web-Marketing-Konzeptes,,2013,,6400
Bohlsener Mühle GmbH & Co. KG,Erweiterung einer Betriebsstätte,,2012,,1586200
Böhmermann GmbH + Co. GAST. KG,Erstellung eines Corporatedesigns,,2012,,6000
BOLTES Restaurants,Erarbeitung einer Marketingstrategie,,2009,,2000
Börde Lamstedt,"Aufbau einer breitbandigen elektr. Kommunikation der Samtgemein-
de Börde Lamstedt in der Gemeinde Mittelstenahe",2014,,91939,
Börde Lamstedt,"Aufbau einer breitbandigen elektr. Kommunikation im Bereich der
Gewerbe-, Misch und Wohngebiete der Gemarkung Lamstedt",2013,,97320,
Börde Lamstedt,"Aufbau einer breitbandigen elektronischen Kommunikation in der
Samtgemeinde Börde Lamstedt, Gemarkung Hackemühlen",2014, ,30843,
Bose Heizung und Bäder,"Beratung zur Einführung von Social-Media in den Betrieb sowie zum
Aufbau eines neuen Web-Marketing-Konzeptes",,2013,,10000
Bösehof Hotel-Betriebs GmbH,"Durchführen einer Zielgruppenanalyse und Erstellung eines
Marketingkonzeptes",,2011,,3200
Brandtzeichen Manufaktur für Großformat-Reliefembleme,"Beratung zur Gewinnung von Kunden über das Internet mittels eines
integrierten Shops",,2014,,3000
Bredehöft & Partner GmbH,Wassermanagement für landwirtschaftlich geprägte Betriebe,2013,,100000,
Brennstoffhandel Heinz Kröger,Erstellung eines Nachfolgekonzeptes,,2011,,2000
Brillen Chic e.K.,Erarbeitung eines umfassenden Marketingkonzeptes,,2011,,4050
"Britta Thunecke -Beratung für Kauf, Ausstattung und
Vermarktung von Ferienimmobilien-","Gründung und Aufbau von ""Britta Thunecke Beratung für Kauf,
Ausstattung und Vermarktung von Ferienimmobilien""",,2011,,"7565,16"
Brockmann Landtechnik,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,6200
Brokelmann KG,"Gewinnmaximierung durch Erstellung von umsetzbaren Marketingstra
tegien",,2009,,5000
Brunnenstudio Ina Wißmann,"Gewinnmaximierung durch Erstellung von möglichen Marketingstrate
gien",,2010,,4000
bsb bau-systems gmbh,"Beratung zur Verbesserung der Unternehmensaußendarstellung über
das Internet",,2013,,2000
BTN Europe e. V. Bamboo Technology Network Europe e. V.,"Professionelle Weiterentwicklung eines bestehenden Netzwerkes für
die Entwicklung und Herstellung hochwertiger Bambusprodukte",2012,,"111859,8",
BTN Europe e. V. Bamboo Technology Network Europe e. V.,"Weiterentwicklung eines Innovationsnetzwerkes für die Entwicklung
und herstellung hochwertiger Bambusprodukte in Achim",,2013,,"119815,13"
Buchdruck + Offset Walter Wulf Inh. Hermann Maack e.K.,"Erweiterung der Betriebsstätte, Kauf einer Druckmaschine",,2013,,"601124,96"
Buchhandlung Karl Perl GmbH & Co,Erstellung eines Web-Marketingkonzeptes,,2015,,3520
Buhl Outdoorpark GmbH,Bau eines Kletterwaldes,,2013,,"37835,31"
BUND Unterweser e.V. Kreisgruppe Cuxhaven Süd,Wanderweg Wittstedter Windschutzhecken,2014,,7350,
Büro- und Kommunikations Einrichtungen Jens Fislage,Erstellung eines Marketingkonzeptes zur Ausrichtung am Markt,,2011,,8000
Busse Alu Bau GmbH,"bauliche Maßnahmen, Anschaffung v. Einrichtung u. Maschinen",,2011,,"54311,38"
Buxtehude Baugesellschaft GmbH,Erstellung eines Marketingkonzeptes,,2010,,4600
Buxtehuder Brauhaus,Erarbeitung einer Konzeption zur möglichen Betriebsaufspaltung,,2011,,8000
Buxtehuder Brauhaus,Marketingmaßnahmen für die Ausgabe von Genußscheinen, ,2009,,5200
Caduceus Zentrum,Errichtung einer Betriebsstätte,,2011,,225000
Callistra GmbH,Entwicklung eines Corporate Design,,2012,,5000
Campingplatz am Hardausee GmbH,Optimierung des Corporate Design,,2011,,4000
Campingplatz Böhmeschlucht,Überarbeitung der Internetpräsentation,,2009,,2000
Campingplatz Stover Strand Intern. Kloodt oHG,Beratung zur optimalen Vorbereitung der Betriebsübergabe,,2013,,10000
Campingplatz zum Oertzewinkel,"Inhaltiche und funktionelle Erweiterung der Internetpräsenz zur
spezifischen Ansprache der Zielgruppen",,2008,,2016
candena GmbH,Social Innovation für Unternehmen,2014,,99999,
Capio Deutsche Klinik Dannenberg GmbH Geschäftsführung,Elbe - Jeetzel - Klinik Dannenberg,2009,,"31572689,07",
Carissima Consulting,Gründung und Aufbau des Unternehmens,,2013,,"12267,02"
Carstens GmbH,Erstellung einer professionellen Internetpräsenz,,2013,,10000
Cassen Cassens GmbH,Erstellung eines professionellen Internet-Auftrittes,,2013,,3200
CeH4 Technologies GmbH,Erweiterung mit Verlagerung einer Betriebsstätte,,2011,,404900
Celler Schloßtheater e.V.,Errichtung einer Spielstätte für das Kinder- und Jugendtheater,2014,,"326362,16",
Centrum für Innere Medizin Dr. med. Andreas Wittekindt,Erstellung von Konzepten zu Marketingmaßnahmen über das Internet,,2013,,4000
CFK Valley Stade e.V.,CFK - Valley Stade - Vision 2015,2011,,"797933,68",
checksoft GmbH,Einstellung eines Innovationsassistenten,,2011,,12000
checksoft GmbH,"Entwicklung einer Software zur effizienten und einfachen
Konfiguration von bestimmten VoIP Anlagen",2013,,41100,
ChemCoast e.V.,"Businessplanentwicklung für die wettbewerbsfähige Umsetzung der
Erzeugung, Lagerung, Verwendung v. Wind- Wasserstoff",,2013,,222689
Chr. Heinrich Waller GmbH & Co.,"Individuelle Internetanalyse, Bedarfsermittlung für Web-Marketing auf
Grundlage der Unternehmensziele und Produkte",,2012,,8800
Christian Bücker Rechtsanwaltskanzlei,Erstellung eines Web-Marketing-Konzeptes,,2012,,2400
Christina Kaul,Gastgewerbe,,2011,,322100
Christine Burbulla Praxis für Logopädie,Entwicklung einer Internetkommunikation,,2013,,1200
Christoph Wollenheit,Maschinenkauf,2010,,360000,
Cohrs GmbH & Co. KG Werkstätten,"Konzeptionelle Beratung zur gezielten Weiterbildung und Erhöhung
der Produktivität",,2013,,10000
Cohrs Objekt GmbH,Anschaffung von Maschinen und Anlagen,,2011,,8400
CompiPower Olaf Bohling,Erarbeitung eines Web-Marketing-Konzeptes,,2012,,2800
Computercenter Bergau GmbH,Beratung zur Erstellung einer professionellen Internetpräsenz,,2014,,7200
Cordes Hotel Restaurant am Rosengarten,Beratung zur Erstellung eines neuen Web-Marketing-Konzeptes,,2013,,7800
CSB Computer-Service-Buchholz GmbH,Erstellung von Marketingstrategien,,2010,,4000
CuxHafEn GmbH Cuxhavener Hafen Entwicklungsgesellschaft,"Erschließung des Gewerbegebietes Offshore Basis Cuxhaven, 4.BA",2009,,12857439,
CW Eventtechnik,"Erstellung eines Marketingkonzeptes für die firmeneigene Homepage
und das Internet",,2011,,6000
D. Tiedemann GmbH Zimmerei u. Tischlerei,Gebäudeerrichtung und Maschinenkauf,,2010,,"30632,61"
"Dajoni GmbH Spedition & Logistik - Ihr Partner für
Logistikdienstleistungen",Beratung zur Erstellung einer professionellen Internetpräsenz,,2012,,4200
Dal Cin das italienische Eis Vertriebs GmbH,Errichtung einer neuen Betriebsstätte,2014,,69100,
Dämmtechnik Trapp GmbH,Diversifizierung durch Anschaffung einer neuen Maschine,,2014,,74400
Das Haus am Landtagsplatz GmbH,Optimierung und Ausbau des Corporate Designs,,2010,,4000
das Holzatelier,Erstellung eines Web-Marketing-Konzeptes,,2011,,5200
DB Netz AG,Herstellung eines Kreuzungsbahnhofes in Nordholz,2014,,"3324722,93",
DB Netz AG,Neubau der Weichen 3 und 20 im Bahnhof Lübberstedt,2013,,513908,
Deckert Maschinenbau GmbH,Maschinenkauf ohne nennenswerte Erhöhung der DAPl,,2013,,"64822,5"
Deco & Betten Röhrs,Konzeptionelle Beratung zur Erstellung der Internetpräsenz,,2013,,"4420,5"
Decosun Sonnenschutztechnik Ralf Engelbart,"Konzeptionelle Beratung zur Einführung eines neuen Online-Shops
für Sonnenschutzsysteme",,2013,,875
Deerberg Versand GmbH,Erweiterung einer bestehenden Betriebsstätte,,2010,,137500
DEG Stapler-Service GmbH,Erstellung eines Web-Marketing-Konzeptes,,2011,,2000
Deichverband Bosse z. Hd. Heinz-Georg Meyer,"Hochwasserschutz Bosse, Deichverstärkung von Station 0+000 bis
1+749",,2009,,"449995,32"
Deichverband Land Wursten,"Deckwerksbau Imsum - Schottwarden, Bauabschnitt 2008 und 2009",,2010,,"1955707,17"
Deichverband Osterstader Marsch,"Deichnacherhöhung Rechtebe bis Wurthfleth - Abriss eines Gebäude
s in Rechtebe",,2009,,"30376,36"
Deichverband Osterstader Marsch,Erneuerung Aschwardener Siel,,2009,,"2305805,41"
Deichverband Osterstader Marsch,"Herstellen des Deichverteidigungsweges von Wurthfleth nach
Aschwarden - Überfahrt Mühle",,2013,,"682145,07"
Deichverband Osterstader Marsch,"Kompensation Bodenentnahme Deichbau (Sohlgleite Drepte in
Wulsbüttel)",,2011,,"140396,65"
Deichverband Osterstader Marsch,"Nacherhöhung des Weser-Hauptdeiches im Bereich Sandstedt bis
Offenwarden",,2010,,"888390,69"
Deichverband Osterstader Marsch,"Nacherhöhung des Weser-Hauptdeiches im Bereich Sandstedt bis
Offenwarden, Bauabschnitt 2011",,2011,,"1663287,61"
Deichverband Osterstader Marsch,Planung und Verlängerung des Indieksieles,,2010,,"2875077,23"
Deichverband Osterstader Marsch,Verlängerung des Sielbauwerkes in Sandstedt,,2009,,"1158782,4"
Delta Systemtechnik GmbH,Erweiterung einer Betriebsstätte,,2012,,270000
Delta Systemtechnik GmbH,Weiterentwicklung des Corporate Design,,2011,,10000
Dennis Hüsing Rechtsanwalt,Erstellung einer professionellen Internetpräsenz,,2013,,8300
Der Elbfischer,"Beratung zur Neukundengewinnung und Kundenbindung durch Web-
Marketing",,2014,,4000
Der Freden Bäcker GmbH,"Konzeptionelle Beratung zur individuellen Internetanalyse,
Suchmaschinen-Analyse und Optimierung",,2012,,3200
Der Handwerker Thorsten Däter,"Durchführen einer Positionierungsanalyse und Erarbeiten einer
Marketingstrategie",,2010,,10000
