NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Adference GmbH,"Gründung und Aufbau Ihres Unternehmens ""Adference GmbH""",,2015,,"18.000,00"
Agentur für Marketing und Vertrieb im Bauwesen,Beratung zur Kundengewinnung durch Web-Marketing,,2014,,"10.000,00"
AHG Marhenke Automobil Handels GmbH & Co. KG,Erarbeitung einer strategischen Vorgehensweise zum Webmarketing,,2012,,"10.000,00"
AHG-Marhenke Automobil Handels GmbH Marhenke Dietrich,"Multimediale Darstellung des Unternehmens Erstellung eines
Pflichtenheftes, Begleitung bei der Umsetzung",,2009,,"10.000,00"
AIC Group GmbH,"Weiterentwicklung der ai.suite zu einer Omnichannel-Kampagnenman
agement-Software,durch Ergänzung der Onlinekanäle",,2015,,"100.000,00"
Airbrush Lenz,"Versandhandel, Direktverkauf (Messen)",,2012,,"124.600,00"
"Akademie für erneuerbare Energien Lüchow-Dannenberg GmbH
i.Gr.","Akademie für erneuerbare Energien, Lüchow-Dannenberg",,2012,,"84.932,97"
aktivsales GmbH audio video print,Errichtung einer Betriebsstätte,,2012,,"77.000,00"
Akzent Hotel Zur Grünen Eiche,Entwicklung von Marketingmaßnahmen,,2010,,"10.000,00"
Alfred Paulsen GmbH & Co. KG,Designberatung für einen zeitgemäßen Markenauftritt,,2012,,"9.506,00"
Alfred Toepfer Akademie für Naturschutz,"GPS-gestützes Besucherinformationszentrum für den Naturpark
Lüneburger Heide (""Heide-Guide"")",,2011,,"303.720,54"
ALLBOX GmbH & Co.KG,"Beratung zum Ausbau der Geschäftsfelder im Bereich Internet und
den Social Medien",,2014,,"7.637,50"
Alte Apotheke,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,"8.800,00"
Alwin Abert Ingenieurbüro für Bauwesen,Vorbereitung und Konzeptionierung der Unternehmensnachfolge,,2013,,"6.000,00"
Amarus gemeinnützige GmbH,Erstellung einer professionellen Internetpräsenz,,2013,,"9.000,00"
AMBAU GmbH Stahl- und Anlagenbau,"Bau einer Anlage zur seriellen Herstellung von Stahlrohrtürmen für
Offshore - Windkraftanlagen",,2013,,"6.637.500,00"
Andrea Lütvogt,Entwicklung des Erscheinungsbildes,,2012,,"3.600,00"
Andrea Stüber,Erstellung eines Web-Marketing-Konzeptes,,2012,,"1.440,00"
Andreas Körber Möbeltischlerei,"Beratung zum Ausbau der Wettbewerbsfähigkeit durch Verbesserung
der Web-Präsenz und Web-Kommunikation",,2014,,"3.200,00"
Andreas Müller-Training und Weiterbildung,Entwicklung eines Corporate Design,,2012,,"2.000,00"
anemos Gesellschaft für Umweltmeteorologie mbH,Einstellung eines Innovationsassistenten,,2012,,"12.000,00"
anemos Gesellschaft für Umweltmeteorologie mbH,Einstellung einer Innovationsassistentin,,2012,,"12.000,00"
Angela Kuttig Fachärztin für Kinder- und Jugendmedizin,"Neukundengewinnung und Kundenbindung soll durch gezielte und
systematische Marketingaktivitäten unterstützt werden",,2011,,"4.800,00"
Annegret Paustian,Bodensanierung Marktstraße 16 in Winsen/Luhe,,2015,,"205.413,69"
Antje Clemens Physio & Vita,Entwicklung eines Corporate Design,,2012,,"2.400,00"
apoblist GmbH & Co. KG,"Errichtung einer Betriebsstätte/ Bau eines Logistikbetriebes-
Blisterzentrums",,2012,,"222.585,70"
apoblist GmbH & Co. KG,Begleitende Beratung bei der Findung geeigneter Investoren,,2010,,"10.000,00"
APT GmbH Automation und Produktionstechnik,"Schweißeinrichtung zum Schweißen von nichtrotationssymmetrischen
Werkstücken",,2010,,"48.500,30"
APT GmbH Automation und Produktionstechnik,"Entwicklung, Konstruktion und Bau eines Nahtverfolgungssystems und
einer vierachsigen Brennerpositionierung",,2015,,"85.526,04"
Arbeitsgemeinschaft Urlaub und Freizeit auf dem Lande e.V.,Kinderland Niedersachsen - Kinder herzlich willkommen,,2014,,"88.426,35"
Arbeitsgemeinschaft Urlaub und Freizeit auf dem Lande e.V.,"Land
-_PferdeNaturFerien, Bett & Box - Urlaub rund ums Pferd_
Niedersachsen",,2015,,"44.954,96"
Architekt Gerhard Schulenburg,Verbesserung des Web-Marketing-Konzeptes,,2012,,"5.500,00"
Architekten für Nachhaltiges Bauen GmbH,Begleitende Beratung zur Einführung von Unternehmensstrukturen,,2014,,"3.800,00"
Architektenbüro Prickner & Ampting GBR,Entwurf einer Marketingstrategie,,2009,,"2.000,00"
art & day GmbH,Erstellung von einem Marketingkonzept,,2009,,"9.265,00"
Artenreich Höhbeck,Landschaftspflegehof Höhbeck,,2015,,"44.067,10"
Arthur Berndt Möbelfabrik GmbH,Anschaffung von Maschinen,,2011,,"30.227,51"
Arztpraxis Bernd Reuter,Beratung zum Corporate Design,,2010,,"4.800,00"
Atlantic Mineralölwerke GmbH,Erarbeitung einer optimalen Kommunikationsstrategie,,2012,,"10.000,00"
Augenoptik Müller,Planung der Unternehmensübergabe und Betriebsbewertung,,2010,,"1.322,70"
Augenoptik Stemmann e.K,Planung der Unternehmensübergabe,,2010,,"1.322,70"
aukos Automatisierungskomponenten und -s ysteme GmbH,"Ist-Analyse der Optimierungsmöglichkeiten Dienstleistungsportfol io,
Produktprogramm, Kundengruppen etc.",,2009,,"10.000,00"
Aurum Cordis GmbH & Co. KG,Einstellung einer Innovationsassistentin,,2011,,"6.650,00"
Aurum Cordis GmbH & Co. KG,"Begleitende Beratung bei der Erstellung eines Konzeptes für einen
gesteigerten Verkauf der Dienstleistungen",,2010,,"5.000,00"
Auto Marhenke GmbH & Co. KG,Erstellung eines Marketingkonzeptes,,2010,,"10.000,00"
Autohaus Burian GmbH,"Begleitende Beratung zur Entwicklung von alternativen
Nachfolgestrategien und Konzepten",,2013,,"10.000,00"
Autohaus Cordes GmbH & Co. KG,Erstellung einer professionellen Internetpräsenz,,2011,,"10.000,00"
Autohaus Eberstein GmbH,Erstellung eines Marketingkonzeptes,,2011,,"3.800,00"
Autohaus Eberstein GmbH,Beratung zur Erstellung eines Web-Marketing-Konzeptes,,2014,,"4.000,00"
Autohaus Kuhn+Witte GmbH & Co. KG,Konzept zur Überarbeitung des aktuellen Internetauftrittes,,2013,,"10.000,00"
Autohaus Preuß,"Absatzförderung und Marktposition absichern und ausbauen
Erarbeitung und Umsetzung von betrieblichen Marketingkonzepten",,2011,,"10.000,00"
Autohaus Spreckelsen GmbH & Co. KG,Erarbeitung eines einheitlichen Erscheinungsbildes,,2012,,"10.000,00"
Autohaus W. Manikowski Cuxhaven KG,"Marketingkonzept zur Revitalisierung ""ruhender"" Kundenbe-
ziehungen im Service",,2009,,"4.000,00"
Auto-Service Wehber und Meyer,Beratung zur Übergabe des Unternehmens an einen Mitarbeiter,,2014,,"4.000,00"
AvK Hotel GmbH,Hotelgewerbe,,2011,,"465.541,49"
azubix Felix Matthes,"Beratung zur Entwicklung einer Marketingstrategie damit Neukunden
künftig über das Internet generiert werden können",,2013,,"1.400,00"
B + B SahaRa,Ermittlung des Personalbedarfs für eine neue Organisationsstruktur,,2012,,"2.800,00"
Bäcker Kohrs GmbH,"Entwicklung eines innovativen Herstellungsverfahrens für Vorteige im
Bäckerhandwerk",,2011,,"69.932,99"
Bäckerei Behrens e.K.,"Erarbeitung eines betrieblichen Konzeptes zur Umsetzung von
Qualifizierungsmaßnahmen",,2013,,"2.000,00"
Bäckerei Dietz,"Bestandsaufnahme und Analyse der bestehenden Werbemaßnahmen,
Steigerung der Wettbewerbsfähigkeit und Image-Aufbau",,2010,,"4.000,00"
Bäckerei Dietz,Erarbeitung eines professionellen Internetauftrittes,,2013,,"3.800,00"
Bäckerei Heinz-Jürgen Peters,Positionierungsanalyse des Unternehmensmarketings,,2010,,"10.000,00"
Bäckerei Krassmann GmbH,Ausbau und Stabilisierung der Marktposition,,2009,,"10.000,00"
Bäckerei Manfred Ickert,Entwicklung einer Web-Marketingstrategie,,2011,,"2.560,00"
Bäckerei Rotermundt,Stärkung der Marktposition,,2010,,"10.000,00"
Bäckerei und Hofladen Wörme oHG,Erstellung eines Maßnahmeplans,,2010,,"3.500,00"
Badstudio Röndigs GmbH & Co. KG,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2013,,"4.400,00"
Bahnhof Creativ OHG,Marketingkonzeption zur Stabilisierung des Unternehmens am Markt,,2008,,"4.000,00"
Baker Hughes Inteq GmbH,Elektronik-Komponenten für extrem hohe Temperaturen,,2015,,"5.049.500,00"
Baker Hughes Inteq GmbH,"Neue Hochleistungs-Werkstoffe für Tiefbohrsysteme in
geothermischen Anwendungen",,2015,,"919.377,00"
Balance Point Control GmbH,"Beratung zu Konzeption und Design-Entwurf von Print- und
Onlinemedien",,2011,,"10.000,00"
Bargmann-Hebetechnik GmbH,Erweiterung der Betriebsstätte,,2011,,"108.732,72"
Bartels Druck GmbH,Erweiterung einer Betriebsstätte,2008,,"610.119,31",
Baubedarf Rafael Roloff,"Beratung zur Steigerung des Bekanntheitsgrades des Unternehmens
durch gezieltes Webmarketing",,2013,,"875,00"
Bauck GmbH,Erweiterung einer bestehenden Betriebsstätte,,2012,,"1.575.000,00"
Bauhaus Schulz GmbH,Beratung und Konzeption zur Erstellung einer prof. Internetpräsenz,,2013,,"2.400,00"
Baum Stahl- und Metallbau,Optimierung der Außenwirkung und des Corporate Design,,2011,,"4.000,00"
Baumann Metallbau GmbH,"Neubau Planungs- ,Verwaltungsgebäude, Werkhalle CNC-
Fertigungsm Prototypenwerkstatt, Fassdenprüfstand und Lehr-
Weiterbildunswer",2010,,"99.871,51",
Bauschuttrecycling-Gesellschaft mbH,"Erstellung eines Web-Marketing-Konzeptes für die Bauschuttrecycling-
Gesellschaft mbH",,2012,,"1.580,00"
Bauservice Timm GbR Erich und Rüdiger Timm,"Beratung zur Neukundengewinnung und Kundenbindung durch Web-
Marketing",,2013,,"2.600,00"
Bauunternehmen H.P. Meyer GmbH,"Beratung und Konzeption zur Erstellung einer professionellen
Internetpräsenz",,2014,,"4.000,00"
Bauunternehmen Lüdke,"Beratung zur Neukundengewinnung und Kundenbindung durch Web-
Marketing",,2014,,"3.600,00"
Bauunternehmen Sascha Piasecky GmbH,"Beratung und Konzeption zur Erstellung einer professionellen
Internetpräsenz",,2014,,"6.400,00"
bbm consulting GmbH,Schaffung Bürofläche + Einrichtung einer Servicewerkstatt,,2011,,"45.897,30"
BDS Bau-Daten-Service GmbH,"Erstellung eines Web-Marketing-Konzeptes für die BDS Bau-Daten-
Service GmbH",,2012,,"1.580,00"
Beauty Point - Isabella Jakubowski,Erstellung eines Online-Marketingkonzeptes,,2013,,"3.225,00"
BenCon cad und consulting e.K.,Überarbeitung der Marketingstrategie,,2009,,"4.400,00"
BerdinProScout,Gründung und Aufbau des Unternehmens BerdinPProScout,2012,,"18.000,00",
Bernd Löbl e. K.,"Gespräche und Verhandlungen mit potentiellen Nachfolgern sollen
vorbereitet und begeleitet werden Unternehmensbewertung",,2009,,"6.400,00"
Best Western Castanea Resort Hotel,"Beratung zur zukunftsoptimierten Positionierung der Marke ""Best
Western Premier Castanea Resort Hotel"" im Web",,2013,,"2.800,00"
Bestattungen Siemers und Feindt,Erarbeitung eines professionellen Internet-Auftrittes,,2012,,"4.800,00"
Bestattungsinstitut Fricke,Erarbeitung eines Web-Marketing-Konzeptes,,2011,,"2.000,00"
Bestattungsinstitut Gerd Herzog (Nachfolger) KG,"Entwicklung eines Marketingkonzeptes mit der Zielsetzung: Stärkung
der Marktposition Erhöhung des Bekanntheitsgrades",,2008,,"1.500,00"
BestSilver GmbH & Co. KG,Vorbereitung der Unternehmensnachfolge,,2011,,"4.000,00"
Betreuungsbüro Claudia Sonnwald,"Beratung zum Aufbau und Einführung des Web-Marketing-Systems
sowie zur Optimierung des Internetauftritts",,2013,,"6.000,00"
Biber Biologische Baustoffe und Einrichtungen GmbH,Beratung zur Überarbeitung der Website,,2014,,"9.600,00"
Biber Biologische Baustoffe und Einrichtungen GmbH,Dienstleistung zur Förderung einer nachhaltigen Bauweise,,2015,,"17.614,73"
"Bildungs- und Tagungszentrum Ostheide (BTO) - HVHS
Barendorf e.V",BTO macht fit fürs Studium,,2016,,"629.566,86"
Bildungszentrum HVHS Hustedt e. V.,"Optimierung Lehr-/Lernbedingungen im Bildungszentrum HVHS
Husted t e.V. für die Innovationsoffensive Offene Hochschule
Niedersach",,2015,,"1.588.576,89"
Bildungszentrum HVHS Hustedt e. V.,"Exploration eines Erhebungsverfahrens zur Wirkung politischer
Erwachsenenbildung am Beispiel Akademiekurs der HVHS",,2015,,"38.776,35"
Bildwerk Albertz & Bodmann GbR,"Konzeptionelle Beratung zur Erstellung einer professionellen
Internetpräsenz",,2011,,"2.400,00"
Bio-Obsthof Königreich,Erarbeitung eines professionellen Internetauftrittes,,2013,,"7.200,00"
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Regionalcoaching für das Biosphärenreservat Niedersächsische
Elbtalaue",,2011,,"29.869,00"
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Verbesserung der ökologischen Situation des 'Thalmühlenbaches' am
Höhbeck/Lüchow-Dannenberg",,2013,,"377.190,71"
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Einrichtung eines Netzes von Aussichtstürmen mit begleitender
Information im Biosphärenreservat Niedersächsische Elbtalaue",,2011,,"237.974,79"
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Zeitfenster - natur- und kulturhistorische Besonderheiten am Höh beck
zwischen Elbe und Gartow",,2013,,"222.201,54"
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Neubau von zwei Beobachtungstürmen mit begleitender
informationeller Beschilderung",,2013,,"156.073,88"
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,Sicherung eines frostfreien Winterquartiers für Fledermäuse,,2014,,"11.040,70"
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Zeitfenster Teil II - natur- und kulturhistorische Besonderheiten am
Höhbeck",,2015,,"247.787,98"
Biosphärenreservatsverwaltung Niedersächsische Elbtalaue,"Abschließende Maßnahmen zur Renaturierung des Thalmühlbach -
Oberlaufes am Höhbeck",,2015,,"117.320,00"
Birke Elektrotechnik,"Ermittlung des Personalbedarfs und Durchführen einer
Qualifizierungsbedarfsanalyse",,2012,,"2.875,00"
Bistromat Pausenservice GmbH,Verbesserung des gesamten einheitlichen Erscheinungsbildes,,2012,,"3.000,00"
Bley & Löcherbach,"Beratung zur Vorbereitung zur Bewertung der einzelnen
Mitarbeiterqualifikation",,2013,,"2.000,00"
Blickfang - Iris Tellermann,Entwicklung einer Marketingstrategie,,2011,,"2.000,00"
blumengalerie Antje Cardano,Beratung zur optimalen Positionierung im Web.,,2014,,"2.375,00"
Bohlmann Reitböden,Erarbeitung eines Web-Marketing-Konzeptes,,2013,,"6.400,00"
Bohlsener Mühle GmbH & Co. KG,Erweiterung einer Betriebsstätte,,2012,,"1.586.200,00"
Böhmermann GmbH + Co. GAST. KG,Erstellung eines Corporatedesigns,,2012,,"6.000,00"
BOLTES Restaurants,Erarbeitung einer Marketingstrategie,,2009,,"2.000,00"
Börde Lamstedt,"Aufbau einer breitbandigen elektr. Kommunikation im Bereich der
Gewerbe-, Misch und Wohngebiete der Gemarkung Lamstedt",,2015,,"81.747,68"
Börde Lamstedt,"Aufbau einer breitbandigen elektr. Kommunikation der Samtgemeinde
Börde Lamstedt in der Gemeinde Mittelstenahe",,2015,,"86.591,16"
Börde Lamstedt,"Aufbau einer breitbandigen elektronischen Kommunikation in der
Samtgemeinde Börde Lamstedt, Gemarkung Hackemühlen",,2015,,"25.046,68"
Bose Heizung und Bäder,"Beratung zur Einführung von Social-Media in den Betrieb sowie zum
Aufbau eines neuen Web-Marketing-Konzeptes",,2013,,"10.000,00"
Bösehof Hotel-Betriebs GmbH,"Durchführen einer Zielgruppenanalyse und Erstellung eines
Marketingkonzeptes",,2011,,"3.200,00"
Brandtzeichen Manufaktur für Großformat-Reliefembleme,"Beratung zur Gewinnung von Kunden über das Internet mittels eines
integrierten Shops",,2014,,"3.000,00"
Bredehöft & Partner GmbH,Wassermanagement für landwirtschaftlich geprägte Betriebe,,2016,,"22.939,76"
Brennstoffhandel Heinz Kröger,Erstellung eines Nachfolgekonzeptes,,2011,,"2.000,00"
Brillen Chic e.K.,Erarbeitung eines umfassenden Marketingkonzeptes,,2011,,"4.050,00"
"Britta Thunecke -Beratung für Kauf, Ausstattung und
Vermarktung von Ferienimmobilien-","Gründung und Aufbau von ""Britta Thunecke Beratung für Kauf,
Ausstattung und Vermarktung von Ferienimmobilien""",,2011,,"7.565,16"
Brockmann Landtechnik,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,"6.200,00"
Brokelmann KG,"Gewinnmaximierung durch Erstellung von umsetzbaren Marketingstra
tegien",,2009,,"5.000,00"
Brunnenstudio Ina Wißmann,"Gewinnmaximierung durch Erstellung von möglichen Marketingstrate
gien",,2010,,"4.000,00"
bsb bau-systems gmbh,"Beratung zur Verbesserung der Unternehmensaußendarstellung über
das Internet",,2013,,"2.000,00"
BTN Europe e. V. Bamboo Technology Network Europe e. V.,"Weiterentwicklung eines Innovationsnetzwerkes für die Entwicklung
und herstellung hochwertiger Bambusprodukte in Achim",,2013,,"119.815,13"
BTN Europe e. V. Bamboo Technology Network Europe e. V.,"Professionelle Weiterentwicklung eines bestehenden Netzwerkes für
die Entwicklung und Herstellung hochwertiger Bambusprodukte",,2015,,"73.481,89"
Buchdruck + Offset Walter Wulf Inh. Hermann Maack e.K.,"Erweiterung der Betriebsstätte, Kauf einer Druckmaschine",,2013,,"601.124,96"
Buchhandlung Karl Perl GmbH & Co,Erstellung eines Web-Marketingkonzeptes,,2015,,"3.520,00"
Buhl Outdoor & Sport Events GmbH,Bau eines Kletterwaldes,,2013,,"37.835,31"
BUND Unterweser e.V. Kreisgruppe Cuxhaven Süd,Wanderweg Wittstedter Windschutzhecken,,2015,,"6.696,52"
Büro- und Kommunikations Einrichtungen Jens Fislage,Erstellung eines Marketingkonzeptes zur Ausrichtung am Markt,,2011,,"8.000,00"
Busse Alu Bau GmbH,"bauliche Maßnahmen, Anschaffung v. Einrichtung u. Maschinen",,2011,,"54.311,38"
Buxtehude Baugesellschaft GmbH,Erstellung eines Marketingkonzeptes,,2010,,"4.600,00"
Buxtehuder Brauhaus,Marketingmaßnahmen für die Ausgabe von Genußscheinen,,2009,,"5.200,00"
Buxtehuder Brauhaus,Erarbeitung einer Konzeption zur möglichen Betriebsaufspaltung,,2011,,"8.000,00"
Caduceus Zentrum,Errichtung einer Betriebsstätte,,2011,,"225.000,00"
Callistra GmbH,Entwicklung eines Corporate Design,,2012,,"5.000,00"
Campingplatz am Hardausee GmbH,Optimierung des Corporate Design,,2011,,"4.000,00"
Campingplatz Böhmeschlucht,Überarbeitung der Internetpräsentation,,2009,,"2.000,00"
Campingplatz Stover Strand Intern. Kloodt oHG,Beratung zur optimalen Vorbereitung der Betriebsübergabe,,2013,,"10.000,00"
Campingplatz zum Oertzewinkel,"Inhaltiche und funktionelle Erweiterung der Internetpräsenz zur
spezifischen Ansprache der Zielgruppen",,2008,,"2.016,00"
candena GmbH,Social Innovation für Unternehmen,,2015,,"99.999,00"
Capio Deutsche Klinik Dannenberg GmbH Geschäftsführung,Elbe - Jeetzel - Klinik Dannenberg,,2016,,"31.572.689,07"
Carissima Consulting,Gründung und Aufbau des Unternehmens,,2013,,"12.267,02"
Carstens GmbH,Erstellung einer professionellen Internetpräsenz,,2013,,"10.000,00"
Cassen Cassens GmbH,Erstellung eines professionellen Internet-Auftrittes,,2013,,"3.200,00"
CeH4 Technologies GmbH,Erweiterung mit Verlagerung einer Betriebsstätte,,2011,,"404.900,00"
Celler Schloßtheater e.V.,Errichtung einer Spielstätte für das Kinder- und Jugendtheater,,2015,,"316.362,16"
Centrum für Innere Medizin Dr. med. Andreas Wittekindt,Erstellung von Konzepten zu Marketingmaßnahmen über das Internet,,2013,,"4.000,00"
CFK Valley e.V.,CFK - Valley Stade - Vision 2015,,2015,,"796.945,33"
checksoft GmbH,Einstellung eines Innovationsassistenten,,2011,,"12.000,00"
checksoft GmbH,"Entwicklung einer Software zur effizienten und einfachen Konfiguration
von bestimmten VoIP Anlagen",,2015,,"41.100,00"
ChemCoast e.V.,"Businessplanentwicklung für die wettbewerbsfähige Umsetzung der
Erzeugung, Lagerung, Verwendung v. Wind- Wasserstoff",,2013,,"222.689,00"
Chr. Heinrich Waller GmbH & Co.,"Individuelle Internetanalyse, Bedarfsermittlung für Web-Marketing auf
Grundlage der Unternehmensziele und Produkte",,2012,,"8.800,00"
Christian Bücker Rechtsanwaltskanzlei,Erstellung eines Web-Marketing-Konzeptes,,2012,,"2.400,00"
Christina Kaul,Gastgewerbe,,2011,,"322.100,00"
Christine Burbulla Praxis für Logopädie,Entwicklung einer Internetkommunikation,,2013,,"1.200,00"
Christoph Wollenheit,Maschinenkauf,2010,,"360.000,00",
Claus Schlichtmann - Energieberater,"Beratung zu einem schlüssigen und wettbewerbsfähigen Corporate
Design",,2011,,"2.400,00"
Cohrs GmbH & Co. KG Werkstätten,"Konzeptionelle Beratung zur gezielten Weiterbildung und Erhöhung
der Produktivität",,2013,,"10.000,00"
Cohrs Objekt GmbH,Anschaffung von Maschinen und Anlagen,,2011,,"8.400,00"
CompiPower Olaf Bohling,Erarbeitung eines Web-Marketing-Konzeptes,,2012,,"2.800,00"
Computercenter Bergau GmbH,Beratung zur Erstellung einer professionellen Internetpräsenz,,2014,,"7.200,00"
Cordes Hotel Restaurant am Rosengarten,Beratung zur Erstellung eines neuen Web-Marketing-Konzeptes,,2013,,"7.800,00"
CSB Computer-Service-Buchholz GmbH,Erstellung von Marketingstrategien,,2010,,"4.000,00"
CuxHafEn GmbH Cuxhavener Hafen Entwicklungsgesellschaft,"Erschließung des Gewerbegebietes Offshore Basis Cuxhaven, 4.BA",,2016,,"12.038.757,13"
CW Eventtechnik,"Erstellung eines Marketingkonzeptes für die firmeneigene Homepage
und das Internet",,2011,,"6.000,00"
D. Tiedemann GmbH Zimmerei u. Tischlerei,Gebäudeerrichtung und Maschinenkauf,,2010,,"30.632,61"
"Dajoni GmbH Spedition & Logistik - Ihr Partner für
Logistikdienstleistungen",Beratung zur Erstellung einer professionellen Internetpräsenz,,2012,,"4.200,00"
Dal Cin das italienische Eis Vertriebs GmbH,Errichtung einer neuen Betriebsstätte,,2015,,"69.100,00"
Dämmtechnik Trapp GmbH,Diversifizierung durch Anschaffung einer neuen Maschine,,2014,,"74.400,00"
Das Haus am Landtagsplatz GmbH,Optimierung und Ausbau des Corporate Designs,,2010,,"4.000,00"
das Holzatelier,Erstellung eines Web-Marketing-Konzeptes,,2011,,"5.200,00"
DCM Maschinenbau GmbH,Maschinenkauf ohne nennenswerte Erhöhung der DAPl,,2013,,"64.822,50"
Deco & Betten Röhrs,Konzeptionelle Beratung zur Erstellung der Internetpräsenz,,2013,,"4.420,50"
Decosun Sonnenschutztechnik Ralf Engelbart,"Konzeptionelle Beratung zur Einführung eines neuen Online-Shops für
Sonnenschutzsysteme",,2013,,"875,00"
Deerberg Versand GmbH,Erweiterung einer bestehenden Betriebsstätte,,2010,,"137.500,00"
DEG Stapler-Service GmbH,Erstellung eines Web-Marketing-Konzeptes,,2011,,"2.000,00"
Deichverband Bosse z. Hd. Heinz-Georg Meyer,"Hochwasserschutz Bosse, Deichverstärkung von Station 0+000 bis
1+749",,2009,,"449.995,32"
