Name des Begünstigten,Ort,Bezeichnung des Vorhabens,Beginn des Vorhabens,Ende des Vorhabens,Gewährte öffentliche Beträge in EUR
"Alten- und Pflegezentren des Main-Kinzig-
Kreises gGmbH",Hanau,Qualifizierung in der Altenpflege,07.02.2011 , 01.07.2011,"11.004,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.09.2008 , 30.06.2009,"124.930,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.09.2008 , 31.12.2009,"271.168,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2008 , 31.12.2008,"186.358,00"
Arbeit und Bildung e.V.,Marburg,Fit für Ausbildung und Beruf (FAuB),01.08.2008 , 31.07.2009,"96.419,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.08.2008 , 31.12.2010,"680.748,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2009 , 31.12.2009,"206.358,00"
Arbeit und Bildung e.V.,Marburg,QuiT -Information und Transparenz,15.07.2009 , 28.02.2010,"20.000,00"
Arbeit und Bildung e.V.,Marburg,Fit für Ausbildung und Beruf (FAuB),01.08.2009 , 31.07.2010,"78.860,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.10.2009 , 31.07.2010,"88.619,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.12.2009 , 31.12.2010,"164.936,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.01.2011 , 31.12.2013,"223.989,00"
Arbeit und Bildung e.V.,Marburg,Impulse der Arbeitsmarktpolitik,06.05.2010 , 30.09.2010,"49.303,00"
Arbeit und Bildung e.V.,Marburg,Fit für Ausbildung und Beruf (FAuB),11.10.2010 , 31.08.2011,"53.158,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2010 , 31.12.2010,"210.091,00"
Arbeit und Bildung e.V.,Marburg,Qualifizierung von Beschäftigten in KMU,01.07.2010 , 29.02.2012,"275.400,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2011 , 31.12.2011,"212.007,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,20.07.2011 , 15.12.2011,"19.368,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.01.2012 , 31.12.2013,"330.046,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2012 , 31.12.2012,"179.389,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.12.2009 , 31.12.2010,"164.936,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.01.2011 , 31.12.2013,"223.989,00"
Arbeit und Bildung e.V.,Marburg,Impulse der Arbeitsmarktpolitik,06.05.2010 , 30.09.2010,"49.303,00"
Arbeit und Bildung e.V.,Marburg,Fit für Ausbildung und Beruf (FAuB),11.10.2010 , 31.08.2011,"53.158,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2010 , 31.12.2010,"210.091,00"
Arbeit und Bildung e.V.,Marburg,Qualifizierung von Beschäftigten in KMU,01.07.2010 , 29.02.2012,"275.400,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2011 , 31.12.2011,"212.007,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,20.07.2011 , 15.12.2011,"19.368,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.01.2012 , 31.12.2013,"330.046,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2012 , 31.12.2012,"179.389,00"
Arbeit und Bildung e.V.,Marburg,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2011 , 31.07.2012,"26.141,00"
Arbeit und Bildung e.V.,Marburg,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2012 , 31.07.2013,"26.090,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2013 , 31.12.2013,"164.300,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2014 , 31.12.2014,"163.200,00"
Arbeit und Bildung e.V.,Marburg,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2013 , 31.07.2014,"26.100,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.01.2014 , 31.12.2014,"166.900,00"
Arbeit und Bildung e.V.,Marburg,Impulse der Arbeitsmarktpolitik,01.03.2013 , 30.11.2014,"150.000,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,04.02.2014 , 02.12.2014,"72.800,00"
Arbeit und Bildung e.V.,Marburg,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2014 , 31.07.2015,"27.200,00"
Arbeit und Bildung e.V.,Marburg,Technische Hilfe,15.02.2014 , 30.09.2014,"72.600,00"
Arbeit und Bildung e.V.,Marburg,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2011 , 31.07.2012,"26.141,00"
Arbeit und Bildung e.V.,Marburg,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2012 , 31.07.2013,"26.090,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2013 , 31.12.2013,"164.300,00"
Arbeit und Bildung e.V.,Marburg,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2014 , 31.12.2014,"163.200,00"
Arbeit und Bildung e.V.,Marburg,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2013 , 31.07.2014,"26.100,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,01.01.2014 , 31.12.2014,"166.900,00"
Arbeit und Bildung e.V.,Marburg,Impulse der Arbeitsmarktpolitik,01.03.2013 , 30.11.2014,"150.000,00"
Arbeit und Bildung e.V.,Marburg,Perspektive II,04.02.2014 , 02.12.2014,"72.800,00"
Arbeit und Bildung e.V.,Marburg,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2014 , 31.07.2015,"27.200,00"
Arbeit und Bildung e.V.,Marburg,Technische Hilfe,15.02.2014 , 30.09.2014,"72.600,00"
"Arbeiterwohlfahrt Kreisverband Frankfurt
am Main e.V.",Frankfurt,Übergangsmanagement für Strafgefangene,01.01.2008 , 31.12.2008,"25.808,00"
"Arbeiterwohlfahrt Kreisverband Frankfurt
am Main e.V.",Frankfurt,Übergangsmanagement für Strafgefangene,01.01.2009 , 31.12.2009,"25.999,00"
"Arbeiterwohlfahrt Kreisverband Frankfurt
am Main e.V.",Frankfurt,Übergangsmanagement für Strafgefangene,01.01.2010 , 31.12.2010,"27.263,00"
"Arbeiterwohlfahrt Kreisverband Frankfurt
am Main e.V.",Frankfurt,Übergangsmanagement für Strafgefangene,01.01.2011 , 31.12.2011,"27.391,00"
"Arbeiterwohlfahrt Kreisverband Frankfurt
am Main e.V.",Frankfurt,Übergangsmanagement für Strafgefangene,01.01.2012 , 31.12.2012,"68.635,00"
"Arbeiterwohlfahrt Kreisverband Frankfurt
am Main e.V.",Frankfurt,Übergangsmanagement für Strafgefangene,01.01.2013 , 31.12.2013,"78.900,00"
"Arbeiterwohlfahrt Kreisverband Frankfurt
am Main e.V.",Frankfurt,Übergangsmanagement für Strafgefangene,01.01.2014 , 31.12.2014,"82.500,00"
"Arbeiterwohlfahrt Kreisverband Fulda-Stadt
und -Land e.V.",Fulda,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2008 , 31.12.2008,"166.384,00"
"Arbeiterwohlfahrt Kreisverband Fulda-Stadt
und -Land e.V.",Fulda,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2009 , 31.12.2009,"180.392,00"
"Arbeiterwohlfahrt Kreisverband Fulda-Stadt
und -Land e.V.",Fulda,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2010 , 31.12.2010,"176.800,00"
"Arbeiterwohlfahrt Kreisverband Frankfurt
am Main e.V.",Frankfurt,Übergangsmanagement für Strafgefangene,01.01.2008 , 31.12.2008,"25.808,00"
"Arbeiterwohlfahrt Kreisverband Frankfurt
am Main e.V.",Frankfurt,Übergangsmanagement für Strafgefangene,01.01.2009 , 31.12.2009,"25.999,00"
"Arbeiterwohlfahrt Kreisverband Frankfurt
am Main e.V.",Frankfurt,Übergangsmanagement für Strafgefangene,01.01.2010 , 31.12.2010,"27.263,00"
"Arbeiterwohlfahrt Kreisverband Frankfurt
am Main e.V.",Frankfurt,Übergangsmanagement für Strafgefangene,01.01.2011 , 31.12.2011,"27.391,00"
"Arbeiterwohlfahrt Kreisverband Frankfurt
am Main e.V.",Frankfurt,Übergangsmanagement für Strafgefangene,01.01.2012 , 31.12.2012,"68.635,00"
"Arbeiterwohlfahrt Kreisverband Frankfurt
am Main e.V.",Frankfurt,Übergangsmanagement für Strafgefangene,01.01.2013 , 31.12.2013,"78.900,00"
"Arbeiterwohlfahrt Kreisverband Frankfurt
am Main e.V.",Frankfurt,Übergangsmanagement für Strafgefangene,01.01.2014 , 31.12.2014,"82.500,00"
"Arbeiterwohlfahrt Kreisverband Fulda-Stadt
und -Land e.V.",Fulda,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2008 , 31.12.2008,"166.384,00"
"Arbeiterwohlfahrt Kreisverband Fulda-Stadt
und -Land e.V.",Fulda,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2009 , 31.12.2009,"180.392,00"
"Arbeiterwohlfahrt Kreisverband Fulda-Stadt
und -Land e.V.",Fulda,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2010 , 31.12.2010,"176.800,00"
"Arbeiterwohlfahrt Kreisverband Fulda-Stadt
und -Land e.V.",Fulda,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2011 , 31.12.2011,"212.854,00"
"Arbeiterwohlfahrt Kreisverband Fulda-Stadt
und -Land e.V.",Fulda,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2012 , 31.12.2012,"169.887,00"
"Arbeiterwohlfahrt Kreisverband Fulda-Stadt
und -Land e.V.",Fulda,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2013 , 31.12.2013,"174.999,00"
"Arbeiterwohlfahrt Kreisverband Fulda-Stadt
und -Land e.V.",Fulda,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2014 , 31.12.2014,"171.700,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in Partnerschaften,01.08.2008 , 31.01.2012,"813.529,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.08.2008 , 31.07.2010,"200.000,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2008 , 31.12.2008,"285.988,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.01.2008 , 31.07.2009,"167.555,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.08.2009 , 31.07.2011,"216.483,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in Partnerschaften,01.08.2009 , 31.01.2013,"776.712,00"
"Arbeiterwohlfahrt Kreisverband Fulda-Stadt
und -Land e.V.",Fulda,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2011 , 31.12.2011,"212.854,00"
"Arbeiterwohlfahrt Kreisverband Fulda-Stadt
und -Land e.V.",Fulda,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2012 , 31.12.2012,"169.887,00"
"Arbeiterwohlfahrt Kreisverband Fulda-Stadt
und -Land e.V.",Fulda,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2013 , 31.12.2013,"174.999,00"
"Arbeiterwohlfahrt Kreisverband Fulda-Stadt
und -Land e.V.",Fulda,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2014 , 31.12.2014,"171.700,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in Partnerschaften,01.08.2008 , 31.01.2012,"813.529,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.08.2008 , 31.07.2010,"200.000,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2008 , 31.12.2008,"285.988,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.01.2008 , 31.07.2009,"167.555,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.08.2009 , 31.07.2011,"216.483,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in Partnerschaften,01.08.2009 , 31.01.2013,"776.712,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2009 , 31.12.2009,"271.858,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2010 , 31.12.2010,"281.369,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.08.2010 , 31.07.2012,"134.250,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in Partnerschaften,01.08.2010 , 31.01.2014,"743.364,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2011 , 31.12.2011,"295.872,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.08.2011 , 31.07.2013,"259.400,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2012 , 31.12.2012,"187.332,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2013 , 31.12.2013,"187.800,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.08.2012 , 31.07.2014,"195.000,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2013 , 11.08.2014,"41.600,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2009 , 31.12.2009,"271.858,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2010 , 31.12.2010,"281.369,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.08.2010 , 31.07.2012,"134.250,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in Partnerschaften,01.08.2010 , 31.01.2014,"743.364,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2011 , 31.12.2011,"295.872,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.08.2011 , 31.07.2013,"259.400,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2012 , 31.12.2012,"187.332,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2013 , 31.12.2013,"187.800,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.08.2012 , 31.07.2014,"195.000,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2013 , 11.08.2014,"41.600,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.01.2015 , 31.07.2015,"56.400,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2014 , 31.12.2014,"191.500,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.08.2013 , 31.12.2014,"137.500,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2014 , 31.07.2015,"26.175,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2014 , 31.07.2015,"39.225,00"
"Arbeitsgemeinschaft Partnerschaft in der
Wirtschaft e.V. (AGP)",Kassel,Qualifizierung von Beschäftigten in KMU,01.11.2009 , 31.03.2011,"49.487,00"
"Arbeitskreis Gemeindenahe
Gesundheitsversorgung -AKGG gGmbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2011 , 31.07.2012,"11.114,00"
"Arbeitskreis Gemeindenahe
Gesundheitsversorgung -AKGG gGmbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2012 , 31.07.2013,"14.704,00"
"Arbeitskreis Gemeindenahe
Gesundheitsversorgung -AKGG gGmbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2013 , 31.07.2014,"26.000,00"
"Arbeitskreis Gemeindenahe
Gesundheitsversorgung -AKGG gGmbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2014 , 31.07.2015,"14.900,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.01.2015 , 31.07.2015,"56.400,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2014 , 31.12.2014,"191.500,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,Ausbildung in den Gesundheitsfachberufen,01.08.2013 , 31.12.2014,"137.500,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2014 , 31.07.2015,"26.175,00"
"Arbeitsförderungsgesellschaft im Landkreis
Kassel mbH (AGiL)",Wolfhagen,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2014 , 31.07.2015,"39.225,00"
"Arbeitsgemeinschaft Partnerschaft in der
Wirtschaft e.V. (AGP)",Kassel,Qualifizierung von Beschäftigten in KMU,01.11.2009 , 31.03.2011,"49.487,00"
"Arbeitskreis Gemeindenahe
Gesundheitsversorgung -AKGG gGmbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2011 , 31.07.2012,"11.114,00"
"Arbeitskreis Gemeindenahe
Gesundheitsversorgung -AKGG gGmbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2012 , 31.07.2013,"14.704,00"
"Arbeitskreis Gemeindenahe
Gesundheitsversorgung -AKGG gGmbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2013 , 31.07.2014,"26.000,00"
"Arbeitskreis Gemeindenahe
Gesundheitsversorgung -AKGG gGmbH",Kassel,"Eingliederung in die Berufs- und Arbeitswelt -
EIBE",01.08.2014 , 31.07.2015,"14.900,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,Ausbildung in der Migration,01.01.2008 , 28.02.2011,"175.409,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,Ausbildung in der Migration,01.08.2008 , 14.10.2011,"544.471,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2008 , 31.12.2008,"223.467,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,Ausbildung in der Migration,01.09.2009 , 31.07.2013,"840.218,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2009 , 31.12.2009,"246.788,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2011 , 31.12.2011,"219.139,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,Ausbildung in der Migration,01.09.2010 , 30.06.2014,"691.700,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2010 , 31.12.2010,"238.983,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2012 , 31.12.2012,"159.824,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2013 , 31.12.2013,"159.833,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,Ausbildung in der Migration,01.01.2008 , 28.02.2011,"175.409,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,Ausbildung in der Migration,01.08.2008 , 14.10.2011,"544.471,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2008 , 31.12.2008,"223.467,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,Ausbildung in der Migration,01.09.2009 , 31.07.2013,"840.218,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2009 , 31.12.2009,"246.788,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2011 , 31.12.2011,"219.139,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,Ausbildung in der Migration,01.09.2010 , 30.06.2014,"691.700,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2010 , 31.12.2010,"238.983,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2012 , 31.12.2012,"159.824,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2013 , 31.12.2013,"159.833,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2014 , 31.12.2014,"187.600,00"
"Ausbildungsverbund Rhöner Lebensmittel
e.V.",Hilders,Ausbildung in Partnerschaften,05.05.2008 , 31.07.2011,"41.453,00"
"Ausbildungsverbund Rhöner Lebensmittel
e.V.",Hilders,Ausbildung in Partnerschaften,18.05.2009 , 31.08.2012,"67.895,00"
"Ausbildungsverbund Rhöner Lebensmittel
e.V.",Hilders,Ausbildung in Partnerschaften,01.05.2010 , 31.08.2013,"63.346,00"
AWO Perspektiven gGmbH,Frankfurt am Main,Fit für Ausbildung und Beruf (FAuB),01.08.2008 , 31.07.2009,"114.825,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2008 , 31.12.2008,"104.166,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2008 , 31.12.2008,"138.827,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2009 , 31.12.2009,"101.394,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2009 , 31.12.2009,"134.414,00"
AWO Perspektiven gGmbH,Frankfurt am Main,Fit für Ausbildung und Beruf (FAuB),01.08.2009 , 31.07.2010,"113.721,00"
Ausbildungsverbund Metall gGmbH,Rüsselsheim,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2014 , 31.12.2014,"187.600,00"
"Ausbildungsverbund Rhöner Lebensmittel
e.V.",Hilders,Ausbildung in Partnerschaften,05.05.2008 , 31.07.2011,"41.453,00"
"Ausbildungsverbund Rhöner Lebensmittel
e.V.",Hilders,Ausbildung in Partnerschaften,18.05.2009 , 31.08.2012,"67.895,00"
"Ausbildungsverbund Rhöner Lebensmittel
e.V.",Hilders,Ausbildung in Partnerschaften,01.05.2010 , 31.08.2013,"63.346,00"
AWO Perspektiven gGmbH,Frankfurt am Main,Fit für Ausbildung und Beruf (FAuB),01.08.2008 , 31.07.2009,"114.825,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2008 , 31.12.2008,"104.166,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2008 , 31.12.2008,"138.827,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2009 , 31.12.2009,"101.394,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2009 , 31.12.2009,"134.414,00"
AWO Perspektiven gGmbH,Frankfurt am Main,Fit für Ausbildung und Beruf (FAuB),01.08.2009 , 31.07.2010,"113.721,00"
AWO Perspektiven gGmbH,Frankfurt am Main,Fit für Ausbildung und Beruf (FAuB),01.10.2010 , 31.07.2011,"84.673,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2011 , 30.06.2011,"62.254,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2011 , 31.12.2011,"128.711,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2010 , 31.12.2010,"118.983,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2010 , 31.12.2010,"152.409,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2012 , 31.12.2012,"160.884,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2013 , 31.12.2013,"111.000,00"
AWO Perspektiven gGmbH,Frankfurt am Main,"Qualifizierung und Beschäftigung junger
Menschen",01.01.2013 , 31.12.2013,"166.100,00"
