Name des Begünstigten/beneficiary name,Bezeichnung des Vorhabens/operation name,Zusammenfassung des Vorhabens/operation summary,Datum des Beginns des Vorhabens/operation start date,Datum des Endes des Vorhabens/operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens/total eligible expenditure allocated to the operation,Postleitzahl des Vorhabens/operation postcode,Land/country,Bezeichnung der Interventionskategorie für das Vorhaben/name of category of intervention for the operation,Spezifisches Ziel/specific objective,Internet-Adresse des Vorhabens/website of the operation
Hof Dinkelberg GmbH  ,Coaching,Förderprogramm Coaching 2015,11.09.2015,07.09.2016,"12.000,00",79650,Deutschland,106,A 5.1,www.hof-dinkelberg.de
Hofkonditorei Cafe Seelos  ,Coaching,Förderprogramm Coaching 2016,01.03.2016,31.10.2016,"9.000,00",72488,Deutschland,106,A 5.1,www.hofkonditorei-huthmacher.de
Hofkonditorei Cafe Seelos  ,Coaching,Förderprogramm Coaching 2015,26.05.2015,31.12.2015,"12.000,00",72488,Deutschland,106,A 5.1,www.marco-consulting.de
Hofmann GmbH  ,Coaching,Förderprogramm Coaching 2016,14.01.2016,31.12.2016,"9.000,00",88512,Deutschland,106,A 5.1,www.scania-hofmann.de
Hofmann Interflux GmbH  ,Coaching,Förderprogramm Coaching 2015,03.11.2015,31.03.2016,"12.000,00",73457,Deutschland,106,A 5.1,www.interflux.de
Hofmetzgerei Michael Greiss ,Coaching,Förderprogramm Coaching 2016,15.02.2016,14.02.2017,"9.000,00",72644,Deutschland,106,A 5.1,www.hofmetzgerei-greiss.de
Holger Schaufler  ,Coaching,Förderprogramm Coaching 2015,26.06.2015,26.06.2016,"12.000,00",73235,Deutschland,106,A 5.1,www.stuckateur-schaufler.de
Holzapfel GmbH  ,Coaching,Förderprogramm Coaching 2016,05.04.2016,31.03.2017,"9.000,00",71083,Deutschland,106,A 5.1,www.fromagerie-holzapfel.de
Holzland Disam GmbH  ,Coaching,Förderprogramm Coaching 2016,19.04.2016,14.04.2017,"9.000,00",73529,Deutschland,106,A 5.1,www.holzland-disam.de
Holzland Disam GmbH  ,Coaching,Förderprogramm Coaching 2015,29.10.2015,29.10.2016,"12.000,00",73529,Deutschland,106,A 5.1,www.holzland-disam.de
Hommel + Keller Präzisionswerkzeuge GmbH ,Coaching,Förderprogramm Coaching 2016,21.03.2016,31.12.2016,"7.200,00",78554,Deutschland,106,A 5.1,www.hommel-keller.de
Horst Fichter  ,Coaching,Förderprogramm Coaching 2015,14.10.2015,14.10.2016,"12.000,00",78112,Deutschland,106,A 5.1,www.horst-fichter.de
Hotel Donaublick Inh. Manuela Kiemer ,Coaching,Förderprogramm Coaching 2015,11.11.2015,30.04.2016,"8.000,00",72516,Deutschland,106,A 5.1,www.donaublick.de
Hotel Graf Eberhard GmbH & Co. KG ,Coaching,Förderprogramm Coaching 2015,12.05.2015,11.05.2016,"12.000,00",72574,Deutschland,106,A 5.1,www.hotel-graf-eberhard.de
Hotel Restaurant Rebstock Y. Yetis ,Coaching,Förderprogramm Coaching 2015,26.10.2015,30.05.2016,"12.000,00",88512,Deutschland,106,A 5.1,www.hotel-rebstock-mengen.de
Huber GmbH  ,Coaching,Förderprogramm Coaching 2016,15.03.2016,14.03.2017,"9.000,00",76473,Deutschland,106,A 5.1,www.huber-hks.de
Huber GmbH  ,Coaching,Förderprogramm Coaching 2015,24.03.2015,23.09.2016,"12.000,00",76473,Deutschland,106,A 5.1,www.huber-hks.de
Hubert & Benjamin Straub GbR Sägewerk & Holzhandlung,Coaching,Förderprogramm Coaching 2015,13.04.2015,13.04.2016,"2.400,00",78052,Deutschland,106,A 5.1,www.rkw-bw.de
Hyprostatik Schönfeld GmbH  ,Coaching,Förderprogramm Coaching 2015,09.11.2015,08.11.2016,"12.000,00",73035,Deutschland,106,A 5.1,www.hyprostatik.de
Härtetechnik Conz & Straßer GmbH ,Coaching,Förderprogramm Coaching 2016,02.05.2016,01.05.2017,"9.000,00",78549,Deutschland,106,A 5.1,www.conz-strasser.de
Häussermann Lamellen GmbH ,Coaching,Förderprogramm Coaching 2016,17.02.2016,17.02.2017,"9.000,00",73733,Deutschland,106,A 5.1,www.haussermann.com
Häussler Medizin- und Rehatechnik GmbH ,Coaching,Förderprogramm Coaching 2015,27.04.2015,27.04.2016,"12.000,00",89081,Deutschland,106,A 5.1,www.haessler-ulm.de
Häussler Technische Orthopädie GmbH ,Coaching,Förderprogramm Coaching 2015,19.11.2015,19.11.2016,"12.000,00",89081,Deutschland,106,A 5.1,www.haeussler-ulm.de
I H P Services GmbH  ,Coaching,Förderprogramm Coaching 2016,15.01.2016,21.12.2016,"9.000,00",74744,Deutschland,106,A 5.1,www.ihp-dienstleistungen.de
IBK Kober  ,Coaching,Förderprogramm Coaching 2015,01.12.2015,01.12.2016,"12.000,00",72639,Deutschland,106,A 5.1,www.ib-kober.eu
IHK Bodensee-Oberschwaben ,Fachkurse,Förderprogramm Fachkurse 2015/2016,20.09.2015,31.07.2016,"503.056,00",88250,Deutschland,106,A 5.1,www.weingarten.ihk.de
IHK Nordschwarzwald  ,Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,31.08.2016,"918.073,00",75179,Deutschland,106,A 5.1,www.nordschwarzwald.ihk24.de
IHK Nordschwarzwald  ,KMU-Nachfolge,Moderation von Unternehmensnachfolgen in kleinen und mittleren Unternehmen,01.10.2015,30.09.2018,"253.345,00",75173,Deutschland,106,A 5.1,www.nordschwarzwald.ihk24.de
IHK Nordschwarzwald  ,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,31.08.2015,"103.515,00",75179,Deutschland,106,A 5.1,www.nordschwarzwald.ihk24.de
IHK Region Stuttgart ,Migranten+B.Bildung,"I-TEbB+ : Ziel ist es, mehr Jugendliche mit Migrationshintergrund über muttersprachliche und kultursensible Beratungen der Eltern für eine berufliche Ausbildung zu motivieren sowie die Eltern über eigene Weiterbildungsmöglichkeiten zu informieren",01.05.2015,30.04.2018,"199.640,00",70174,Deutschland,106,A 5.1,www.stuttgart.ihk24.de
IHK Reutlingen  ,KMU-Nachfolge,Moderation von Unternehmensnachfolgen in kleinen und mittleren Unternehmen,01.10.2015,30.09.2018,"228.890,53",72762,Deutschland,106,A 5.1,www.reutlingen.ihk.de
IHK Rhein-Neckar ,KMU-Nachfolge,Moderation von Unternehmensnachfolgen in kleinen und mittleren Unternehmen,01.10.2015,30.09.2018,"289.800,00",68161,Deutschland,106,A 5.1,www.rhein-neckar.ihk24.de
IHK Schwarzwald-Baar-Heuberg ,Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,31.08.2016,"893.281,97",78050,Deutschland,106,A 5.1,www.schwarzwald-baar-heuberg.ihk.de
IHK Schwarzwald-Baar-Heuberg ,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,31.08.2015,"151.607,00",78050,Deutschland,106,A 5.1,www.ihk-vs.de
IHK Ulm ,KMU-Nachfolge,Moderation von Unternehmensnachfolgen in kleinen und mittleren Unternehmen,01.10.2015,30.09.2018,"243.048,61",89073,Deutschland,106,A 5.1,www.ulm.ihk24.de
IHK Ulm ,KooBO TP9,"Berufsorientierung
     Das Projekt setzt sich aus verschiedenen Bausteinen zur Entwicklung von Berufswahlkompetenzen zusammen. Ein Schwerpunkt liegt bei der Entwicklung von sozialen, met. und fachlichen Kompetenzen in der Arbeit an praxisbezogenen Projek",22.06.2015,31.07.2017,"380.100,00",89073,Deutschland,118,C 4.1,www.ulm.ihk24.de
IHK-Bildungshaus der Region Stuttgart ,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,31.08.2015,"260.929,70",73630,Deutschland,106,A 5.1,www.ihk-bildungshaus.de
IHK-Bildungshaus der Region Stuttgart ,Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,21.02.2017,"834.670,00",73630,Deutschland,106,A 5.1,www.ihk-bildungshaus.de
IHK-Bildungszentrum Karlsruhe GmbH ,Fachkurse,Förderprogramm Fachkurse 2015-2016,04.09.2015,09.12.2016,"642.830,00",76133,Deutschland,106,A 5.1,www.ihk-biz.de
IHK-Bildungszentrum Karlsruhe GmbH ,Fachkurse,Förderprogramm Fachkurse 2015,03.01.2015,27.02.2016,"197.107,00",76133,Deutschland,106,A 5.1,www.ihk-biz.de
IHK-Bildungszentrum südlicher Oberrhein GmbH ,Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,31.08.2016,"931.725,00",77652,Deutschland,106,A 5.1,www.ihk-bz.de
IHK-Bildungszentrum südlicher Oberrhein GmbH ,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,31.08.2015,"252.432,50",77652,Deutschland,106,A 5.1,www.ihk-bz.de
IHK-Exportakademie GmbH  ,Fachkurse,Förderprogramm Fachkurse 2015,01.03.2015,31.08.2015,"44.580,00",70174,Deutschland,106,A 5.1,www.ihk-exportakademie.de
IHK-Exportakademie GmbH  ,Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,31.08.2016,"118.980,00",70174,Deutschland,106,A 5.1,www.ihk-exportakademie.de
IMASS Deutschland Inh. Peter Fausel ,Coaching,Förderprogramm Coaching 2015,30.03.2015,31.12.2015,"4.000,00",73457,Deutschland,106,A 5.1,www.imass.de
IN VIA Kath.Verb.f. Mädchen u. Frauensozialarbeit i.d. Erzdiözese Freiburg e.V.,IMA Offenburg,IMA Offenburg - Integration von Migrantinnen in den Arbeitsmarkt,01.01.2015,31.12.2015,"98.904,38",77652,Deutschland,109,B 1.1,www.invia-freiburg.de
IN VIA Kath.Verb.f. Mädchen u. Frauensozialarbeit i.d. Erzdiözese Freiburg e.V.,IMA 2.0,"IMA 2.0 in Offenburg fördert die Integration von Migrantinnen in den Arbeitsmarkt, Fortsetzung und Weiterentwicklung des Projektes IMA",01.01.2016,31.12.2016,"121.001,56",77652,Deutschland,109,B 1.1,www.invia-freiburg.de
IN VIA Kath.Verb.f. Mädchen u. Frauensozialarbeit i.d. Erzdiözese Freiburg e.V.,Start4job2016,Start4job2016 - junge Flüchtlinge in Ausbildung,01.02.2016,31.01.2018,"207.733,19",77656,Deutschland,103,A 2.1,www.invia-freiburg.de
IN VIA Kath.Verb.f. Mädchen u. Frauensozialarbeit i.d. Erzdiözese Freiburg e.V.,FriedA,FriedA - Frauen integrieren sich engagiert in den Arbeitsmarkt,01.01.2016,31.12.2016,"106.036,37",79741,Deutschland,109,B 1.1,www.invia-freiburg.de
IN VIA Kath.Verb.f. Mädchen u. Frauensozialarbeit i.d. Erzdiözese Freiburg e.V.,PbI 2015,PbI - Projekt zur beruflichen Integration von Frauen,01.01.2015,31.12.2015,"107.600,00",79713,Deutschland,109,B 1.1,www.invia-freiburg.de
IN VIA Kath.Verb.f. Mädchen u. Frauensozialarbeit i.d. Erzdiözese Freiburg e.V.,MiA II,MiA II - Migrantinnen integrieren sich in den Arbeitsmarkt II / Fortsetzung des Projektes MiA,01.01.2016,31.12.2017,"211.680,00",76530,Deutschland,109,B 1.1,www.invia-freiburg.de
IN VIA Kath.Verb.f. Mädchen u. Frauensozialarbeit i.d. Erzdiözese Freiburg e.V.,Ab jetzt! II 2017,"""Ab jetzt! II Alleinerziehende ohne Berufsausbildung starten mit TZA in den Beruf"" zielt auf die Integration von alleinerz. Arbeitslosen ohne Berufsausbildung in Ausbildung durch Einzelcoaching, Gruppenangebote, Seminare. Gesamtprojekt 2015 bis 2017",01.01.2017,31.12.2017,"559.399,88",76530,Deutschland,103,A 2.1,www.invia-freiburg.de
IN VIA Kath.Verb.f. Mädchen u. Frauensozialarbeit i.d. Erzdiözese Freiburg e.V.,Ab jetzt! II 2016 ,"""Ab jetzt! II Alleinerziehende ohne Berufsausbildung starten mit TZA in den Beruf"" zielt auf die Integration von alleinerz. Arbeitslosen ohne Berufsausbildung in Ausbildung durch Einzelcoaching, Gruppenangebote, Seminare.
         Gesamtprojekt 2015 bis 2",01.01.2016,31.12.2016,"554.115,53",76530,Deutschland,103,A 2.1,www.invia-freiburg.de
IN VIA Kath.Verb.f. Mädchen u. Frauensozialarbeit i.d. Erzdiözese Freiburg e.V.,Ab jetzt! II 2015,"""Ab jetzt! II Alleinerziehende ohne Berufsausbildung starten mit TZA in den Beruf"" zielt auf die Integration von alleinerz. Arbeitslosen ohne Berufsausbildung in Ausbildung durch Einzelcoaching, Gruppenangebote, Seminare.

Gesamtprojekt 2015 bis 2017",01.01.2015,31.12.2015,"548.157,23",76530,Deutschland,103,A 2.1,www.invia-freiburg.de
IN VIA Kath.Verb.f. Mädchen u. Frauensozialarbeit i.d. Erzdiözese Freiburg e.V.,MIA 2015,MIA - Migrantinnen integrieren sich in den Arbeitsmarkt,01.01.2015,31.12.2015,"105.839,17",76530,Deutschland,109,B 1.1,www.invia-freiburg.de
INITIAL Initiative ehem. arbeitss. Lehrer + Lehrerinnen e.V.,Café Initial 2015,Café Initial,01.01.2015,31.12.2015,"297.476,13",76137,Deutschland,109,B 1.1,www.initial-karlsruhe.de
INITIAL Initiative ehem. arbeitss. Lehrer + Lehrerinnen e.V.,Cafe Inital 2016,Im Lernrestaurant werden langzeitarbeitslose Migrantinnen ausgebildet oder trainiert ( im Bereich Gastronomie).,01.01.2016,31.12.2016,"271.039,21",76137,Deutschland,109,B 1.1,www.initial-karlsruhe.de
INITIAL Initiative ehem. arbeitss. Lehrer + Lehrerinnen e.V.,Kompetenzwerkstatt,"BeraterInnen bieten jungen Erwachsenen mit psychischen Beeinträchtigungen und/oder Suchtproblematik die Möglichkeit an persönliche Anliegen zu klären. Junge Erwachsene werden motiviert, trainiert, ""nachbeeltert"" und stabilisiert.",01.01.2016,31.12.2016,"311.107,80",76137,Deutschland,109,B 1.1,www.initial-karlsruhe.de
INITIAL Initiative ehem. arbeitss. Lehrer + Lehrerinnen e.V.,Der grüne Kompass,Der grüne Kompass,01.01.2015,31.12.2015,"342.249,83",76228,Deutschland,109,B 1.1,www.initial-karlsruhe.de
INNOFACE GmbH  ,Coaching,Förderprogramm Coaching 2016,15.04.2016,14.04.2017,"9.000,00",76133,Deutschland,106,A 5.1,www.innoface.de
INNOFACE GmbH  ,Coaching,Förderprogramm Coaching 2015,25.08.2015,21.08.2016,"12.000,00",76133,Deutschland,106,A 5.1,www.innoface.de
IRES Infrarot Energie Systeme GmbH ,Coaching,Förderprogramm Coaching 2015,01.05.2015,31.07.2015,"12.000,00",76275,Deutschland,106,A 5.1,www.ires-gmbh.de
ISO Industrie Service Odenwald gGmbH,ArbeitInklusiv 15-16,"Arbeit inklusiv 2015/2016 Training für psychisch kranke und schwerbehinderte Langzeitarbeitslose im modularem System in den Bereichen Industriedienstleistung, Gartenbau und Gastronomie /Tourismus",01.01.2015,31.12.2016,"206.565,44",74821,Deutschland,109,B 1.1,www.iso-mosbach.de
ITV Service GmbH für Industrietor- und Verladesysteme,Coaching,Förderprogramm Coaching 2015,15.04.2015,15.04.2016,"12.000,00",88364,Deutschland,106,A 5.1,www.itv-service.de
Igogo Reittherapie & Lehrinstitut Petra Meisel,Fachkurse,Förderprogramm Fachkurse 2015,23.02.2015,23.09.2016,"93.000,00",78269,Deutschland,106,A 5.1,www.igogo.de
Igogo Reittherapie & Lehrinstitut Petra Meisel,Fachkurse,Förderprogramm Fachkurse 2016/2017,15.02.2016,31.12.2017,"106.950,00",78269,Deutschland,106,A 5.1,www.igogo.de
ImmerSight GmbH  ,Coaching,Förderprogramm Coaching 2015,02.07.2015,30.06.2016,"12.000,00",89081,Deutschland,106,A 5.1,www.immersight.de
Immo-Aktiv  ,Coaching,Förderprogramm Coaching 2015,01.11.2015,31.10.2016,"12.000,00",75172,Deutschland,106,A 5.1,www.immoaktiv.biz
Immobilien Gass Inh. Valentina Gass ,Coaching,Förderprogramm Coaching 2015,01.10.2015,30.09.2016,"12.000,00",72172,Deutschland,106,A 5.1,www.gass-immo.com
InFö e.V.  ,Altenpflege 2016,"Altenpflege 2016- Älterwerden in der ""Fremde"" Beschäftigungsperspektiven für Migrantinnen. Praktikum/AGH für arbeitssuchende Migrantinnen und Qualifizierung für den Beruf der Altenpflege.",01.01.2016,31.12.2016,"78.843,70",72070,Deutschland,109,B 1.1,.
InFö e.V.  ,Kulturs. Altenpflege,Kulturs. Altenpflege - Beschäftigung von Migrantinnen in der Altenpflege.,01.01.2015,31.12.2015,"51.851,18",72070,Deutschland,109,B 1.1,.
Industrie + Werkschutz Brandstetter GmbH ,Coaching,Förderprogramm Coaching 2015,01.10.2015,30.04.2016,"9.600,00",72336,Deutschland,106,A 5.1,www.brandstetter-werkschutz.de
Industrie- und Handelskammer Hochrhein-Bodensee,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,31.08.2015,"92.270,00",79650,Deutschland,106,A 5.1,www.konstanz.ihk.de
Industrie- und Handelskammer Hochrhein-Bodensee,Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,31.08.2016,"353.420,00",79650,Deutschland,106,A 5.1,www.konstanz.ihk.de
Infopulse GmbH  ,Coaching,Förderprogramm Coaching 2015,17.06.2015,31.12.2015,"12.000,00",74405,Deutschland,106,A 5.1,www.infopulse.de
Ingenieurbüro Klaus Suhm ,Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,31.08.2016,"393.300,00",71126,Deutschland,106,A 5.1,www.suhm.info
Ingenieurbüro R. Großmann GmbH & Co. KG ,Coaching,Förderprogramm Coaching 2015,30.09.2015,30.09.2016,"8.000,00",73342,Deutschland,106,A 5.1,www.grossmann-germany.com
Innovat GmbH  ,Coaching,Förderprogramm Coaching 2016,21.04.2016,31.03.2017,"9.000,00",77963,Deutschland,106,A 5.1,www.innovat-gmbh.de
Innovative Food Solutions GmbH & Co. KG ,Coaching,Förderprogramm Coaching 2015,30.11.2015,14.11.2016,"12.000,00",78467,Deutschland,106,A 5.1,www.innovative-food-solutions.com
Instaffo GmbH  ,Coaching,Förderprogramm Coaching 2016,21.03.2016,30.09.2016,"9.000,00",69120,Deutschland,106,A 5.1,www.instaffo.de
Institut Fortbildung Bau Architektenkammer Baden-Württemberg,Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,31.08.2016,"776.510,00",70182,Deutschland,106,A 5.1,www.ifbau.de
Institut Fortbildung Bau Architektenkammer Baden-Württemberg,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,30.09.2015,"182.902,00",70182,Deutschland,106,A 5.1,www.ifbau.de
Institut fakt.ori Volker Lehmann ,ALLEZ - Los geht's,"Mit dem Programm ALLEZ, Alphabetisierung und Grundbildung wird Betroffenen ein niederschwelliges Programm angeboten, um literale Defizite aufzuarbeiten sowie fehlende Grundbildung aufzubauen.",01.09.2015,31.08.2018,"149.753,91",89077,Deutschland,106,A 5.1,.
Institut fakt.ori Volker Lehmann ,Step by Step,"Step by Step steht für ein Entwicklungsangebot, das Menschen mit vielfältigen Vermittlungsproblemen und Benachteiligungen bei der ""schrittweise"" Stabilisierung und beim Aufbau ihrer Beschäftigungsfähigkeit unterstützt und intensiv begleitet.",07.01.2015,22.12.2015,"98.319,22",89077,Deutschland,109,B 1.1,.
Institut fakt.ori Volker Lehmann ,shuttleProgramm,"shuttle steht als Zubringer in berufliche u. schulische Ausbildung u. Qualifizierung, für junge Menschen, besonders auch Migranten, die von konventionellen Angeboten nicht erreicht werden.",11.01.2016,21.12.2016,"100.811,75",89077,Deutschland,115,C 1.1,.
Institut für Controlling Prof. Dr. Ebert GmbH ,Fachkurse,Förderprogramm Fachkurse 2015,01.03.2015,31.08.2015,"1.500,00",72622,Deutschland,106,A 5.1,www.ifc-ebert.de
Institut für Controlling Prof. Dr. Ebert GmbH ,Fachkurse,Förderprogramm Fachkurse 2015-2016,01.09.2015,31.08.2016,"266.070,00",72622,Deutschland,106,A 5.1,www.ifc-ebert.de
Institut für Forschung und Entwicklung zum lebenslangen Lernen e.V.,Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,31.08.2016,"224.900,00",70376,Deutschland,106,A 5.1,www.ill-stuttgart.de
Institut für Forschung und Entwicklung zum lebenslangen Lernen e.V.,Fachkurse,Förderprogramm Fachkurse 2015,23.02.2015,25.07.2015,"57.698,00",70376,Deutschland,106,A 5.1,www.ill-stuttgart.de
Institut für Fortbildung und Projektmanagement,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,31.08.2015,"14.800,00",79098,Deutschland,106,A 5.1,www.ifpro.de
Institut für Fortbildung und Projektmanagement,Fachkurse,Förderprogramm Fachkurse 2015/2016,01.09.2015,31.08.2016,"98.760,00",79098,Deutschland,106,A 5.1,www.ifpro.de
Institut für Management und Kommunikation Dr. Sturz GmbH,Coaching,Förderprogramm Coaching 2015,11.05.2015,11.05.2016,"12.000,00",72766,Deutschland,106,A 5.1,www.imk-sturz.de
InterHostel GmbH  ,Coaching,Förderprogramm Coaching 2015,01.04.2015,31.12.2015,"4.000,00",70178,Deutschland,106,A 5.1,www.inter-hostel.com
Interkulturelles Bildungszentrum Mannheim gGmbH,Migranten+B.Bildung,"Eltern mit Migrationshintergrund werden als Berufswahlhelfer ihrer Kinder gewonnen, für (eigene) berufliche Weiterbildung sensibilisiert und Jugendliche werden durch ihre Eltern für eine berufliche Ausbildung motiviert",01.05.2015,30.04.2018,"309.908,18",68159,Deutschland,106,A 5.1,www.ikubiz.de
Interkulturelles Bildungszentrum Mannheim gGmbH,IndieA 2015,"IndieA 2015 - In die Ausbildung begleiten
     Individuelle Begleitung von Schulabgänger/innen mit besonderem Unterstützungsbedarf in Schulen des Sozialraumtyps 5 und gendersensible Erweiterung des Berufswahlspektrums ausgewählter Schüler/innen",01.01.2015,31.12.2015,"99.225,20",68169,Deutschland,115,C 1.1,www.ikubiz.de
Interkulturelles Bildungszentrum Mannheim gGmbH,Kompakt,"Coaching, Förderung der Ausbildungsreife und Verhinderung eines Abgangs ohne Hauptschulabschluss für Abangsschüler/innen besonders belasteter WRS in Ergänzung zu den Ausbildungslots/innen im Übergangsmanagement der Stadt Mannheim.",01.01.2016,31.12.2016,"80.000,00",68169,Deutschland,115,C 1.1,.
Internationaler Bund (IB) Verbund Baden ,BKF-Betreuung 2016,"""Sozialpädagogische Begleitung von alleinerziehenden Frauen in einer Teilzeit-Umschulung zur Bürokauffrau"" : Ziel ist die Vermeidung von Abbrüchen, Förderung der soz. und pers. Kompetenzen mit dem Ziel der Eingliederung in den Arbeitsmarkt.",01.01.2016,31.12.2016,"118.080,43",68163,Deutschland,109,B 1.1,.
Internationaler Bund (IB) Verbund Baden ,BETRA-S 2016,"BETRA-S Weinheim: TN sollen erfahren, dass tägliche Präsenz & gesundheitsorientierte-, beschäftigungs- und tagesstrukturierende Instrumente langfristig eine Lebens- & Arbeitsperspektive & eine Integration in den ermöglichen können.",01.01.2016,31.12.2016,"160.500,00",69469,Deutschland,109,B 1.1,www.internationaler-bund.de
Internationaler Bund (IB) Verbund Baden ,BKF-Betreuung 2015,"Sozialpädagogische Begleitung von alleinerziehenden Frauen in einer Teilzeit-Umschulung zur Bürokauffra: Ziel ist die Vermeidung von Abbrüchen, Förderung der soz. und pers. Kompetenzen mit dem Ziel der Eingliederung in den Arbeitsmarkt.",01.01.2015,31.12.2015,"118.964,63",68163,Deutschland,109,B 1.1,www.internationaler-bund.de
Internationaler Bund (IB) Verbund Baden ,Schülercoaching 2015,Schülercoaching - Es sollen Schulabrüche vermieden u. die Ausbildungsfähigkeit verbessert werden sowie die Berufswahl durch theoretisch- und praxisrelevante Einheiten stabilisiert werden u. ggf. im Übergang Schule-Beruf unterstützen.,01.03.2015,31.12.2015,"50.000,00",68239,Deutschland,115,C 1.1,.
Internationaler Bund (IB) Verbund Baden ,VAB O Betreuung 2016,VAB O Betreuung 2016,01.01.2016,31.08.2016,"38.809,89",68163,Deutschland,115,C 1.1,.
Internationaler Bund (IB) Verbund Baden ,ARGES Plus 2015,"""Arbeit im gesunden System Weinheim""
    widmet sich dem Zusammenhand von Arbeitslosigkeit und Krankheit in wechselseitiger Beziehung mit Zielen einer geregelten Tagesstruktur, gesundheitsbewusstem Lebensstil sowie Integration in Beschäftigung.",01.01.2015,31.12.2015,"108.000,00",69469,Deutschland,109,B 1.1,www.internationaler-bunde.de
Internationaler Bund (IB) Verbund Baden ,Berufswege-Plan 2016,"Berufswege-Plan 2016 -Es handelt sich um die sozial-pädagogische Begleitung berufsschulpflichtiger Jugendlicher, die aufgrund ihrer persönlichen Situation und schulischer Ausstattung das VAB oder die zweijährige Berufsfachschule besuchen.",01.01.2016,31.12.2016,"182.518,00",75173,Deutschland,115,C 1.1,www.internationaler-bund.de
Internationaler Bund (IB) e.V. IB Süd,Migranten+B.Bildung,"Basariya Giden Yol: Durch aufsuchende Beratung, bedarfsorientiertes Integrationscoaching und Netzwerkarbeit informieren muttersprachliche Berufswerber türkischstämmige Jugendliche und Familien über duale Ausbildung",01.05.2015,30.04.2017,"185.564,71",71332,Deutschland,106,A 5.1,www.internationaler-bund.de
Internationaler Bund (IB) e.V. IB Süd,KooBO TP1,"KooBo

     In Zusammenarbeit mit beruflichen Partnern & Arbeitsagenturen erlangen Schülerinnen anhand eigener Schülerprojekte und berufsorientierender Bausteine allgemeine wie spezifische Berufsorientierung, Kompetenzen und praktische Erfahrungen.",22.06.2015,31.07.2017,"415.755,14",70180,Deutschland,118,C 4.1,www.internationaler-bund.de
Internationaler Bund (IB) e.V. IB Süd,Neue Chancen 2.0,"Neue Chancen 2.0
       Verschiedene Module wie Einzelbetreuung, kreativ-soziale Angebote, Berufs- und Lerncoaching sowie Praktikumsbegleitung vermitteln Kompetenzen für einen erfolgreichen Schulabschluss und die Integration in Ausbildung und Arbeit.",01.01.2016,31.12.2017,"359.688,44",74074,Deutschland,115,C 1.1,www.internationaler-bund.de
Internationaler Bund (IB) e.V. IB Süd,Neue Chancen,"Neue Chancen
    Verschiedene Module wie Einzelbetreuung, kreativ-soziale Angebote, Berufs- und Lerncoaching sowie Praktikumsbegleitung vermitteln Kompetenzen für einen erfolgreichen Schulabschluss und die Integration in Ausbildung und Arbeit",01.01.2015,31.12.2015,"158.434,00",74074,Deutschland,115,C 1.1,www.internationaler-bund.de
Internationaler Bund (IB) e.V. IB Süd,KooBO TP3,"KooBO
     
     In Zusammenarbeit mit beruflichen Partnern & Arbeitsagenturen erlangen SchülerInnen anhand eigener Schülerprojekte und berufsorientiernder Bausteine allgemeine wie spezifische Berufsorientierung, Kompetenzen und praktische Erfahrungen",22.06.2015,31.07.2017,"373.639,80",71679,Deutschland,118,C 4.1,www.internationaler-bund.de
Internationaler Bund für Sozialarbeit e.V. Bildungszentrum Mannheim,Berufswege-Plan 2015,"Berufswege-Plan 2015

     Es handelt sich um die sozialpädagogische Begleitung berufsschulpflichtiger Jugendlicher, die aufgrund ihrer persönlicher Situation und schulischer Ausstattung das VAB oder die zweijährige Berufsfachschule besuchen.",01.08.2015,31.12.2015,"69.187,36",75173,Deutschland,115,C 1.1,www.internationaler-bund.de
Intrinex GmbH  ,Coaching,Förderprogramm Coaching 2015,06.05.2015,01.04.2016,"5.600,00",79102,Deutschland,106,A 5.1,www.intrinex.de
J-Force GmbH  ,Coaching,Förderprogramm Coaching 2015,01.12.2015,01.12.2016,"12.000,00",70597,Deutschland,106,A 5.1,www.j-force.de
J.G. Anschütz GmbH & Co.KG  ,Coaching,Förderprogramm Coaching 2015,15.04.2015,31.12.2015,"12.000,00",89079,Deutschland,106,A 5.1,www.anschuetz-sport.com
J.K.F. GmbH & Co. KG Kübler Filtrationstechnik ,Coaching,Förderprogramm Coaching 2015,01.04.2015,01.04.2016,"12.000,00",75177,Deutschland,106,A 5.1,www.jkf-kuebler.com
JACQ GmbH  ,Coaching,Förderprogramm Coaching 2015,15.06.2015,31.12.2016,"12.000,00",68159,Deutschland,106,A 5.1,www.jacq.shoes
