Zuwendungsempfänger,Projekt,Beginn,Ende,"bereitgestellte
öffentliche Mittel","davon bewilligter
EU-Betrag","bei Abschluss des
Vorhabens
gezahlte
Gesamtbeträge"
GSM Training & Integration GmbH,Come in,01-Mrz-09,31-Dez-13,"8.632.066,73","5.845.614,85",
Hamburg Innovation GmbH,Pro Exzellenzia,01-Sep-10,31-Dez-13,"2.001.759,66","1.001.980,58",
Hamburg Kreativ GmbH,Coach- und Expertenpool für die Kreativwirtschaft,15-Aug-12,31-Aug-14,"281.106,46","125.956,46",
Hamburg Plus gGmbH,Migranten schaffen noch mehr Jobs,01-Jan-08,31-Dez-10,,,"633.385,43"
Hamburger Arbeit - Beschäftigungsgesellschaft mbH,Beratung Berufliche Weiterbildung für KMU,01-Dez-10,30-Nov-12,,,"283.129,04"
Hamburger Arbeit - Beschäftigungsgesellschaft mbH,Bergedorfer Kompetenz-Netzwerk,01-Mrz-09,28-Feb-11,,,"241.216,69"
Hamburger Arbeit - Beschäftigungsgesellschaft mbH,Servicecenter Hamburger Modell,01-Dez-09,29-Feb-12,,,"491.313,78"
Hamburger Informatik Technologie-Center e.V.,Home Office 2.0,01-Sep-11,31-Aug-13,"680.245,72","292.534,13",
Hamburger Institut für berufliche Bildung,AVDual,01-Aug-11,31-Dez-13,"21.693.582,06","9.002.192,15",
Hamburger Institut für berufliche Bildung,Servicestelle Zukunft: Berufs- und Studienwelt,01-Mai-13,31-Dez-14,"439.566,10","132.844,26",
Hamburger Institut für Personalentwicklung e.V.,TechnikMentoring Schülerinnen,01-Feb-08,28-Feb-11,,,"258.328,09"
Hamburgisches Weltwirtschaftsinstitut gGmbH,Servicestelle für KMU: Marktzutritt Indien,01-Okt-10,30-Sep-13,"284.743,72","172.029,72",
Handwerkskammer Hamburg,Anpassungsqualifizierungen im Handwerk,01-Mai-12,31-Dez-14,"1.203.015,64","511.141,20",
Handwerkskammer Hamburg,Außenwirtschaftsberatung,01-Jan-08,31-Dez-10,,,"214.246,58"
Handwerkskammer Hamburg,Beratungsteam Elbinselhandwerk,01-Mrz-09,29-Feb-12,,,"386.249,77"
Handwerkskammer Hamburg,Die Chance - Berufsabschluss im Handwerk,01-Mai-12,30-Apr-14,"1.318.569,66","298.246,83",
Handwerkskammer Hamburg,Inno Werkstatt,01-Mrz-09,31-Dez-10,,,"107.634,68"
Handwerkskammer Hamburg,Innovationsagentur,01-Jan-08,31-Dez-10,,,"562.526,79"
Handwerkskammer Hamburg,InnovationsWerkstatt Handwerk,01-Jan-11,31-Dez-12,,,"450.509,56"
Handwerkskammer Hamburg,Mehr Integration durch Ausbildung im Handwerk MIAH,01-Jul-10,31-Dez-13,"622.163,63","312.182,57",
Handwerkskammer Hamburg,Serviceagentur ANSCHLUSS HANDWERK,01-Dez-09,31-Dez-13,"1.570.461,24","786.331,37",
Handwerkskammer Hamburg,Übergabelotse,01-Jan-08,31-Dez-09,,,"243.031,16"
Handwerkskammer Hamburg,ZEWU mobil,01-Feb-08,31-Jan-11,,,"638.830,17"
Handwerkskammer Hamburg,ZEWUmobilplus – Lotsen für Energieeffizienz,01-Feb-11,31-Dez-13,"783.215,63","388.453,84",
Handwerkskammer Hamburg,Zukunftsmarkt Handwerk 50 plus,01-Jan-08,31-Dez-09,,,"267.608,42"
HKS Handelskammer Hamburg Service GmbH,Hamburger Beratershop,01-Nov-09,31-Dez-12,,,"2.433.576,63"
Hochschule für angewandte Wissenschaften,EnergyContainerLab,01-Jan-10,30-Jun-12,,,"131.920,75"
HWF Hamburgische Gesellschaft für Wirtschaftsförderung mbH,Wissensnetz Nord-Metropolregion Hamburg,01-Nov-10,31-Okt-13,"807.400,14","407.400,14",
IBA Hamburg GmbH,AWIS - Agentur für Wirtschaft und Schule Elbinseln,01-Jan-10,31-Dez-12,,,"403.735,05"
inab - Ausbildungs- und Beschäftigungsgesellschaft des bfw mbH,Berufsstart und Arbeitsleben - aber sicher!,01-Jan-10,31-Dez-11,,,"119.375,71"
Innovationsstiftung Hamburg,Hamb Mittelstandsförderinstitut MFI,01-Jan-08,31-Dez-10,,,"426.306,49"
Innovationsstiftung Hamburg,Hamburger Mittelstandsförderinstitut,01-Jan-11,31-Dez-12,,,"256.440,90"
ISH - Bildungs- und Beratungs GmbH,HASKI,01-Nov-09,31-Mrz-11,,,"78.637,05"
Jugend- und Bildungswerk der Arbeiterwohlfahrt Hamburg GmbH,Qualifizierungsbausteine für Roma,01-Mrz-09,30-Jun-11,,,"199.056,17"
Jugendbildung Hamburg gGmbH,Aufsuchende Aktivierung arbeitsloser Jugendlicher,01-Mrz-09,31-Aug-10,,,"594.779,25"
Jugendbildung Hamburg gGmbH,Betriebl. Begl. Ausb. für unversorgte Jugendliche,01-Aug-08,31-Jan-12,,,"585.772,28"
Jugendbildung Hamburg gGmbH,Betriebsnahe Berufsorientierung an Schulen,01-Mrz-09,31-Dez-11,,,"262.669,98"
Jugendbildung Hamburg gGmbH,Übergangsmanagement Coaches an Berufsschulen,01-Jan-08,31-Jul-11,,,"694.453,97"
Jugendbildung Hamburg gGmbH,Verbundausbildungsplätze,01-Jan-08,31-Dez-10,,,"185.702,82"
Jugendprojekte 21 e.V.,h20 - Das Schülermagazin für Hamburg,01-Aug-12,31-Dez-13,"92.961,85","46.461,85",
komm.pass.arbeit GmbH,ChallengeMi - Türöffner zu Studium und Ausbildung,01-Mrz-09,31-Dez-11,,,"511.842,53"
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,BQM,01-Jan-08,31-Dez-10,,,"1.287.768,86"
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,BQM Beratung – Qualifizierung – Migration,01-Jan-11,31-Dez-13,"1.165.326,25","517.201,44",
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,CeBB Centrum Bildung u. Beruf,01-Jan-08,31-Dez-10,,,"739.443,35"
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,"Eltern vor Ort / RISE Altona, Eimsbüttel, Nord",01-Okt-11,31-Dez-13,"566.569,07","289.249,17",
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,Fit für den demografischen Wandel / Netzwerkstelle,09-Mrz-09,31-Dez-13,"488.465,58","267.704,22",
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,Hamburger Karriereschmiede,01-Jan-08,31-Dez-10,,,"534.608,91"
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,Hamburger Karriereschmiede – Frauen in Führung !,01-Jan-11,31-Dez-13,"608.983,71","284.497,55",
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,Mehr Wert! - Frauen handeln erfolg.reich,01-Jan-10,31-Dez-11,,,"296.207,68"
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,Mit Frauen an die Spitze!,01-Jul-12,30-Jun-14,"199.964,18","99.982,09",
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,Netzwerkstelle Lebenslanges Lernen - Region HH,09-Mrz-09,31-Dez-13,"451.019,65","226.601,57",
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,Personal plus,01-Jul-11,31-Dez-12,,,"134.992,30"
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,SDA Infopoint Personalentwicklung Medien und IT,01-Jan-11,31-Dez-13,"822.215,03","412.187,18",
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,Service Digitale Arbeit,01-Jan-08,31-Dez-10,,,"714.924,93"
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,Worklife - Koordinierungsstellen Familie und Beruf,01-Jan-08,31-Dez-10,,,"1.446.170,00"
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,Worklife Koordinierungsstelle FamilieundBeruf vEbE,01-Jan-11,31-Dez-13,"1.393.370,27","689.675,52",
Koordinierungsstelle Weiterbildung und Beschäftigung e.V.,Zukunftspilot,09-Mrz-09,31-Dez-11,,,"425.936,30"
Lawaetz-Service GmbH,Integration v. Obdachlosen,01-Feb-08,31-Jan-11,,,"370.706,69"
Lawaetz-Service GmbH,JUGEND AKTIV,01-Okt-11,31-Dez-13,"1.676.209,89","833.245,15",
Lawaetz-Service GmbH,Qualifizierungsoffensive Hamburg,01-Nov-09,31-Dez-14,"13.695.150,99","5.291.638,57",
Luftfahrtcluster Metropolregion Hamburg e.V.,EACP networking hub,01-Okt-11,30-Sep-13,"164.563,42","81.590,47",
ma-co maritimes competenzcentrum GmbH,Kompetenzbasierte Qualifizierung in der Logistik,01-Nov-08,15-Jul-09,,,"24.382,63"
ma-co maritimes competenzcentrum GmbH,ma-co berät: Track & Trace für Ihr Personal,01-Aug-08,30-Sep-10,,,"94.241,25"
Mook wat - Verein zur Förderung der Selbsthilfe e.V.,Bildungsagentur Dulsberg,01-Jan-10,28-Feb-13,,,"269.790,73"
Mook wat - Verein zur Förderung der Selbsthilfe e.V.,Jobbonus,01-Mrz-12,28-Feb-14,"499.617,33","249.808,66",
Norgenta Norddeutsche Life Science Agentur GmbH,Servicezentrum Gesundheitswirtschaft,15-Jan-12,14-Jul-14,"278.035,81","155.535,81",
Ostasiatischer Verein e.V.,Hamburger Kompetenzzentrum Nachhaltiges China,01-Jul-10,30-Jun-13,,,"381.516,18"
PASSAGE gemeinnützige Gesellschaft für Arbeit und Integration mbH,MiA - Ausbildung zur Gesundheits- u. Krankenpflege,01-Jan-08,31-Dez-13,"2.257.213,52","956.129,51",
PASSAGE gemeinnützige Gesellschaft für Arbeit und Integration mbH,MiKe - Kenntnisprüfung migriertes Pflegepersonal,01-Jan-08,28-Feb-09,,,"52.156,57"
PASSAGE gemeinnützige Gesellschaft für Arbeit und Integration mbH,SchülerInnen aktiv in den Beruf,01-Jan-08,31-Dez-10,,,"453.963,50"
PASSAGE gemeinnützige Gesellschaft für Arbeit und Integration mbH,zuArbeit- Harburg,01-Sep-10,31-Dez-13,"271.233,82","135.616,91",
Plus Punkt Personaldienstleistungen GmbH,Ausbildungsagentur GOAL,01-Jan-11,31-Jan-14,"1.112.375,43","556.116,31",
Plus Punkt Personaldienstleistungen GmbH,GOAL - Wir vermitteln in Ausbildung,01-Jan-08,31-Dez-10,,,"1.098.795,33"
"Quadriga gemeinnützige Gesellschaft für Beratung, Jugend, Kultur und Arbeit mbH",Regionale Bildungsagentur-Wandsbek,01-Jan-10,31-Dez-13,"542.867,01","268.633,28",
Quatra Vorsprung durch Qualifizierung GmbH,Quick Quali,01-Jan-08,31-Mrz-09,,,"74.368,72"
SBB Kompetenz gGmbH,Direkt - MiMi,01-Feb-11,31-Jan-13,,,"310.216,31"
SBB Kompetenz gGmbH,Fit für Umschulung,01-Mrz-08,31-Dez-13,"1.767.251,84","780.220,00",
SBB Kompetenz gGmbH,LOG ein Bergedorf,01-Mrz-08,30-Sep-09,,,"78.420,49"
SBB Kompetenz gGmbH,MiMi Mitarbeiterquali f. Migranten/innen,01-Feb-08,31-Jan-11,,,"332.352,00"
SBB Kompetenz gGmbH,Qualitätsprofil Hamburger Hauswart/in,07-Feb-08,30-Nov-08,,,"51.846,02"
SBB Kompetenz gGmbH,Spurwechsel,07-Feb-08,31-Jan-10,,,"200.475,73"
SBB Kompetenz gGmbH,Vom Rand in die Mitte - jg. Sinti/Roma- HH-Mitte,01-Mrz-09,30-Jun-11,,,"282.186,36"
Sprungbrett Dienstleistungen gGmbH,Bergedorfer Ausbildungsverbund,01-Aug-08,31-Jul-10,,,"135.789,20"
Sprungbrett Dienstleistungen gGmbH,DASPASST- die Ausbildungsagentur von Sprungbrett,01-Jan-11,31-Jan-14,"652.693,95","327.447,73",
Starter GmbH,BetriebsBerater – Unternehmerisch Denken & Handeln,01-Sep-10,31-Jul-11,,,"81.075,09"
Stiftung Berufliche Bildung,Beratungsstelle für Sinti und Roma in Wilhelmsburg,01-Jul-11,28-Feb-14,"433.084,22","216.542,11",
Stiftung Freie evangelische Gemeinde in Norddeutschland,AQUABA für Flüchtlinge,01-Jan-08,31-Jan-11,,,"879.883,27"
therapiehilfe e.V.,Die Werkstatt!,01-Jan-10,30-Apr-11,,,"74.984,18"
TLA TeleLearn-Akademie gGmbH,ADWH - Akademie Digitale Wirtschaft Hamburg,01-Jul-10,30-Jun-13,,,"937.201,50"
Türkische Gemeinde in Hamburg und Umgebung e.V.,Regenbogen,01-Jan-08,31-Dez-10,,,"1.076.867,94"
Türkische Gemeinde in Hamburg und Umgebung e.V.,Regenbogen aktuell,01-Jan-13,31-Dez-13,"300.257,45","150.257,45",
Türkische Gemeinde in Hamburg und Umgebung e.V.,Regenbogen plus,01-Jan-11,31-Dez-12,,,"727.496,41"
TuTech Innovation GmbH,Best Ager Biotech,01-Jan-10,30-Apr-11,,,"84.796,14"
TuTech Innovation GmbH,Fine,01-Mrz-09,28-Feb-13,,,"919.164,11"
TuTech Innovation GmbH,Hamburg Living Lab,01-Jan-10,30-Apr-12,,,"634.064,09"
Universität Hamburg,Entwicklung eines Studiengangs Disability Studies,01-Mrz-09,31-Dez-13,"2.163.361,67","1.044.309,32",
Universität Hamburg,Netzwerk Partizipation mehrfach Diskriminierter,01-Jul-11,31-Dez-13,"287.614,25","119.937,93",
Unternehmer ohne Grenzen e.V.,"Beratungsstelle ""Stärkung lokaler Wirtschaft""",01-Jan-11,31-Dez-12,,,"659.481,66"
Unternehmer ohne Grenzen e.V.,Eltern aktiv,01-Jan-08,31-Mrz-11,,,"462.791,68"
Unternehmer ohne Grenzen e.V.,Eltern Aktiv Plus,01-Jan-12,31-Dez-13,"344.991,89","172.491,93",
Unternehmer ohne Grenzen e.V.,Förderung lokaler Ökonomie,01-Jan-13,31-Dez-13,"235.000,00","117.500,00",
Unternehmer ohne Grenzen e.V.,Interkulturelles Frauenwirtschaftszentrum,01-Jan-10,31-Dez-13,"853.521,15","422.311,32",
Unternehmer ohne Grenzen e.V.,Migranten im Gastgewerbe,01-Jan-08,28-Feb-11,,,"522.486,30"
Unternehmer ohne Grenzen e.V.,Mixed Market,01-Jan-11,31-Dez-12,,,"487.232,22"
Unternehmer ohne Grenzen e.V.,Ökonomie im Quartier,01-Jan-08,31-Dez-12,,,"650.330,50"
Unternehmer ohne Grenzen e.V.,Stärkung von Nahversorgungszentren- Lohbrügge,01-Jan-10,31-Dez-11,,,"271.955,63"
Unternehmer ohne Grenzen e.V.,StartChance,01-Jan-08,30-Jun-12,,,"1.357.458,03"
"upgrade Gesellschaft für Medien, Beratung, Training mbH",Ausbildungsagentur Fit in die Zukunft,01-Feb-08,30-Apr-09,,,"163.613,73"
Verein zur Förderung des Einzelhandels mit Nahrungs- und Genussmitteln e.V.,Qualifizierung der Marktbeschicker,01-Mrz-09,31-Dez-12,,,"279.188,49"
Verein zur Förderung des Einzelhandels mit Nahrungs- und Genussmitteln e.V.,Qualifizierung von KMU der Ernährungswirtschaft,01-Mrz-08,31-Jul-12,,,"232.556,40"
verikom - Verbund für interkulturelle Kommunikation und Bildung e.V.,Active Citizenship,01-Jan-08,31-Jan-11,,,"467.432,61"
verikom - Verbund für interkulturelle Kommunikation und Bildung e.V.,BeFit – Beruf - Fachsprache - IT,01-Mrz-12,28-Feb-14,"279.999,99","139.999,99",
verikom - Verbund für interkulturelle Kommunikation und Bildung e.V.,Eltern ins Boot,01-Jan-08,31-Jan-11,,,"446.306,15"
verikom - Verbund für interkulturelle Kommunikation und Bildung e.V.,ElternPerspektiven - Interkulturelle Elternkooperation in Schule und Stadtteil,01-Okt-11,31-Dez-13,"563.909,49","286.013,18",
verikom - Verbund für interkulturelle Kommunikation und Bildung e.V.,Quinta- BIQUEM,01-Jan-08,29-Feb-12,,,"1.252.028,47"
Weiterbildung Hamburg e.V.,Netzwerk berufl. Integration von Migranten,01-Jan-08,31-Dez-08,,,"144.706,90"
