Begunstigde,Titel van het project (naam van de concrete actie),Titel van het project in het Engels,Fonds,Autoriteit,Samenvatting,Website project,EU-subsidie in Euro's,Overige publieke financiering,Overige private financiering,Totale kosten in Euro's,Medefinancieringspercentage van de Unie (per prioritaire as),Datum van laatste bijwerking,Begindatum,Einddatum,Thematische doelstelling
Gezondheidsdienst voor Dieren BV,Ontwikkeling vluchtige metabolietentest voor koemelk,,EFRO,,"
Het doel van het project is het ontwikkelen van een nieuwe- veel sneller werkende- methode om aanwezigheid van bacteri��n in koemelk op te sporen. De huidige opsporingstechnieken voor bacteri��n in koemelk zijn traag. Het duurt enkele dagen voordat het resultaat bekend is. De te ontwikkelen methode maakt gebruik van een gaschromatograaf met data-analyse. Hierdoor kan het opsporen van bacteri��n sneller, nauwkeuriger en wellicht goedkoper. Ondernemingen in de zuivelindustrie en melkveebedrijven vertrouwen voor hun productkwaliteit en diergezondheid op opsporingsmethoden. Deze nieuwe snellere, accuratere en goedkopere methode kan voor deze bedrijven van grote economische betekenis zijn.
��",,,,,1.003.220,,11.02.2016,01.01.2010,30.06.2012,
Rotterdam Media Comission,Rotterdam Media Commission,,EFRO,,"De economie van de gemeente Rotterdam heeft grote behoefte aan een verbreding om haar positie als aantrekkelijke woon- en werkstad te versterken. De gemeente zet zich in om de creatieve sector te ontwikkelen. De groei in deze sector moet bijdragen aan de attractiviteit van de stad en de groei van het aantal hoger opgeleiden, want die zijn ondervertegenwoordigd in Rotterdam.
Om dit te ondersteunen is de Rotterdam Media Commission opgericht. De RMC wil innovatie, kennisontwikkeling en kennisuitwisseling stimuleren. Daarnaast houdt de RMC zich bezig met acquisitie en facilitering van organisaties en producties en richt zich op de interne en externe communicatie, waaronder het cre��ren van bekendheid tussen Rotterdamse mediabedrijven, het profileren van de Rotterdamse mediasector naar mogelijke opdrachtgevers binnen en buiten de stad en het profileren van Rotterdam als productie-, vestigings- en ontwikkelingslocatie.
Het belangrijkste onderdeel van het project is een subsidieregeling voor collectieve initiatieven in de mediasector. De Rotterdam Media Commission (RMC) verleent in twee tenders op aanvraag subsidie aan organisaties binnen de regio Rotterdam, die gezamenlijk collectieve initiatieven tot versterking van de diasector willen uitvoeren. Collectieve initiatieven moeten gericht zijn op innovatie, kennisontwikkeling en kennisuitwisseling in de mediasector. Ook dient er in ieder geval sprake zijn van samenwerking tussen een (media) onderneming en/of een overheidsorganisatie en/of een onderwijs/-kennisinstelling. Totaal is hiervoor een budget van 1,4 miljoen beschikbaar.",,1.504.181,3.407.789,475.698,5.387.668,28,11.02.2016,01.01.2009,30.06.2014,
AGV in deze vertegenwoordigd door Waternet,Koudewinning Ouderkerkerplas,,EFRO,,"Inleiding
De Ouderkerkerplas (gemeente Ouder-Amstel) kent, zoals veel andere wateren in binnen- en buitenland, een groot fosfaatprobleem. Hoge fosfaatconcentraties leiden tot explosieve groei van (blauw)algen, wat een grote beperking vormt voor natuurwaa",,614.782,922.172,,1.536.954,40,11.02.2016,01.08.2009,31.12.2014,
Creative city Lab,Creative City Lab,,EFRO,,"Creative City Lab
Creative City Lab (CCLab) is een stichting (opgericht in oktober 2008) met een ide��le doelstelling en een unieke duurzaam open innovatie formule/aanpak waarbij creatieve oplossingen worden ontwikkeld en gerealiseerd voor urgente en comp",,195.711,137.000,345.898,678.609,29,11.02.2016,18.06.2008,31.12.2010,
Stichting Waag Society,CineGrid Amsterdam,,EFRO,,"Samenwerking: Waag Society, UvA, SURFNet, SARA, Holland Festival, Filmmuseum, Path��� Cinema, IDFA, Cultuurfabriek, NFTA, TNO, Thomson/ Technicolor, Blender, Dell, Syntens en Almere Kennisstad
CineGrid Amsterdam cre����ert een unieke mix van publiek en privaat partnership dat een innovatieketen ontwikkelt die de toekomst van de Audio Visuele Sector sterk zal be����nvloeden.
CineGrid maakt het mogelijk om beeld en geluid in extreem hoge kwaliteit te produceren, te verzenden en te vertonen. CineGrid werkt met beelden van minimaal 4000 pixels breed en 2000 hoog en geluid in maximaal 16 kanalen. Dat levert een ongekende audiovisuele ervaring en enorme bestanden op die alleen via glasvezel kunnen worden verzonden. Het beeld is minimaal vier keer zo scherp als HDTV en het geluid glashelder. Daarmee wordt films kijken, gamen en videoconferencing een bijzondere, intense ervaring.
Het project legt nieuwe verbindingen en geeft een impuls aan de ontwikkeling van expertise en inhoud op het gebied van superbreedband, internettechnologie, digitale cinema, interactieve performance en mediadistributie. Op deze gebieden kan voor het eerst in Europa worden ge����xperimenteerd door de organisaties die samenwerking in CineGrid.
In Pakhuis de Zwijger wordt een productie- en een projectiefaciliteit ingericht. Verder komen er 5 Innovation Labs, die werken aan nieuwe toepassingen. De doelen van het project zijn om internationale uitwisseling en kennisdeling te stimuleren, om digitale mediaprofessionals te trainen en hun kennis te ontwikkelen en om onderzoek te doen naar en het ontwikkelen van ultrahoge kwaliteit, interactieve, digitale media via glasvezelnetwerken en grid-computing.",,1.130.132,1.197.198,642.302,2.969.632,38,11.02.2016,06.08.2008,30.06.2013,
Tidal Testing Centre,Ontwikkeling grootschalige inzet offshore getijstroomenergie,,EFRO,,"Samenwerking: Tidal Testing Centre, Tocardo, Bluewater, ECN, NIOZ, WL, MARIN, WMC en de Provincie Noord-HollandHet project stimuleert het ontwikkelen van kennis die barri̬res voor grootschalige inzet van getijstroomturbines op zee kan wegnemen, ondersteund door het uitvoeren van ondersteunende testen aan de hand van een realistische pilot Met dit project wil men onderzoeken hoe stromend zeewater gebruikt kan worden als duurzame energiebron.Door getijstroomturbines in stromend open water te plaatsen, kan duurzame energie opgewekt worden. Deze &quot;&quot;windmolens onder water&quot;&quot; worden op zee aan drijvende of vaste frames verankerd. Het Tidal Testing Centre wil in samenwerking met industrie (Tocardo International, Bluewater Energy Services) en onderzoeksinstellingen (NIOZ, ECN, WMC, Marin, Deltares) onderzoek doen naar 'offshore' centrales in open zeegebieden. Ook de impact van getijstroom op het milieu en effici��nte installatie en onderhoud van de turbines worden onderzocht. Het samenwerkingsverband wil met dit project haar internationale positie in de getijstroomenergiemarkt fors versterken en duurzame werkgelegenheid realiseren.Noord-Holland is omringd door water, daarom is dit voor de provincie een passende plek om onderzoek te doen naar getijstroomenergie. De onderzoeken vinden onder andere plaats in de kop van Noord-Holland bij Den Oever en in het Marsdiep bij Texel. Het Tidal Testing Centre sluit ook aan bij de plannen voor de toekomst van de Afsluitdijk, die een proeftuin wordt voor nieuwe vormen van duurzame energie.",,1.720.269,1.505.236,1.075.168,4.300.673,40,11.02.2016,18.01.2009,31.12.2013,
ZON Energie Ontwikkelingsbedrijf bv,De HeatMatcher,,EFRO,,"Samenwerking: ZON Energie-Ontwikkelingsbedrijf bv, ECN, Ontwikkelingsbedrijf Noord-Holland Noord, DWA installatie- en energieadvies en Hogeschool InHolland
Kan de warmte van de zonnige dag worden gebruikt voor de kille dag? Op dit moment niet: de verwarming gaat pas warmte afgeven als de woning koud wordt en er vraag is naar energie. Eigenlijk zou de verwarming intelligent moeten zijn en kunnen voorspellen wanneer het koud wordt. Dan kan op een zonnige dag de zonnewarmte worden gewonnen en worden bewaard voor de volgende koude dag. Wat nodig is, is een regelsysteem dat de match tussen het nu beschikbare aanbod en de vraag van morgen maakt. Een match tussen vraag en aanbod van warmte: de HeatMatcher.
De HeatMatcher is een digitale huismeester die precies weet hoeveel warmte een duurzaam energiesysteem morgen moet leveren. Daardoor kan het systeem zich rustig in optimale staat van paraatheid stellen, wat veel energiekosten bespaart. Het energieconcept van Heatmatcher is gebaseerd op een combinatie van een warmtepomp, zonnecollectoren en energieopslag in de bodem.
Voordat marktpartijen en anderen de nog te ontwikkelen HeatMatcher kunnen gaan toepassen in commerci����le projecten, wordt in dit project een uitgebreid onderzoek- en ontwikkelproject uitgevoerd. Resultaat van dit project is een marktrijp product, dat op grote schaal kan worden toegepast en resulteert in een C02-reductie van 25% ten opzichte van de huidige systemen .",,1.328.005,1.524.583,470.417,3.323.005,40,11.02.2016,25.01.2009,31.12.2014,
Gemeente Amersfoort,AmersfoortBreed - innoveren met breedband,,EFRO,,"Amersfoort is een ondernemende en innovatieve stad. Talent, kennis en ondernemerschap zijn zaken die Amersfoort kenmerken. De stad heeft een groot potentieel aan kennisintensieve en creatieve bedrijven. De sectoren creatieve industrie en ICT zijn een belangrijke motor voor de Amersfoortse en regionale economie. Om de lokale economie sterker te maken kiest de gemeente voor een stimuleringsbeleid. E̩n van de accententen in dit stimuleringsbeleid richt zich op het maximaal benutten van het potentieel aan innovatieve bedrijvigheid en ICT. Met het programma Amersfoort Innovatief Sterk wordt invulling gegeven aan de stimuleringsmaatregelen die een impuls vormen voor de innovatieve industrie en ICT.
Het project Amersfoort Innovatief Sterk richt zich op het versterken van het cluster creatieve industrie &amp;amp; ICT en het stimuleren van het gebruik van breedbanddiensten in Amersfoort waardoor werkgelegenheid wordt behouden en nieuwe werkgelegenheid wordt gecre��erd.
Om dit project te realiseren zal zij zich richten op vergroten van het aanbod aan lokale breedbanddiensten, verbeteren van toegang tot kennis en kenniswerkers, vergroten van het aanbod en het gebruik van breedbanddiensten, versterken van het innovatief en creatief profiel van Amersfoort en verder ontwikkelen van een bedrijvencampus op het Oliemolenkwartier als creatief hart van de stad.
Het doel van het project Amersfoort Innovatief Sterk is het aanjagen van de creatieve industrie en de ICT in de omgeving van de Keistad. Dit betekent dat meer ondernemers gebruik kunnen maken van breedband en dat het profiel van Amersfoort als innovatieve trekpleister voor bedrijven wordt versterkt.",,2.539.450,3.461.075,348.100,6.348.625,40,11.02.2016,22.01.2009,31.12.2013,
Domedica B.V.,Mecon Mondzorg,,EFRO,,"De ontwikkeling van een methode om effectief en effici��nt mondzorg te kunnen verlenen. De methodiek beoogt een grondige reiniging van de gehele mondholte en richt zich met name op ouderen en andere kwetsbare groepen.
��
Het proefproject richt zich op mondzorg bij -onder meer- geriatrische pati��nten (ouderen, kwetsbare groepen met een mindere weerstand). Deze groep pati��nten is vaak niet in staat zelf zorg te dragen voor het reinigen van de tanden en voor een goede mondhygi��ne. De bacteri��n verzamelen zich vooral op het achterste deel van de tong. Dit kan leiden tot onaangename mondgeur en zelfs tot ernstige gezondheidsproblemen omdat bacteri��n in de longen kunnen komen. Afgeleide doelstelling is�� een effectieve complete gebits- en interdentale reiniging.
Proef met prototype
��
��
Doelstelling van het project is een oplossing te vinden voor dit probleem, met als vertrekpunt de eisen en wensen van alle bij mondzorg betrokken stakeholders (cli��nten, zorgverleners, regelgevers, ontwikkelaars, verzekeraars,). De vakgroep tandheelkunde�� van Radboud-UMC heeft laten zien dat bestaande oplossingen niet goed werken en/of niet gebruiksvriendelijk zijn, en hebben deze methodiek ontwikkeld. Mede met hulp van Europees geld is het mogelijk een prototype in de praktijk uit te testen.",,146.581,37.189,141.966,325.736,45,11.03.2016,17.04.2009,31.03.2012,
Stichting Regionaal Centrum voor technologie de Vallei,RCT de Vallei project plan,,EFRO,,"Regionaal Centrum voor Technologie ���De Vallei�۪ started on 11 September 2009.
���De Vallei�۪ aims at supporting and stimulating innovation in the manufacturing industry in the Vallei region by sharing knowledge, intermediating between education and industry, giving advice and awarding grants.",,350.559,350.559,,701.118,50,11.02.2016,01.09.2009,31.08.2011,
BMA Ergonomics BV,SCOOP (Smart Chair/ Office Ontwikkelings Project),SCOOP (Smart Chair / Office Development Project),EFRO,,"��
In dit project ontwikkelen drie organisaties uit de regio Zwolle, BMA Ergonomics BV, Salland Electronics BV en Christelijke Hogeschool Windesheim, een SmartChair. Dit is een onderdeel van de uitwerking van het SmartOffice concept. De SmartOffice is het kantoor van de toekomst, waarin de toepassing van een hoge mate van automatisering de werkprocessen faciliteert en de effici��ntie verhoogt. Onderlinge communicatie van alle kantoorvoorzieningen en de rol van de werkende mens staan hierin centraal. In het concept van de SmartOffice vormt de SmartChair de verbinding tussen mens en kantooromgeving. Het is expliciet de bedoeling dat de SmartChair bijdraagt aan een hogere arbeidsproductiviteit en lagere arbeidsuitval, als gevolg van het verminderen en/of voorkomen van bureeauwerk - gerelateerde aandoeningen.��",,543.074,543.071,1.098.005,2.184.150,25,11.02.2016,01.01.2009,31.12.2012,
