Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge 1,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge 1
"AKT Altmärker Kunststoff- Technik
GmbH","Entwicklung von nativer Harz-Härter-Kombination für die
Produktinnovation multifunktioneller Kofferraum
(Gemeinschaftsvorhaben mit DRACOSA AG 0804/00095)",2008,2016," 0,00"," 0,00"
"AKT Altmärker Kunststoff- Technik
GmbH",Multifunktionale Sonnenblende,2008,2016," 0,00"," 0,00"
Aktenvernichtung Magdeburg GmbH,Energie-/Umweltberatung,2009,2010," 6.000,00"," 6.000,00"
"Akzente Havelia Schlaf- comfort
GmbH",Erweiterung einer Betriebsstätte,2008,2010," 9.000,00"," 9.000,00"
"Albert-Schweitzer-Familienwerk
Sachsen-Anhalt e.V.",Energetische Sanierung Kita Güterglück,2013,2015," 165.591,63"," 165.591,63"
"Aleithe Haftetiketten GmbH u. Aleithe
Haftetiketten  Handel- u. Verw. GmbH","Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2009,2013," 756.300,00"," 756.300,00"
"Aleithe Haftetiketten GmbH u. Aleithe
Haftetiketten  Handel- u. Verw. GmbH",Errichtung einer Betriebsstätte,2009,2013," 198.787,93"," 198.787,93"
Aleithe Klebetechnik GmbH,"Herstellung neuartiger Etiketten-Sonderkonstruktionen und
beleimter Rohmaterialien mittels einer speziellen Beleimung
von bedruckten Rohmaterialien",2010,2013," 266.266,00"," 266.266,00"
Alexander Kasten,Erweiterung einer Betriebsstätte,2009,2012," 973.993,38"," 973.993,38"
Alexander Oppelt,Risikomanagement,2010,2011," 6.000,00"," 6.000,00"
ALEXMENÜ e.Kfr.,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2011,2014," 164.240,77"," 164.240,77"
ALEXMENÜ e.Kfr.,"Risikomanagement(Einkauf, Produktion, Produktentwicklung) für die
Lebensmittelherstellung unter Berücksichtigung der Vo (EG)
853/2004 im Unternehmen ALEXMENÜ e. K.",2010,2011," 9.000,00"," 9.000,00"
ALEXMENÜ GmbH & Co. KG,Energie- und Umweltberatung,2013,2014," 3.600,00"," 3.600,00"
ALEXMENÜ GmbH & Co. KG,Marketing,2013,2014," 3.600,00"," 3.600,00"
"Alfred Naumann GmbH
Abschleppdienst, KfZ-Verwert.",Organisationsoptimierung,2012,2013," 3.600,00"," 3.600,00"
ALL-FA GmbH,Risikomanagement/Fachkräftesicherung,2013,2016," 0,00"," 0,00"
"ALLKRAFT Naturprodukte UG
(haftungsbeschränkt)",AMERICANA  ́2010 Ort: Augsburg,2010,2011," 1.138,80"," 1.138,80"
"ALLKRAFT Naturprodukte UG
(haftungsbeschränkt)",CONSUMENTA `2011 Ort: Nürnberg,2011,2012," 393,48"," 393,48"
"ALLKRAFT Naturprodukte UG
(haftungsbeschränkt)",EQUITANA `2011 Ort: Essen,2011,2011," 1.277,75"," 1.277,75"
"ALLKRAFT Naturprodukte UG
(haftungsbeschränkt)",PFERD STUTTGART `2010 Ort: Stuttgart,2010,2011," 702,55"," 702,55"
"ALLKRAFT Naturprodukte UG
(haftungsbeschränkt)",Pferd & Jagd `2011 Ort: Hannover,2011,2012," 432,84"," 432,84"
"ALLKRAFT Naturprodukte UG
(haftungsbeschränkt)",eurocheval `2010 Ort: Offenburg,2010,2010," 709,87"," 709,87"
Allstedt,Breite Straße,2009,2012," 340.000,00"," 340.000,00"
ALMAS Innovation Products GmbH,Erweiterung einer Betriebsstätte,2008,2012," 74.808,91"," 74.808,91"
ALMECO GmbH,Erweiterung einer Betriebsstätte,2010,2012," 632.200,00"," 632.200,00"
"Aloys Meier GmbH & Co. KG und
Deutsche Vacuum- apparate Holland
- Merten GmbH",Erweiterung einer Betriebsstätte,2008,2013," 1.119.033,61"," 1.119.033,61"
Alpha Signs GmbH,Organisationsoptimierung,2010,2016," 0,00"," 0,00"
"Alpha Werbegestaltung Ruth Schulze
GmbH",Risikomanagement,2012,2012," 3.600,00"," 3.600,00"
"ALS Dienstleistungs- gesellschaft
mbH","Rekultivierung der Hausmülldeponie Stendal Baufelder 4.2 -
4.4",2012,2014," 164.969,40"," 164.969,40"
Alsleben,"Dachneueindeckung Grundschule, Haus 3 und 4",2009,2010," 60.287,09"," 60.287,09"
Alsleben,Erhalt und Nutzbarmachung Saaltor,2009,2010," 137.419,89"," 137.419,89"
Alsleben,"Fassadensanierung Grundschule, Haus 3 und 4",2010,2010," 53.069,32"," 53.069,32"
Alsleben,Instandsetzung altes Feuerwehrgerätehaus,2009,2010," 79.970,55"," 79.970,55"
Alsleben,Neugestaltung Uferstraße,2009,2011," 114.705,58"," 114.705,58"
Alsleben,Neugestaltung Wörtheplatz,2009,2011," 169.623,35"," 169.623,35"
"Alten- und Pflegeheim Bleichenkopf
GmbH",Risikomanagement,2010,2010," 7.200,00"," 7.200,00"
"Alten- und Pflegeheim Bleichenkopf
GmbH u. Keitel und Eckart
Vermietungs-GbR",Unternehmensnachfolge,2013,2014," 4.500,00"," 4.500,00"
Altendorf GmbH,AMICOM `2010 Ort: Leipzig,2010,2010," 4.333,35"," 4.333,35"
Altendorf GmbH,CAR + SOUND  ́2009 Ort: Köln,2009,2009," 2.350,00"," 2.350,00"
"Altermann & Müller GmbH Fenster- u.
Türensysteme",Haus-Bau & Energie  ́2015 Ort: Ilsenburg,2015,2015," 1.656,00"," 1.656,00"
"Altermann & Müller GmbH Fenster- u.
Türensysteme",LBA '2015 Ort: Magdeburg,2015,2015," 1.656,00"," 1.656,00"
"Altermann & Müller GmbH Fenster- u.
Türensysteme",LBA  ́2009 Ort: Magdeburg,2009,2009," 1.435,00"," 1.435,00"
"Altermann & Müller GmbH Fenster- u.
Türensysteme",LBA  ́2010 Ort: Magdeburg,2010,2010," 1.656,00"," 1.656,00"
"Altermann & Müller GmbH Fenster- u.
Türensysteme",LBA  ́2011 Ort: Magdeburg,2011,2011," 1.722,00"," 1.722,00"
"Altermann & Müller GmbH Fenster- u.
Türensysteme",LBA  ́2012 Ort: Magdeburg,2012,2012," 1.998,00"," 1.998,00"
"Altermann & Müller GmbH Fenster- u.
Türensysteme",LBA  ́2013 Ort: Magdeburg,2013,2013," 1.884,00"," 1.884,00"
"Altermann & Müller GmbH Fenster- u.
Türensysteme",LBA  ́2014 Ort: Magdeburg,2014,2014," 1.944,00"," 1.944,00"
Altmark Catering GmbH,Erweiterung einer Betriebsstätte,2010,2014," 1.095.300,00"," 1.095.300,00"
"Altmark-Freizeitcenter & Wildpark
Kalbe GmbH",Organisationsoptimierung,2010,2011," 4.800,00"," 4.800,00"
Altmarkkreis Salzwedel,"K 1120, Neubau des Radweges in der Ortsdurchfahrt
Molmke, 3. Teilabschnitt (81-RW-0005)",2014,2014," 101.797,33"," 101.797,33"
Altmarkkreis Salzwedel,"Neubau Sekundarschule ""Karl Marx"" Gardelegen inkl.
Neugestaltung der Außenanlagen",2012,2015," 5.902.736,76"," 5.902.736,76"
Altmarkkreis Salzwedel,"Radweg an der K 1091 von Klötze nach Immekath (81-RW-
0002)",2012,2015," 451.064,04"," 451.064,04"
Altmarkkreis Salzwedel,"Radweg an der K 1120 von Drebenstedt nach Diesdorf
(Freilichtmuseum) (81-RW-0001)",2012,2015," 312.030,97"," 312.030,97"
Altmarkkreis Salzwedel,"Sekundarschule ""Comenius"" Salzwedel",2011,2015," 1.420.670,34"," 1.420.670,34"
Altmarkkreis Salzwedel,"zur Anschaffung von 1 Server, 1 Datenschrank, 1 Router, 20
Schüler-PC m. Mon. (sh.ÄB), 1 Lehrer-PC mit 2 BS, 1
Beamermobil (sh. ÄB), Softwarepak. und Lizenzen sowie
Planungshon. für die SekS Kalbe und zur Anschaffung von
20 Schüler-Arbeitspl. m Mon., 1 Le",2010,2013," 58.020,24"," 65.738,45"
Altmarkkreis Salzwedel,"zur Anschaffung von 20 Schüler PC mit Monitor, 1 Lehrer-PC
mit 2 Monitoren, 1 Server, 1 Datenschrank, 1 Router, 1
Drucktechnik, 1 Beammobil, Software, Planungshonorar
sowie Verkabelung gemäß Projektbeschreibung Ihres
Antrages für die Sekundarschule in Bee",2009,2010," 28.681,33"," 28.681,33"
Altmarkkreis Salzwedel,"zur Anschaffung von 25 Schüler-PC mit Monitor, 1 Lehrer-PC
mit 2 Monitoren, 1 Schulrouter + USV, 1 Netzwerkdrucker, 1
Softwarepaket (diverse Lizenzen), 1 Datenschrank (Hub,
Switch) einschl. Verkabelung und 1 Deckenbeamer sowie für
Installations- und PlanuArbeitsstation incl. Software für die Rosa-Luxemburg-Schule
in Gardelegen, die Pestalozzi-Schule in Salzwedel, die
Sekundarschule Dähre, die Sekundarschule ""Am Drömling""
in Mieste, die Sekundarschule ""T",2012,2014," 31.000,00"," 31.000,00"
Altmarkkreis Salzwedel,"zur Einrichtung von 28 Schülerarbeitsplätzen, 1
Lehrerarbeitsplatz und zur Anschaffung von 1 Router + USV,
Drucktechnik, Software, Serveraufrüstung, 1 Beamer-Mobil
für das Friedrich-Ludwig-Jahn-Gymnasium in Salzwedel",2011,2012," 30.021,52"," 30.021,52"
"Altmärkischer Werkzeugbau GmbH
und Jens Ehrlich",Erweiterung einer Betriebsstätte,2008,2008," 37.500,00"," 37.500,00"
"Altmärkischer Werkzeugbau GmbH
und Jens Ehrlich",Erweiterung einer Betriebsstätte,2011,2014," 79.454,00"," 79.454,00"
"Altmärkischer Werkzeugbau GmbH
und Jens Ehrlich",Erweiterung einer Betriebsstätte,2013,2014," 180.000,00"," 180.000,00"
Aluwerk Hettstedt GmbH,Erweiterung einer Betriebsstätte,2008,2015," 370.886,88"," 370.886,88"
"ALWA - Dienstleistungs GmbH & Co.
KG",Organisationsoptimierung,2014,2015," 3.000,00"," 3.000,00"
"ALWA - Dienstleistungs GmbH & Co.
KG",Organisationsoptimierung,2010,2011," 9.000,00"," 9.000,00"
"ALWA - Dienstleistungs GmbH & Co.
KG",Stärkung des Innovationspotentials,2014,2014," 3.000,00"," 3.000,00"
"ALWA - Dienstleistungs GmbH & Co.
KG",Stärkung des Innovationspotentials,2009,2010," 9.000,00"," 9.000,00"
Amapharm GmbH,Errichtung einer Betriebsstätte,2007,2012," 0,00"," 0,00"
AMAS CNC-Zerspanungs GmbH,"Entwicklung metallisch dichtender Kükenhähne mit
neuartigem Getriebemechanismus zur Automatisierung",2012,2014," 111.570,89"," 111.570,89"
AMAS CNC-Zerspanungs GmbH,Organisationsoptimierung,2009,2010," 900,00"," 900,00"
AMAS CNC-Zerspanungs GmbH,"Wissens- und Technologietransfer Getriebelösung konischer
Kükenhahn",2011,2012," 54.000,00"," 54.000,00"
AMB Anlagen Maschinen Bau GmbH,"Entwicklung und Erprobung eines innovativen Verfahrens zur
Erkennung, Bewertung und Analyse von Kunststoffen sowie
Zellulose in einem Wertstoffstrom von Sekundär-Rohstoffen",2010,," 0,00",
AmbaGate GmbH,Organisationsoptimierung,2010,2016," 0,00"," 0,00"
"Ambulanter Geriatrischer
Rehakomplex GbR mbH",Gesund zuhause,2010,2012," 40.335,98"," 40.335,98"
"Ambulanter Geriatrischer
Rehakomplex GbR mbH",Marketing,2012,2012," 600,00"," 600,00"
"Ambulanter Geriatrischer
Rehakomplex GbR mbH",Marketing,2010,2010," 6.000,00"," 6.000,00"
"Ambulanter Geriatrischer
Rehakomplex GbR mbH",Organisationsoptimierung,2012,2012," 600,00"," 600,00"
Ambulanz Mobile GmbH & Co. KG,Erweiterung einer Betriebsstätte,2010,2014," 161.582,44"," 161.582,44"
Ambulanz Mobile GmbH & Co. KG,RETTmobil  ́2013 Ort: Fulda,2013,2013," 6.500,00"," 6.500,00"
Ambulanz Mobile GmbH & Co. KG,RETTmobil  ́2014 Ort: Fulda,2014,2014," 6.500,00"," 6.500,00"
"Ambulanz Mobile GmbH & Co. KG u.
Ambulanz Mobile Verw. GmbH","Entwicklung eines neuen Krankentransportwagens in
intelligenter Modulbauweise unter Nutzung von innovativen
Faserverbundwerkstoffen und mit innovativer Signaltechnik",2012,2015," 167.733,80"," 167.733,80"
AML Anlagentechnik GmbH & Co. KG,EXPOMix  ́2008 Ort: Moskau,2008,2009," 3.160,54"," 3.160,54"
AML Anlagentechnik GmbH & Co. KG,Organisationsoptimierung,2012,2012," 3.150,00"," 3.150,00"
AML Anlagentechnik GmbH & Co. KG,Risikomanagement,2010,2011," 6.000,00"," 6.000,00"
AMMA Tech GmbH,AGROPRODMASH  ́2013 Ort: Moskau,2013,2014," 7.798,63"," 7.798,63"
AMROC Baustoffe GmbH,"Wissens- und Technologietransfer zur energetischen
Trockenbauplattenproduktion",2012,2013," 66.300,00"," 66.300,00"
AMROC Baustoffe GmbH,"einmaliger Einsatz des Beraters, fehlende 3-jährige
Beratertätigkeit",2013,2014," 6.000,00"," 6.000,00"
"AMS - Edelstahlrohr- leitungsbau -
GmbH",Erweiterung einer Betriebsstätte,2009,," 0,00",
"AMS - Edelstahlrohr- leitungsbau -
GmbH",Organisationsoptimierung,2010,2010," 9.000,00"," 9.000,00"
AMS - Rohrleitungsbau GmbH,Risikomanagement,2013,2014," 3.600,00"," 3.600,00"
"AMS Arneburger Masch.u.Stahl- bau
GmbH und AMS Holding GmbH & Co.
KG",Erweiterung einer Betriebsstätte,2009,2013," 361.400,00"," 361.400,00"
"AMykor GmbH ChemiePark Bitterfeld
Wolfen",Außenwirtschaftsberatung,2009,2009," 2.700,00"," 2.700,00"
"AMykor GmbH ChemiePark Bitterfeld
Wolfen","Industrielle Verfahrensentwicklung zur in-vitro-
Mykorrhizaproduktion (Kurztitel: Mycotech)",2008,," 0,00",
Anamed GmbH,Organisationsoptimierung,2009,2010," 3.600,00"," 3.600,00"
Andre Grams,Erweiterung einer Betriebsstätte,2011,2014," 292.637,11"," 292.637,11"
Andre Stein,LBA  ́2009 Ort: Magdeburg,2009,2009," 1.049,65"," 1.049,65"
Andre Stein,LBA  ́2010 Ort: Magdeburg,2010,2010," 1.311,38"," 1.311,38"
Andre Stein,SaaleBau  ́2009 Ort: Halle,2009,2009," 1.325,22"," 1.325,22"
Andre Stein,SaaleBau  ́2010 Ort: Halle,2010,2010," 1.276,10"," 1.276,10"
Andre Stein,SaaleBau  ́2011 Ort: Halle,2011,2012," 1.150,12"," 1.150,12"
Andre Stein,SaaleBau  ́2013 Ort: Halle,2013,2013," 1.221,39"," 1.221,39"
Andre Stein,TerraTec  ́2009 Ort: Leipzig,2009,2009," 1.212,33"," 1.212,33"
Andrea Daries,Marketing,2014,2015," 3.600,00"," 3.600,00"
Andrea Daries,Organisationsoptmierung,2014,2015," 3.600,00"," 3.600,00"
Andrea Daries,Risikomanagement,2014,2015," 3.600,00"," 3.600,00"
Andrea Riedel,SaaleBau  ́2009 Ort: Halle,2009,2009," 1.413,78"," 1.413,78"
Andrea Riedel,SaaleBau  ́2010 Ort: Halle,2010,2010," 2.944,05"," 2.944,05"
Andrea Riedel,SaaleBau  ́2011 Ort: Halle,2011,2012," 2.206,03"," 2.206,03"
Andrea Riedel,SaaleMesse  ́2009 Ort: Halle,2009,2010," 2.258,80"," 2.258,80"
Andreas Brauckhoff,"Diversifizierung einer Betriebsstätte in zusätzliche neue
Produkte",2009,2010," 164.090,71"," 164.090,71"
Andreas Brauckhoff,Erweiterung einer Betriebsstätte,2010,2013," 574.500,00"," 574.500,00"
Andreas Denzin,SaaleBau  ́2012 Ort: Halle,2012,2012," 1.551,63"," 1.551,63"
Andreas Denzin,SaaleBau  ́2013 Ort: Halle,2013,2013," 1.559,96"," 1.559,96"
Andreas Gilgert,Organisationsoptimierung,2008,2008," 2.700,00"," 2.700,00"
Andreas Kindling,Energie- und Umweltberatung,2009,2010," 6.000,00"," 6.000,00"
Andreas Kindling,Organisationsoptimierung,2009,2010," 3.000,00"," 3.000,00"
Andreas Krake,Außenwirtschaftsberatung,2007,2016," 0,00"," 0,00"
Andreas Krake,Erweiterung einer Betriebsstätte,2008,2016," 0,00"," 0,00"
Andreas Krake,MATERIALICA `2008 Ort: München,2009,2009," 2.582,00"," 2.582,00"
Andreas Lamm,Marketing,2014,2015," 1.120,00"," 1.120,00"
Andreas Marx,Erweiterung einer Betriebsstätte,2011,2013," 6.312,23"," 6.312,23"
Andreas Michael Vehse,Risikomanagement,2012,2016," 0,00"," 0,00"
Andreas Michaelis,Marketing,2012,2016," 0,00"," 0,00"
Andreas Michaelis,Risikomanagement,2012,2016," 0,00"," 0,00"
Andreas Müller,SHOWTECH  ́2009 Ort: Berlin,2009,2009," 5.151,80"," 5.151,80"
Andreas Schulz,AGRITECHNICA `2011 Ort: Hannover,2011,2012," 3.124,31"," 3.124,31"
Andreas Schulz,AGRITECHNICA  ́2013 Ort: Hannover,2013,2014," 6.500,00"," 6.500,00"
Andreas Schulz,EuroTier `2012 Ort: Hannover,2012,2013," 5.671,06"," 5.671,06"
