Operation Name,Recipient organisation,ESF/ ERDF Grant requested,Total eligible expenditure,Programme,Description,Postcode,Union co-financing rate,Start date,End date,Theme,Country
SG Demonstrator Support - H&I,Scottish Government,5000000,10000000,ERDF,To increase low carbon investment levered into Scottish businesses by private and institutional investors. Will support projects where a technology is yet to be proven in Scotland - capital investment may be provided to enable demonstration of the technology's commercial viability.,G2 8LU,0.5,20/03/15 , 31/12/18,Strategic Intervention - Low Carbon Infrastructure Transition Programme ,Scotland
LCITP - Business Support,Scottish Government,1062600,2656500,ERDF,Management costs. Assessing all grant applications. Manage and maintain all data on all projects being supported.  ,G2 8LU,0.4,20/03/15 , 31/12/18,Strategic Intervention - Low Carbon Infrastructure Transition Programme ,Scotland
LCITP - LUPS CITIES Demonstrator Support,Scottish Government,12000000,30000000,ERDF,To increase low carbon investment levered into Scottish businesses by private and institutional investors.,G2 8LU,0.42,20/03/15 , 31/12/18,Strategic Intervention - Low Carbon Infrastructure Transition Programme ,Scotland
LCITP - LUPS TOWNS and RURAL Demonstrator Support,Scottish Government,9477130,23692824,ERDF,To accelerate delivery of low carbon infrastructure projects by providing support to enable preparation of investment ready propositions.  To facilitate collaboration across the public sector to enable knowledge sharing and support aggregation of projects.  ,G2 8LU,0.42,20/03/15 , 31/12/18,Strategic Intervention - Low Carbon Infrastructure Transition Programme ,Scotland
Smart Infrastructure - Intelligent Street Lighting,Glasgow City Council,2150058.51,5801874.51,ERDF,"The aim of the Operation will be to develop and trial fully integrated Intelligent Street Lighting (ISL) networks within the cities of Aberdeen, Glasgow and Perth. These Smart networks will utilise LEDs, sensors, wireless transmitters and an ‘open standard’ lighting Central Management System (CMS).",G2 1DU,0.3705,27/06/16 , 31/12/18,Strategic Intervention - Scotland's 8th City - the Smart City,Scotland
Open Data – LUPS,Glasgow City Council,782597.5,1972597.5,ERDF,To improve the smart cities’ maturity of six of the seven Scottish cities. Will serve to create data publication platforms for relevant cities with the introduction of data analytics in order to allow the cities to make evidence based decisions in order to improve services and delivery. ,G2 1DU,0.3967,01/03/16 , 31/12/18,Strategic Intervention - Scotland's 8th City - the Smart City,Scotland
Open Data –  H & I,Highland Council,80000,160000,ERDF,To improve the smart cities’ maturity of Inverness.   Will serve to create data publication platforms for relevant cities with the introduction of data analytics in order to allow the cities to make evidence based decisions in order to improve services and delivery.,G2 1DU,0.5,01/03/16 , 31/12/18,Strategic Intervention - Scotland's 8th City - the Smart City,Scotland
8th City Programme Management Office (PMO),Glasgow City Council,343833.47,859583.69,ERDF,Management costs.  Tasked with monitoring and managing performance and compliance requirement for the overall 8th City SI Programme.  ,G2 1DU,0.4,31/07/15 , 31/12/18,Strategic Intervention - Scotland's 8th City - the Smart City,Scotland
Smart Services - Waste,Perth & Kinross Council,270512,676280,ERDF,"A collaborative approach, involving all Scottish cities, in relation to the improved and enhanced delivery of waste management services.   The proposed activity will involve cities taking a lead on different elements within a range of Smart Waste initiatives.  ",PH1 5GD,0.4,01/10/16 , 31/12/18,Strategic Intervention - Scotland's 8th City - the Smart City,Scotland
Smart Infrastructure - Water Management,Glasgow City Council,335754,839385,ERDF,Introduction of intelligent surface water solutions to support regeneration.  ,G2 1DU,0.4,14/8/17 , 31/12/18,Strategic Intervention - Scotland's 8th City - the Smart City,Scotland
Smart Cities - Energy,Stirling Council,454601,1136718,ERDF,Building upon the Future City glasgow Energy Efficiency demonstrator by exploring the transformational power of data and technology for monitoring and managing energy demand and use. ,FK8 2ET,0.4,01/07/2016 , 31/12/2018,Strategic Intervention - Scotland's 8th City - the Smart City,Scotland
Smart Cities - Health,Stirling Council,299000,747500,ERDF,To enable cities to share valuable insight and learning via anticipated outcomes resulting from the Smarter Stirling - Health.  Accelerate the use of telehealthcare across a trial area within the city region.,FK8 2ET,0.4,31/07/2015 , 31/12/2018,Strategic Intervention - Scotland's 8th City - the Smart City,Scotland
Smart Cities - Innovation Labs,Perth & Kinross Council,250000,625000,ERDF,Supports the development of an Innovation Lab as a key component of Smart City-enabling infrastructure in Perth.  ,PH1 5GD,0.4,01/04/2016 , 31/12/2018,Strategic Intervention - Scotland's 8th City - the Smart City,Scotland
Smarter Cities - Mobility,Highland Council,1000000,500000,ERDF,"Enable the development of the Dundee Smart Mobility Hub including development of a multimodal hub in the Dundee Waterfront to manage a portfolio of mobility solutions, the development of an analytical tool to provide evidence of costs and fuel savings ot using Shared Fleets and a number of Shared Access Parking solutions.  ",G2 1DU,0.5,01/04/2016 , 31/12/2018,Strategic Intervention - Scotland's 8th City - the Smart City,Scotland
Smart Services - City operations Centres,Dundee City Council,270512,676280,ERDF,Create enhancements to the existing Public Space CCTV & traffic management systems in Perth and Dundee leading towards the creation of City Operation Centres in each city or a shared service being provided to serve both cities.,DD1 1LS,0.4,09/11/2015 , 31/12/2018,Strategic Intervention - Scotland's 8th City - the Smart City,Scotland
Green Infrastructure Challenge Fund – LUPS ,Scottish Natural Heritage,7178344.2,17945860.5,ERDF,"The Challenge Fund will create better places and enhance the quality of life for urban dwellers by improving the quality, accessibility and quantity of green infrastructure in our major towns and cities.",IV3 8NW,0.4,01/04/15 , 30/06/19,Strategic Intervention - Green Infrastructure,Scotland
Green Infrastructure Challenge Fund – H&I,Scottish Natural Heritage,500000,1000000,ERDF,"The Challenge Fund will create better places and enhance the quality of life for urban dwellers by improving the quality, accessibility and quantity of green infrastructure in our major towns and cities.",IV3 8NW,0.5,01/04/15 , 30/06/19,Strategic Intervention - Green Infrastructure,Scotland
Green Infrastructure Strategic Intervention - Management Costs,Scottish Natural Heritage,571655.8,1429139.5,ERDF,Management costs.  ,IV3 8NW,0.4,01/04/15 , 30/06/19,Strategic Intervention - Green Infrastructure,Scotland
Green Infrastructure Challenge Fund - Community Engagement,Scottish National Heritage,500000,1250000,ERDF,"Complementing the current Green Infrastructure Fund, the GI Community Engagement Fund will be an additional mechanism for delivery of community engagement with green infrastructure for sites out with those receiving funding from the main fund.  ",IV3 8NW,0.4,01/11/16 , 30/06/19,Strategic Intervention - Green Infrastructure,Scotland
Circular Economy LUPS ,Zero Waste Scotland,9112153.67,22780384.18,ERDF,"A programme to help drive new, established and proven interventions to market by supporting innovation and transformation of circular products.",FK8 1QZ,0.4,01/04/15 , 31/12/18,Strategic Intervention - Circular Economy,Scotland
Circular Economy H&I,Zero Waste Scotland,2332930.91,4665861.82,ERDF,"A programme to help drive new, established and proven interventions to market by supporting innovation and transformation of circular products.",FK8 1QZ,0.5,01/04/15 , 31/12/18,Strategic Intervention - Circular Economy,Scotland
Resource Efficiency LUPS ,Zero Waste Scotland,14834985.36,37087463.41,ERDF,"A demand responsive advice and support service to enterprises, identifying efficiency improvements in existing processes and on site expert advice.",FK8 1QZ,0.4,01/04/15 , 31/12/18,Strategic Intervention - Circular Economy,Scotland
Resource Efficiency H&I,Zero Waste Scotland,3798113.72,7596227.45,ERDF,"A demand responsive advice and support service to enterprises, identifying efficiency improvements in existing processes and on site expert advice.",FK8 1QZ,0.5,01/04/15 , 31/12/18,Strategic Intervention - Circular Economy,Scotland
Strategic Intervention Management ,Zero Waste Scotland,644025.25,1610063.14,ERDF,Management and admin costs – LUPS & H&I,FK8 1QZ,0.4,01/04/15 , 31/12/18,Strategic Intervention - Circular Economy,Scotland
CCF Grant Scheme (H&I),Zero Waste Scotland,900000,1800000,ERDF,ERDF will be used to leverage increased investment in resource efficiency improvements within the operations of third sector SME’s and wider communities.  ,FK8 1QZ,0.5,01/02/17 , 31/12/18,Strategic Intervention - Circular Economy,Scotland
CCF Grant Scheme (LUPS),Zero Waste Scotland,3280000,8200000,ERDF,ERDF will be used to leverage increased investment in resource efficiency improvements within the operations of third sector SME’s and wider communities.  ,FK8 1QZ,0.4,01/02/17 , 31/12/18,Strategic Intervention - Circular Economy,Scotland
Assisting SMEs to Internationalise LUPS and H&I,Scottish Enterprise ,7985544,19952038,ERDF,extend the scale and scope of activity covered by VisitScotland to help SMEs to build capacity for longer term growth. The funding  will provide better access for SMEs to International markets.,G2 6HQ / ,0.4,01/08/2015,31/12/2018,Strategic Intervention - Business Competitiveness,Scotland
Growing Business in Renfrewshire,Renfrewshire Council,356400,891000,ERDF,Support to growth start ups and growing businesses in Renfrewshire. East Renfrewshire and Inverclyde and to enhance the services available via business gateway.  ,PA1 1LL,0.4,01/01/2016 , 31/10/2018,Strategic Intervention - Business Competitiveness,Scotland
EU Compliance Staff,Renfrewshire Council,28294,70735,ERDF,Compliance role to support the operation which includes auditing and verifying of all spend incurred and progress achieved prior to reporting to the SG and/ or used to claim grant.  ,PA1 1LL,0.4,01/01/2016 , 31/10/2018,Strategic Intervention - Business Competitiveness,Scotland
Enterprise Support Tayside,Dundee City Council,713000,1782500,ERDF,Complement and extend the scope of core Business Gateway activities across Tayside.  Support to SMEs with sustainable growth support.  ,DD1 1LS,0.4,01/10/2015 , 30/09/2018,Strategic Intervention - Business Competitiveness,Scotland
Enterprise Support Tayside - Programme Management,Dundee City Council,100912.5,252281.25,ERDF,"Management costs to support the costs of employing someone to manage the ERDF elements of the Business Gateway contract and an administration post to support the additional compliance, data/record collection of the 2014-2020 programmes.  ",DD1 1LS,0.4,01/10/2015 , 30/09/2018,Strategic Intervention - Business Competitiveness,Scotland
"Competitiveness, Innovation & Jobs: Business Competitiveness",Glasgow City Council,897600,2253667,ERDF,"Support the growth of SMEs in Glasgow and to help build lonf term sustainable economic growth by actively supporting structural change, seeing a greater share of export growth coming from more businesses, more sectors; and into more international markets.  ",G2 1DU,0.4,01/10/15 , 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Assisting SMEs to Internationalise LUPS and H&I,Visit Scotland,3749029,10426264,ERDF,extend the scale and scope of activity covered by VisitScotland to help SMEs to build capacity for longer term growth. The funding  will provide better access for SMEs to International markets.,IV1 1BA,0.4,01/04/2016, 31/12/2018,Strategic Intervention - Business Competitiveness,Scotland
"Competitiveness, Innovation and Jobs: Business Competitiveness (Falkirk)",Falkirk Council,1102500,2756250,ERDF,"significantly increase the assistance available to accelerate the growth of SMEs in the Forth Valley (Falkirk, Stirling and Clackmannanshire Council areas).  The vision is to support SMEs with sustainable growth potential.",FK1 5RS,0.4,01/04/16 , 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Business Growth Programme,Scottish Borders Council,546424,1366061,ERDF,Local Economic Development and Business Gateway business support activities  ,TD6 0SA,0.4,01/10/2015 , 31/12/2018,Strategic Intervention - Business Competitiveness,Scotland
"Competitiveness, Innovation and Jobs",North Ayrshire Council,1254000,3135000,ERDF,growth support programme which delivers an enhanced suite of business growth products to local SME’s.,KA12 8EE,0.4,01/04/16 , 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Business Competitiveness in Dunbartonshire,West Dunbartonshire Council,157170,632580,ERDF,increase the assistance to accelerate the growth of small and medium sized businesses in the West Dunbartonshire Council (WDC) and East Dunbartonshire Council (EDC) areas.  ,G82 3PU,0.2485,01/10/2015,31/12/2018,Strategic Intervention - Business Competitiveness,Scotland
Business Competitiveness West Lothian,West Lothian Council,1714153.87,4286284.68,ERDF,"raising the levels of performance of SME’s, particularly those in smart Specialisation and regionally important sectors through additional Business Gateway Service.",EH54 6FF,0.4,01/10/15, 31/10/18,Strategic Intervention - Business Competitiveness,Scotland
Business Gateway Local Growth Accelerator Programme,Orkney Council,201500,403000,ERDF,"Work closely with 60 SMEs through a range of activities designed to develop their growth aspirations, ranging from one to one advice, workshops, seminars and intensive specialist programmes.",KW15 1NY,0.5,02/11/2015 , 31/12/2018,Strategic Intervention - Business Competitiveness,Scotland
"Competitiveness, Innovation and Jobs: Competitiveness Delivery",Fife Council,739200,1852950,ERDF,This operation will significantly increase the assistance available to accelerate the growth of SMEs in Fife by enhancing the pipeline of economic development and Business Gateway support available with a menu of assistance available at key stages.,KY7 5LT,0.4,01/04/16, 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Business Gateway Local Growth Accelerator Programme,Argyll & Bute Council,272100,544200,ERDF,"To provide support SMEs who demonstrate growth ambition, and deepen support available to those already growing.",PA31 8RT,0.5,01/10/15, 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Specialist Advice & Growth Activities,Highland Council,47574.47,95148.93,ERDF,Management costs as permitted by national rules,IV3 5NX,0.5,01/04/15 , 31/09/19,Strategic Intervention - Business Competitiveness,Scotland
Specialist Advice & Growth Activities,Highland Council,722518.05,1445036.11,ERDF,extend Business Gateway services and link with the related employability and other local economic development activities to maximise the impact.,IV3 5NX,0.5,01/04/19 , 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Specialist Advice & Growth Activities (graduate placements),Highland Council,413691,827382,ERDF,support to growing SMEs and particularly micro SMEs on growth related projects by employing highly skilled Graduates to deliver the specified projects for a limited time (6-12 months). ,IV3 5NX,0.5,01/04/15 , 31/12/19,Strategic Intervention - Business Competitiveness,Scotland
Business Gateway Local Growth Accelerator Programme,Dumfries & Galloway Council,914541.04,2286352.62,ERDF,"Target businesses with aspirations to grow their potential, capacity, innovation or knowledge; and help local businesses into later stages of the Business growth pipeline provided through Scottish Enterprise.",DG1 2DD,0.4,01/10/15 , 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Business Competitiveness,West Lothian Council,147271.64,368179.1,ERDF,"Raising the levels of performance of SME’s, particularly those in smart Specialisation and regionally important sectors through expansion of Business Gateway Service",EH54 6FF,0.4,01/10/2015 , 31/12/2018,Strategic Intervention - Business Competitiveness,Scotland
"Business Advisory, Expert Help & Workshop Support",North Lanarkshire,71960.86,179902.16,ERDF,Management costs as permitted by national rules,G67 1JW,0.4,01/10/2015 , 31/12/2018,Strategic Intervention - Business Competitiveness,Scotland
"Business Advisory, Expert Help & Workshop Support",North Lanarkshire,1218248.96,3035122.4,ERDF,"Identify and work closely with 1624 SME’s across Lanarkshire to develop growth aspirations, provide specific expert- help, specialist advisory services focusing on overcoming sectoral and market development / generic barriers to growth.",G67 1JW,0.4,01/10/2015 , 31/12/2018,Strategic Intervention - Business Competitiveness,Scotland
Business Competitiveness Grant Support – Lanarkshire,North Lanarkshire,510000,1270000,ERDF,"Grant support for sustainable business growth, helping SMEs to implement projects which safeguard or increase employment (with a focus on youth employment) and increase their turnover",G67 1JW,0.4,01/10/15, 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Improving Business Competitiveness – Management and Compliance,Scottish Enterprise ,305504.4,763761,ERDF,Management costs as permitted by national rules,G2 6HQ,0.4,02/11/2015, 31/12/2018,Strategic Intervention - Business Competitiveness,Scotland
Aberdeen City and Shire Business Gateway +,Aberdeenshire Council,360290,900725,ERDF,The Operation will complement and extend the scope of core Business Gateway across North East Scotland.,AB16 5GB,0.4,01/04/2017, 31/12/2018,Strategic Intervention - Business Competitiveness,Scotland
Business Gateway Local Growth Accelerator Programme – Outer Hebrides,Comhairle nan Eilean Siar,112500,225000,ERDF,This Operation will significantly increase the assistance available to accelerate the growth of micro and small & medium sized enterprises (SMEs) in the Outer Hebrides and contribute to the National Business Gateway approach to supporting growth businesses across Scotland.,HS1 2BW,0.5,01/01/2016, 31/12/2018,Strategic Intervention - Business Competitiveness,Scotland
SME Holding Fund Business Unit,Scottish Government,27600000,69000000,ERDF,The Operation will provide investment funding to SME’s which will help finance their growth and export ambitions,G2 8LU,0.4,01/07/2015, 31/12/2018,Strategic Intervention - Business Competitiveness,Scotland
Assisting SME's in H&I to Internationalise,Highlands and Islands Enterprise,10426264,3749029,ERDF,"To support the capacity of SMEs to grow in regional, national and international markets, and to engage in more innovative activity",IV1 1BA,0.36,01/04/15, 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Strategic Intervention Management Team,Highlands and Islands Enterprise,128000,320000,ERDF,"To support the capacity of SMEs to grow in regional, national and international markets, and to engage in more innovative activity",IV1 1BA,0.4,01/04/16 , 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Leadership Programme,Highlands and Islands Enterprise,539444,1498609,ERDF,"To support the capacity of SMEs to grow in regional, national and international markets, and to engage in more innovative activity",IV1 1BA,0.4,08/02/16 , 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Scotgrads Highlands and Islands,Highlands and Islands Enterprise,888824,2222060,ERDF,"To support the capacity of SMEs to grow in regional, national and international markets, and to engage in more innovative activity",IV1 1BA,0.4,01/04/14 , 31/03/18,Strategic Intervention - Business Competitiveness,Scotland
International Highlands and Islands,Highlands and Islands Enterprise,1310240,3275600,ERDF,"To support the capacity of SMEs to grow in regional, national and international markets, and to engage in more innovative activity",IV1 1BA,0.4,01/07/15 , 30/09/18,Strategic Intervention - Business Competitiveness,Scotland
Creative Industries Network and Conference Programme,Highlands and Islands Enterprise,950400,2376000,ERDF,"To support the capacity of SMEs to grow in regional, national and international markets, and to engage in more innovative activity",IV1 1BA,0.4,01/11/14 , 31/10/17,Strategic Intervention - Business Competitiveness,Scotland
Leadership Programme,Highlands and Islands Enterprise,539444,1498609,ERDF,Leadership support which builds on previous programmes but takes the provision in this area higher and further.  Targeted support for a wide range of participants in private and third sector organisations.  ,IV1 1BA,0.36,08/02/16 , 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Creative Industries Network and Conference Programme,Highlands and Islands Enterprise,950400,2376000,ERDF,"The project involves running a Creative Industries Network Programme delivering support to creative businesses and entrepreneurs on behalf of HIE.  The programme will build on the success of the previous model, and develop new ways of working to increase the impact and benefits of the sector. ",IV1 1BA,0.4,01/11/14 , 31/10/17,Strategic Intervention - Business Competitiveness,Scotland
Improving SME Business Competitiveness,Scottish Enterprise,7980815,19952038,ERDF,"To drive economic growth and job creation with circa 2,000 SMEs over the next 3 years who have ambitions for growth particularly focussed on international and smart specialisation sectors.  ",G2 6HQ,0.4,01/10/15 , 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
SME Holding Fund Management Costs,Scottish Government,175793,439481,ERDF,Management costs.  ,G2 8LU,0.4,01/07/15 , 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Business Growth Renfrewshire,Renfrewshire Council,130167,325421,ERDF,Support to SME’s in Renfrewshire  with growth potential.  ,PA1 1LL,0.4,01/01/17 , 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Entrepreneurship Programme,Highlands & Islands Enterprise,142430,379575,ERDF,Support to entrepreneurs contributing to economic growth in private and third sector organisations.  ,IV1 1BA,0.4,01/01/17 , 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Construction of Life Science Unit,Highlands & Islands Enterprise,1400000,3500000,ERDF,Support increased life science activity positively impacting on the region delivering growth in the commercial sector including accommodating commercial SMEs.  ,IV1 1BA,0.4,01/09/17 , 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
Orkney Research Campus,Highlands & Islands Enterprise,1480000,3700000,ERDF,Build on existing innovative R&D in the field of marine renewables and green energe storage creating new business activity and employment opportunities.  ,IV1 1BA,0.4,01/0817 , 31/12/18,Strategic Intervention - Business Competitiveness,Scotland
SME Holding Fund Business Unit,Scottish Government,12400000,31000000,ERDF,"This Operation is for the £12.4m ERDF fund capital value of the SME Holding Fund under Thematic Objective One, providing investment funding to innovative SMEs which will help finance their growth and export ambitions.",G2 8LU,0.4,01/07/2015 , 31/12/2018,Strategic Intervention – Innovation,Scotland
Improving Business Innovation – Management & Compliance ,Scottish Enterprise,217895.85,544739.63,ERDF,"Supporting the capacity of SMEs to grow in regional, national and international markets",G2 6HQ,0.4,02/11/2015,31/12/2018,Strategic Intervention – Innovation,Scotland
Innovation Service,Highlands & Islands Enterprise,749925,1499850,ERDF,"Promoting business investment in R&I, developing links and synergies between enterprises, research and development centres and Scotland’s higher education sector. ",IV1 1BA,0.5,01/07/15, 30/06/18,Strategic Intervention – Innovation,Scotland
Knowledge Exchange Placement Programme,Highlands & Islands Enterprise,185057,370114,ERDF,"The creation of 12 strong tripartite partnerships between a graduate, business and an appropriate Scottish University to undertake a high level research and development project lasting between 18 and 24 months.  ",IV1 1BA,0.5,01/07/15 , 31/12/18,Strategic Intervention – Innovation,Scotland
Improving Business Innovation -Wider Innovation,Scottish Enterprise,2278030,5695200,ERDF,"Focussing on the area of increasing businesses to innovate to create the population of SMEs that will address a number of issues including low levels of business funded R&D; low numbers of business engaged in innovation, lack of new products and services for international markets and lower business impact from innovation activity.  ",G2 6HQ,0.4,01/10/15 , 31/12/18,Strategic Intervention – Innovation,Scotland
Improving Business Innovation – Deeper Innovation,Scottish Enterprise,6713711,16784277,ERDF,"Focussing on SMEs improving their innovation management capability and increasing their capacity to create new products, new processes, new services or new business models that will drive their future competitiveness. ",G2 6HQ,0.4,01/10/15 , 31/12/18,Strategic Intervention – Innovation,Scotland
Energy Technology Partnership Knowledge Exchange – Phase 2,Scottish Enterprise,293960,734901,ERDF,"Support sub-sectors that offer the greatest potential to generate economic value.  Promote innovation and the benefits of investing in Research, Development and Demonstration activities through facilitating engagement between SMEs in the energy sector and the academic base.  ",G2 6HQ,0.4,01/04/16 , 31/12/18,Strategic Intervention – Innovation,Scotland
LUPS Social Economy Development Programme,Scottish Government,3023424,7558560,ESF,"Support growth and increase the capacity and sustainability of social economy organisations to  develop, enhance and deliver support programmes to disadvantaged areas and groups, and create more employment opportunities and to encourage and support social innovation approaches to tackling poverty, creating stronger links between the social economy, communities, academia and research institutes.  ",EH6 6QQ,0.4,04/04/2016,30/06/2019,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
H&I Social Economy Development Programme,Scottish Government,944822,1889644,ESF,"support growth and increase the capacity and sustainability of social economy organisations to  develop, enhance and deliver support programmes to disadvantaged areas and groups, and create more employment opportunities and to encourage and support social innovation approaches to tackling poverty, creating stronger links between the social economy, communities, academia and research institutes.  ",EH6 6QQ,0.5,04/04/2016,30/06/2019,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Tackling Poverty SI Management Support,Scottish Government,317261,755386,ESF,"Strategic Intervention management, administration and compliance.",EH6 6QQ,0.42,04/04/2016 , 30/06/2019,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Shetland Fuel Poverty Service,Shetland Islands Council,60000,120000,ESF,The operation will provide support to low income households in Shetland aimed at reducing household energy bills and increasing the warmth of homes. ,ZE1 0HB,0.5,01/04/2016,30/06/2019,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Shetland Financial Health Service,Shetland Islands Council,60000,120000,ESF,The operation will provide personalised support to participants in low income households to reduce levels of debt and increase capacity to manage monthly household budget. It will provide an educational programme alongside intensive advice services,ZE1 0HB,1,01/04/2016,30/06/2019,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Delivering Financial Inclusion - LUPS ,Big Lottery,5045645,12614114,ESF,"The Operations will deliver support services to increase the financial capacity and therefore improve the social inclusion of the most disadvantaged individuals and households in the five distinct areas across Scotland: Dundee, Glasgow, Inverclyde, North Ayrshire, and Argyll & Bute.",G2 6UA,0.4,20/02/2017, 19/08/2020,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Delivering Financial Inclusion - H&I,Big Lottery,1887173,3774346,ESF,"The Operations will deliver support services to increase the financial capacity and therefore improve the social inclusion of the most disadvantaged individuals and households in the five distinct areas across Scotland: Dundee, Glasgow, Inverclyde, North Ayrshire, and Argyll & Bute..",G2 6UA,0.5,20/02/2017, 19/08/2020,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Delivering Financial Inclusion -Management Support,Big Lottery,399681,944873,ESF,"Strategic Intervention management, administration and compliance.",G2 6UA,0.42,01/04/2016, 19/02/2020,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Inclusive Aberdeenshire Challenge Fund,Aberdeenshire Council,717077.68,1792694.2,ESF,"A fund to support third sector and other organisations to deliver enhanced Financial Inclusion services to low income individuals and households affected by poverty and social exclusion.  Challenge fund grant recipients will provide a range of enhanced services which will address matters such as money management, debt, welfare benefits, digital inclusion and affordable childcare.",AB16 5GB,0.4,01/04/2016, 30/06/2019,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
Positive Futures,Perth & Kinross Council,407000,1017500,ESF,"This Operation will provide support to individuals who are the furthest from the labour market and face challenging combination of barriers, provide holistic advice and assistance on finances, housing benefits, health employment and education.  It will support lone parents, workless households with children in five areas of deprivation throughout Perth and Kinross: Perth City North, Perth City Centre, Blairgowrie and the Glens, Strathmore and Highland.",PH1 5GD,0.4,01/06/2016, 30/06/2019,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
"Performance, Financial & Compliance Staff",Renfrewshire Council,63211.36,158028.4,ESF,"Strategic Intervention management, administration and compliance.",PA1 1LL,0.4,01/04/2015, 30/06/2019,Strategic Intervention - Social Inclusion and Poverty Reduction,Scotland
