Recipient of funds,Name of Project,Type of fund,Summary of project (max 100 words),Start date,End date,ERDF/ESF investment £m,Total project costs £m,Percent of project funded by EU,Location (postcode),Local Enterprise Partnership area,Country,Type and focus of support (*Category of intervention)*
Cornwall Development Company,South and East Cornwall Local Action Group (SELAG) - CLLD Preparatory Support ERDF,ERDF,"The project provides preparatory funding to enable the South and East Cornwall Local Action Group to develop a Community Led Local Development Strategy for the most deprived communities in the area.  This preparatory funding will support the engagement and training of local stakeholders; support the costs of targeted consultation activity; studies and evidence gathering and related administrative costs.  At the end of this phase a fully evidenced based Local Development Strategy for Community Led Local Development will have been developed, a Community Led Local Development Local Action Group established and the Accountable Body for the Community Led Local Development delivery phase identified.",01. Feb 16,31. Aug 16,18000,20000,90%,TR15 3QG,Cornwall and the Isles of Scilly,England,
Cornwall Development Company,West Cornwall Local Action Group (WCLAG) - CLLD Preparatory Support ERDF,ERDF,"The project provides preparatory funding to enable the South and East Cornwall Local Action Group to develop a Community Led Local Development Strategy for the most deprived communities in the area.  This preparatory funding will support the engagement and training of local stakeholders; support the costs of targeted consultation activity; studies and evidence gathering and related administrative costs.  At the end of this phase a fully evidenced based Local Development Strategy for Community Led Local Development will have been developed, a Community Led Local Development Local Action Group established and the Accountable Body for the Community Led Local Development delivery phase identified.",01. Feb 16,31. Aug 16,18000,20000,90%,TR15 3QG,Cornwall and the Isles of Scilly,England,
RTC North Limited,Designing Better Business,ERDF,"Designing Better Business will support SMEs to become resilient and move up the value chain by increasing their internal capacity to innovate and respond to the evolving needs of current and untapped markets.  The programme provides the capability to turn customer insights into high value products and services. This is embedded through exposure to best practice in design-led innovation, the challenging of existing business models and access to support to realise these opportunities in the business.",01. Okt 15,30. Dez 18,1540990,2853685,54%,SR5 3HD,North East,England,
RTC North Limited,The Innovation Pathway,ERDF,"The aim of the Innovation Pathway is to increase the competitiveness of North East enterprises operating in or around the healthcare sector.  It will do this through the delivery of a programme of support for the uptake and /or commercialisation of new products, processes and intellectual property identified within the North East NHS Trusts. The programme will support SMEs to introduce new products and services to the market through the application of small exemplar grants.",01. Okt 15,30. Dez 17,1050725,2020625,"52,00%",SR5 3HD,North East,England,
Bath and North East Somerset Council,West of England Technical Assistance Project (ERDF),ERDF,"The project is to form a team of staff who are able to provide advice and guidance to potential applicants and help build capacity within applicants.  The team will enhance the impact of ERDF within the West of England by ensuring that the funding opportunity is widely understood and to improve the quality of applications received to the Fund and thereby the impact, in terms of outputs and results, that are delivered.",01. Okt 15,01. Okt 18,130000,260000,"50,00%",BS1 6QH,West of England,England,
Health for All (Leeds) Ltd,Community Led Local Development South Leeds,ERDF,"The project is the preparatory stage of the CLLD strategy for inner south Leeds. Intensive work with the local community and stakeholders will result in a coherent, effective, innovative Local Development Strategy to build capacity within communities as a foundation for economic growth.  The accountable body for the CLLD Implementation Stage to deliver the Plan will be identified and a representative Local Action Group established. Local charity Health for All will deliver the project, building upon existing strong networks and forums, partnerships and trust between all sectors and the local community.",15. Feb 16,31. Aug 16,6432,13784,"46,66%",LS10 4HX ,Leeds City Region,England,
Gipton Supported Independent Living Limited (GIPSIL),Inner East Leeds Community Led Local Development,ERDF,"The initial project is targeted on the LSOAs in and adjacent to the Inner East Leeds area, which fall within the 20% most deprived nationally. The project will engage and consult with the community through specific CLLD events and  existing networks (eg, Neighbourhood Improvement Partnerships) in order to achieve: the activation of a Local Action Group; the development of a Community Led Local Development Strategy; the identification of the specific LSOAs comprising the target CLLD area, and the identification of an appropriate Accountable Body.",10. Feb 16,31. Aug 16,5886,11799,"49,89%",LS7 3EX,Leeds City Region,England,
Hull City Council,Hull Local Action Group,ERDF,"A Local Action Group (LAG) will be created that will develop a draft strategy to support people in the 20% most deprived areas of Hull into or towards employment, including self employment. One LAG in Hull will provide a joined up approach, with cross city solutions which avoid duplication and maximise resources.The focus will be addressing barriers and identifying innovative solutions, potentially focussing on digital inclusion, which has already been identified at stakeholder engagement events. The final focus and priorities for Hulls LAG will be investigated in detail during the preparatory stage, utilising community development expertise and wide stakeholder engagement.",01. Mrz 16,31. Aug 16,14000,20000,70%,HU1 2AA ,Humber,England,
North East Lincolnshire Council,NEL LAG Preparation Phase - ERDF,ERDF,"The project is the preparatory phase of CLLD in NEL  it will focus on the inner urban area of Grimsby and Cleethorpes and in particular the wards which lie in the  bottom 20% IMD. The project will focus on building community networks, adding value to existing groups and organisations working with people who are excluded from the labour market. We are aiming to develop our LAG through volunteers from these organisations so that we have an inclusive and community focussed LAG that will support new ways of engaging and working with people to increase their employment prospects.",01. Mrz 16,31. Aug 16,14000,20000,70%,DN31 1HU ,Humber,England,
North Lincolnshire Council,North Lincolnshire and Goole CLLD Preparatory Stage,ERDF,"The project will develop a Local Development Strategy, and Local Action Group, for the delivery of Community Led Local Development in the eligible areas of North Lincolnshire.North Lincolnshire Council will partner with Voluntary Action North Lincolnshire to develop a community engagement plan to ensure that local communities and stakeholders are fully involved in the development of the strategy and the Local Action Group.  A range of consultation methods will be used to achieve this using participative techniques and employing an asset-based approach to community development, mobilising individuals and community assets, rather than focusing on problems and needs.",01. Mrz 16,31. Aug 16,14000,20000,70%,DN16 1AB ,Humber,England,
Keighley and Ilkley Voluntary and Community Action (KIVCA),Keighley CLLD,ERDF,"The Keighley CLLD aims to operate across Keighley East, West and Central wards of Bradford Metropolitan District Council. It will recruit a Local Action Group to oversee development of a strategy. Key stakeholders and target beneficiaries will be consulted through a planned series of consultation opportunities and their views will inform the strategy and shape the activities that the LAG will devise. The project will also appoint an accountable body.",01. Mrz 16,31. Aug 16,7500,12500,60%,BD21 3JD ,Leeds City Region,England,
Kirklees Council,Community Leadership Works,ERDF,"The LAGs Strategy will develop a community-led learning and skills structure, empowering residents to articulate skills needs and co-produce solutions: Commissioning learning, skills and employment focussed activity; Growing the capacity of 3rd Sector and small organisations; Securing robust, sustainable 3rd sector learning and skills delivery structures. Targeted areas around Huddersfield and Dewsbury/Batley town centres, where respectively 63.4% and 50.2% of the populations live within the top 10% nationally of multiply deprived neighbourhoods. The outcome will be more people with more skills facing the future with confidence and resilience, moving from engagement and support activity to learning, skills and employment",01. Mrz 16,31. Aug 16,11894,19822,60%,HD1 1BY,Leeds City Region,England,
Council of the City of Wakefield,People Enabling Area Transformation (PEAT),ERDF,"Wakefield Council, working in partnership with Nova Wakefield District and its voluntary and community sector organisations (VSCOs) will engage with local people, organisations and businesses in the Five Towns and South East Coalfield Areas to launch the CLLD preparatory stage.  This will be achieved by establishing one functioning Local Action Group to provide strategic leadership and direction to four Local Implementation Groups in Airedale, Hemsworth, South Elmsall and Havercroft & Ryhill.  This approach builds on well-established local Area Working arrangements. It will ensure the Local Development Strategy reflects the uniqueness of these diverse areas, while identifying common themes. ",01. Mrz 16,31. Aug 16,6924,11540,60%,WF1 2EB,Leeds City Region,England,
City of York Council,4Community Growth York ,ERDF,Yorks economic success masks highly marginalised pockets of multiple deprivation and social isolation. 4Community Growth will work with its partners to deliver a multi funded approach. It will deliver improved access to the employment market and develop SME opportunities tailored to the area needs. This will be achieved through community consultation and by developing a support network focusing on enhancing the qualities needed to sustain individuals/ groups in deprived areas to overcome the barriers that have prevented previous developments from working. It will develop a critical mass needed to sustain future growth and innovation after the five year programme,11. Feb 16,31. Aug 16,12000,20000,60%,YO1 6GA,Leeds City Region,England,
Highways England,A30 Carland-Chiverton Cross,ERDF,"This project is for the Development Phase of a larger ERDF funded construction project to upgrade 12.5km of the existing single carriageway road to dual carriageway on the A30 between Carland Cross and Chiverton Cross.  The necessary surveys, traffic assessments, initial planning, public/statutory consultation, route options, road design and a strategic environmental assessment will be undertaken to progress the project to a stage where an ERDF contract can be issued for the construction phase. The project will contribute to economic growth and job creation, by encouraging investment and supporting development, relieving congestion and improving safety and connectivity for local communities.",01. Sep 15,30. Jun 18,8000,10000,80%,EX2 7LB,Cornwall and the Isles of Scilly,England,
North Tyneside Council,Made in North Tyneside (MINT),ERDF,Innovation and social enterprise programme helping start up and existing SMEs to develop new products and enter new markets.,01. Apr 16,30. Mrz 19,899997,1800000,50%,NE1 7RU, North East , England ,
Northumbria University,Northumbria Enterprise and Business Support,ERDF,Enhance competitiveness of SMEs and creation of new enterprisess in North East Local Enterprise Partnership area. The project will also support a graduate internship scheme.,01. Okt 15,30. Sep 18,1037016,2074031,50%,NE1 8ST, North East , England ,
NEEAL,Business Compass Start Up,ERDF,Providing business entrepreneurship and start up support in the Tees Valley area.,01. Okt 15,30. Jun 18,1235581,2059303,60%,SR5 2TA, TEES Valley , England ,
NEEAL,Enterprise Support in North East,ERDF,LEP-wide comprehensive support package to individuals considering starting a business,01. Okt 15,30. Jun 18,1461043,2740021,53%,SR5 2TA, North East , England ,
NEPIC,SME Growth via Facilitated Market Access and Energy Management,ERDF,Support SMEs to develop within the process sector through mentoring by industry experts and external consultants.  The project will also strengthen the North East's manufacturing supply chain capability.,01. Jan 16,01. Mrz 19,500751,927323,54%,SR5 3XB, North East , England ,
University of Nottingham,Environmental Technology Centre 6,ERDF,"The Environmental Technology Centre (ETC) project will promote low-carbon innovation for SMEs in the D2N2 region through facilitating research, innovation, development and the adoption of low-carbon technologies, as well as encouraging greater energy efficiency and renewable energy use in SMEs
The objective of the project is to assist companies to survive, grow and diversify whilst becoming smarter about how they do things in an energy efficient way and increasing their productivity through low-carbon innovation and ultimately boosting savings in GHG emission. This will be achieved through a number of mechanisms including technology and knowledge transfer, access to the Universitys hub of expertise and facilities and small capital grants.
",01. Apr 16,31. Mrz 19,1752547,3505106,50%,NG7 2TU, D2N2 , England ,
Staffordshire and Black Country Business Innovation Centre Ltd,Staffordshire Business Innovation & Incubation Support 3 (SBIIS3),ERDF,"The aim of the SBIIS3 project is to develop a greater culture of innovation within the Stoke & Staffordshire region and increase the overall worth (GVA) of participating businesses.
Individuals and/or businesses will be referred to the project via the Growth Hub  Business Helpline, Enterprise Centres, Business Centres, Direct Marketing and Personal Referrals.",01. Jan 16,31. Dez 18,1462344,2437239,64%,ST11 9AU, Stoke-on-Trent and Staffordshire , England ,
Birmingham City Council,Business Growth Programme (BGP),ERDF,"Business Growth Programme (BGP) is an integrated and comprehensive business support package strengthening supply chain companies, stimulating innovation and growing existing SMEs. It builds on successful delivery of previous business programmes and responds to new opportunities from the HS2 investment. BGP will operate across GBSLEP, Stoke-on-Trent and Staffordshire LEP and The Marches LEP areas to provide revenue and capital grants of £10,000 - £200,000. Will improve business confidence, encourage private sector investment, accelerate economic growth and create new jobs. The programme will support growth of 576 SMEs, create 1,331 new jobs, generate £15m private sector investment and increase regional productivity/GVA. ",01. Jul 16,01. Dez 18,16294221,32588444,50%,B1 2ND, Greater Birmingham and Solihull , England ,
Coventry City Council,(SME Support) Coventry and Warwickshire Low Carbon Programme,ERDF,The project will deliver a cohesive package of activities that will enhance the renewable energy infrastructure across Coventry and Warwickshire and facilitate the growth of the low carbon economy through focussed SME support activities that will foster the development of new products.,01. Jan 16,31. Dez 18,3218771,8505494,38%,CV1 2PY, Coventry and Warwickshire , England ,
Worcestershire County Council,Worcestershire Proof of Concept,ERDF,"Worcestershire Proof of Concept programme will support businesses to develop innovative new products and processes.   Applicants will be supported to investigate and, advance innovative ideas and to commercialise new innovations.  Grants of up to £30,000 (£50,000 in exceptional circumstances) will be available, up to 50% of project costs.  Innovation events will be established as a collaboration platform for SMEs, research organisations and intermediaries.    The programme will stimulate innovation, diversification and R&D, while increasing investment, creating new products and improving the productivity, profitability and competitiveness of 45 Worcestershire SMEs This will lever in £1.35m private sector investment in Worcestershire.  ",01. Apr 16,30. Apr 19,1019188,2038375,50%,WR5 2NP, Worcestershire , England ,
Coventry City Council,Coventry and Warwickshire ESIF Technical Assistance,ERDF,"The project will deliver technical assistance support to prospective ESIF applicants and projects within Coventry & Warwickshire. This will facilitate the development of a strong pipeline of projects for each Thematic Objective that will address key Coventry & Warwickshire ESIF priorities, and maximise the impacts of ESIF-funded activities on the local economy. It will be achieved by delivering communications on Calls for Applications, supporting applicants at Outline and subsequently Full Application stage to ensure compliance with ESIF regulations, and facilitating the exchange of good practice and learning points between projects and applicants.",01. Okt 15,31. Dez 18,181624,363248,50%, CV1 2PY, Coventry and Warwickshire , England ,
Business Enterprise Support Limited (BES),Enterprise Coaches in Stoke-on-Trent and Staffordshire,ERDF,"Unemployment in Stoke-on-Trent and Staffordshire is concentrated within geographies characterised by populations with poor qualifications, low skills, low expectations and below average levels of enterprise activity as reflected in lower than average business formation rates and lower rates of self-employment.  By engaging people from enterprise poor areas, including under-represented groups, who would not normally consider setting up in business or becoming self-employed and providing one-to-one coaching, business advice and start-up grant aid the project will facilitate the creation of new businesses leading to reductions in unemployment and an increase in the number of businesses within our most deprived areas.",01. Jan 16,31. Dez 18,1019996,1019965,60%,DE1 2WQ, Stoke-on-Trent and Staffordshire , England ,
Oxford Innovation,Coaching for Growth,ERDF,The project will deliver one-to-one bespoke coaching for high growth SMEs to help them realise their potential,01. Nov 15,31. Okt 18,8801667,11002086,80%,OX1 1BY, Cornwall and the Isles of Scilly , England ,
Oxford Innovation,Cornwall Business Start UP,ERDF,"The project will work with eligible entrepreneurs and start-ups, providing them with expert support and a bespoke Start-Up plan to develop their business",01. Nov 15,31. Okt 16,5890645,7363306,80%,OX1 1BY, Cornwall and the Isles of Scilly , England ,
Derby City Council,The D2N2 Technical Assistance Programme,ERDF,The project will deliver a LEP wide Technical Assistance programme involving a range of key delivery partners to increase the understanding of and engagement with the ERDF programme.The project proposes a hub and spoke delivery model with core TA hub services being delivered by the D2N2 LEP with geographic and sector specialist organisations (e.g. local authorities / sector specialists) providing bespoke spoke services to applicants to the ESIF programme.This model will promote ESIF opportunities and ensure a pipeline of compliant projects are supported to successfully deliver the targets identified in the D2N2 ESIF strategy and Operational Programme.,01. Jan 16,31. Dez 18,415319,830636,50%,DE1 2FS, D2N2 , England ,
YTKO,Outset Cornwall,ERDF,"Outset Cornwall and its partners will provide a seamless, tailored and specialist enterprise support service for pre-start individuals and new business through its collective expertise in outreach, engagement, training, financing,coaching and mentoring.",01. Dez 15,30. Nov 18,3360000,4200000,80%,CB4 2QH, Cornwall and the Isles of Scilly , England ,
University of Nottingham,Enabling Innovation,ERDF,"Enabling Innovation will deliver an inclusive, joined-up programme of innovation support activities for SMEs across the D2N2 area by combining the resources of 3 local universities to achieve scale and impact. 
The emphasis will be on enabling technologies as a driver for innovation within and between sectors. Both technical and non-technical interventions, from introductory workshops through to long-term research and innovation collaborations, will be provided including support for spin-out and graduate start-ups.
The project will deliver D2N2s innovation strategy Time to Innovate and will result in an increase in the number of SMEs bringing new products and processes to market.",01. Apr 16,31. Mrz 19,10142912,20285820,50%,NG7 2TU, D2N2 , England ,
Food and Drink Forum,Food Enterprise Advisory Support Team (FEAST),ERDF,"The Food Enterprise Advisory Support Team (FEAST) is a new dynamic business support programme targeting the priority D2N2, SEMLEP and NEP Food and Drink sectors. In a comprehensive approach FEAST will deliver baseline survey technical advice, business mentoring, local events, an apprentice programme and capital grants - all support needed by growing food SMEs to help them create quality jobs for the D2N2, SEMLEP and NEP areas. FEAST complements both the Growth Hubs and programmes for the other D2N2, SEMLEP and NEP priority sectors, and secures significant outputs in a value for money approach. ",01. Jan 16,01. Mrz 19,3575152,7150306,50%,NG5 9RG, D2N2 , England ,
Aston University,EBRI,ERDF,"EBRI (European Bioenergy Research Institute): Business Investment in Research is the next phase of the Aston University programme to engage local SMEs in knowledge exchange, research and innovation and bring new products and processes to market in bioenergy and energy systems. This will be delivered by the EBRI team through awareness raising events, business support and business access to demonstration facilities. The project will increase investment in research and innovation by SMEs in technologies identified through smart specialisation in the growth area of ""low carbon"".  It builds directly from demand from the business community.",01. Mai 16,30. Apr 19,1376276,2752548,50%,B4 7ET, Greater Birmingham and Solihull , England ,
Solihull Metropolitan Borough Council,GBSLEP TA,ERDF,"The Project draws together a range of cross-sector partners to deliver local Technical Assistance provision to support the ERDF elements of the GBS LEP ESIF strategy. Activity: awareness raising and capacity building; providing advice for potential applicants to help improve the quality of applications. Staff will be experienced in EU funding; coupled with specialist knowledge and expertise from thematic leads to support projects to meet the Operational Programme and the ESIF Strategy.Achievements: strong satisfaction ratings from supported organisations; and applications where support has been provided will have a stronger success rate than non-supported applications. 
",01. Jan 16,31. Dez 18,1104212,2208424,50%,B91 9QS, Greater Birmingham and Solihull , England ,
Leicester and Leicestershire LEP,Leicester and Leicestershire Business Gateway - (Growth Hub),ERDF,This project offers SMEs across Leicester and Leicestershire a single point through which they can access all ERDF business support. Project activity is focussed on providing information on ERDF business support to SMEs and what support is available and how they can access it and also providing advice and support to SMEs on accessing the right business support to overcome tehir barriers to growth.,01. Sep 15,31. Dez 18,750967,1501929,50%,LE1 1FZ, Leicester and Leicestershire , England ,
Northamptonshire Enterprise Partnership,Delivering the Northamptonshire ERDF Technical Assistance Strategy,ERDF,"The project addresses the Northamptonshire Technical Assistance ambition, by providing a comprehensive service to ERDF applicants, including hard to reach groups, supporting them to develop compliant and effective projects; and ensuring that EU publicity requirements are met, and the benefits of the funds are widely communicated. It will result in early delivery and expenditure as the applications submitted will be compliant and deliverable. It will ensure inclusivity as the needs of all client groups, including hard to reach groups, are addressed. Finally, it will publicise the benefits and successes of the programme and ensure that EU publicity requirements are met.  
",22. Jul 15,31. Mrz 18,199997,400000,50%,NN1 5DQ, Northamptonshire , England ,
South East Midlands LEP,South East Midlands ERDF TA Programme 2015-2018,ERDF,"This project will use Technical Assistance funding to provide local level support and assistance to potential applicants for ERDF from across the South East Midlands LEP area, to enable them to develop robust and compliant projects.Activities will include:  
 Promotion and publicity of funding opportunities  
 Pipeline project and programme development  
 Capacity building activities, including events, workshops and surgeries 

Over the three year period, a minimum of 28 projects will be supported to apply and 22 training and dissemination events will be held, in addition to preparatory financial instrument work, needs assessment and research work as required.  
",01. Jul 15,31. Aug 18,182825,365651,50%,MK43 0BT , South East Midlands , England ,
