Name des Begünstigten ,Bezeichnung des Vorhabens,Zusammenfassung des Vorhabens ,Beginn des Vor-habens ,Ende des Vor-habens ,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens ,Unions-Kofinan- zierungssatz  pro Prioritäts-achse  ,Postleitzahl des Vorhabens ,Land ,Bezeichnung der Interventionskategorie
"ABS Gesellschaft f.Automatisierung, Bildverarbeitung und Software mbH",Unterstützung beim Ausbau der Entwicklung optischer feinmechanischer Messsysteme,Unterstützung beim Ausbau der Entwicklung optischer feinmechanischer Messsysteme,16.10.2015,15.10.2017,"72.000,00",80.00%,07747 Jena,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
"ABS Gesellschaft f.Automatisierung, Bildverarbeitung und Software mbH",Entwicklung eines universellen Hochleistungs-Interfaces für digitale Kamerasysteme auf Basis der Gigabit-Ethernettechnologie,"Aufgabe für Herrn Hohmeier ist es u.a., sich zur Thematik der Gigabit-Ethernet-Technologie zu qualifizieren.   Ziel ist die Entwicklung eines universellen Hochleistungs-Interfaces für digitale Kamerasysteme auf  Basis der Gigabit-Ethernettechnologie. Es ist eine Kommunikation auf dem einheitlichen Protokoll auf Basis von UDP/IP zu realisieren, dieses in eine GigE-Vision-Umgebung einzubetten und  GenICam-kompatibel zu realisieren. Die Implementierung erfolgt auf der FPGA-Familie Lattice ECP3.  Herr Hohmeier  wird ebenfalls Entwicklungsthemen in den laufenden und neuen FuE-Thematiken  übernehmen.",16.03.2016,15.03.2018,"72.000,00",80.00%,07747 Jena,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ADISY Consulting GmbH & Co. KG,"Beratung durch selbständige Unternehmensberater im Bereich Rationalisierungsmaßnahmen und Kostensenkung, Technologietransfer und zur Technologieanwendung",Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,01.12.2014,30.09.2015,"14.160,00",80.00%,"99423 Weimar, Thür",DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
AF-Altenburger Fitness GmbH,"Beratung durch selbständige Unternehmensberater in den Bereichen Produktportfolio, Marktanalysen und Marketing",Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,12.02.2016,30.09.2016,"14.160,00",80.00%,"04600 Altenburg, Thür",DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
AHB Automobile GmbH,"Beratung durch selbständige Unternehmensberater im Bereich Produktportfolio, Marktanalysen und Marketing",Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,02.02.2015,31.10.2015,"0,00",80.00%,"99867 Gotha, Thür",DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
AKH Handelsgesellschaft mbH,Beratung durch selbständige Unternehmensberater im Bereich Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,27.02.2015,31.01.2016,"3.360,00",80.00%,07554 Korbußen,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
AKH Handelsgesellschaft mbH,Beratung durch selbständige Unternehmensberater in den Bereichen Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,07.03.2016,15.11.2016,"3.360,00",80.00%,07554 Korbußen,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ALS Automated Lab Solutions GmbH,Beratung durch selbständige Unternehmensberater im Bereich Finanzierung und Investition,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,04.06.2015,15.11.2015,"17.800,00",80.00%,07747 Jena,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ALVÁRIS PROFILE SYSTEMS GmbH,Beratung durch selbständige Unternehmensberater im Bereich Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,02.04.2015,15.11.2015,"3.780,00",80.00%,98527 Suhl,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ALVÁRIS PROFILE SYSTEMS GmbH,Beratung durch selbständige Unternehmensberater in den Bereichen Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,29.03.2016,31.10.2016,"4.410,00",80.00%,98527 Suhl,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ALWA Montagen AG,Beratung durch selbständige Unternehmensberater in den Bereichen Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,25.01.2016,30.06.2016,"9.000,00",80.00%,99098 Erfurt,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
AMOR Gummiwaren GmbH,Beratung durch selbständige Unternehmensberater in den Bereichen Finanzierung und Investition,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,25.02.2016,15.11.2016,"17.800,00",80.00%,99310 Arnstadt,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ANC netcontrol GmbH,Entwicklung eines Softwarepaketes für Tonfrequenz-Rundsteueranlagen (Rundsteuertechnik),Entwicklung eines Softwarepaketes für Tonfrequenz-Rundsteueranlagen (Rundsteuertechnik),01.07.2015,30.06.2017,"72.000,00",80.00%,"98597 Breitungen, Werra",DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ANC netcontrol GmbH,Beratung durch selbständige Unternehmensberater im Bereich Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,23.04.2015,15.11.2015,"4.500,00",80.00%,"98597 Breitungen, Werra",DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
AP-Miniplant GmbH & Co. KG,"Weitere Bearbeitung eines bereits bestehenden Förderprojektes, laufende Weiterentwicklung von Einzelanlagen, Verbesserung des Marketings und Rationalisierung bei der Erzeugung Anlagenspezifischer Dokumention.",Innovatives Personal,16.07.2015,15.07.2017,"72.000,00",80.00%,37318 Lindewerra,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ARBEIT UND LEBEN Thüringen e.V.,"Beratung, Begleitung und Unterstützung durch Qualifizierungsentwickler in den Bereichen Ausbildung und Qualifizierung",Qualifizierungsentwickler (Beratungs-RL),01.01.2015,31.12.2015,"144.050,44",80.00%,99089 Erfurt,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ARBEIT UND LEBEN Thüringen e.V.,"Beratung, Begleitung und Unterstützung durch Qualifizierungsentwickler in den Bereichen Ausbildung und Qualifizierung","Arbeit und Leben Thüringen als gewerkschaftlicher Bildungsträger hat nicht nur die Intersessen des Unternehmens, sondern auch die Situation von Arbeitnehmern und Arbeitnehmerinnen als wichtige Ressource des Unternehmens im Blick.    In Zeiten guter Auftragslage legen viele Unternehmen im KMU-Bereich zu wenig Aufmerklsamkeit auf das Thema Weiterbildung. Die Qualifizierungsentwickler (QE) nutzen bereits Bestandskunden um Kontinuität für die Herausforderung der zukünftigen Jahre eine passgenaue Vermittlung von Weiterbildungsangeboten auf den Punkt zu bringen. In Einzelfällen fungieren die Qualifizierungsentwickler im Rahmen ihrer Lotsenfunktion als Kümmerer für Unternehmen und Beschäftigte.    Weitere Projektinhalte ist die Sensibilisierung der Unternehmen für betriebliche Weiterbildung, Fachkräfterekrutierung, den Auf- und Ausbau eines Netzwerkes von Bildungsträgern für branchenspezifisches Wissen. Erfahrungsaustausch über Problemlagen in Betrieben und Austausch von Weiterbildungsangeboten.    Betrieben werden neuartige Strategien zur Akquise von Auszubildenden und der Nachholbedarf auf den Gebieten der Personalentwicklung, aber auch den Wissenstransfer zwischen Alt und Jung.    Die Erfolgskontrolle des Projektes ergibt sich aus der Auswertung der in der Fachkräfterichtlinie enthaltenen Indikatoren. Die QE erstellen dazu quartalsweise einen Tätigkeitsbericht, welcher der GFAW zur Verfügung gestellt wird.",01.01.2016,31.12.2017,"295.571,11",80.00%,99089 Erfurt,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
AREA Systemmöbel & Baudienstleistungs GmbH,"Beratung durch selbständige Unternehmensberater in den Bereichen Produktportfolio, Marktanalysen und Marketing",Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,06.07.2015,15.11.2015,"9.735,00",80.00%,"04617 Trebenb Altenburg, Thür",DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ARING Bau- und Immobilien GmbH,Beratung durch selbständige Unternehmensberater im Bereich Personal und Organisation,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,17.12.2014,31.10.2015,"13.425,00",80.00%,99096 Erfurt,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ARNTZ Sägetechnik GmbH,Beratung durch selbständige Unternehmensberater in den Bereichen Unternehmenswachstum und Wettbewerbsfähigkeit,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,10.12.2014,15.11.2015,"16.020,00",80.00%,"04626 Schmölln, Thür",DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ARNTZ Sägetechnik GmbH,"Beratung durch selbständige Unternehmensberater in den Bereichen Rationalisierungsmaßnahmen und Kostensenkungen, Technologietransfer und zur Technologieanwendung",Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,13.11.2015,31.07.2016,"13.425,00",80.00%,"04626 Schmölln, Thür",DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ART KON TOR Produktentwicklung GmbH,"Entwicklung eines neuartigen, elektronisch unterstützten Highend-Fortbewegungsmittels für mobilitätseingeschränkte Personen","Entwicklung eines neuartigen, elektronisch unterstützten Highend-Fortbewegungsmittels für mobilitätseingeschränkte Personen",01.07.2015,30.06.2017,"72.000,00",80.00%,07745 Jena,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ARTiFEX GmbH,"Beratung durch selbständige Unternehmensberater in den Bereichen Produktportfolio, Marktanalysen und Marketing",Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,22.01.2016,31.05.2016,"6.500,00",80.00%,"99428 Weimar, Thür",DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ASG - Anerkannte Schulgesellschaft Sachsen mbH Zweigniederlassung Plauen,Praxisnahe Berufsorientierung in den Schuljahren 2015/2016 und 2016/2017 in der Gebietskörperschaft Saale-Orla-Kreis,"Kurzbeschreibung: Projekt zur praxisnahen Berufsorientierung (Schuljahr 2015/16 und 2016/17)    Wir setzen das Projekt zur praxisnahen Berufsorientierung im Zeitraum vom 01.09.2015 bis 31.07.2017 in der Betriebsstätte Schleiz, Oettersdorfer Straße 18, der ASG - Anerkannte Schulgeselischaft Sachsen mbH, Niederlassung Plauen um. Die im Verlaufe der Projektteinahme erworbenen beberufsfeldtypischen Kenntnisse und Fertigkeiten sowie Schlüsselqualifikationen bereiten die Förderschüler/innen auf das betriebliche Langzeitpraktikum vor und steigern ihre Berufswahlkompetenz.    Unser Bildungsträger kooperiert mit folgender Schule:  Friedrich-Fröbel-Schule Schleiz Staatliches regionales Förderzentrum  Greizer Straße 40 a  07907 Schleiz    Teilnehmer/innen:  An dem Projekt nehmen insgesamt 91 Schüler/innen der o.g. Schule teil.    Verteilung auf Schuljahre und Klassenstufen:                                          2015/2016                                   2016/2017  Kiasse 7                               11                                                   6  Klasse 8                               17                                                 12  Klasse 9                               11                                                 13  Klasse 10                             15                                                   6    Die Schüler/innen haben sonderpädagogischen Förderbedarf im/in: Lernen, emotionale-soziale Entwicklung, körperliche-motorische Entwicklung, Sprache, geistige Entwicklung.    Einbindung in das Gesamtkonzept der Gebietskörperschaft  Motivierte und zielorientierte Förderschüler werden benötigt, um den Fachkräftebedarf entsprechend der aktuellen Arbeitsmarktlage abdecken zu können. Im Rahmen des Projektes können sich die Förderschüler in den verschiedenen Berufsfeldern erproben und so den für sie passenden Beruf finden.  Gefestigte und realistische berufliche Vorstellungen, Interesse und Engagement sind u. a. die Voraussetzungen, um einen Ausbildungsplatz in der Region zu bekommen und die Wirtschaft zu unterstützen.    Projektinhalte/ Berufstelder entsprechend Bedarfsentwlcklung in Thüringen:  Unser Träger bietet folgende Berufsfelder für die praktische Berufsorientierung an und es werden z.B. diese Produkte gefertigt:  1. Berufsfeld: Metall                            Produkte z.B.: diverse Formteile, Stövchen, Schlüsselkästchen  2. Berufsfeld: Holz                              Produkte z.B.: Holzverbindungen, Vogelhäuschen  3. Berufsfeld: Verkauf                        Produkte z.B.: Kassierung, anlassbezogene Tisch- und Ladendeko  4. Berufsfeld: Ernährung/                   Produkte z.B.: Zubereitung einfacher Speisen und Getränke,                         Hauswirtschaft                                   Wäschepflege; Reinigung    Maßnahmeziele und Erfolgsindikatoren  • die Schüler/innen haben wichtige arbeitsrelevante Schlüsselkompetenzen (fort-)entwickelt  • sie haben konkrete Vorstellungen zu ihrer beruflichen Zukunft und können ihren Ausbildungsweg mit Unterstützung planen - dazu kurz-, mittel- und langfristige Strategien und Ziele benennen;  • sie kennen ihre berufsbezogenen Interessen, Neigungen und Stärken  • sie kennen verschiedene Bewfsfelder und zugehörige Berufsbilder/Ausbildungsbewfe sowie deren Anforderungsprofil und können dies mit ihren persönlichen Voraussetzungen vergleichen - eigenes Leistungsvermögen realistisch einschätzen  • sie haben sich berufsfeldbezogene Grundkenntnisse, Fertigkeiten und Fähigkeiten angeeignet  • sie entscheiden sich in Klassenstufe 9 für einen Wunschberuf, der ihrem Leistungsprofil entspricht und sie können auch Alternativen dazu benennen  Der individuellen Erfolgsbewertung und Dokumentation dienen folgende Instrumente: Reflexions- und Auswertungsgespräche, Berichtshefter, Arbeitsbericht- und Bewertungsbogen / Klassenbuch, Thüringer Berufswahlpass.",01.09.2015,31.07.2016,"34.761,06",80.00%,07907 Schleiz,DE,"Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
ASKION GmbH,"F&E für Geräte der Medizintechnik, speziell für eine neue Generation von PCR-Thermocyclern zur In-Vitro Vervielfältigung von DNA","Programmierung von Front- & Backendsystemen (Erfahrung in C# und .Net Frameworks, GUI mit Windows Forms oder WPF, Datenbanken mit MySql oder MSSql)    Gründe für Einstellung: Verstärkung SW-Team aufgrund größer werdendem Anteil von SW-Aufgaben an Gesamtgeräteentwicklung, sowie gestiegenem Auftragsvolumen; Sicherung des Firmenwissens; langfristige Know-How Sicherung; Verstärkung der Schlagkraft des SW-Teams; Transfer von aktuellem Hochschulwissen in betriebliche Praxis, um Leistungsfähigkeit zu steigern und gesunden Mix zwischen Erfahrung und neuem Wissen in Belegschaft zu kreieren    siehe Anlage",01.03.2016,28.02.2018,"72.000,00",80.00%,07549 Gera,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ATURIS. Inh. Sebastian Gerecke,Individualisierte biorythmische Schichtplanoptimierung,Innovatives Personal,01.10.2015,30.09.2017,"72.000,00",80.00%,99768 Harztor,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
ATURIS. Inh. Sebastian Gerecke,Konzeption und Realisierung Entsorger App und Schichtarbeiter App,Thüringen Stipendium Plus – Student,01.10.2015,30.09.2018,"81.000,00",80.00%,99768 Harztor,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
AVH GmbH,HDD-Schulung nach GW 329 - Bauleiter A,2 Mitarbeiter der Firma AVH sollen eine 10-tägige Bauleiterschulung absolvieren.,11.01.2016,22.01.2016,"12.819,20",80.00%,26160 Bad Zwischenahn,DE,"Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen Rahmen, Steigerung des Wissens sowie der Fähigkeiten und Kompetenzen der Arbeitskräfte sowie die Förderung flexibler Bildungswege, unter anderem durch Berufsberatung und die Bestätigung erworbener Kompetenzen"
AWO Bildungswerk Thüringen gemeinnützige GmbH,"Qualifizierung für Hilfskräfte in der Altenhilfe und -pflege (Alltagsbegleiter nach §87b, SGB XI, 160 Stunden)","Zielgruppe:  32 Mitarbeiter/innen aus Thüringer Pflegeeinrichtungen ohne fachspezifische Ausbildung    Inhalte:  Grundkenntnisse über Demenzerkrankungen, Kommunikation und Interaktion mit Demenzkranken, Grundkenntnisse Pflege                und Pflegedokumentation    Ziele:  Sicherung von Berufschancen durch berufsbegleitende Qualifizierung in der Altenhilfe und -pflege für den Einsatz              zusätzlicher Betreuungskräfte, Verbesserung der Lebensqualität für Demenzkranke, bessere Umsetzung von              Qualitätsstandards in Pflegeheimen",10.11.2015,31.03.2016,"0,00",80.00%,99084 Erfurt,DE,"Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen Rahmen, Steigerung des Wissens sowie der Fähigkeiten und Kompetenzen der Arbeitskräfte sowie die Förderung flexibler Bildungswege, unter anderem durch Berufsberatung und die Bestätigung erworbener Kompetenzen"
AWO Bildungswerk Thüringen gemeinnützige GmbH,"Qualifizierung für Hilfskräfte in der Altenhilfe und -pflege (Alltagsbegleiter nach §87b, SGB XI, 160 Stunden)","Zielgruppe:  - Mitarbeiter/innen der Betreuung ohne erforderliche fachspezifische Ausbildung, die in Thüringer Pflegeeinrichtungen beschäftigt     sind    Inhalte:  - Grundkenntnisse über Demenzerkrankungen  - Grundkenntnisse der Kommunikation und Interaktion  - Grundkenntnisse der Pflege und Pflegedokumentation    Ziele:  - Umsetzung der Richtlinien nach § 87b, Abs. 3 SGB XI zur Qualifikation von zusätzlichen Betreuungskräftenin stationären    Pflegeeinrichtungen  - Verbesserung der Lebensqualität für demenzkranke Menschen  - Erhöhung der Wettbewerbsfähigkeit von Thüringer Pflegeeinrichtungen",04.01.2016,31.12.2016,"60.249,60",80.00%,99084 Erfurt,DE,"Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen Rahmen, Steigerung des Wissens sowie der Fähigkeiten und Kompetenzen der Arbeitskräfte sowie die Förderung flexibler Bildungswege, unter anderem durch Berufsberatung und die Bestätigung erworbener Kompetenzen"
AWO Soziale Dienste Rudolstadt gGmbH,TIZIAN - Vereinbarkeit von Familie und Beruf,"Das TIZIAN-Projekt soll sich an Langzeitarbeitslose, Alleinerziehende, gering qualifizierte Menschen und diejenigen, die schon seit Jahren keinen Zugang zu einer geregelten Arbeit finden konnten richten. Ziel ist es, diese Menschen niederschwellig und langfristig wieder sozial und beruflich in die Gesellschaft zu integrieren.",01.01.2015,31.12.2017,"503.385,09",80.00%,07407 Rudolstadt,DE,"Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
AWP Metall- und Kunststofftechnik GmbH,Beratung durch selbständige Unternehmensberater im Bereich Personal und Organisation,Beratung durch selbständige Unternehmensberater – Intensivberatung und Prozessbegleitung,03.03.2015,15.11.2015,"8.850,00",80.00%,98547 Viernau,DE,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
