"Bezeichnung des Vorhabens/
operation name","Name des Begünstigten/
name of beneficiary","Zusammenfassung des Vorhabens/
operation summary","Datum des Beginns des Vorhabens/
operation start date","Datum des Endes des Vorhabens/
operation end date","Gesamtbetrag der förderfähigen Ausgaben des Vorhabens/
total eligible expenditure allocated to the operation*","Unions-Kofinanzierungssatz pro Prioritätsachse/
Union co-financing rate, as per priority axis**","Regionalcode des Vorhabens/
location indicator","Land/
country","Bezeichnung der Interventionskategorie für das Vorhaben/
name of category of intervention for the operation"
Pulverbeschichtungsanlage II Lebring,Griffner Pulverbeschichtungsgesellschaft m.b.H.,"Beim Projekt handelt es sich um eine Produktionskapazitätserweiterung im Rahmen der Oberflächenveredelungstechnik ""Pulverbeschichtung"". Aufgrund dieser Ausweitung kann das Unternehmen neue Aufträge aus der Automotive-Branche annehmen.",12.07.2016,31.12.2017,1700750,"18,13 %",61021 - Lebring-Sankt Margarethen,AUSTRIA,1 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Regionalmanagement für Raum- und Regionsentwicklung 2015-2017,Regionalmanagement OÖ. GmbH,"A) Implementierung und Umsetzung des IWB-Programms in Oberösterreich
B) Begleitung beim Aufbau und bei der Organisation von Stadt-Umland-Kooperationen und bei der Umsetzung von konkreten Projekten
",01.01.2015,31.03.2018,"924166,06","50,00 %",40101 - Linz,AUSTRIA,"85 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen"
Smart Factory Lab – Technologielabor für Intelligente Produktion entlang des Produktionslebenszyklus,PROFACTOR GmbH,"Ziel des Projekts ist der Aufbau eines vernetzten Technologie-Laboratoriums zur Entwicklung und Erprobung neuartiger, assistiver Technologien, Methoden und Konzepte für eine künftige digitale humanzentrierte Produktion. ",01.09.2015,31.03.2022,1159501,"30,37 %",40201 - Steyr (Teil),AUSTRIA,60 - Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Smart Factory Lab – Technologielabor für Intelligente Produktion entlang des Produktionslebezyklus,FH OÖ Forschungs- und Entwicklungs GmbH,"Ziel des Projekts ist der Aufbau eines vernetzten Technologie-Laboratoriums zur Entwicklung und Erprobung neuartiger, assistiver Technologien, Methoden und Konzepte für eine künftige digitale humanzentrierte Produktion. ",01.09.2015,31.03.2022,1997827,"30,37 %",40301 - Wels,AUSTRIA,60 - Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
TH_PVLOÖ,"Amt der Oö. Landesreg, Abtlg. Wirtschaft als PVL für IWB 2020",Die Programmverantwortliche Landesstelle (PVL) finanziert im Rahmen der Technischen Hilfe sämtliche förderfähige Kosten im Sinne der Interventionskategorie 121 sowie der Interventionskategorie 123 welche im Bereich der PVL anfallen. ,01.01.2015,31.12.2023,2672618,"50,00 %",40101 - Linz,AUSTRIA,"124 - Technische Hilfe - Kombination aus 121, 122, 123"
"Umbau, Erweiterung und Modernisierung des Seehotels Lackner",Seehotel Lackner GmbH,"Das Investitionsprojekt umfasst den Umbau, die Erweiterung und die Modernisierung des Seehotels Lackner. ",10.09.2015,31.03.2017,2500000,"18,13 %",41715 - Mondsee,AUSTRIA,1 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Umweltbildungsstelle Jamtal,Alpinarium Galtür Dokumentation GmbH,Schaffung wissenschaftlicher Grundlagen zur Einrichtung einer Umweltbildungstelle im Jamtal,15.07.2016,31.12.2016,19630,"49,36 %",70606 - Galtür,AUSTRIA,97 - Von der örtlichen Bevölkerung betriebene Initiativen für lokale Entwicklung in städtischen und ländlichen Gebieten
Weiterentwicklung und Optimierung von Elektrofiltern für Biomassefeuerungsanlagen mit einem speziellen Fokus auf hohe Brennstoff- und Anlagenflexibilität,Scheuch GmbH,Die Elektrofilter-Technik der Firma Scheuch GmbH soll im Hinblick auf die sich ändernden Anforderungen im Bereich der Biomassefeuerungsanlagen gezielt weiterentwickelt und optimiert werden. ,16.09.2015,31.12.2016,"188878,24","29,12 %",41203 - Aurolzmünster,AUSTRIA,"65 - Forschungs- und Innovationsinfrastruktur, Prozesse, Technologietransfer und Zusammenarbeit in Unternehmen mit Schwerpunkt auf der CO 2 -armen Wirtschaft und der Verstärkung der Widerstandsfähigkeit gegenüber dem Klimawandel"
Willingshofer 2020 - Standorterweiterung und Erhöhung der Wertschöpfung,Willingshofer GesmbH,"Das förderungswerbende Unternehmen plant eine Hallenerweiterung zur Schaffung von zusätzlichen Montage-, Inbetriebnahme- und Logistikflächen. Auch der Maschinenpark wird erweitert um eine Kapazitätssteigerung und effizientere Produktion zu erzielen. ",10.05.2016,31.05.2018,1950000,"18,13 %",61711 - Gasen,AUSTRIA,1 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
"Wind Turbine Performance Testing, Messtechnische Erfassung von negativen Auswirkungen auf das Leistungsverhalten bestehender Windenergieanlagen",Energiewerkstatt Consulting GmbH,Das Projekt Wind Turbine Performance Testing soll messtechnisch die negativen Auswirkungen auf das Leistungsverhalten bestehender Windenergieanlagen erfassen. ,04.01.2016,31.03.2018,"349260,5","29,12 %",40426 - Munderfing,AUSTRIA,"65 - Forschungs- und Innovationsinfrastruktur, Prozesse, Technologietransfer und Zusammenarbeit in Unternehmen mit Schwerpunkt auf der CO 2 -armen Wirtschaft und der Verstärkung der Widerstandsfähigkeit gegenüber dem Klimawandel"
