projekttitel,start_dato,slut_dato,ordning,Indsatsområde,budget,eu,tas_projekt_besk,region,cvr,navn,vejnavn,postnr,bynavn,parter,
Vækstplan Lolland Analyse,17.01.2011,30.06.2011,ERDFS,Innovation og videndeling,493830,246915,"Lolland Kommune har taget initiativ til at igangsætte en proces omkring en udvikling og implementering af en vækstplan for Lolland for at imødegå de store udfordringer, som lukningen af Vestas har ført med sig. Med udgangspunkt i de styrker og potentialer, som området er kendetegnet ved, vil der med en skræddersyet vækstplan blive sat offensivt ind for at skabe vækst og udvikling og dermed sikre, at Nakskov og Lolland igen kommer på ret kurs. Der er dog behov for et fagligt fundament for vækstplan Lolland. Med dette projekt gennemføres derfor en analyse, der vil kvalificere grundlaget for at identificere, hvilke konkrete initiativer der igangsættes og hvordan de konkret gennemføres",Sjælland,29188572,Lolland Kommune,Jernbanegade 7,4930,Maribo,,
VækstSkagen - feasibility af vækst- og innovationspotentialerne ved de maritime- og havnerelaterede erhverv i Skagen,15.02.2011,31.08.2011,ERDFN,Innovation og videndeling,"498808,8","249404,4","Formålet med denne feasibility analyse er at få afdækket og analyseret nogle af de forretningsområder, der kan bidrage til at videreudvikle den nuværende erhvervsstruktur i Skagen og dermed skabe grundlag for flere og nye arbejdspladser. Denne feasibility analyse har udgangspunkt i de martitme og havnerelaterede erhverv og fokus på at afdække disse erhvervs innovationsmuligheder og vækstpotentiale samt at afdække vilkår og forudsætninger for realisering heraf. Der er særlig fokus på innovative maritime forretningsområder med et miljø- og klimamæssigt sigte.",Nordjylland,29189498,Frederikshavn Kommune,Rådhus Alle 100,9900,Frederikshavn,,
Handlingsplan for erhvervsmæssig fornyelse i Ringkøbing-Skjern området,01.08.2011,31.05.2012,ERDFM,Innovation og videndeling,"510602,63",250000,"Hensigten med dette handlingsplan-projekt er at få udarbejdet en vidensbaseret handlingsplan for erhvervsmæssig fornyelse i Ringkøbing-Skjern området. Handlingsplanen skal bidrage til at skabe øget innovation og iværksætteri i området inden for de lokale erhvervsmæssige styrkepositioner og potentielle styrkepositioner, som er hhv. maskin- og metalindustri, fødevarefremstilling og landbrug, turisme og endelig ""den grønne satsning"".Videngrundlaget til brug for udarbejdelsen af handlingsplanen skal skabes gennem kobling af eksisterende analyser og viden på området med nyindhentet viden fra blandt andet centrale lokale videnspersoner samt nationale eksperter på de pågælende områder. Herigennem skal der skabes klarhed over, hvilke innovations-initiativer og iværksætter-initiativer, som i den aktuelle lokale kontekst i Ringkøbing-Skjern området kan forventes at få størst mulig gavnlig effekt i forhold til de investerede ressourcer.Handlingsplanen skal baseres på en dybdegående afdækning af temaet fornyelse, og her er det vigtigt at få afdækket, hvad der er de basale forudsætninger og barrierer for at skabe øget innovation og iværksætteri i området. Samtidig skal anbefalingerne til indhold i en handlingsplan ikke blot fokusere på indsatser, som kommunen umiddelbart og på egen hånd kan igangsætte, men også på initiativer, der f.eks. kræver påvirkning af regionale og nationale instanser eller kræver tværkommunale samarbejder.",Midtjylland,29189609,Ringkøbing-Skjern Kommune,Ved Fjorden 6,6950,Ringkøbing,,
Undersøgelse vedrørende specifik erhvervs- og kompetenceudvikling på Mors,18.07.2011,15.02.2012,ERDFN,Innovation og videndeling,523755,260000,"Projektet skal undersøge mulighederne for en accelereret udvikling på en række specifikke initiativområder, som kan være med til at fremme erhvervs- og kompetenceudviklingen i området. Det skal ske på et solidt fagligt og veldokumenteret grundlag med fokus på områdets erhvervsmæssige potentiale. Det skal resultere i et anvendelsesorienteret redskab som grundlag for at skabe nye erhvervsmuligheder i området. Det er derfor væsentligt, at løsningen fokuserer på områdets vækstmuligheder set i forhold til både eksisterende resurseområder og fremtidsscenarier, som Mors og relevante omegne står over for. Heri indgår således også overvejelser om samarbejdsmuligheder mv. med relevante myndigheder, institutioner og omegne. Der skal udvikles en handlingsorienteret vækst- og udviklingsstrategi på følgende temaområder, jf. Morsø Kommunes kommuneplanstrategier, bæredygtighedsstrategi, erhvervs- og turismestrategi og bosætningsstrategi, hvilket indebærer identifikation og udvikling af oplagte forslag (business cases) inden for følgende initiativområder,: 1. turisme- og oplevelsesøkonomi, 2. SMV- og iværksætterniveau, 3. fødevareerhvervene og detailhandel, 4. energiproduktion og energiforsyning i en erhvervsmæssig kontekst, 5. kompetenceudvikling af arbejdsstyrken og 6. styrkelse af ungdomsuddannelsesområdet. Beskrivelsen af mulige projekter og handlinger for de udvalgte initiativområder vil skabe grundlag for iværksættelse af konkrete initiativer, som over de nærmeste par år vil styrke erhvervs- og beskæftigelsesudviklingen på Mors. En stor del af indsatsen vil dreje sig om at styrke virksomhedernes innovation, og herunder motivere dem til i større omfang at anvende de programmer, der støtter denne indsats. Med den eksisterende erhvervsstruktur på Mors er målgruppen primært SMV'ere, og indsatsen vil blandt ander have til formål at øge medarbejderdreven og brugerdreven innovation. Det skal føre til større innovation, videndeling og videnopbygning i virksomhederne for at styrke deres produkt-, proces- og markedsudvikling.",Nordjylland,41333014,Morsø Kommune,Jernbanevej 7,7900,Nykøbing M,,
Læsø Kur som vækstdynamo,06.01.2014,30.06.2015,ERDFN,Innovation og videndeling,"548551,82","246848,32","Formålet med projektet ""Læsø Kur som vækstdynamo"" er at iværksætte konkrete markedsrettede tiltag der styrker Læsø Kur's markedsmæssige position og skaber vækst og beskæftigelse. I forhold til den oprindelige ansøgning, er der lavet en række tilpasninger. Læsø Kur søger ikke længere til kurlejligheder, fitness og café. Nu søges der om støtte til udvikling af nye sæbe/cremeprodukter, webshop og kompetenceudvikling. Projektperioden løber fra 1. marts 2014 til 30. juni 2015. Projektets formål er herefter at udvikle et til tre nye sæbe/cremeprodukter til psoriasispatienter. Læsø Kur har i dag et forretningskoncept, hvor et 100% natur-biprodukt fra saltsydningsprocessen hos Læsø Salt anvendes i vandbassinerne hos Læsø Kur. Biproduktet har vist en gunstig virkning på disse psoriasispatienter. Med afsæt i Læsø Kurs kontakt til patienter, hudlæger og dermatologer ønsker Læsø Kur at inddrage disse partnere i en innovationsproces til udvikling af et nyt sæbe og/eller cremeprodukt, der tilgodeser psoriasispatienternes behov.",Nordjylland,30071743,Læsø Fonden,Hornfiskrønvej 3,9940,Læsø,Frederikshavn Erhvervsråd.,
Uddannelse efter Vestas Nakskov,11.01.2011,31.01.2012,ESFS,Udvikling af menneskelige ressourcer,"581134,43","273711,69","FormålProjektets formål er gennem uddannelse at forbedre beskæftigelsesmulighederne for de ledige efter lukningen af Vestas vindmøllefabrik i Nakskov. Dette søges gennemført ved at kombinere midler fra 3 instanser:3 uger undervisning betalt af VESTAS (ikke en del af projektets økonomi)8 ugers undervisning betalt gennem varslingspuljen (ikke en del af projektets økonomi)De resterende uger et grundforløb på EUD varer, samt støtteforanstaltninger til gennemførelse af uddannelsen (projektet)Hovedaktiviteter Projektets hovedaktivitet består i uddannelse af ca. 70 ufaglærte tidligere Vestasmedarbejdere således at de fuldfører et EUD-grundforløb på 20 ugers varighed. Et forløb, der sætter dem i stand til at fuldføre uddannelsen gennem et voksenlærlingeforløb. De afskedigede medarbejdere har gennem længere ansættelsesforløb hos Vestas vist jobstabilitet, men samtidigt har en væsentlig del af dem problemer i forhold til basale læse -, skrive- og regnefærdigheder. Ifølge tillidsrepræsentanter fra Vestas er der en hel del der har brug for ekstra hjælp for at kunne gennemføre et grundforløb på EUD. Derfor vil der, ud over den ordinære FVU, tilbydes forløb, hvor der gennemføres specieltilrettet undervisning på FVU-niveau. Den specieltilrettede undervisning beskrives og der indhentes tilbud på gennemførelse.ResultaterDen forventede effekt af projektet er at mere en 80% af deltagerne gennemfører uddannelsen.",Sjælland,27328598,"CELF, Center for Erhvervsrettede Uddannelse Lolland-Falster",Kringelborg Alle 7,4800,Nykøbing F,Guldborgsund Kommune. Lolland Kommune. Vestas A/S.,
Fremtidens iværksætterkompetencer - delprojekt B Oprettelse og drift af vækstgrupper,01.01.2008,28.02.2011,ESFM,Etab. og udvikling af nye virksomh.,"604278,21","302139,1","Vækstforum Midtjylland har i den regionale erhvervsstrategi sat som mål, at den regionale etablerings- og overlevelsesrate samt andel af vækstiværksættere skal øges inden 2015. I partnerskabsaftalen med regeringen er det aftalt, at andelen af vækstiværksættere skal øges fra de nuværende 4% (125 vækstiværksættere) til 8% (250 vækstiværksættere) i 2015. For at nå dette ambitiøse mål igangsættes et iværksætterprogram med et betydeligt bidrag af tilbud og ydelser til det samlede erhvervsservicesystem i region Midtjylland. Programmet tager udgangspunkt i og understøtter en sammenhængende og gennemskuelig erhvervsserviceinfrastruktur, hvor der lokalt findes basistilbud til alle iværksættere, som tilbydes vejledning og rådgivning om start, drift og udvikling af virksomhed. Iværksætterprogrammet er målrettet de iværksættere, som på grund af ambitioner og problemstillinger har behov for viden og rådgivning ud over det lokale basistilbud. De tilbydes mulighed for deltagelse i vækstgrupper. For at fremme en sammenhængende og gennemskuelig erhvervsservice i region Midtjylland, understøtter programmet desuden det samlede system med kompetenceudvikling til vejledere i såvel den lokale erhvervsservice som i Væksthus Midtjylland. Endvidere indgår afholdelse af iværksætterkurser.Denne ansøgning er et svar på et konkret udbud fra Vækstforum Midtjylland (der henvises til vedhæftet ansøgning til Vækstforum Midtjylland). Hele projektet er delt op i flere delprojekter, se derfor også ""Fremtidens iværksætterkompetencer. Delprojekt A: Administration og projektledelse"" ""Fremtidens iværksætterkompetencer. Delprojekt C: Målrettede netværk af nyetablerede virksomheder"" og ""Fremtidens iværksætterkompetencer. Delprojekt D: Kompetenceudvikling""",Midtjylland,30089456,Væksthus Midtjylland,Åbogade 15,8200,Århus N,Norddjurs Kommune. Erhvervsrådet Herning og Ikast-Brande. Nordvestjysk Erhvervsråd V.M.B.A.. ViborgEgnens Erhvervsråd. Favrskov Erhvervsråd. Erhverv Silkeborg. Foreningen Ringkøbing Fjord Erhvervsråd. Horsens Erhvervsråd.,
Bornholms A/S - Anlægsinvesteringer,02.11.2009,31.12.2011,ERDFB,Innovation og videndeling,"617049,92","185114,98","Bornholms A/S er en mere end 94 årig konservesfabrik, som har udarbejdet en ny vækststrategi bl.a. omhandlende ny produkt- og emballagestrategi, som skal medvirke til at fremtidssikre virksomheden indenfor fødevarebranchen, samt styrke dens internationale konkurrenceevne og lønsomhed.Dette er blandt sket i en dialog med markedet.Derfor er det nødvendigt med investering i bygningsmæssige ændringer for at opnå det mest optimale og rationelle produktionsflow.De bygningsmæssige ændringer omfatter bl.a. adgangssluser til varehåndtering, opdeling af lokaler, splitfriruder - dette også for at opfylde fremtidige krav som eksporterende virksomhed.I dag pakkes og leveres produkterne i konservesdåser og glas. Der skal udvikles nye emballagetyper. Virksomheden skal IFS (International Food Standard) og BRC (British Tetail Consortium - kræver supermarkedskæder i England) certificeres, og dermed leve op til fremtidens markeds- og kundekrav. Større dele af de producerede produkter leveres igennem food service, men i fremtiden skal vi også kunne levere til storkøkkener, kantiner og catering. Dette kræver også autorisation til kølevarer. Gennemførelse af dette projektforløb kræver at virksomheden tilegner sig den nødvendige know how, bl.a. gennem køb af ekstern bistand m.m.Derfor er der samtidig med denne ansøgning fremsendt ansøgning om medfinansiering af produktudvikling, og tilsammen er disse investeringer afgørende for realiseringen af virksomhedens vækst- og markedstrategi.Denne ansøgning omfatter medfinansiering af investeringer til bygningsmæssige ændringer.",Bornholm,15150505,Bornholms A/S,Stenbrudsvej 35,3730,Nexø,,
Afprøvning af potentiale for Transport- og Logistikklynge,01.11.2013,31.08.2014,ERDFS,Innovation og videndeling,"623607,17","311803,59","Projektet har til formål at gå i dialog med erhverv og videninstitutioner om behov og potentiale for etablering af en international klynge for transport og logistik med geografisk udgangspunkt i Region Sjælland, herunder arbejde med koncept for en formaliseret klyngeorganisation, der kan fungere som koordinator og katalysator for samspil om udvikling og vækst.Transport- og logistiksektoren er interessant, idet der er en koncentration af virksomheder indenfor disse erhverv, der dækker dele af Region Sjælland og strækker sig ind i hovedstadsområdet. Med de kommende års massive investeringer i infrastrukturanlæg, herunder Femern Bælt forbindelsen og den nye jernbane mellem København og Ringsted, styrkes rammebetingelserne for denne sektor. Projektet ønsker at undersøge, hvordan disse muligheder kan udnyttes til øget vækst og beskæftigelse i et styrket samarbejde mellem erhvervet, videninstitutioner og offentlige parter.Gennem workshops, interviews og dialogmøder mellem aktører og interessenter på området, vil projektet afprøve behovet og interessen for initiering af et systematisk samarbejde om innovation, forskning og udvikling samlet i en klyngeorganisation. Klyngeinitiativet kan på sigt bidrage til styrket konkurrenceevne, bæredygtig vækst og øget beskæftigelse blandt transport- og logistikvirksomheder i Region Sjælland, og hjælpe særligt små og mellemstore virksomheder med at øge deres innovationskapacitet og orientering mod et globaliseret arbejds- og varemarked.",Sjælland,29189374,Køge Kommune,Torvet 1,4600,Køge,,
Lollandsprojektet,01.03.2009,28.02.2012,ESFS,Udvikling af menneskelige ressourcer,648938,"243581,25","Projektet vil tilbyde ledige borgere i Lolland Kommune vejledning og opkvalificering kombineret med kompetenceudvikling i lokale virksomheder. Projektet vil forberede de ledige til beskæftigelse indenfor nøgleområder beskrevet i Lolland Kommunes Erhvervs- og Udviklingsstrategi - til flaskehalse i brancher på det ordinære arbejdsmarked - eller til efterfølgende opkvalificering på lokale uddannelsesinstitutioner.Projektet vil understøtte et højt og konsensuspræget niveau hos jobcentrets medarbejdere, både med hensyn til visitation til Lollandsprojektets enkelte dele og med hensyn til vejledningsaktiviteter. Det er planen at bygge på og udvikle medarbejdernes vejlednings- og visitationskompetencer.Der tilknyttes evaluator under hele projektet for at give partnerne viden om offentligt-privat samarbejde indenfor kompetenceudvikling af ledige.",Sjælland,29188572,Lolland Kommune,Jernbanegade 7,4930,Maribo,"Knuthenlund, Susanne Hovmand. Pippi Lolland. Cinekom ApS. Thorlin.",
