Name des Begünstigten,Bezeichnung des Vorhabens,Zusammenfassung des Vorhabens,Datum des Beginns des Vorhabens,Datum des Endes des Vorhabens,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens,Unions-Kofinanzierungssatz pro Prioritätsachse,Durchführungsort des Vorhabens,Landkreis,Land,Bezeichnung der Interventionskategorie für das Vorhaben,Förderrichtlinie,Fördergegenstand
Abdul Wasi Behzad,Heilpraktiker-Ausbildung,Heilpraktiker-Ausbildung,24.02.2015,05.03.2016,1255,80,"Leipzig, Stadt","Leipzig, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Abdul Wasi Behzad,Schmerztherapie LNB nach Liebscher & Bracht,Schmerztherapie LNB nach Liebscher & Bracht,29.01.2016,17.05.2016,"1494,5",80,"Leipzig, Stadt","Leipzig, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
ABK ARCHITEKTEN GMBH,"3D-Architektur-Software ""Building Design Suite 2016""","3D-Architektur-Software ""Building Design Suite 2016""",14.01.2016,15.05.2016,2790,80,"Chemnitz, Stadt","Chemnitz, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
ABUS Pfaffenhain GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,02.02.2015,10.07.2015,924,80,Jahnsdorf/Erzgeb.,Erzgebirgskreis,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
ABUS Pfaffenhain GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,02.02.2015,24.04.2015,594,80,Jahnsdorf/Erzgeb.,Erzgebirgskreis,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
ACC Elektronik UG(haftungsbeschränkt),"Lackiertechnologien, Reparaturlackierungen","Lackiertechnologien, Reparaturlackierungen",21.12.2015,04.04.2016,651,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
ACC Elektronik UG(haftungsbeschränkt),Weiterbildung Elektrofachkraft für festgelegte Tätigkeiten,Weiterbildung Elektrofachkraft für festgelegte Tätigkeiten,17.02.2016,29.05.2016,"1066,4",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
ACCOMPLAST GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.02.2015,31.08.2015,3652,80,"Limbach-Oberfrohna, Stadt",Zwickau,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
ACCOMPLAST GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,24.08.2015,05.08.2016,1738,80,"Limbach-Oberfrohna, Stadt",Zwickau,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
Achim Tanner,Zertifizierter Berater für Unternehmensnachfolge,Zertifizierter Berater für Unternehmensnachfolge,13.01.2016,17.07.2016,2387,80,Niederau,Meißen,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Acsys Lasertechnik GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.09.2015,31.08.2016,2486,80,"Mittweida, Stadt, Hochschulstadt",Mittelsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
Acsys Lasertechnik GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.02.2015,26.08.2015,440,80,"Mittweida, Stadt, Hochschulstadt",Mittelsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
ACTech GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,02.02.2015,12.08.2015,968,80,"Freiberg, Stadt, Universitätsstadt",Mittelsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
ACTech GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.02.2015,12.08.2015,3784,80,"Freiberg, Stadt, Universitätsstadt",Mittelsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
ACTech GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.02.2015,21.08.2015,6974,80,"Freiberg, Stadt, Universitätsstadt",Mittelsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
ACTech GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.09.2015,31.08.2016,4752,80,"Freiberg, Stadt, Universitätsstadt",Mittelsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
ACTech GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,31.08.2015,26.08.2016,462,80,"Freiberg, Stadt, Universitätsstadt",Mittelsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
ACTech GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,24.08.2015,05.08.2016,4928,80,"Freiberg, Stadt, Universitätsstadt",Mittelsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
ACTech GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,31.08.2015,26.08.2016,7920,80,"Freiberg, Stadt, Universitätsstadt",Mittelsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
ACUTA Steuerberatungsgesellschaft mbH,Vorbereitung auf die Steuerberaterprüfung 2015,Vorbereitung auf die Steuerberaterprüfung 2015,12.02.2015,30.11.2015,"2145,2",80,"Kamenz, Stadt",Bautzen,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Adele Feuerstein,Technologiegründerstipendium zur Entwicklung einer Bioinformatik-Software,Technologiegründerstipendium zur Entwicklung einer Bioinformatik-Software,01.03.2016,28.02.2017,30000,80,"Leipzig, Stadt","Leipzig, Kreisfreie Stadt",D,"Selbstständigkeit, Unternehmergeist und Gründung von Unternehmen, einschließlich innovativer kleiner und mittlerer Unternehmen und Kleinstunternehmen",Unternehmensgründungen aus der Wissenschaft - ESF 2014-2020,Technologiegründerstipendium
Adelt & DieneltSchwimmbad-tec UG(haftungsbeschränkt),"Kunststoffschweißer nach DVS 2281 mit Prüfung nach DVS 2212-1, PG I + II","Kunststoffschweißer nach DVS 2281 mit Prüfung nach DVS 2212-1, PG I + II",28.01.2016,08.05.2016,"2194,8",80,"Chemnitz, Stadt","Chemnitz, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Adenso GmbH,HASP-VAC high accurate substrate handling and positioning in vacuum environment,HASP-VAC high accurate substrate handling and positioning in vacuum environment,16.10.2015,30.05.2018,"63105,25",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",ESF-Technologieförderung 2014 bis 2020,InnoExpert
ads-tec Dresden GmbH,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,01.08.2015,31.07.2016,5192,80,"Wilsdruff, Stadt",Sächsische Schweiz-Osterzgebirge,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
advanced fiber tools GmbH,Qualitätsmanagement-Fachkraft (QMF-TÜV) und Qualitätsmanagement-Beauftragter (QMB-TÜV),Qualitätsmanagement-Fachkraft (QMF-TÜV) und Qualitätsmanagement-Beauftragter (QMB-TÜV),18.08.2015,09.01.2016,"2089,4",80,"Mittweida, Stadt, Hochschulstadt",Mittelsachsen,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
ADVITEC Informatik GmbH,Implementieren und Entwickeln von MS SQL Server Datenbanken,Implementieren und Entwickeln von MS SQL Server Datenbanken,13.01.2015,22.06.2015,1364,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
ADVITEC Informatik GmbH,ISACA Certified Information Security Manager (CISM),ISACA Certified Information Security Manager (CISM),16.04.2015,12.01.2016,"1783,4",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
ADVITEC Informatik GmbH,IST QB Advanced Test Manager,IST QB Advanced Test Manager,01.04.2015,09.01.2017,"1122,2",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
ADVITEC Informatik GmbH,PRINCE2® Kompakt (Foundation & Practitioner) Inhouse-Schulung,PRINCE2® Kompakt (Foundation & Practitioner) Inhouse-Schulung,25.09.2015,08.02.2016,9734,80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
advofaktur Rechtsanwälte GbR,"Fachanwaltslehrgang für Bau- und Architektenrecht (TN: Steglich, Torsten)","Fachanwaltslehrgang für Bau- und Architektenrecht (TN: Steglich, Torsten)",13.11.2015,17.08.2016,"1233,8",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
advofaktur Rechtsanwälte GbR,"Fachanwaltslehrgang für Bau- und Architektenrecht (TN: Thiele, Stephanie)","Fachanwaltslehrgang für Bau- und Architektenrecht (TN: Thiele, Stephanie)",13.11.2015,16.11.2016,"1233,8",80,"Dresden, Stadt","Dresden, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
ADW Prof. Dr. Ditges & Partner GmbHSteuerberatungsgesellschaft,Vorbereitung auf das Wirtschaftsprüferexamen,Vorbereitung auf das Wirtschaftsprüferexamen,23.09.2015,30.07.2017,"5438,75",80,"Leipzig, Stadt","Leipzig, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
ADZ Personal GmbH,Business Leadership Training,Business Leadership Training,26.11.2015,27.05.2017,"23783,2",80,"Freital, Stadt",Sächsische Schweiz-Osterzgebirge,D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",Förderung der beruflichen Weiterbildung,"Weiterbildungsscheck, betrieblich"
Aedificon Engineering GmbH,Entwicklung eines Gebäudebuches mit Gebäudeserviceheft für Bestandsbauten,Entwicklung eines Gebäudebuches mit Gebäudeserviceheft für Bestandsbauten,16.02.2016,30.04.2018,"34181,05",80,"Leipzig, Stadt","Leipzig, Kreisfreie Stadt",D,"Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel",ESF-Technologieförderung 2014 bis 2020,InnoExpert
AEL Apparatebau GmbHLeisnig,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,Vermittlung von Ausbildungsinhalten in anderen Unternehmen oder Einrichtungen ergänzend zur eigenen betrieblichen Ausbildung,02.02.2015,21.07.2015,4048,80,"Leisnig, Stadt",Mittelsachsen,D,"Verbesserung der Arbeitsmarktrelevanz der Systeme der allgemeinen und beruflichen Bildung, Erleichterung des Übergangs von der Bildung zur Beschäftigung und Stärkung der Systeme der beruflichen Bildung und Weiterbildung und deren Qualität, unter anderem durch Mechanismen für die Antizipierung des Qualifikationsbedarfs, die Erstellung von Lehrplänen sowie die Einrichtung und Entwicklung beruflicher Bildungssysteme, darunter duale Bildungssysteme und Ausbildungswege",Stärkung der betrieblichen Berufsausbildung,Verbundausbildungen
