Projektas,Kodas,Pareiškėjas/ Vykdytojas,Paraiškos būsena,Projekto vertė paraiškoje,Prašomas finansavimas,Projekto išlaidų suma,Finansavimas,Išmokėta finansavimo suma,Sutarties pasirašymo data
"Panevėžio prekybos, pramonės ir amatų rūmų eksporto skatinimo iniciatyvos",03.2.1-LVPA-K-801-01-0016,"Panevėžio prekybos, pramonės ir amatų rūmai",Įgyvendinimas,711643.99,408821.99,681846.79,379024.8,0,2015-10-02
Lietuvos inžinerinės pramonės įmonių tarptautinio konkurencingumo stiprinimas didinant produkcijos žinomumą užsienio rinkose,03.2.1-LVPA-K-801-01-0017,Lietuvos pramonininkų konfederacija,Įgyvendinimas,590680.04,339608.02,512632,288424.4,0,2015-10-09
"Paslaugos verslui ir laisvalaikiui ""Connect LT""",03.2.1-LVPA-K-801-01-0018,Lietuvos pramonininkų konfederacija,Nesudaryta sutartis,630692,362648,0,0,0,
"Asociacijos ""Danish Chamber of Commerce"" vienijamų įmonių eksporto skatinimas",03.2.1-LVPA-K-801-01-0019,"Asociacija ""Danish Chamber of Commerce""",Nesudaryta sutartis,201401.04,110145.44,0,0,0,
"Lietuvos pramonė eksportui ""PramLT""",03.2.1-LVPA-K-801-01-0020,Lietuvos pramonininkų konfederacija,Įgyvendinimas,355903.9,204644.45,270226.7,152424.32,0,2015-10-09
"UAB ""Šilputa"" plėtros ir gamybinės bazės modernizavimo projektas diegiant inovatyvią EPS plokščių gamybos technologiją",03.3.1-LVPA-K-803-01-0003,"UAB ""Šilputa""",Įgyvendinimas,1955821,880119,1733570,780106.5,0,2016-02-23
Lietuvos statybos ir kraštovaizdžio tvarkymo sektoriaus įmonių tarptautiškumo didinimas,03.2.1-LVPA-K-801-01-0021,Lietuvos pramonininkų konfederacija,Įgyvendinimas,869565.21,499999.99,742068.4,392948.26,0,2015-10-09
"Lietuvos statybos, dažymo ir gamybos įrengimų įmonių tarptautiniškumo didinimas",03.2.1-LVPA-K-801-01-0022,Lietuvos pramonininkų konfederacija,Nesudaryta sutartis,72392.62,205112.45,0,0,0,
"Lietuvos laisvalaikio, pakavimo ir dovanų sektoriaus įmonių tarptautiniškumo didinimas",03.2.1-LVPA-K-801-01-0023,Lietuvos pramonininkų konfederacija,Nesudaryta sutartis,869565.21,499999.99,0,0,0,
"Lietuvos statybos, maisto technologijų ir ekologijos sektoriaus įmonių tarptautiškumo skatinimas",03.2.1-LVPA-K-801-01-0024,Lietuvos pramonininkų konfederacija,Įgyvendinimas,869565.21,499999.99,834006.02,433559.39,0,2015-10-09
"Lietuvos informacinių technologijų ir marketingo sektoriaus, mažų ir vidutinių įmonių, eksporto skatinimas",03.2.1-LVPA-K-801-01-0025,Lietuvos pramonininkų konfederacija,Nesudaryta sutartis,130434.78,499999.99,0,0,0,
"Lietuvos mažų ir vidutinių įmonių, inžinerijos ir statybos tarptautiniškumo plėtra",03.2.1-LVPA-K-801-01-0026,Lietuvos pramonininkų konfederacija,Nesudaryta sutartis,129722.85,497270.94,0,0,0,
"Lietuvos mažų ir vidutinių logistikos, transporto bei automobilių remonto įmonių tarptautiniškumo didinimas",03.2.1-LVPA-K-801-01-0027,Lietuvos pramonininkų konfederacija,Nesudaryta sutartis,130434.78,499999.99,0,0,0,
UAB „Baltijos polistirenas“ polistireninio putplasčio gamybos modernizavimas,03.3.1-LVPA-K-803-01-0004,UAB „Baltijos polistirenas“,Įgyvendinimas,1192175,417261.25,1096670,383834,0,2016-01-22
Modernios vaistų gamyklos įrengimas,03.3.1-LVPA-K-803-01-0005,"UAB ""Escolit""",Nesudaryta sutartis,4664100,2098845,0,0,0,
"UAB ""Aveva"" gamybinės bazės sukūrimo, pastatant kepyklą ir įdiegiant inovatyvią kepinių technologinę įrangą, projektas",03.3.1-LVPA-K-803-01-0006,"Uždaroji akcinė bendrovė ""Aveva""",Nesudaryta sutartis,6618030.23,2100000,0,0,0,
UAB „Prodenta“ paslaugų plėtra – dantų protezavimo bei dirbtinių dantų gamybos veiklų inicijavimas naujame filiale,03.3.1-LVPA-K-803-01-0007,"UAB ""Prodenta""",Įgyvendinimas,1124033,505815,893163,401923.3,0,2016-02-03
Išmanių maisto gamybos ir maitinimo technologijų kompleksas,03.3.1-LVPA-K-803-01-0008,"Uždaroji akcinė bendrovė ""Dzūkų ainiai""",Nesudaryta sutartis,1826761,822042,0,0,0,
Modernios gofruotojo kartono apdirbimo linijos įrengimas,03.3.1-LVPA-K-803-01-0009,"UAB ""Baltijos kartonas""",Nesudaryta sutartis,1999832,899923,0,0,0,
Modernių technologijų diegimas UAB „Ruvera“ kuriant naujus gamybos pajėgumus,03.3.1-LVPA-K-803-01-0010,"Uždaroji akcinė bendrovė ,,Ruvera“",Įgyvendinimas,2248470.54,1011811.74,2173729.22,978178.14,0,2016-02-11
UAB „Fasadų studija“ gamybos procesų modernizavimas,03.3.1-LVPA-K-803-01-0011,"UAB ""Fasadų studija""",Nesudaryta sutartis,2030888,837118,0,0,0,
Modifikuotų gumos miltelių gamyba diegiant modernias technologijas,03.3.1-LVPA-K-803-01-0012,"UAB ""ESSPO rubber technologies""",Įgyvendinimas,2070807.35,900000,2070807.35,900000,0,2015-12-10
UAB „METALISTAS LT“ gamybinės bazės modernizavimas ir plėtra,03.3.1-LVPA-K-803-01-0013,"UAB ""METALISTAS LT""",Nesudaryta sutartis,629885,220459.75,0,0,0,
Jungtinės eksporto pajėgos,03.2.1-LVPA-K-801-01-0006,"Vilniaus prekybos, pramonės ir amatų rūmai",Įgyvendinimas,276236.54,158789.63,226906.8,130334.25,0,2015-10-07
Naujos galimybės Lietuvos įmonėms eksporto plėtrai,03.2.1-LVPA-K-801-01-0004,"VšĮ ""Versli Lietuva""",Įgyvendinimas,461952,265622,289901,166693,0,2015-10-07
Lietuvos kūrybinių industrijų vystymas ir skatinimas užsienio rinkose ,03.2.1-LVPA-K-801-01-0003,"VšĮ ""Versli Lietuva""",Įgyvendinimas,493416,283713,322354,182122,0,2015-10-07
"UAB ,,Litimbera"" tarptautiškumo didinimas, sertifikuojant naujus gaminius",03.2.1-LVPA-K-802-01-0055,"UAB ""Litimbera""",Įgyvendinimas,33700,16850,33700,16850,0,2015-09-30
Naujos kartos ortopedinių implantų sertifikavimas,03.2.1-LVPA-K-802-01-0050,"UAB ""BALTIC ORTHOSERVICE""",Įgyvendinimas,68054,34027,68053.61,34026.8,0,2015-10-02
Kokybės sertifikato įsygyjimas fizioterapiniam gaminiui,03.2.1-LVPA-K-802-01-0049,"UAB ""Vilnis ir Baltijos gintarai""",Nesudaryta sutartis,4992.82,2496.41,0,0,0,
MWC namų elementų sistemų sertifikavimas SINTEF,03.2.1-LVPA-K-802-01-0048,UAB MASSIVE WOOD CONSTRUCTION,Baigtas įgyvendinti,48150,23220,41840,20920,0,2015-09-24
"UAB ""Alsotana"" rinkų diversifikavimo ir eksporto skatinimo projektas",03.2.1-LVPA-K-802-01-0047,"UAB ""Alsotana""",Nesudaryta sutartis,11400,5700,0,0,0,
Ekologinių produktų gamintojų ir ir prekybininkų asociacijos narių eksporto plėtra,03.2.1-LVPA-K-801-01-0002,Ekologinių produktų gamintojų ir prekybininkų asociacija,Nesudaryta sutartis,374376.55,215266.5,0,0,0,
Skydinių namų elementų sistemos sertifikavimas,03.2.1-LVPA-K-802-01-0043,"UAB ""Skado medis""",Baigtas įgyvendinti,47770,23885,41840,20920,0,2015-09-30
"UAB ,,BS Chemical"" eksporto didinimas, sertifikuojant naujus gaminius",03.2.1-LVPA-K-802-01-0042,"UAB ""BS Chemical""",Paraiškos vertinimas,41577.68,20788.84,0,0,0,
"UAB ,,Fesko"" tarptautiškumo didinimas, sertifikuojant naujus gamininius",03.2.1-LVPA-K-802-01-0041,"UAB ""Fesko""",Įgyvendinimas,13643.8,6821.9,12850,6425,0,2015-09-29
"UAB ,,Žvėrininkystės įranga"" eksporto didinimas, setifikuojant naujus gaminius",03.2.1-LVPA-K-802-01-0040,"UAB ""Žvėrininkystės įranga""",Paraiškos vertinimas,12832,6416,0,0,0,
Medicininių prietaisų CE sertifikavimas,03.2.1-LVPA-K-802-01-0039,"Uždaroji akcinė bendrovė ""Profarma""",Nesudaryta sutartis,85872.6,42936.3,0,0,0,
UAB „Fire Experts“ gaminių sertifikavimas ,03.2.1-LVPA-K-802-01-0038,"UAB ""Fire Experts""",Įgyvendinimas,77630,38815,70480,35240,0,2015-09-29
UAB MEDELCOM INTERNATIONAL PRODUKCIJOS SERTIFIKAVIMAS,03.2.1-LVPA-K-802-01-0037,UAB MEDELCOM INTERNATIONAL,Paraiškos vertinimas,92242.56,46121.28,0,0,0,
UAB Commercial transport service produkcijos sertifikavimas siekiant paskatinti eksportą,03.2.1-LVPA-K-802-01-0036,UAB Commercial transport service,Įgyvendinimas,67050,33525,47082,23541,0,2015-09-22
"UAB ""JUSTINHUS"" tarptautiškumo didinimas",03.2.1-LVPA-K-802-01-0035,"UAB ""JUSTINHUS""",Paraiškos vertinimas,172118,86059,0,0,0,
"UAB ""FORMULA AIR BALTIC"" tarptautiškumo didinimas",03.2.1-LVPA-K-802-01-0034,"UAB ""FORMULA AIR BALTIC""",Įgyvendinimas,150000,75000,150000,75000,0,2015-10-01
UAB AKIS Technologies produkto sertifikavimas,03.2.1-LVPA-K-802-01-0033,UAB AKIS Technologies,Įgyvendinimas,20000,10000,20000,10000,0,2015-09-23
UAB „Enilit“ gaminių sertifikavimas ,03.2.1-LVPA-K-802-01-0032,"UAB ""Enilit""",Baigtas įgyvendinti,17520,8760,17520,8760,0,2015-10-01
"UAB ""Ecococon"" gaminių sertifikavimas ",03.2.1-LVPA-K-802-01-0031,"UAB ""Ecococon""",Įgyvendinimas,60030,30015,60030,30015,0,2015-09-25
UAB „Stega“ gaminių sertifikavimas ,03.2.1-LVPA-K-802-01-0030,"UAB ""Stega""",Įgyvendinimas,195170,97585,56138,28069,0,2015-09-29
"Kvalifikuotų el. parašo kūrimo, kvalifikuotų el. spaudų ir kvalifikuotų el. laiko žymenų atitikties Reglamentui (ES) Nr. 910/2014 vertinimas ",03.2.1-LVPA-K-802-01-0029,"UAB ""Skaitmeninio sertifikavimo centras""",Nesudaryta sutartis,95000,72500,0,0,0,
"UAB ""Kodinis Raktas"" apsaugos sistemų sertifikavimas",03.2.1-LVPA-K-802-01-0028,"UAB ""Kodinis Raktas""",Įgyvendinimas,60719.93,30359.96,58127.03,29063.51,0,2015-10-01
Medicinos prietaisų CE ženklo sertifikavimas ir kosmetikos gaminių notifikavimas,03.2.1-LVPA-K-802-01-0027,"UAB ""Medicinos linija""",Įgyvendinimas,196425.66,98212.83,187841,93920.5,0,2015-09-25
El. parašo kūrimo ir saugaus dokumento pristatymo paslaugos atitikties Reglamentui (ES) Nr. 910/2014 vertinimas (sertifikavimas),03.2.1-LVPA-K-802-01-0026,"UAB ""Skaitmeninio sertifikavimo centras""",Nesudaryta sutartis,95000,72500,0,0,0,
Kvalifikuotų e. paslaugų sertifikatų sudarymo paslaugų atitikties Reglamentui (ES) Nr. 910/2014 vertinimas (sertifikavimas),03.2.1-LVPA-K-802-01-0025,"UAB ""Skaitmeninio sertifikavimo centras""",Nesudaryta sutartis,95000,72500,0,0,0,
"UAB ""Vilpros pramonė"" tarptautiškumo didinimas",03.2.1-LVPA-K-802-01-0024,"UAB ""Vilpros pramonė""",Įgyvendinimas,47808,23904,46864,23432,0,2015-10-01
"A. Valiuškevičiaus įmonės ""Klukis"" produkcijos tarptautiškumo skatinimas",03.2.1-LVPA-K-802-01-0023,"A. Valiuškevičiaus įmonė ""KLUKIS""",Paraiškos vertinimas,17016.52,8508.26,0,0,0,
Sklandytuvo LAK-17BFESL 21 EASA sertifikavimas,03.2.1-LVPA-K-802-01-0022,"UAB ""Sportinė aviacija ir Ko""",Nesudaryta sutartis,178030,89015,0,0,0,
"UAB ""Gildera"" produkcijos sertifikavimas didinant įmonės konkurencingumą",03.2.1-LVPA-K-802-01-0021,"UAB ""Gildera""",Įgyvendinimas,31600,15800,30000,15000,0,2015-09-29
Elektros energiją generuojančio stiklo gaminių sertifikavimas (EN-inGLASS),03.2.1-LVPA-K-802-01-0020,"UAB ""Via Solis""",Įgyvendinimas,140400,70200,140400,70200,0,2015-10-01
RYŠIŲ ĮRANGOS PRODUKCIJOS SERTIFIKAVIMAS IR EKSPORTO PLĖTRA,03.2.1-LVPA-K-802-01-0018,"UAB ""Trikdis""",Įgyvendinimas,143770,71885,116401.02,58200.51,0,2015-09-23
Įmonės UAB „Balėnų medis“ eksporto pradžia,03.2.1-LVPA-K-802-01-0017,"UAB ""Balėnų medis""",Paraiškos vertinimas,5800,2900,0,0,0,
Nordic Ecolabel  sertifikato įsigijimas,03.2.1-LVPA-K-802-01-0016,"Uždaroji akcinė bendrovė ""DRUKA""",Paraiškos vertinimas,4188.38,2094.19,0,0,0,
Įmonės UAB „Aliuminio konstrukcijos“ konkurencingumo didinimas užsienio rinkose ir planuojamos eksportuoti produkcijos kokybės tobulinimas,03.2.1-LVPA-K-802-01-0015,"UAB ""Aliuminio konstrukcijos""",Paraiškos vertinimas,97300,48650,0,0,0,
PLASTIKINIŲ STATYBOS DIRBINIŲ SERTIFIKAVIMAS IR EKSPORTO PLĖTRA,03.2.1-LVPA-K-802-01-0014,"UAB ""Baltijos polistirenas""",Įgyvendinimas,141728.79,70864.39,161992.5,70864.39,0,2015-10-05
INFOBALT narių  grupinės eksporto iniciatyvos skatinimas (INGEIS) ,03.2.1-LVPA-K-801-01-0001,"Asociacija ""INFOBALT""",Įgyvendinimas,868319.92,499283.95,832670,463634.05,0,2015-10-07
"UAB ""POLIMASTER EUROPE"" JONIZUOJANČIOS SPINDULIUOTĖS MATAVIMO PRIETAISŲ SERTIFIKAVIMAS",03.2.1-LVPA-K-802-01-0007,"UAB ""Polimaster Europe""",Paraiškos vertinimas,35800,17900,0,0,0,
Planuojamų gaminti priešgaisrinių vidaus medinių durų sertifikavimas,03.2.1-LVPA-K-802-01-0006,"Uždaroji akcinė bendrovė ""Taumona""",Nesudaryta sutartis,13815.36,6900,0,0,0,
"UAB ""Flokati"" gaminamos produkcijos sertifikavimas",03.2.1-LVPA-K-802-01-0005,"UAB ""FLOKATI""",Nesudaryta sutartis,16955.16,8477.58,0,0,0,
"UAB ""Vittamed"" produkcijos sertifikavimas eksporto rinkoms",03.2.1-LVPA-K-802-01-0001,"UAB ""VITTAMED""",Įgyvendinimas,105221,52610,105170.98,52585.49,0,2015-09-30
Lietuvos įmonių dalyvavimo tarptautinėse parodose ir verslo misijose organizavimas,03.2.1-LVPA-K-801-01-0005,"VšĮ ""Versli Lietuva""",Įgyvendinimas,496015,285208,348003,199723,0,2015-10-07
Izoliuotų vamzdžių sistemos sertifikavimas,03.2.1-LVPA-K-802-01-0057,UAB NEP Pipe,Nutrauktas,23388,11694,22400,11200,0,2015-10-02
"UAB ""Windex"" gaminamos produkcijos sertifikavimas",03.2.1-LVPA-K-802-01-0056,"UAB ""Windex""",Įgyvendinimas,14852,7426,13343,6671,0,2015-10-05
Akių lašų sertifikavimas EC,03.2.1-LVPA-K-802-01-0054,"UAB ""ORIGMED""",Nutrauktas,24437,12218.5,23900,11950,0,2015-09-25
"UAB ""Aurantijus"" vaistų sertifikavimas užsienio rinkose",03.2.1-LVPA-K-802-01-0053,"UAB ""Aurantijus""",Įgyvendinimas,185295.78,92647.89,158647.76,79323.88,0,2015-09-29
"UAB ""Merseta"" veiklos efektyvumo didinimas, skatinant naujų produktų eksportą",03.2.1-LVPA-K-802-01-0052,"UAB ""Merseta""",Įgyvendinimas,11640,5820,11640,5820,0,2015-09-25
"UAB ""Dolena"" gaminių sertifikavimas",03.2.1-LVPA-K-802-01-0051,"UAB ""Dolena""",Paraiškos vertinimas,28045,14022,0,0,0,
Medinių skydinių namų sistemų sertifikavimas,03.2.1-LVPA-K-802-01-0046,"Uždaroji akcinė bendrovė ""KRIAUTĖ""",Baigtas įgyvendinti,46441,23220.5,41840,20920,0,2015-09-25
ECOLIGHT produkcijos sertifikavimas,03.2.1-LVPA-K-802-01-0045,"UAB ""Elektros taupymo sprendimai""",Įgyvendinimas,86654,43327,86746,43327,0,2015-09-25
"UAB ""Menga"" naujų gaminių eksporto rinkoms sertifikavimas",03.2.1-LVPA-K-802-01-0044,"UAB ""Menga""",Paraiškos vertinimas,21800,10900,0,0,0,
Naujos transporto priemonės patvirtinimas,03.2.1-LVPA-K-802-01-0019,"UAB ""ALTAS komercinis transportas""",Baigtas įgyvendinti,24750,12375,24750,12375,0,2015-09-30
EXPO sertifikatas LT,03.2.1-LVPA-K-802-01-0013,"UAB ""BURBULIUKAS IR CO""",Įgyvendinimas,20395.5,10000,3761,1776.32,0,2015-09-25
UAB „Elgama sistemos“ produkcijos sertifikavimas,03.2.1-LVPA-K-802-01-0012,"Uždaroji akcinė bendrovė ""ELGAMA SISTEMOS""",Įgyvendinimas,37562,18781,37562,18781,0,2015-09-23
UAB „Elgama-Elektronika“ produkcijos sertifikavimas,03.2.1-LVPA-K-802-01-0011,"UAB ""ELGAMA-ELEKTRONIKA""",Įgyvendinimas,93885,46942,93885,46942,0,2015-09-22
"UAB ""Serfas"" gaminių sertifikavimas eksporto apimčių didinimui",03.2.1-LVPA-K-802-01-0010,"Uždaroji akcinė bendrovė ""Serfas""",Paraiškos vertinimas,26802.86,13401.43,0,0,0,
"UAB ""ELDES"" produktų sertifikavimas",03.2.1-LVPA-K-802-01-0009,"UAB ""Eldes""",Įgyvendinimas,150790,75395,150790,75395,0,2015-09-25
"Išmanaus žvejybos sonaro ""Deeper"" 2-asis eksporto plėtros etapas.",03.2.1-LVPA-K-802-01-0008,UAB Friday Lab,Baigtas įgyvendinti,70387.61,35190,57331.84,28665.03,0,2015-09-30
"UAB ""Baltic Car Equipment"" veiklos efektyvumo didinimas, skatinant eksportą",03.2.1-LVPA-K-802-01-0004,"UAB ""Baltic Car Equipment""",Įgyvendinimas,18821.2,9410.6,18821.2,9410.6,0,2015-09-23
Kosmetikos priemonių ir aromaterapinių preparatų sertifikavimas,03.2.1-LVPA-K-802-01-0003,UAB Biokosmetikos manufaktūra,Įgyvendinimas,9269.15,4634.57,9269.15,4634.57,0,2015-10-01
"UAB ""Inorega"" infrastruktūros modernizavimas ir veiklos plėtra",03.3.1-LVPA-K-803-01-0002,"UAB ""Inorega""",Nesudaryta sutartis,567824,257824,0,0,0,
Biologinių buitinių nuotekų valymo įrenginių sertifikavimas,03.2.1-LVPA-K-802-01-0002,"UAB ""Feliksnavis""",Įgyvendinimas,44733.92,22366,44632.45,22316,0,2015-09-23
„UAB Litnaglis“ naujų gamybos pajėgumų sukūrimas įdiegiant inovatyvią fibros gamybos technologinę liniją“,03.3.1-LVPA-K-803-01-0001,"Uždaroji akcinė bendrovė ""Litnaglis""",Nesudaryta sutartis,2099268,734743,0,0,0,
"UAB ""Reflektorius"" inovatyvios gamybos verslo pradžia ir vystymas",03.3.1-LVPA-K-803-01-0014,"UAB ""Reflektorius""",Nesudaryta sutartis,4666660,2099997,0,0,0,
Inovatyvios daugiasluoksnės pakavimo plėvelės gamyba,03.3.1-LVPA-K-803-01-0015,"UAB ""Veiklos spektras""",Nesudaryta sutartis,7293782.63,2100000,0,0,0,
Investicijos į šiukšlių maišų gamybą Alytuje,03.3.1-LVPA-K-803-01-0016,"UAB ""Plastalytus""",Nesudaryta sutartis,4961197.73,2100000,0,0,0,
INVESTICIJOS Į KIETŲJŲ BALDŲ RESTAURACIJOS IR JŲ DALIŲ APDIRBIMO PASLAUGAS,03.3.1-LVPA-K-803-01-0017,"UAB ""Paulas""",Nesudaryta sutartis,457938,206072,347147,156216,0,2016-02-22
"UAB ""Vilpros pramonė"" darbo našumo didinimas modernizuojant gamybos technologijas ",03.3.1-LVPA-K-803-01-0018,"UAB ""Vilpros pramonė""",Įgyvendinimas,1243497,435223,1254797,435223,0,2016-02-24
UAB „Strapa“ investicijos į tvirtinimo juostų gamybos plėtrą,03.3.1-LVPA-K-803-01-0019,UAB STRAPA,Įgyvendinimas,4691463.35,2100000,4600054.35,1610019,0,2015-12-10
Modernios polistirolio plokščių gamyklos statyba ir veiklos organizavimas Vievyje,03.3.1-LVPA-K-803-01-0020,"Akcinė bendrovė ""SILIKATAS""",Nesudaryta sutartis,3435203,1188462,0,0,0,
"AB ""FASA"" pajėgumų didinimas",03.3.1-LVPA-K-803-01-0021,"Akcinė bendrovė ""Fasa""",Įgyvendinimas,5984102,2094435.7,2583824,900000,0,2016-04-04
"UAB „Automatikos sistemos“ metalo apdirbimo cecho plėtra bei technologinės linijos modernizavimas, įdiegiant produktų bei procesų inovacijas",03.3.1-LVPA-K-803-01-0022,"UAB ""AUTOMATIKOS SISTEMOS""",Nesudaryta sutartis,708408,247522,0,0,0,
"Plastiksė, UAB plėtra diegiant modernias gamybos technologijas",03.3.1-LVPA-K-803-01-0023,"UŽDAROJI AKCINĖ BENDROVĖ ""PLASTIKSĖ""",Įgyvendinimas,2571400,899990,2391400,836990,0,2015-12-16
UAB „VILNIAUS BIOKURAS“ medienos granulių gamybinės bazės sukūrimas,03.3.1-LVPA-K-803-01-0024,"UAB ""Vilniaus biokuras""",Įgyvendinimas,2118976,937689,1489314,655298,0,2015-12-11
UAB „RIETUVA“ GAMYBINĖS BAZĖS SUKŪRIMAS ĮDIEGIANT INOVATYVIĄ GAMYBOS TECHNOLOGIJĄ,03.3.1-LVPA-K-803-01-0025,"Uždaroji akcinė bendrovė ""Rietuva""",Įgyvendinimas,4839083,2100000,4839083,2100000,0,2015-12-21
Nerūdinių medžiagų gamybos linijos diegimas,03.3.1-LVPA-K-803-01-0026,"UAB ""Papiškių karjeras""",Įgyvendinimas,2568945,899131,2008211,702873,0,2015-12-10
"""UAB ""Vitera Baltic"" suspensinių trąšų gamyklos statyba ir įrengimas""",03.3.1-LVPA-K-803-01-0027,"UAB ""Vitera Baltic""",Nesudaryta sutartis,2825905,1340537,0,0,0,
"Sandėliavimo įrangos ""Very Narrow Aisle"" sistemos įsigijimas",03.3.1-LVPA-K-803-01-0028,"UAB ""V. Paulius & associates real estate""",Nesudaryta sutartis,1374516,310945,0,0,0,
"UAB  Plieno fortas  verslo konkurencingumo skatinimas, vykdant  gamybinių  pajėgumų  optimizavimo ir  plėtros  investicinį  projektą",03.3.1-LVPA-K-803-01-0029,"UAB ""Plieno fortas""",Nesudaryta sutartis,6000000,2100000,0,0,0,
"UAB ""METRAIL"" GAMYBOS BAZĖS ĮKŪRIMAS ALYTAUS RAJONE",03.3.1-LVPA-K-803-01-0030,"Uždaroji akcinė bendrovė ""METRAIL""",Nesudaryta sutartis,550000,247500,0,0,0,
Gofruotojo kartono pakuočių gamybos modernizavimas ir plėtra,03.3.1-LVPA-K-803-01-0031,"UAB ""Lietmeta""",Nesudaryta sutartis,1765388.66,617886.03,0,0,0,
Sveikatingumo centro Diamond Resort steigimas,03.3.1-LVPA-K-803-01-0032,UAB Dubingiai diamond resort,Nesudaryta sutartis,4713507,2100000,0,0,0,
"Moderniųjų technologijų įdiegimas, kuriant naujus gamybos pajėgumus inovatyvių medienos gaminių gamybai",03.3.1-LVPA-K-803-01-0033,"MB ""GMT Investicija""",Nesudaryta sutartis,3833987.52,1725294.37,0,0,0,
Sapropelio ir durpių mišinių gamybos ir fasavimo pastato statyba,03.3.1-LVPA-K-803-01-0034,"UAB ""Sensatis""",Nesudaryta sutartis,6028530.57,2100000,0,0,0,
"Uždarosios akcinės bendrovės ""Ekologinė sfera"" investicijos į inovatyvos gamybos plėtrą, sudarant sąlygas augti bendrovės darbo našunui",03.3.1-LVPA-K-803-01-0035,"Uždaroji akcinė bendrovė ""Ekologinė sfera""",Nesudaryta sutartis,1110575.82,499759.12,0,0,0,
"UAB ""Derneta"" investicijos į modernią įrangą, siekiant padidinti bendrovės produktyvumą",03.3.1-LVPA-K-803-01-0036,"UAB ""Derneta""",Nesudaryta sutartis,1980822.5,891370.12,0,0,0,
"UAB ""Donesa"" konkurencingumo ir produktyvumo didinimas",03.3.1-LVPA-K-803-01-0037,"UAB ""Donesa""",Nesudaryta sutartis,1289311,580189.5,0,0,0,
"UAB Gudobelė    konkurencingumo  skatinimas,  vykdant  gamybinių  pajėgumų  plėtros  investicinį  projektą",03.3.1-LVPA-K-803-01-0038,UAB Gudobelė,Įgyvendinimas,1165963,408087,1135714,397499,0,2016-01-12
Modernios netinkamų naudoti padangų perdirbimo gamyklos įkūrimas,03.3.1-LVPA-K-803-01-0039,"UAB ""Gumos perdirbimas""",Nesudaryta sutartis,2014976.47,900000,0,0,0,
"Modernaus medikamentų sandėlio įrengimas, siekiant pradėti teikti inovatyvias paslaugas",03.3.1-LVPA-K-803-01-0040,"UAB ""ABC Farma""",Įgyvendinimas,5319953,2100000,4269839,1921427,0,2015-12-10
Aukšto produktyvumo ofsetinės spaudos mašinos įsigijimas,03.3.1-LVPA-K-803-01-0041,"UAB ""Domus impressa""",Nesudaryta sutartis,2069000,900000,0,0,0,
MB Globex AAA konkurencingumo ir produktyvumo didinimas,03.3.1-LVPA-K-803-01-0042,MB Globex AAA,Nesudaryta sutartis,4666667,2100000,0,0,0,
