Project_Nummer     Project_Number,Actie,Tijdvak,Naam Aanvrager                                                  Beneficiary name,Locatie project      operation postcode; or other appropriate location indicator,Land       Country,Inverventie- categorie  Name of category of intervention,Naam Project                                                           Project Name,Project samenvatting                                                                                           Project Summary,Startdatum project           Project start date,Einddatum project          Project end date,EUSF subsidie toegekend verlening   ESF approved on request Union cofinancing (max 50%),Totale subsidiabele kosten bij verlening            Total eligible expenditure on request
2014EUSF2011799,AMR,2014,Gemeente Leeuwarden,Leeuwarden,NL,n.v.t.,Brug naar werk,"Leeuwarden vraagt namens de arbeidsmarktregio Friesland ESF subsidie aan voor activiteiten gericht op het vergroten van de kansen op de arbeidsmarkt van de ESF-doelgroep in het kader van de regeling Actieve inclusie (ESF 2014-2020).
Uitgangspunten van het ESF-project zijn o.a.:
- Centrale projectorganisatie bij gemeente Leeuwarden.
- Alle Friese  gemeenten committeren zich aan  de te realiseren doelstellingen.
- De aanpak sluit aan bij de regionale werkgeversdienstverlening en het regionale Werkbedrijf.
Naast de onderwijsinstellingen VSO en PrO zijn aangesloten de Provincie FryslÃ¢n en het UWV. Deelnemende gemeenten richten zich  op actieve inclusie voor de ESF-doelgroep. Daarbij is aandacht voor de bevordering van gelijke kansen en non-discriminatie.
Voor de Friese gemeenten is ? 3.486.000,- beschikbaar. Het belangrijkste uitgangspunt is het in beeld brengen en voorbereiden op de arbeidsmarkt van deze werkzoekenden met een grote afstand tot de arbeidsmarkt. Uitgaande van de kansen die er voor deze groep bij werkgevers zijn.
De focus ligt bij de volgende doelstellignen:
1: Werkzoekenden (duurzaam) plaatsen op een baan middels jobhunting, jobcoaching en loonkostensubsidie.
2: Werkzoekenden kwalificeren voor de arbeidsmarkt middels (branchegerichte) scholing, stimuleren behalen startkwalificatie of om langer door te leren (breder en/of hoger opleiden).
3: Bevorderen van de (arbeids-)participatie middels activeringstrajecten
Het resultaat van deze inspanning is dat van deze 2.200 werkzoekenden aantoonbaar zijn bediend gericht op bovenstaande doelen waarbij:
- Minstens 20 % is geplaatst op regulier werk
- Minstens 20 % is geplaatst op een gesubsidieerde (leerwerk)baan 
- Bij circa 40 % is de belemmering voor directe bemiddeling naar de arbeidsmarkt via een activeringstraject of een werk/stageplaats (met behoud van uitkering) aantoonbaar opgeheven
- Circa 15 %  heeft een opleiding of (branchegerichte) cursus gevolgd
- Circa 5 %  overig (verhuizing, zorgtraject of voortijdig gestopt)
",20.10.2014,10.10.2016,€ 3.487.750,€ 7.127.700
2014EUSF20118,VSO,2014,Gemeente Leiden,Leiden,NL,n.v.t.,Actieve inclusie Holland Rijnland ESF 4 Scholen,"Pro/VSO scholen hebben Stage- werkplekleren ingezet voor de begeleiding van leerlingen in het transitiejaar. De begeleiding bestond uit individuele begeleiding op school en op de werkvloer tijdens de stage, trainingen. Deze begeleiding is erop gericht jongeren een duurzame plek te geven op de arbeidsmarkt. Hoewel alle scholen de ESF middelen voor Stage- werkplekleren hebben ingezet, verschilde de uitvoering per school. De verschillen komen doordat de leerlingen in verschillende schooltypes zitten en dat er om die reden een verschil in aanpak nodig is. In de loop van de jaren hebben scholen ook hun eigen unieke methodiek van werkplekleren ontwikkeld.
In cluster 1 zijn de scholen; Groene Hart, Prisma, Thermiek, Korte Vlietschool, Auris College, Limes Katwijk en VSO het Duin opgenomen. In dit cluster treden geen wijzigingen op in het komende jaar.
In cluster 2 zijn de scholen; Het Waterland, Leo Kanner in Leiden, Leiderdorp en Oegstgeest opgenomen. EÃ©n school uit de Leo Kanner Groep (Het Leo Kanner College) heeft besloten te stoppen met deelname aan het ESF project. Deze school biedt onderwijs op VMBO-T, HAVO en VWO niveau, en heeft derhalve een beperkt aantal stage-uren in het curriculum. Naar verwachting zullen de andere scholen binnen dit cluster het budget van het Leo Kanner College kunnen verantwoorden binnen hun activiteiten. Daarom is het vooralsnog niet nodig een gewijzigde aanvraag in te dienen.
De samenwerking tussen de centrumgemeente Leiden en de PrO/VSO scholen i.h.k.v. Actieve Inclusie heeft geleid tot vroegtijdige en intensieve communicatie over het overnemen van de rol van het UWV door de gemeenten naar aanleiding van de invoering van de Participatiewet. Hiertoe is een multidisciplinaire werkgroep PrO/VSO opgezet. De activiteiten van deze werkgroep hebben een vervolg gekregen in de aanvraag ESF Sociale Innovatie. Met dit project versterken wij de samenwerking in de regio; ontwikkelen wij methodieken; verbeteren we de communicatie; en besteden wij aandacht aan positieve beeldvorming over de doelgroep.",28.08.2014,27.08.2016,€ 508.950,€ 1.017.900
2014EUSF2011806,VSO,2014,gemeente 's-Hertogenbosch,'s-Hertogenbosch,NL,n.v.t.,ARNO - Arbeidsmarktregio NO-Brabant PrO-VSO,"De centrumgemeente 's-Hertogenbosch vraagt namens de deelnemende scholen in de arbeidsmarktregio Noordoost-Brabant ESF-subsidie aan voor het ESF project  'Arbeidsmarktregio Noordoost-Brabant PrO VSO' (ARNO). Het ESF project is ingebed binnen het regionaal arbeidsmarktbeleid 'Noordoost-Brabant Werkt!'. Met het oog op de huidige (2014-2016) en volgende ESF tranches hebben de scholen in de arbeidsmarktregio gekozen voor een eenduidige, effectieve projectopzet- en inrichting. In lijn met deze opzet en met het oog op de continuÃ¯teit is gekozen om het instrument stagewerkplekleren uit de menukaart in te zetten voor alle deelnemende scholen (5 scholen PrO en 11 scholen VSO). De subsidie wordt ingezet voor bekostiging van de stagedocenten die de begeleiding van de leerlingen verzorgen in het kader van de activiteit stagewerkplekleren. 
De stage voor leerlingen van het praktijkonderwijs (PrO) is er op gericht relevante competenties op te doen in een specifieke werkrichting, afgestemd op de voorkeuren van de leerling en de mogelijkheden op de arbeidsmarkt. De stage staat in het teken van arbeidsvoorbereiding, het aanleren van relevante competenties, het zich kunnen handhaven in een werkomgeving en bovenal (vergroten van de mogelijkheden tot) uitstroom naar werk en/of aanvullende scholing/educatie. 
Bij de scholen voor voortgezet speciaal onderwijs (VSO) ligt de focus op een goede, intensieve begeleiding van kwetsbare jongeren. Doelstelling hierbij is dat zij middels het instrument stagewerkplekleren vanaf het begin van de stage stap voor stap worden begeleid door de stagedocent van de school, met als uiteindelijk doel uitstroom richting werk, (vervolg)opleiding en/of dagbesteding. 

Middels de inzet van het instrument stagewerkplekleren wordt invulling gegeven aan de doelstellingen van het ESF om de kansen op duurzame arbeidsmarktparticipatie te vergroten. Het ESF project ARNO bestaat uit drie clusters: een cluster t.b.v. de PrO scholen, een cluster t.b.v. de VSO scholen en een cluster projectcoÃ¶rdinatie en -administratie.",20.10.2014,04.09.2016,€ 623.250,€ 2.396.260
2014EUSF2011834,VSO,2014,Gemeente Leeuwarden,Leeuwarden,NL,n.v.t.,VSO PrO Friesland,"Leeuwarden vraagt namens de arbeidsmarktregio Friesland ESF subsidie aan voor activiteiten gericht op het vergroten van de kansen op de arbeidsmarkt van de ESF-doelgroep in het kader van de regeling Actieve inclusie (ESF 2014-2020). Uitgangspunten van het ESF-project zijn o.a.: - Centrale projectorganisatie bij gemeente Leeuwarden. - Alle deelnemende VSO en PrO instellingen committeren zich aan de te realiseren doelstellingen. - De aanpak sluit aan bij de regionale werkgeversdienstverlening en het regionale Werkbedrijf.  De onderwijsinstellingen richten zich op actieve inclusie voor de ESF-doelgroep. Daarbij is aandacht voor de bevordering van gelijke kansen en non-discriminatie. Voor de 16 deelnemende VSO en PrO instellingen is totaal ? 1.494.750,- beschikbaar. Het belangrijkste uitgangspunt is het in beeld brengen van de kansen en belemmeringen en het voorbereiden op de arbeidsmarkt van deze (ex) leerlingen. De focus ligt bij de volgende doelstellignen: 1: Leerlingen (duurzaam) plaatsen op een baan middels beroepenorientage, stage/werkplekleren in combinatie met jobcoaching en jobhunting en loonkostensubsidie. 2: Werkzoekenden kwalificeren voor de arbeidsmarkt middels (branchegerichte) scholing, stimuleren behalen startkwalificatie (avondschool) of om langer door te leren (breder en/of hoger opleiden). 3: Bevorderen van de (arbeids-)participatie middels activeringstrajecten. Het resultaat van deze inspanning is dat van deze 1.100 (ex) leerlingen aantoonbaar zijn bediend gericht op bovenstaande doelen waarbij: - Circa 20 % is geplaatst op regulier werk - Circa 15 % is geplaatst op een gesubsidieerde (leerwerk)baan - Circa 10% is geplaatst op onbetaald (vrijwilligers)werk; - Circa 20 % heeft een opleiding of (branchegerichte) cursus gevolgd - Circa 20% is na einde projectperiode nog in opleiding en Circa 5 % overig (verhuizing, zorgtraject of voortijdig gestopt) ",21.10.2014,10.10.2016,€ 1.494.750,€ 3.159.850
2014EUSF2011850,AMR,2014,Gemeente Tiel,Tiel,NL,n.v.t.,ESF project Regio Rivierenland 2014-2016,Met dit project zet Regio Rivierenland zich in om de werkloosheid in de regio terug te dringen en investeren de regio in mensen door het cursussen aan te bieden die hun vaardigheden vergroten. Hierdoor komen er gelijke kansen op een baan ongeacht de achtergrond van een werkzoekende. ,11.11.2014,10.02.2017,€ 302.373,€ 604.747
2014EUSF20119,AMR,2014,Gemeente Leiden,Leiden,NL,n.v.t.,Actieve inclusie Holland Rijnland ESF 4 Gemeenten,"De gemeente Leiden heeft als centrumgemeente het voortouw genomen om deze ESF aanvraag aan te vragen. Met de betrokken partijen zijn afspraken gemaakt die formeel zijn vastgelegd in een instemmingsverklaring en een samenwerkingsovereenkomst. 
De regio Holland Rijnland (HR) bestaat uit 6 samenwerkingsverbanden van gemeenten die werkzoekenden begeleiden naar de arbeidsmarkt. In de regio HR is de instroom in de bijstand hoog. Gemeentes hebben ervoor gekozen om de ESF-middelen in te zetten om extra capaciteit te genereren in hun organisaties om meer formatie beschikbaar te krijgen voor begeleiding van werkzoekenden waardoor de kansen op betaald werk wordt vergroot. De begeleiding van werkzoekenden wordt uitgevoerd in nauw overleg met partners en verschilt per samenwerkingsverband. De begeleiding bestaat uit individuele begeleiding en groepsactiviteiten zoals trainingen.  In deze aanvraag nemen we in principe geen jongeren mee, omdat er op dit moment nog een ESF J3 project wordt uitgevoerd in de regio. We sluiten jongeren niet uit, maar de activiteiten zijn gericht op de doelgroep 27+ die langer dan een half jaar werkzoekend zijn.",28.08.2014,27.11.2016,€ 1.187.550,€ 2.500.000
2014EUSF2011901,VSO,2014,"Dienst Sociale Zaken en Werk, gemeente Groningen",Groningen,NL,n.v.t.,Werk in Zicht Onderwijs,"Aanpak: 
De arbeidsmarktregio Groningen kiest voor een integrale aanpak voor de arbeidstoeleiding van (ex)lln van het praktijk- en voortgezet speciaal onderwijs van 15 tot 27 jaar die in staat zijn loonvormende arbeid te (gaan) verrichten, niet duurzaam zelfredzaam zijn op de arbeidsmarkt en die niet (kunnen) doorstromen naar vervolgonderwijs. Deze aanpak houdt in dat vanaf leerjaar 3 lln van het PrO en VSO in beeld worden gebracht. Het betreft jongeren die mogelijk niet in staat zijn vervolgonderwijs te volgen en direct aansluitend aan PrO of VSO naar de arbeidsmarkt toegeleid moeten worden. En lln die doorstromen naar vervolgonderwijs. Voor deze lln trekken scholen en gemeenten gezamenlijk op. 
De activiteiten in de menukaart omschreven worden ingezet.
Doelstelling: 
Door extra begeleiding bij de hierboven genoemde activiteiten krijgen lln met een grotere afstand tot de arbeidsmarkt een betere kans op werk of een vervolgopleiding. 
Beoogde resultaten: 
De activiteiten bevorderen de aansluiting van PRO en VSO op de arbeidsmarkt of vervolgonderwijs. De gezamenlijke ambitie van de scholen en de AMR GN is om voor deze groep een op de toekomst gericht passend aanbod richting arbeid te doen en te realiseren. De scholen willen nagaan welke instrumenten hieraan bijdragen, zodat ze slimmer ingezet worden. 
- efficiÃ«nte inzet van middelen; - optimaal gebruik maken van de bestaande infrastructuur en voorzieningen voor de doelgroep in de Regio door vorming van een netwerkschool
- een betere voorbereiding op de arbeidsmarktgerichte beroepskeuze; - het waar mogelijk behalen van een (deel)certificaat gericht op een specifiek beroep; - rechtstreekse toeleiding van school naar werk; - de arbeidstoeleiding van de PrO en VSO scholen binnen de regio is integraal, toekomst- en  preventiegericht; - voorkomen schooluitval.
Vanuit bovengenoemde netwerkschool zal een verbinding worden gelegd met de regionale overleggen rondom de aansluiting van onderwijs en arbeidsmarkt van kwetsbare jongeren.",01.11.2014,30.10.2016,€ 2.200.500,€ 5.293.206
2014EUSF2011904,AMR,2014,"Dienst Sociale Zaken en Werk, gemeente Groningen",Groningen,NL,n.v.t.,Werk in Zicht,"In de arbeidsmarktregio Groningen werken de vier sub regio?s, Centraal Groningen, Noord-Groningen, Oost-Groningen en Noord-Drenthe, samen om werkloosheid te bestrijden en te voorkomen. Onder de naam ?Werk in Zicht!? zijn middelen, maatregelen en samenwerking gericht op een regionale aanpak van twee hoofdthema?s: de aansluiting tussen onderwijs en arbeidsmarkt en werkgeversdienstverlening.  Er wordt in de Arbeidsmarktregio gewerkt in de volgende drie gebieden:

1. Bestrijding jeugdwerkloosheid in relatie met aanpak voortijdig schoolverlaters( werk-leerloket/jongerenloket)
2. Activering en re-integratie arbeid-belemmerden (27 jaar en ouder)
3. Ondersteuning bij activering-  en re-integratieactiviteiten overige bijstandspopulatie
In alle kanssectoren worden de volgende instrumenten ingezet: voorlichting en begeleiding (terug) naar school,  werkervaring en stage, werk- en opleidingscarrousel, opleidingen dicht bij de werkgever. 
",01.01.2015,31.12.2016,€ 5.134.500,€ 15.682.394
2014EUSF2011913,VSO,2014,Gemeente Apeldoorn,Apeldoorn,NL,n.v.t.,Arbeidstoeleiding van kwetsbare jongeren,"Aanleiding:
Vanaf 2015, als de Participatiewet van kracht gaat, worden de arbeidsmarktkansen aanzienlijk kleiner voor leerlingen van het praktijkonderwijs (PRO) en voortgezet speciaal onderwijs (VSO). Voor deze groep jongeren, die vanwege een handicap te kampen hebben met functiebeperkingen, is het vaak niet mogelijk om zonder ondersteuning op de arbeidsmarkt actief te zijn. Wanneer geen aanvullende activiteiten worden ondernomen komen deze jongeren bij de gemeenten als participatie- of als werkklant.
Het PRO en VSO zijn veelal eindonderwijs en het einddoel is een zo zelfstandig mogelijke plaats in de maatschappij. Door de landelijke ontwikkelingen Ã©n de recessie komt het uitstroomperspectief van deze leerlingen richting het mbo, beschermde en reguliere arbeid onder druk te staan. Voor deze jongeren is een integrale benadering en een soepele overgang van school naar werk van groot belang.
Activiteiten:
De voorgenomen samenwerking tussen de PRO en VSO scholen uit onze arbeidsmarktregio is een eerste stap naar een integraal beleid. Met deze subsidieaanvraag zetten we in op het versterken van de bestaande structuur en voorzieningen voor jongeren. De activiteiten waarop wordt ingezet zijn Stage- werkplekleren, Branchecursus en het Leerwerkbedrijf.
Doelstelling:
Door extra begeleiding bij de hierboven genoemde activiteiten krijgen leerlingen met een grotere afstand op de arbeidsmarkt een betere kans op werk of een vervolgopleiding.
Beoogde resultaten:
- Met de activiteiten bevorderen we de aansluiting van PRO en VSO op de arbeidsmarkt of vervolgonderwijs
- De arbeidstoeleiding (begeleiding naar werk) van de PRO en VSO scholen binnen de regio is integraal, toekomst- en preventiegericht
- Voorkomen vroegtijdig schoolverlaten binnen PRO en VSO
- De jongeren worden beter voorbereid op de arbeidsmarktgerichte beroepskeuze
- Waar mogelijk behalen jongeren een (deel)certificaat gericht op een specifiek beroep",01.12.2014,31.07.2016,€ 823.950,€ 1.647.900
2014EUSF2011914,AMR,2014,Gemeente Apeldoorn,Apeldoorn,NL,n.v.t.,Kansen in de AMR Stedenvierkant,"De arbeidsmarkt in de regio Stedenvierkant ondervindt nog steeds de gevolgen van de financieel economische crisis. De werkloosheid is sinds 2012 sterk gegroeid en het aantal vacatures neemt af. Het aantal uitkeringsgerechtigden ligt boven het landelijk gemiddelde. Het is de verwachting dat de arbeidsmarkt in de regio Stedenvierkant op wat langere termijn een omslag zal laten zien waarin er een tekort aan arbeidskrachten zal ontstaan. Voor de arbeidsmarktregio is daarom het investeren in mensen en de instroom van voldoende goed gekwalificeerd personeel van groot belang. 
Het ESF instrument Sociale Inclusie wordt ingezet om mensen binnen de arbeidsmarktregio met een afstand tot de arbeidsmarkt, kansen te bieden waarmee hun participatie
op de arbeidsmarkt kan worden bevorderd: actieve inclusie. Hiermee wordt het potentieel dat in de arbeidsmarktregio aanwezig is beter benut. In het project worden diverse instrumenten ingezet gericht op actieve individuele begeleiding van de ESF deelnemers behorend tot de diverse doelgroepen. Het gaat hierbij merendeel om jongeren en mensen die langer dan 6 maanden in de bijstand zitten. Het project bestaat uit 4 clusters van gemeenten met elk eigen accenten voor  de samenstelling van de doelgroep waarvoor een inzet wordt gepleegd. Afstemming van doelgroep en inzet van instrumenten door de clusters heeft plaatsgevonden in het kader van de arbeidsmarktregio. Naast actieve individuele begeleiding worden ook instrumenten ingezet als jobcoaching, plaatsingssubsidies en opleidingen/trainingen. 
Doelstelling van het ESF project ""Kansen in de AMR Stedenvierkant""  is het bevorderen van actieve inclusie door middel van het vergroten van mogelijkheden tot arbeidsinpassing van mensen die tot een van de ESF doelgroepen behoren. ",28.10.2014,27.01.2017,€ 1.922.550,€ 3.845.100
2014EUSF2011919,AMR,2014,Gemeente Zoetermeer,Zoetermeer,NL,n.v.t.,ZHC Aan De Slag,"Het doel van het project is terugdringen van jeugdwerkloosheid en de arbeidsinpassing van mensen met een afstand tot de arbeidsmarkt. Dit doel wordt bereikt door de volgende instrumenten: 
* Loonkostensubsidie: Aan werkgevers wordt door de gemeenten een loonkostensubsidie verstrekt voor het in dienst nemen van deelnemers uit de doelgroep van het project; 
* Jobcoaching: Het begeleiden en coachen van deelnemers uit de doelgroep op een werkplek; 
* Bemiddeling: Voor deelnemers uit de doelgroep van het project wordt door bemiddelaars banen en stageplekken geworven en de deelnemers worden gematched op de geworven plaatsen;
* Re-integratie activiteiten: Voor deelnemers uit de doelgroep van het project worden reintegratie trajecten uitgevoerd om de mogelijkheden tot arbeidsinpassing te vergroten. Deze trajecten kunnen variÃ«ren qua duur en inhoud;
* Scholing: Voor deelnemers uit de doelgroep worden diverse scholingen, trainingen of cursussen uitgevoerd met het doel het vergroten van de mogelijkheden tot arbeidsinpassing. De scholingen variÃ«ren qua duur en inhoud.

De gemeente Zoetermeer heeft in de onderhavige rapportage periode de activiteit 'Plaatsingssubsidie' (loonkostensubsidie) uitgevoerd. 
De regiogemeente Lansingerland heeft in de rapportage periode nog geen activiteiten uitgevoerd. 

De projectactiviteiten zijn afgestemd in het Regionaal Platform Arbeidsmarkt. De reintegratie-activiteiten zijn afgestemd op de regionale arbeidsmarkt.",01.11.2014,31.12.2016,€ 1.199.449,€ 2.398.899
2014EUSF2011921,AMR,2014,Gemeente Hilversum,Hilversum,NL,n.v.t.,Met inspanning naar werk,"Een samenwerkingsverband van gemeenten in de regio Gooi en Vechtstreek gaat zich inzetten om duurzaam de kansen op de arbeidsmarkt te vergroten voor werkzoekenden. In tegenstelling tot eerdere ESF projecten is ervoor gekozen de periode 2014-2020 te benutten om de bestaande gemeentelijke activiteiten zowel kwalitatief als kwantitatief te verbeteren. Binnen de Regio Gooi en Vechtstreek is ervoor gekozen om een gemeentelijke Menukaart op te stellen. In de Menukaart zijn een aantal activiteiten geformuleerd die de gemeenten in kunnen zetten binnen het ESF project. De menukaart bestaat uit de volgende onderwerpen:

1. Loonkostensubsidie
2. Jobcoaching
3. Startersbeurs
4. Leerwerkloket
5. Wegwerken taalachterstand
6. Re-integratietrajecten

Binnen de huidige projectformulering hebben de meeste gemeenten ervoor gekozen om vooral activiteit 6 van de menukaart in te zetten. De re-integratietrajecten is een activiteit die deels gekoppeld is aan de overige activiteiten. In sommige gevallen worden bijvoorbeeld loonkostensubsidies ingezet als stimuleringsinstrument binnen een re-integratietraject. 

Het samenwerkingsverband is opgesplitst in een vijftal clusters. Het is de bedoeling dat binnen deze clusters duurzame arbeidstoeleiding op maat gerealiseerd wordt. Het eerste cluster bestaat uit de centrumgemeente Hilversum. De gemeenten Weesp en Wijdemeren omvatten gezamenlijk het tweede cluster. Het derde cluster bestaat uit de gemeenten Blaricum, Eemnes, Laren en Huizen en het vierde cluster bestaat uit de gemeenten Bussum, Muiden en Naarden. Naast deze clusters, die zich gaan direct richten op de arbeidstoeleiding van werklozen, is er binnen dit project nog een vijfde cluster opgericht, waarin de projectadministratie centraal staat. 

Met dit project wil de Arbeidsmarktregio Gooi en Vechtstreek de komende twee jaar ruim 1200 mensen naar werk begeleiden.",01.12.2014,30.11.2016,€ 678.300,€ 1.938.258
2014EUSF2011922,VSO,2014,Gemeente Amersfoort,Amersfoort,NL,n.v.t.,Amersfoort VSO-PRO 14-16,"We zijn gestart met twee scholen: ATC match en Accent Nijkerk. Door teruglopende leerling aantallen is ATC gestopt met het belangrijkste deel van de ESF activiteiten en hebben we er voor gekozen om met De Baander in Amersfoort verder te gaan. We hadden bij ATC toen 39 deelnemers en 1.181 subsidiabele uren gerealiseerd.
De Baander is vanaf 27-08 begonnen en hebben  over het tweede halfjaar van 2015 109 subsidiabele deelnemers begeleid op de stages en 1.283 uren. 
Accent Nijkerk heeft gedurende de gehele periode meegedaan en heeft 184 deelnemers en 5.549 uren gerealiseerd.",01.01.2015,31.12.2016,€ 352.950,€ 725.800
2014EUSF2011923,AMR,2014,Gemeente Amersfoort,Amersfoort,NL,n.v.t.,ESF Amersfoort 14-16,"Als onderdeel van het regionaal arbeidsmarktbeleid van de gemeente Amersfoort zal de gemeente reÃ¯ntegratiediensten verlenen aan burgers die een beroep moeten doen op de Wet Werk en Bijstand. Het doel van deze reÃ¯ntegratiediensten is het begeleiden naar werk.

De weg waarlangs dat bereikt wordt, is maatwerk voor iedere cliÃ«nt. De consulent die de cliÃ«nt bediend, heeft de keuze uit ca. 80 verschillende in te zetten instrumenten.

Deze instrumenten kunnen worden ingezet binnen de gebieden:
- BEGELEIDINGSTRAJECTEN NAAR WERK
- BEROEPSKWALIFICERENDE SCHOLING
- ONDERSTEUNENDE ACTIVITEITEN/INSTRUMENTEN
- GESUBDIEERDE ARBEID
- SOCIALE ACTIVERING

De aanvraag heeft geen betrekking op de kosten van deze instrumenten, maar op de kosten van de consulent, die vanuit zijn deskundigheid bepaalt welke instrumenten moeten worden ingezet en de resultaten volgt.",01.01.2015,31.12.2016,€ 823.500,€ 2.310.000
2014EUSF2011929,AMR,2014,gemeente 's-Hertogenbosch,'s-Hertogenbosch,NL,n.v.t.,NINA - Noordoost-Brabant Iedereen Naar Arbeid,"De centrumgemeente 's-Hertogenbosch vraagt namens de deelnemende gemeenten in de  arbeidsmarktregio Noordoost-Brabant gezamenlijk ESF-subsidie aan voor het project 'Noordoost-Brabant Iedereen naar Arbeid' (NINA). ESF-project NINA is ingebed in het regionale arbeidsmarktbeleid Noordoost-Brabant Werkt!. Met het oog op de huidige (2014-2016) en volgende ESF tranches hebben de regiogemeenten gekozen voor een eenduidige, effectieve projectopzet- en inrichting. In dat kader is gekozen om het instrument 'casemanagement' en het instrument 'plaatsingssubsidie' in te zetten ter bestrijding van werkloosheid en arbeidsinpassing van mensen met een afstand tot de arbeidsmarkt. De subsidie wordt daarbij ingezet voor de bekostiging van respectievelijk de casemanagers en de realisatie van de plaatsingssubsidies.  

De belangrijkste doelstelling van het project vormt het duurzaam en actief begeleiden van ruim 3000 deelnemers met een afstand tot de arbeidsmarkt naar arbeid, scholing, dan wel het vergroten van de kansen op de arbeidsmarkt voor deze doelgroep. Middels het gehele traject van casemanagement (o.a. intake, voeren van advies-/coachingsgesprekken en algehele voortgangsbewaking) Ã©n de inzet van de plaatsingssubsidies voor de ESF doelgroep wordt invulling gegeven aan het realiseren van deze doelstelling.

Deelnemende regiogemeenten geven met het instrument casemanagement zelf invulling aan de doelgroepbenadering, waarbij casemanagers doelgroep breed alsook voor specifieke doelgroepen (o.a. jongeren, 55+) worden ingezet. Uitgangspunt is dat casemanagers hun kennis en expertise inzetten en daarbij duidelijk de te behalen doelstellingen afstemmen op de specifieke doelgroep. Daarnaast wordt met de regio-brede inzet van de plaatsingssubsidie gestreefd naar het succesvol plaatsen van deelnemers bij werkgevers. Het ESF project bestaat uit vijf clusters: 3 ten behoeve van het subproject 'Casemanagement', 1 t.b.v. het instrument 'plaatsingssubsidie' en 1 t.b.v. projectcoÃ¶rdinatie en -administratie. 
",28.10.2014,31.12.2016,€ 1.454.250,€ 3.788.921
2014EUSF2011938,AMR,2014,gemeente Gouda,Gouda,NL,n.v.t.,Sluitende aanpak naar arbeid,"Doelgroep:
 De regio Midden-Holland zet het ESF-budget in om jongeren zoveel mogelijk naar school en/of werk toe te leiden en een sluitende aanpak voor alle jongeren, zowel nuggers als uitkeringsgerechtigden, in de regio Midden-Holland te realiseren. Daarnaast wil de regio Midden-Holland mensen met een langdurige WWB- of andere gemeentelijke uitkeringen laten werken naar vermogen. Daarom richt dit voorstel zich op de Midden-Holland doelgroepen (refererend naar de richtlijnen ESF).
1) Jongeren t/m 27 jaar.
2) Mensen met een WWB- of andere gemeentelijke uitkeringen die in de twaalf maanden voorafgaand aan hun deelname aan een project deze uitkering(en) zes maanden of langer hebben ontvangen.
3) 50 plussers.

Activiteiten:
Alle gemeenten in de arbeidsmarktregio Midden Holland participeren in het project, de activiteiten waarop wordt ingezet zijn:
1) SW trajecten: via het SW-bedrijf Promen worden deelnemers toegeleid naar passende arbeid.
2) Voucherregeling: via een loonkostensubsidie ontvangen werkgevers een bijdrage in de loonkosten van jongeren die een opleiding volgen.
3) Jongerenadviseur: voor jongeren die na de schoolperiode nog niet aan het werk zijn en andere kwetsbare jongeren wordt een jongerenadviseur aangesteld, de jongerenadviseur voert activiteiten uit om de deelnemer alsnog te plaatsen en te behouden op een werkplek.
4) (Zware) multiproblematiek: voor een groep jongeren met relatief zware (multi)problematiek wordt een intensief begeleidingstraject uitgevoerd gericht op toeleiding naar passende arbeid.
5) Werkcoaches: mensen met een WWB- of andere gemeentelijke uitkering worden door werkcoaches begeleid naar werk.
6) Aansluiting speciaal onderwijs op de arbeidsmarkt: de PRO/VSO scholen in de regio leiden jongeren op voor een passende plek op de arbeidsmarkt.

Doelstelling:
Door extra begeleiding bij de hierboven genoemde activiteiten krijgen deelnemers met een grotere afstand op de arbeidsmarkt een betere kans op werk of een vervolgopleiding.",01.11.2014,31.10.2016,€ 554.400,€ 1.108.800
