Name,Bezeichnung des Vorhabens,"Zusammenfassung des Vorhabens","Datum des Beginns des Vorhabens","Datum des Endes des Vorhabens","Gesamtbetrag der förderfähigen Ausgaben des Vorhabens in €","Unions-Kofinanzierungssatz","Kofinanzierung aus anderen öffentlichen Mitteln",PLZ,Land,Interventionsbereich,"Finanzierungsform",Art des Gebietes,"Territoriale Umsetzungsmechanismen","Sekundäres ESF-Thema"
Christliche Arbeiterhilfe e. V.,Ausbildungswerkstatt AW 15,"Schaffung sozialpäd. begleiteter Ausbildungsstellen im Bereich Holz, Verkauf, Büro und Umzugsservice. Erwerb des Gesellenbriefes, Kooperation mit der freien Wirtschaft, nachhaltige berufliche und soziale Integration besonders benachteiligter Jugendlicher. ",01.09.2015,31.08.2016,"243.631,55",50%,50%,93426,Bayern/DE,103,1,2,7,1
Christliches Bildungswerk Bad Neustadt gGmbH,Kompass 4,siehe ausführliches Konzept ,01.10.2015,30.09.2018,"583.552,97",50%,50%,95028,Bayern/DE,103,1,2,7,1
Diakonie Hasenbergl e.V.  Junge Arbeit,SAZ 2.0,"Das Ausbildungsprojekt SAZ 2.0 besteht aus 35 Ausbildungsplätzen in den Handwerksbetrieben Malerei, Schreinerei, Medientechnologie Siebdruck und dem Projekt Afra, das Auszubildende (überwiegend junge Frauen) in Betrieben am 1. Arbeitsmarkt sozialpädagogisch unterstützt. Die Belegung aller Plätze erfolgt über das IBZ Jugend der LH München.",01.04.2015,31.08.2015,"260.274,66",25%,73%,80993,Bayern/DE,103,1,1,1,1
Diakonie Hasenbergl e.V.  Junge Arbeit,SAZ 2.0,"Das Ausbildungsprojekt SAZ 2.0 vereinigt drei Handwerksbetriebe Malerei, Schreiner und eine Siebdruckwerkstatt unter einem Dach und wird ergänzt durch das Projekt Afra, das überwiegend junge Frauen in Kooperationsbetrieben auf dem allgemeinen Arbeitsmarkt sozialpädagogisch unterstütz. Die Belegung der insgesamt 35 Plätze erfolgt durch das IBZ der Landeshauptstadt München.",01.09.2015,31.08.2016,"790.049,82",35%,65%,80993,Bayern/DE,103,1,1,7,1
Gemeinn.Gesellsch.z.Arbeitsf.u.Berufsbild.mbH,Ausbildung zum/zur Schreiner/in ,"Mit der Ausbildung in einer Jugendwerkstatt/Schreinerei, verbunden mit sozialpädagogischer Beratung und Unterstützung, sollen benachteiligte junge Menschen eine Ausbildung im Schreinerhandwerk abschließen, um nachhaltig in den Arbeitsmarkt integriert zu werden.",01.09.2015,31.08.2016,"135.684,27",50%,39%,89312,Bayern/DE,103,1,2,7,1
Geschwister-Gummi-Stiftung,Ausbildung 2014/2015,"Im Projekt „Ausbildung“ werden arbeitslose Jugendliche, die aufgrund sozialer Benachteiligung oder individueller Beeinträchtigung einen besonderen Förderbedarf aufweisen (§ 13 SGB VIII), in den Berufen Schreiner, Holzfachwerker oder Textilreiniger ausgebildet. Das Projekt besteht aus den Bestandteilen berufliche Qualifizierung, soziales Lernen sowie sozialpädagogische Begleitung und Beratung.",01.04.2015,31.08.2015,"144.954,66",50%,19%,95326,Bayern/DE,103,1,2,7,1
Geschwister-Gummi-Stiftung,Ausbildung 2015/2016,"Im Projekt „Ausbildung“ werden arbeitslose Jugendliche bis 25 Jahre, die aufgrund sozialer Benachteiligung oder individueller Beeinträchtigung einen besonderen Förderbedarf aufweisen (§ 13 SGB VIII), in den Berufen Schreiner, Holzfachwerker oder Textilreiniger ausgebildet. ",01.09.2015,31.08.2016,"382.044,64",50%,34%,95326,Bayern/DE,103,1,2,7,1
infau-lern/statt GmbH,Zugang VII,"Zugang VII ist ein professionelles Ausbildungsprojekt.
Alle Projektteilnehmenden sind aus der Zielgruppe der besonders benachteiligten Jugendlichen und jungen Erwachsenen.",01.04.2015,31.08.2015,"103.636,76",50%,50%,86153,Bayern/DE,103,1,1,1,1
Jugendwerkstatt Regensburg e. V.,Ausbildungs- und EQ-Projekt Regensburg 2015,"Die JW Regensburg e.V. will als erfahrener freier Träger der arbeitsweltbez. JSA für besonders benachteiligte junge Menschen eine duale Berufsausbildung in den Bereichen Hauswirtschaft, Schneiderei, Handwerkstatt und Büro durchführen. 26 anerkannte Teilnehmerplätze stehen zur Verfügung. Erfahrenes Fachpersonal (MeisterInnen, Sozialpäd. bilden aus, beraten und unterrichten.  ",01.04.2015,31.08.2015,"281.968,00",50%,45%,93047,Bayern/DE,103,1,1,1,1
Jugendwerkstatt Regensburg e. V.,Ausbildungs- und EQ-Projekt Regensburg 2015/2016,"Die JW Regensburg e.V. will als erfahrener freier Träger der arbeitsweltbez.
JSA für besonders benachteiligte junge Menschen eine
duale Berufsausbildung in den Bereichen Hauswirtschaft, Schneiderei,
Handwerkstatt und Büro durchführen. 20 anerkannte Teilnehmerplätze
stehen zur Verfügung. Erfahrenes Fachpersonal (MeisterInnen,
Sozialpäd. bilden aus, beraten und unterrichten.",01.09.2015,31.08.2016,"540.469,01",50%,45%,93047,Bayern/DE,103,1,1,7,1
Justland GmbH,Projekt 1 - Berufsausbildung am Standort Bogen,"Vollwertige, anerkannte Berufsausbildung für mehrfach benachteiligte junge Menschen. Bei der praktischen Ausbildung wenden wir das Modell des Sozialen Betriebes an, an deren Entwicklung wir auch maßgeblich beteiligt waren. In unserem Konzept integrieren wir also marktnahe und produktbezogene Auftrags- und Qualitätsansprüche mit zielgruppenspezifischen Arbeits- und Produktionsbedingungen. ",01.04.2015,31.07.2015,"153.950,11",42%,58%,94327,Bayern/DE,103,1,2,7,1
Justland GmbH,Projekt 2 - Berufsausbildung am Standort Straubing,"Vollwertige, anerkannte Berufsausbildung für mehrfach benachteiligte junge Menschen. Bei der praktischen Ausbildung wenden wir das Modell des Sozialen Betriebes an, an deren Entwicklung wir auch maßgeblich beteiligt waren. In unserem Konzept integrieren wir also marktnahe und produktbezogene Auftrags- und Qualitätsansprüche mit zielgruppenspezifischen Arbeits- und Produktionsbedingungen.",01.04.2015,31.07.2015,"241.573,70",43%,57%,94315,Bayern/DE,103,1,2,7,1
Justland GmbH,Projekt 1: Berufsausbildung Bogen,"Vollwertige, anerkannte Berufsausbildung für mehrfach benachteiligte junge Menschen. Bei der praktischen Ausbildung wenden wir das Modell des Sozialen Betriebes an, an deren Entwicklung wir auch maßgeblich beteiligt waren. In unserem Konzept integrieren wir also marktnahe und produktbezogene Auftrags- und Qualitätsansprüche mit zielgruppenspezifi-schen Arbeits- und Produktionsbedingungen.",01.08.2015,31.07.2016,"462.821,72",44%,56%,94327,Bayern/DE,103,1,2,7,1
Justland GmbH,Projekt 2: Berufsausbildung Straubing,"Vollwertige, anerkannte Berufsausbildung für mehrfach benachteiligte junge Menschen. Bei der praktischen Ausbildung wenden wir das Modell des Sozialen Betriebes an, an deren Entwicklung wir auch maßgeblich beteiligt waren. In unserem Konzept integrieren wir also marktnahe und produktbezogene Auftrags- und Qualitätsansprüche mit zielgruppenspezifi-schen Arbeits- und Produktionsbedingungen.",01.08.2015,31.07.2016,"720.247,53",45%,55%,94315,Bayern/DE,103,1,2,7,1
Kinderarche gGmbH,AUBEQ,"Zielgruppe sind sozial benachteiligte Jugendliche mit multiplen Ausbildungshemmnissen, unter 25 Jahren aus Haupt-/Mittelschulen. Die Teilnahme erfolgt durch Vermittlung der Arbeitsagenturen und Job Centern, der Berufsschulen (BGJ/BVJ Klassen), den Jugendeinrichtungen und durch Auswahl des Trägers. Das
Einzugsgebiet ist die Region Nürnberg/Fürth.",01.04.2015,18.09.2015,"197.209,36",50%,50%,90762,Bayern/DE,103,1,1,7,1
Kinderarche gGmbH,BaE Integrativ Modelprojekt,"Die Vorschaltmaßnahme BaE Integrativ beginnt zum 01.04.2015 und endet
mit der entsprechenden Periode zum 18.09.2015. Die Maßnahme wird in
vier Berufsbereichen durchgeführt: Bürowerkstatt, Friseurwerkstatt, Schlosserei, Malerwerkstatt.",01.04.2015,18.09.2015,"211.521,42",48%,52%,90762,Bayern/DE,103,1,1,1,1
Kreis-Caritasverband Freyung-Grafenau e.V.,Aktion Jugend & Beruf,Ziel ist die nachhaltige soziale und berufliche Integration von sozial benachteiligten und individuell beeinträchtigten jungen Menschen. In Verbindung mit sozialpädagogischer Betreuung. Vermittlungsquote von 70 - 80% und mehr wird angestrebt.,01.04.2015,31.08.2015,"130.314,41",50%,49%,94078,Bayern/DE,103,1,2,1,1
Kreis-Caritasverband Freyung-Grafenau e.V.,"Aktion Jugend und Beruf, Ausb. Holz-und Garten- und Landschaftsbau","Ziel ist die nachhaltige soziale und berufliche Integration von sozial benachteiligten und individuell beeinträchtigten jungen Menschen. In Verbindung mit sozialpädagogischer 
Betreuung. Vermittlungsquote von 70 - 80% und mehr wird angestrebt.",01.09.2015,31.08.2016,"299.912,46",50%,50%,94078,Bayern/DE,103,1,2,7,1
SOS-Kinderdorf e.V. - SOS-Kinderdorf Nürnberg,Außerbetriebliche Ausbildung für besonders benachteiligte junge Menschen,"Vermittlung von besonders benachteiligten jungen Menschen in den ersten Arbeitsmarkt durch berufliche Qualifizierung/Ausbildung, mit soz.päd. Begleitung, schulischer Unterstützung, Persönlichkeitsbildung sowie Vermittlung von Schlüsselfunktionen.",01.04.2015,31.08.2015,"182.671,64",50%,50%,90411,Bayern/DE,103,1,1,1,1
Spectrum Arbeit Beruf Soziales e.V. Ökomobil,Ausbildunsprojekt Ökomobil,Ausbildung von sechs benachteiligten Jugendlichen zur/zum Gärtner/in im GaLa-Bau. Erwerb Gesellenbrief. Durchführung von zwei EInstiegsqualifizierungen als Vorbereitung auf den Beruf im GaLa-Bau. Erwerb zert. Qualifizierungsbaustein Integration in den allgmeinen Arbeits- und Ausbildungsmarkt.,08.04.2015,31.08.2015,"98.358,69",50%,37%,85757,Bayern/DE,103,1,2,1,1
Spectrum Arbeit Beruf Soziales e.V. Ökomobil,Ausbildungsprojekt Ökomobil,Ausbildung von sechs benachteiligten Jugendlichen zur/zum Gärtner/in im GaLa-Bau. Erwerb Gesellenbrief. Durchführung von zwei Einstiegsqualifizierungen als Vorbereitung auf den Beruf im GaLa-Bau. Erwerb zert. Qualifizierungsbaustein Integration in den allgemeinen Arbeits- und Ausbildungsmarkt.,01.09.2015,31.08.2016,"242.582,50",50%,35%,85757,Bayern/DE,103,1,2,7,1
Stadt Regensburg,Holzwerkstatt und Lernen,"Berufsausbildung für sozial benachteiligte und individuell beeinträchtige Jugendliche und junge Menschen, die arbeitslos und von Langzeitarbeitslosigkeit betroffen und bedroht sind, zum Schreinergesellen mit 3-jähriger Ausbildungszeit und Ausbildungsabschluss mit Gesellenbrief. ",01.09.2015,31.08.2016,"156.485,00",50%,30%,93047,Bayern/DE,103,1,1,7,1
Verein der Evang. Bildungszentren im ländlichen Raum in Bayern ,Ausbildung und EQ von benachteiligten Jugendlichen im ländlichen Raum,"Ausbildung im Schreiner-und Schneiderhandwerk, zum Forstwirt und Werkderausbildung im Garten-und Landschaftsbau. Ausbildungsvorbereitung und Eignungsfeststellung durch Einstiegsqualifizierung, Stütz-und Förderunterricht, Pädagogische Begleitung und Betreuung zur persönlichen Stabilisierung und Bearbeitung von Problemlagen mittels pädagogischem Förderplan.",01.04.2015,31.08.2015,"185.505,00",50%,41%,91799,Bayern/DE,103,1,3,1,1
Arbeiterwohlfahrt Kreisverband Mühldorf e.V.,Jugendwerkstatt JAGUS 2015,"16 besonders benachteiligte Jugendliche werden in der einjährigen Vorschaltmaßnahme beschäftigt, qualifiziert und pädagogisch betreut, mit dem Ziel der dauerhaften Eingliederung in den Ausbildungs-/Arbeitsmarkt. Die Jugendlichen werden vom örtlichen Jobcenter zugewiesen.",01.07.2015,30.06.2016,"256.647,00",43%,57%,84478,Bayern/DE,103,1,2,7,1
Bayerisches Rotes Kreuz,Produktionsschule Haßberge,"Die modular aufgebaute fachpraktische und fachtheoretische Qualifizierung d. 12 TN erfolgt in den Bereichen Schneiderei, Laden und Internetagentur. Die Durchführung eines Praktikums ist Projektbestandteil. TN ohne Schulabschluss werden in Lerngruppen auf die Teilnahme an einer externen Schulabschluß bzw Quali vorbereitet.",01.07.2015,30.06.2016,"271.808,98",50%,35%,97437,Bayern/DE,103,1,2,7,1
"Bayerisches Rotes Kreuz, Kreisverband Altötting",Jugend-Arbeitsgemeinschaften (JAG) 2015-2016,Die Maßnahme der arbeitsweltbezogenen Jugendsozialarbeit sieht insg. 12 Jugendliche aus dem Bereich des JC (8TN) und des JA (4TN) vor. Die Maßnahmedauer ist in der Regel 12 Monate. Das Konzept verbindet Beschäftigung unter fachlicher Anleitung in versch. Bereichen oder externen Praktikas mit berufs- und lebenspraktischen Bildungseinheiten sowie ind. sozpäd Betreuung.,01.10.2015,31.12.2016,"219.104,44",35%,65%,,Bayern/DE,103,1,7,7,1
bfz gGmbH,Produktionsschule Schweinfurt 2015,"Die Schweinfurter Produktionsschule ist Arbeits-, Lebens- und Lernort für benachteiligte Jugendliche und junge Erwachsene mit dem Ziel der Vermittlung beruflicher Erfahrungen und Basiskompetenzen. Die maximal mögliche Verweildauer beträgt 12 Monate und übertrifft damit alle gängigen Berufsorientierungs- und Vorbereitungsmaßnahmen in der Region. ",01.04.2015,13.11.2015,"162.619,69",50%,41%,97424,Bayern/DE,103,1,1,7,1
Christliches Bildungswerk Bad Neustadt gGmbH,PEPE 5 B ESF,"Berufsvorbereitende Maßnahme
Jugendwerkstatt mit den Fachbereichen Raumausstattung, Holz und Garten/Landschaft/Umwelt sowie Unterrichtsinhalten zur Förderung des schulischen Basiswissens und der Kompetenz- und Persönlichkeitsentwicklung.",01.04.2015,27.10.2015,"119.341,08",30%,70%,95032,Bayern/DE,103,1,2,7,1
Diakonisches Werk Rosenheim e.V.,Jugendwerkstatt - Arbeiten und Lernen 01.04.2015 bis 31.12.2015,Das Projekt soll sozial / individuell beeinträchtigten jungen arbeitslosen Menschen mit erhöhtem Förderbedarf im Alter zwischen 15 und 25 Jahren durch einen zielgruppenorientierten Zuschnitt der Maßnahme (Beschäftigung und Qualifizierung) sozial stabilisieren und eine dauerhafte Integration in den Ausbildungs- und Arbeitsmarkt ermöglichen.,01.04.2015,31.12.2015,"168.236,46",47%,53%,83022,Bayern/DE,103,1,1,7,1
Diakonisches Werk Rosenheim e.V.,Jugendwerkstatt - Arbeiten und Lernen 2016,Das Projekt soll sozial / individuell beeinträchtigten jungen arbeitslosen Menschen mit erhöhtem Förderbedarf im Alter zwischen 15 und 25 Jahren durch einen zielgruppenorientierten Zuschnitt der Maßnahme (Beschäftigung und Qualifizierung) sozial stabilisieren und eine dauerhafte Integration in den Ausbildungs- und Arbeitsmarkt ermöglichen.,01.01.2016,31.12.2016,"230.207,00",49%,51%,83022,Bayern/DE,103,1,1,7,1
Gemeinn.Gesellsch.z.Arbeitsf.u.Berufsbild.mbH,Qualifizierung im betrieblichen Lernfeld,"Besonders benachteiligten jungen Menschen helfen, durch Qualifizierung im betrieblichen Lernfeld einen Ausbildungs- oder Arbeitsplatz zu erhalten; Förderung einer realistischen Selbsteinschätzung und Perspektive. ",01.04.2015,31.12.2015,"118.135,14",47%,53%,89312,Bayern/DE,103,1,2,1,1
Geschwister-Gummi-Stiftung,Arbeiten und Lernen 2014/2015,"Das Projekt „Arbeiten und Lernen“ fördert arbeitslose Jugendliche die zum Ausgleich sozialer Benachteiligungen und zur Überwindung individueller Beeinträchtigungen in erhöhtem Maße auf Unterstützung angewiesen sind (§ 13 SGB VIII), indem es Arbeit, Bildung und Qualifizierung sowie sozialpädagogische Betreuung auf Basis einer niedrigschwelligen Maßnahme nach § 16 SGB II i.V.m. § 45 SGB III vereint",01.04.2015,31.08.2015,"136.623,41",50%,41%,95326,Bayern/DE,103,1,2,7,1
Geschwister-Gummi-Stiftung,Arbeiten und Lernen 2015/2016,"Das Projekt „Arbeiten und Lernen“ fördert arbeitslose Jugendliche die zum Ausgleich sozialer Benachteiligungen und zur Überwindung individueller Beeinträchtigungen in erhöhtem Maße auf Unterstützung angewiesen sind (§ 13 SGB VIII), indem es Arbeit, Bildung und Qualifizierung sowie sozialpädagogische Betreuung auf Basis einer niedrigschwelligen Maßnahme nach § 16 SGB II i.V.m. § 45 SGB III vereint.",01.09.2015,31.08.2016,"301.509,05",50%,42%,95326,Bayern/DE,103,1,2,7,1
HAND IN gAG,Work and Box Company,"Fachl.arbeitsfeldbezog. Qualifikation und Entwicklung d. Sozialverhaltens von schwer erreichb., dissozial., gewaltber. u. straffällig geword. sowie psych.auffälligen jungen Männern und Frauen mit indiv. Zielstellung d. Integration in Ausbild.o. Arbeit.",01.07.2015,31.12.2016,"319.945,00",43%,57%,81673,Bayern/DE,103,1,1,7,1
Jugendwerkstatt Regensburg e. V.,Arbeiten und Lernen 2015/2016,"Die JW fördert sozial besonders benachteiligte junge Menschen derart, dass ihre Ausbildungsreife und Beschäftigungsfähigkeit nachhaltig verbessert wird. Durch die Vermittlung beruflicher Kenntnisse und Fertigkeiten werden die Teilnehmer in ihren sozialen, beruflichen und persönlichen Kompetenzen so gefördert, dass sich die Integration in den Arbeitsmarkt möglich wird. ",01.09.2015,31.08.2016,"164.844,29",45%,55%,93047,Bayern/DE,103,1,1,7,1
Justland GmbH,Projekt 5: Berufsvorbereitung,"Berufsvorbereitung für mehrfach benachteiligte junge Menschen. Bei der praktischen Ausbildung wenden wir das Modell des Sozialen Betriebes an, an deren Entwicklung wir auch maßgeblich beteiligt waren. In unserem Konzept integrieren wir also poduktbezogene Qualitätsansprüche mit zielgruppenspezifischen Arbeits und Produktionsbedingungen. ",01.08.2015,31.07.2016,"245.207,63",46%,54%,94327,Bayern/DE,103,1,2,7,1
Kontrapunkt gGmbH,Laboratorium,"- Kompetenzfeststellung
- berufliche Orientierung und Qualifizierung
- deutliche Verbesserung der sozialen und fachlichen Kompetenzen durch Erstellen eines individuellen Förderplans
- Ergebnis: Einmündung in Ausbildung, Arbeit oder Bildung",01.04.2015,31.08.2015,"424.020,75",48%,51%,80636,Bayern/DE,103,1,1,7,1
Kontrapunkt gGmbH,Laboratorium,"- Kompetenzfeststellung
- berufliche Orientierung und Qulifizierung
- deutliche Verbesserung der sozialen und fachlichen Kometenzen durch individuellen Förderplan
- Ergebnis: Einmündung in Ausbildung, Arbeit, Bildung",01.09.2015,31.08.2016,"1.053.951,00",49%,51%,80636,Bayern/DE,103,1,1,7,1
Landkreis Hof,Jugendwerkstatt des Landkreises Hof,"Vorbereitung von Jugendlichen und jungen Erwachsenen auf eine spätere berufliche Tätigkeit in den Bereichen Hauswirtschaft, Nahrungsmittelverarbeitung und Holzverarbeitung",01.04.2015,30.09.2015,"143.539,61",50%,50%,95028,Bayern/DE,103,1,2,7,1
Stadt Hof - Fachbereich Jugend und Soziales,"ESF-Projekt ""Arbeiten und Lernen"" vom 01.04.2015 bis 30.09.2015","Im Projekt werden 25 Jugendliche unter  25 Jahre beschäftigt
-Einarbeitungs- und Motivationsphase (Modul 1; 1.-3. Monat) in der Werkstatt
-Stabilisierungsphase (Modul 2; 4.-10. Monat) mit Praxiseinsatz
-Integrationsphase (Modul 3; 11.-12. Monat) in externen Betrieben
Im Rahmen des ESF-Projektes werden auch kleinere Projektaktionen durchgeführt, z. B. Herstellung von Holzspielsachen",01.04.2015,30.09.2015,"201.906,31",50%,26%,95028,Bayern/DE,103,1,2,7,1
Stadt Hof - Fachbereich Jugend und Soziales,"ESF-Projekt ""Arbeiten und Lernen""","Im Projekt werden 25 Jgdl.< 25 Jahre beschäftigt
-Einarbeitungs- und Motivationsphase (Modul 1; 1.-3. Monat) in der Werkstatt
-Stabilisierungsphase (Modul 2; 4.-10. Monat) mit Praxiseinsatz
-Integrationsphase (Modul 3; 11.-12. Monat) in externen Betrieben
Im Rahmen des ESF-Projektes werden auch kleinere Projektaktionen durchgeführt, z. B. Herstellung von Holzspielsachen",01.10.2015,30.09.2016,"411.260,37",50%,29%,95028,Bayern/DE,103,1,2,7,1
Stadt Würzburg - FB Jugend und Familie (JuFa 102),Maßnahmen der arbeitsweltbezogenen Jugendsozialarbeit,"Beschäftigung junger Menschen in den Bereichen Garten-, Malerarbeiten, Transporte unter realistischen betrieblichen Bedingungen. Die Beschäftigung erfolgt in kleinen Arbeitsteams (1 ausgebildete Fachkraft, 2 bis 3 junge Menschen). Weiterer Schwerpunkt ist die sozialpädagogische Betreuung mit dem Ziel der dauerhaften Integration in den Arbeitsmarkt..",01.04.2015,31.03.2016,"534.055,40",50%,20%,97080,Bayern/DE,103,1,1,7,1
Jobcenter Bayreuth Land,IFA - Integrationscoaching für Familien in Arbeit und Ausbildung,"IFA richtet sich an Frauen mit Vermittlungshemmnissen, die Kinder unter 15 Jahren haben. Durch Coaching der gesamten Bedarfsgemeinschaft, also der Mütter und  der in der Familie lebenden Partner soll die Familie soweit an den Arbeitsmarkt herangeführt werden, dass eine Integration un damit der Wegfall der Hilfebedürftigkeit möglich wird. ",01.10.2015,30.09.2017,"143.656,96",50%,50%,,Bayern/DE,109,1,7,7,1
Jobcenter Bayreuth Stadt,IFB-Integrationscoaching für Bedarfsgemeinschaften,Coaching für Bedarfsgemeinschaften mit mindestens einem Langzeitarbeitslosen Mitglied in der Bedarfsgemeinschaft,01.01.2016,31.12.2017,"116.450,62",50%,0%,95445,Bayern/DE,109,1,1,7,1
Jobcenter Ingolstadt,TANDEM II,"AE mit Potential für positive persönl. und berufl. Entwicklung unterstützen; AE für berufl. Qualifizierungen gewinnen; AE mit Mini-Jobs bei Ausweitung ihrer Beschäftigung intensiv unterstützen; Beendigung von Arbeitslosigkeit, Steigerung Erwerbsquote und Verringerung/Beendigung der Transferleistungen",01.07.2015,30.06.2017,"130.820,04",50%,50%,85049,Bayern/DE,109,1,1,7,1
Jobcenter Ingolstadt,Single-BG Coaching,"Zwischen 28 und 52 „single BGs“ werden von einer erfahrenen Integrationsfachkraft betreut. Die Zielgruppe setzt sich aus dem Bestand an eLB im Alter von 40 bis unter 50 Jahre zusammen. Unterstützung bei der Arbeitssuche, bei einer Qualifizierung, bei Arbeitsaufnahme und bei persönlichen Veränderungen und Begleitung dieser Prozesse durch Einzel- oder Kleingruppencoaching .",01.07.2015,30.06.2017,"145.350,62",50%,50%,85049,Bayern/DE,109,1,1,7,1
