"ProjektCode / 
code of operation",Name des Begünstigten / name of beneficiary,Bezeichnung des Vorhabens / operation name,Zusammenfassung des Vorhabens / operation summary,Datum des Beginns des Vorhabens / operation start date,Datum des Endes des Vorhabens/ operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens / total eligible expenditure allocated to the operation,"Unions-Kofinanzierungssatz pro Prioritätsachse / Union co-financing rate, as per priority axis",Regionalcode des Vorhabens / location indicator,Land / country,Bezeichnung der Interventionskategorie für das Vorhaben / name of category of intervention for the operation
2CAEAA_00186,Projekt Integrationshaus,m.o.v.e.on Jugendcoaching,"M.o.v.e. on Jugendcoaching bietet Jugendlichen ab dem 9. Schuljahr bis zum 19. Lebensjahr bzw. bei Vorliegen einer Behinderung bis zum 24. Lebensjahr in der Region 1,2,3 und 20 Unterstützung und Begleitung am Übergang Schule/Beruf an. ",01.01.2017,31.12.2017,"1257668,98","50,00 %","90201 - Wien,  2. Leopoldstadt",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAACA_00001,Caritas der Erzdiözese Wien - Hilfe in Not ,Integration in Niederösterreich,"Das Projekt „Integration in Niederösterreich“, welches von Caritas Wien, Caritas St.Pölten, WIFI NÖ und BFI NÖ durchgeführt wird, umfasst sowohl begleitende und sozialpädagogische Beratungen, als auch umfassende Spracherwerbsmaßnahmen.",01.06.2016,31.05.2017,506520,"50,00 %",120 - NIEDERÖSTERREICH (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00086,Zweisprachige Bundeshandelsakademie Klagenfurt / Dvojezicna zvezna trgovska akademija Celovec,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Durch gezielte Lernbegleitung/-beratung soll den Schülerinnen und Schülern eine bestmögliche Unterstützung ermöglicht werden, um einen Schulabbruch möglichst zu vermeiden.",05.09.2016,31.08.2017,77000,"50,00 %",211 - Klagenfurt-Villach (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BACAA_00145,Mentor Management-Entwicklung-Organisation GmbH & Co OG,Laco drom,"Dieses Projekt wurde mit dem Verein Vida Pavlovic konzipiert und bietet Qualifizierung in der Alphabetisierung, Deutsch sowie einzelne Workshops. Zusätzlich erfolgt Frühförderung und Lernhilfe für Kinder der TNI sowie Einzelberatung.",18.01.2016,30.06.2019,429256,"50,00 %",131 - Wien (NUTS),AUSTRIA,"110 - Sozioökonomische Eingliederung marginalisierter Bevölkerungsgruppen, wie etwa der Roma"
2CAEAA_00172,TAFIE,Produktionsschule TAfIE Innsbruck-Land,"Die Produktionsschule TAfIE ist ein Angebot für Jugendliche, die die Einstiegsvoraussetzungen für eine Ihrer Möglichkeiten am besten entsprechenden Berufsausbildung bzw. einer weiterführenden schulischen Ausbildung noch nicht erfüllen.",01.01.2017,31.12.2017,"626244,63","50,00 %",70367 - Wattens,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAABA_00040,BEST Institut für berufsbezogene Weiterbildung und Personaltraining GmbH,step2job bei BEST,"BBE mit Casemanagement-Ansatz für BMS BezieherInnen sowie arbeitsmarktferne Personen. Ziele sind Beschäftigungs am ersten oder zweiten Arbeitsmarkt, Beseitigung von schweren Vermittlungshemnissen sowie bedarfsorientierte Workshopangebote.",01.07.2015,30.06.2016,"730808,79","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00243,WUK - Verein zur Schaffung offener Kultur- und Werkstättenhäuser,WUK Jugendcoaching West,WUK Jugendcoaching West bietet Jugendlichen am Übergang Schule – Beruf (bzw. weiterführende Ausbildungen) und ausbildungsfernen Jugendlichen  unter 18 Jahre individuelle Beratung und Begleitung an. ,01.01.2017,31.12.2017,"1323059,86","50,00 %","90801 - Wien,  8. Josefstadt",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00209,INTEGRA VORARLBERG GEM. GMBH,Produktionsschule Integra Vorarlberg,"Produktionsschule unterstützt Jugendliche beim Erwerb von sozialer Kompetenzen und Kulturtechniken, die die Einstiegsvoraussetzungen für jenes Berufsfeld darstellen, das ihren Möglichkeiten am besten entspricht. ",01.01.2016,31.12.2016,408000,"50,00 %",80240 - Wolfurt,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABGA_00031,AQUA Mühle Vorarlberg gGmbH,Neuland,Heranführung von Bezieher/innen bedarfsorientierter Mindestsicherung (BMS) an den Arbeitsmarkt durch Bildungsimpulse und Green Care Trainingsmodule,01.01.2016,31.12.2017,1746069,"50,00 %",340 - VORARLBERG (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00124,BHAK/BHAS Krems,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Verringerung und Verhütung des vorzeitigen Schulabbruchs und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarausbildung
Maßnahmen  ",05.09.2016,31.08.2017,"92525,76","50,00 %",124 - Waldviertel (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00084,HAK/HAS VBS Augarten Wien-2,"S-1.5 USD ""Förderung der Unterrichtssprache Deutsch"" ","Verringerung und Verhütung des vorzeitigen Schulabbruchs und Förderung des
gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und
Sekundarausbildung ",05.09.2016,31.08.2017,46200,"50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00193,ÖSB Consulting GmbH,Jugendcoaching Wien ÖSB,"Das Jugendcoaching Wien  BMHS berät, stärkt und unterstützt Jugendliche, am Übergang
zwischen Schule und Beruf, um Ausbildungsabbrüche zu verhindern und schulische oder berufliche
Perspektiven zu schaffen.",01.01.2016,31.12.2016,"903420,95","50,00 %","92001 - Wien, 20. Brigittenau",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00162,INTEGRATION NIEDERÖSTERREICH - VEREIN ZUR FÖRDERUNG DER STÄRKEN BEHINDERTER JUGENDLICHER,Berufsausbildungsassistenz Industrieviertel,"Massnahmenart: Berufsausbildungsassistenz
Ort der Leistungserbringung: Industrieviertel
Zielgruppen: Personen gemäß §8bAbs.4 BAG und Jugendliche gemäß §10a,Abs.2,3aBEinstG",01.01.2017,31.12.2017,"650920,25","50,00 %",30401 - Wiener Neustadt (Teil),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAABA_00062,"„Wiener Berufsbörse“, Verein zur Förderung der beruflichen Integration akut und ehemals suchtkranker Personen, sowie von Personen mit besonderen Bedürfnissen und Schwierigkeiten am Arbeitsmarkt","Wiener BerufsBörse - Beratungszentrum für Sucht und Arbeit
","Der Hauptinhalt des Projekts ist die Vermittlungsorientierte Beratung und Betreuung von suchtkranken Personen (Schwerpunkt Alkoholsucht)   in Wien mit dem Ziel einer nachhaltigen Reintegration in einen Arbeitsmarkt .

",01.01.2016,31.12.2016,"449961,41","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BAACA_00002,Wirtschaftsförderungsinstitut Niederösterreich (WIFI NÖ),Integration in Niederösterreich (Wirtschaftsförderungsinstitut Niederösterreich),"Das Projekt „Integration in Niederösterreich“, welches von Caritas Wien, Caritas St.Pölten, WIFI
NÖ und BFI NÖ durchgeführt wird, umfasst sowohl begleitende und sozialpädagogische
Beratungen, als auch umfassende Spracherwerbsmaßnahmen.
",01.06.2016,31.05.2017,"499996,57","50,00 %",120 - NIEDERÖSTERREICH (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00199,Die Wiener Volkshochschulen GmbH,VHS Jugendcoaching,"Jugendcoaching für SchülerInnen ab dem 9. Schuljahr sowie systemferne Jugendliche in den Bezirken 10 oder 11, SchülerInnen in Förderklassen des IB18 sowie Jugendliche in Justizanstalten.",01.01.2016,31.12.2016,"1275246,48","50,00 %","90901 - Wien,  9. Alsergrund",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00130,BHAK/BHAS Hall i. T.,"S-1.6 KOEL ""Kompetenzorientiertes eigenverantwortliches Lernen"" ","Dieses Projekt dient dazu, den Prozentsatz positiver Schulabschlüsse zu heben.",05.09.2016,31.08.2017,"100236,24","50,00 %",332 - Innsbruck (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABHA_00013,Berufsförderungsinstitut Steiermark,ENTRY - Einstieg durch niederschwellige Beschäftigung,"Mit diesem Netzwerkprojekt werden zusätzliche stundenweise Transitarbeitskräfte für BezieherInnen der Bedarfsorientierten Mindestsicherung, sowie für weitere besonders arbeitsmarktferne Zielgruppen beim Beschäftigungsträger BFI Stmk geschaffen.",01.04.2016,31.12.2016,"84514,98","50,00 %",221 - Graz (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00083,BHAK/BHAS Wien 13,"S-1.5 USD ""Förderung der Unterrichtssprache Deutsch""",Verringerung und Verhütung des vorzeitigen Schulabbruches.,05.09.2016,31.08.2017,23100,"50,00 %",131 - Wien (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABHA_00020,Bicycle - Entwicklungsprojekt Fahrrad Verein,ENTRY - Einstieg durch niederschwellige Beschäftigung,"Mit diesem Netzwerkprojekt werden zusätzliche stundenweise Transitarbeitsplätze für BezieherInnen der Bedarfsorientierten Mindestsicherung, sowie für weitere besonders arbeitsmarktferne Zielgruppen beim Beschäftigungsträger Bicycle geschaffen. ",01.04.2016,31.12.2016,"99684,07","50,00 %",221 - Graz (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CADAC_00139,Höhere Technische Bundes- Lehr- und Versuchsanstalt Mödling,"Übergangsstufe im Bereich des technisch, gewerblichen und kunstgewerblichen Schulwesens","Die Übergangsstufe hat die Aufgabe die Schüler durch Wiederholung, Ergänzung und Sicherung des erforderlichen Wissens und Könnens für den erfolgreichen Besuch einer berufsbildenden mittleren bzw. höheren Schule vorzubereiten.",13.02.2017,31.08.2017,"55741,53","50,00 %",126 - Wiener Umland Südteil (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BAABA_00046,Volkshilfe Beschäftigung,BBE Deutsch 2015,"Die BBE Deutsch bietet sozialpädagogische Beratung und Betreuung sowie Lernunterstützung und Prüfvorbereitung. Durch Beratung und Lernunterstützung sollen Lern- und Vermittlungshindernisse abgebaut werden. 
",01.07.2015,30.06.2016,"616762,42","50,00 %",131 - Wien (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BAABA_00049,Projekt Integrationshaus,BBE Deutsch 2015,"Die BBE Deutsch bietet sozialpädagogische Beratung und Betreuung sowie Lernunterstützung und Prüfvorbereitung. Durch Beratung und Lernunterstützung sollen Lern- und Vermittlungshindernisse abgebaut werden. 
",01.07.2015,30.06.2016,"178497,73","50,00 %",131 - Wien (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00170,VEREIN ZUR FÖRDERUNG VON ARBEIT UND BESCHÄFTIGUNG (FAB),Produktionsschule Villach,"Die Produktionsschule Villach unterstützt/fördert junge Menschen mit besonderen Bedürfnissen auf ihren Weg in eine (Berufs-)Ausbildung, die ihren Potentialen am besten entspricht und eine optimale Entwicklung in Aussicht stellt.",01.01.2017,31.12.2017,"632645,3","50,00 %",40101 - Linz,AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABHA_00010,BAN Sozialökonomische BetriebsgmbH,ENTRY - Einstieg durch niederschwellige Beschäftigung,Mit diesem Netzwerkprojekt werden in der BAN zusätzliche niederschwellige Arbeitsplätze für arbeitsmarktferne Personen und Menschen der bedarfsorientierten Mindestsicherung geschaffen. ,01.04.2016,31.12.2016,"157646,58","50,00 %",221 - Graz (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2BAABA_00043,itworks Personalservice & Beratung gemeinnützige GmbH,"BBE ""step2job"" bei itworks",BBE mit vermittlungsfokussiertem Ansatz für beim AMS Wien vorgemerkte BezieherInnen der BMS sowie arbeitsmarktferne Personen.,01.07.2015,30.06.2016,"1609595,38","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00206,DIE BERATER UNTERNEHMENSBE- RATUNGS GESELLSCHAFT M.B.H.,Jugendcoaching,"Jugendcoaching für TeilnehmerInnen aus Pflichtschulen, Höheren Schulen und NEETS für den Bezirk Reutte",01.01.2016,31.12.2016,"86394,66","50,00 %","90101 - Wien,  1.Innere Stadt",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CAEAA_00148,Projekt Integrationshaus,m.o.v.e.on Jugendcoaching,"M.o.v.e.on Jugendcoaching bietet Jugendlichen ab dem 9.Schuljahr bis zum 19.Geburtstag bzw. bei Vorliegen einer Behinderung bis zum 24.Lebensjahr in den Bezirken 1,2,3 und 20 in Wien Unterstützung und Begleitung am Übergang Schule/Beruf an. ",01.01.2016,31.12.2016,"1034541,18","50,00 %","90201 - Wien,  2. Leopoldstadt",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2BABBA_00194,REINTEGRA Berufliche ReIntegration psychisch kranker Menschen gemeinnützige GmbH,Back to the Future - Craft Jobs,Das sozialökonomische Beschäftigungsprojekt Back to the Future - Craft Jobs bietet jungen BMS-BezieherInnen niederschwellige Tätigkeiten im industriellen Produktionsumfeld im Rahmen eines Stufenmodells um die Chancen am Arbeitsmarkt zu heben.,01.10.2016,30.09.2017,"1898616,04","50,00 %",130 - WIEN (NUTS),AUSTRIA,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung, und Verbesserung der Beschäftigungsfähigkeit"
2CAEAA_00255,Die Wiener Volkshochschulen GmbH,VHS Produkionsschule BOK und BOKgastro,Coaching und Training für ausgrenzungsgefährdete Jugendliche mit Nachreifungsbedarfen im Bereich der Grund- und Sozialkompetenzen.,01.01.2017,31.12.2017,"781470,93","50,00 %","90901 - Wien,  9. Alsergrund",AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
2CADAC_00119,BHAK/BHAS Steyr,"S-1.5 USD ""Förderung der Unterrichtssprache Deutsch"" ","Durchführung einer ganzjährigen unverbindliche Übung ""Unterstützendes Sprachtraining Deutsch (USD)"".",05.09.2016,31.08.2017,"15420,96","50,00 %",310 - OBERÖSTERREICH (NUTS),AUSTRIA,"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs zu einer hochwertigen Früherziehung und einer hochwertigen Grund- und Sekundarbildung, darunter (formale, nichtformale und informelle) Bildungswege, mit denen eine Rückkehr in die allgemeine und berufliche Bildung ermöglicht wird"
