"Code","Title","Project Cost","Beneficiary","Line Ministry","Start Date","End Date","Non Technical Short Summary Of Project","Operational Programme","Fund","Operational Objective","Priority Axis","Focus Area Of Intervention","Project Objectives","Project Results","Project Purpose"
"CF 356","Sewage System Extension and Upgrading Project				","€4,647,478","Water Services Corporation						","Ministry for Energy and Health (MEH)","Q3 2014","Q4 2015","Extension of the wastewater collection network to connect the village of Bahrija and the rural areas of Ghajn Qajjet and Bieb ir-Ruwa to the main network at Rabat; upgrading part of the wastewater collection system in Gheriexem and Vjal il-Haddiem in Rabat to cater for increased demand and environmental protection.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","Cohesion Fund","To minimise landfilling of waste and to rehabilitate disused landfills, as well as, increase the capacity for waste treatment for energy recovery and recycling purposes.","PA5 Safeguarding the Environment","OPIPA5 Solid Waste","WSC is seeking to construct a sewage transfer system to connect the BaÄ§rija system to the main sewage system at Rabat so as to eliminate the continual transfer of sewage by bowser. It is also seeking to upgrade part of the sewage network at Rabat where the new transfer system would connect to the network to enable this part of the system to meet current demands.","1. Conversion of the transportation of around 65m3 per day of wastewater from a vehicle (bowser) based system to a piped system.",""
"CF 404","Removal of ACM from open air storage in Hal Far				","€1,381,000","Ministry for Home Affairs and National Security 						","Ministry for Home Affairs and National Security","2014","2015","This project aims at the removal, export and safe disposal of hazardous asbestos containing matieral (ACM) in the form of pipes from open storage at Hal Far Road, l/o Birzebbugia. The area contains an estimated 2,050 pipes in different sizes which have been in storage for decades since they fell into disuse after the atonement of the use of ACM material due to health considerations	.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","Cohesion Fund","To minimise landfilling of waste and to rehabilitate disused landfills, as well as, increase the capacity for waste treatment for energy recovery and recycling purposes","PA5 Safeguarding the Environment","OPIPA5 Solid Waste","The project aims at the removal and disposal of hazardous material found in an open space close to an open accommodation centre for migrants. This material is in the form of an estimated 2,050 pipes made from ACM and which have been lying in the area for decades exposed to atmospheric agents. Although these are still structurally sound for the time being, it is only a matter of time for these pipes to become extremely dangerous due to the eventual deterioration of the material and the release of asbestos fibres into the environment with detrimental effects spanning a wide area which can be contaminated through fibres transported by wind.","â¢ Improved health and safety for the general population.",""
"ERDF 001","Upgrading and Embellishment of Industrial Estates","€15,868,200","Malta Industrial Parks","Ministry for the Economy, Investment and Small Business","2008","2015","The project will entail the upgrading of the general environment, service infrastructure and the establishment of communal facilities in five industrial zones, with the aim of enhancing Maltaâs competitiveness as an industrial location thus contributing to the sustaining of Maltaâs growing knowledge based economy and promoting and safeguarding jobs in this key strategic sector.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To promote and strengthen high value-added economic activity, including attraction of Foreign Direct Investment through investments in enterprise support infrastructure, including industrial facilities;","PA1 Enhancing Knowledge and Innovation","OPIPA1 Enterprise Infrastructure","The project aims to contribute significantly towards Maltaâs efforts to become a knowledge-based competitive economy  This will take place through the investment for the upgrading of the general environment and the service infrastructure in the industrial parks which is an essential element of Maltaâs competitiveness in this sector.","The upgrading of five industrial estates, which consist of phase 2 of Hal Far and Bulebel, phase 1 of Kordin, and the complete upgrading of Xewkija and Mosta, which will ensure that a minimum of twenty new companies/ expansions will be located within these industrial estates with a net employment generated of at least 200.","The project will focus on the upgrading and embellishment of five key industrial zones in order to address the key elements of state of the art service infrastructure which is crucial to the enhancement of Maltaâs competitiveness. Thus, an environment conducive to increased enterprise investments and subsequent improved jobs will be generated."
"ERDF 022","Wied il-Mielah - towards an ecologically and culturally sensitive, sustainable tourism","€566,789","Gharb Local Council","N/A","Q3 2008","Q4 2010","This project will recognise the environmental and ecological value of Wied il-Mielah natural asset by: Improving accesibility through road resurfacing and building of bridges, carrying out cleaning works, reconstruction of derelict rubble walls etc.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the upgrading of the tourism product;","PA2 Promoting Sustainable Tourism","OPIPA2 Product Development","Supporting Malta's efforts to improve the tourist product on the Island of Gozo, by making it more competitive as a unique rural destination.","To offer a renovated tourist product to the foreign and local visitor who comes to Gozo especially to enjoy country walks. By the end of the project, the Council will attract to the area at least 0.12% of the visitors who come over to Gozo also for this purpose or to dive. Relative data will be collected from the information kiosk which is going to be installed on site and which will encourage foreign visitors to register their presence on site. To eliminate the margin of error of say double counting and/or registration of visits by Gozitans (which counting needs to be eliminated), a manual headcount of visitors is to be carried out by the beneficiary on a quarterly basis over a period of 12 months.","Improving, protecting and developing the environmental heritage and natural assets at Wied il-Mielah and making them more accessible especially during the winter months by upgrading rubble walls, cleaning the valley, improving the valley road, installing tourist equipment and publishing printing material to promote the geological (natural window), environmental (landscape and coast) and the cultural heritage (churches and monuments) at Gharb."
"ERDF 024","Upgrading of Villa Rundle Gardens","€1,951,562","Ministry for Gozo","Ministry for Gozo","Q3 2008","Q1 2012","The project aims at rehabilitating the historically and environmentally relevant Villa Rundle Gardens, the only size-able public garden in Gozo. This shall be achieved through specific touristic interventions aimed at upgrading the gardenâs infrastructure including the development of a stage structure for cultural events whilst enhancing its landscape and botanical value and thus allowing the garden to effectively contribute to the social and economic aspects of present day Gozo.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the upgrading of the tourism product;","PA2 Promoting Sustainable Tourism","OPIPA2 Product Development","To upgrade this natural heritage asset to enhance its economic and social potential for the benefit of locals and tourists.","An increase in overall visitor patronage and use of the garden as a venue for cultural events to be achieved through the overall upgrading of the garden precincts and the provision of specific attractions such as the stage structure, discovery play garden, thematic parterresâ¦ etc. ","The upgrading of the garden precincts to allow its enjoyment by locals and tourists and its integration within the islandsâ cultural and tourism infrastructure."
"ERDF 031","Upgrading of Zewwieqa Waterfront","€3,774,940","Ministry for Gozo","Ministry for Gozo","2009","2015","The proposed project aims at rehabilitating the Zewwieqa Waterfront into a vibrant mixed-use leisure, recreation, and tourist locale which provides an agreeable setting for boating enthusiasts, the yachting community, tourists, walkers, sightseersâ¦ etc. This shall be achieved through specific interventions aimed at upgrading the Waterfrontâs infrastructure to effectively contribute to the social and economic aspects of present day Gozo.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the upgrading of the tourism product;","PA2 Promoting Sustainable Tourism","OPIPA2 Product Development","To upgrade this gateway to Gozo with a view to enhance its economic and social potential for the benefit of locals and tourists alike.","The proposed project will lead to the upgrading of the ambience of the Zewwieqa Waterfront in particular and to Mgarr Harbour in general for the benefit of Gozitan, local and foreign tourists frequenting / visiting the site and for the benefit of those private individuals and/or enterprises who earn a living through tourism related economic activities or in the provision of services to users of the port facilities. Consequently, as a result of the implementation of the project:    ","The upgrading of the Zewwieqa Waterfront, as part of the islandâs maritime, cultural and tourism infrastructure will allow its enjoyment by locals and tourists and enable an effective contribution to tourism related economic activities."
"ERDF 033","Tourism Zone Upgrade with landscaped urban spaces and other facilities","€13,817,677","Malta Tourism Authority","Ministry for Tourism","2008","2015","The project provides landscaped urban space with seating and sea views in three tourism zones; Qawra, Pembroke and St. Paulâs Bay. Additional facilities include public aquarium (including marine visitor attraction, ancillary facilities such as restaurants, souvenir outlets and parking spaces), a diving institute and car parking facilities in the Qawra and a cycle track and Garigue Heritage Park in Pembroke.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To support the upgrading of the tourism product;","PA2 Promoting Sustainable Tourism","OPIPA2 Product Development","To upgrade the tourism product and improve the public perception of these important tourist zones; and To provide facilities that will further enhance the attractiveness of these tourism zones. the treatment of urban spaces has a strong impact on the image a tourism resort portrays. the image of a tourism resort is one of the important aspects of a resort which determines how many people visit the area.  the envisaged project components will enhance the image and public perception related To the three areas concerned. The project aims for quality in design and finishes, provide for spaces which people can enjoy and from where people can also enjoy open views. The experience of the earmarked spaces will determine the perception that the visitors will have of these areas. the provision of sizeable landscaped areas with open views in areas which are currently viewed as overdeveloped, should shift the image to a tourism resort where people can enjoy open spaces and views thus, the image of the area is changed into a positive one which offers potential of repeat visitors. the objective is that well thought-out developments act as catalysts To the change in image. The improved image of the locations together with the introduction of new facilities falling within the remit of this project will be assets which the Beneficiary can use in its marketing and promotional campaigns to enhance Maltaâs image and competitiveness.","1. Landscaped gardens and Visitor Attractions, Qawra Pointi. Number of annual foreign visitors to the aquarium: 50,000 ii. Average annual increase of tourists in the diving sports segment  0.382 iii.  Employment opportunities provided by the project. 0 .14iv.  Satisfaction rate of foreign visitors visiting the aquarium site.  Rate to be achieved: above 3 in a scale from 1-5","The overall objectives of the holistic project are: 1. To provide a high quality, safe, open air leisure space with shaded seating and with appropriate landscaping. 2. To increase promenades which enjoy open sea views.  3. To enhance the tourist experience within tourism zones. "
"ERDF 039","Restoration and Rehabilitation of Historical Fortifications of Malta and Gozo","€35,010,699","Restoration Department","Ministry for Justice, Culture and Local Government","2008","2015","The project, through the restoration and rehabilitation of the land front","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","To promote the Maltese Islands as a prime and diverse tourist destination;","PA2 Promoting Sustainable Tourism","OPIPA2 Product Development","The fortifications of Valletta, Mdina, Birgu and the Gozo Citadel constitute an important part of the tourism product that the Maltese islands have to offer. These historic ramparts from an integral part of the Maltese landscape and are also important architectural and cultural monuments in their own right. Most of our tourism product is sold around the unique iconographic and visual power that these monuments provide. These fortifications are, and have been for a very long while, a core feature of the Maltese tourism product that is widely used to publicise the island's assets on all tourists brochures. Yet, despite their inherent historical and architectural significance, and importance to tourism, the larger parts of these historic ramparts are to be found in a very poor state of preservation, owing largely to the inability, to date, to address the line scale and magnitude of the task of restoring such massive works and more importantly, the inequality  of the limited resources that have been available so far as to maintain and repair these extensive works. Owing to their present consumed and decayed state, therefore, these prime and highly visible fortifications are both visually unattractive and as such do little to promote Malta's brand image and claim as a cultural destination. It is to be stressed that in various places the poor state of the fortifications serves as a cause for ridicule and concern owing to the high degree of erosion, vegetation, structurally instability, misuse and treat to public safety, when instead, those historical ramparts should be a source of national pride and identity. The effort that s necessary to redress this state of affairs can only materialise with the assistance provided by ERDF support. The project for the restoration of the fortifications of Valletta, Birgu (with parts of the intra-mural spaces), sections of the fortifications of Mdina and the Gozo Citadel is designed to bring these important cultural and touristic sites back to an acceptable standard of presentation, whereby they will once again require their due attractiveness, dignity, architectural legibility and visual power, important aspects that have suffered considerably over the past decades. The investment provided by this project will upgrade the quality of the fortifications as prime tourism sites. The proposed restoration works, once completed in their totality, will also serve to recuperate various areas currently unutilised and make them available for culture activities or their purposes, thereby adding to their overall rehabilitation and greater integration into the tourism product that the Maltese islands have to offer. The project will help revalorise the image of the fortifications and allow Malta to retain its competitive edge in the cultural tourism sector. The project's impact on tourism, and on the overall economy in general, therefore, will be largely at the macro level, since the restored fortifications will enable a better image of the tourism product that the country already has on offer.","The main primary and underlying concern in promoting this project has always been the restoration of the decaying architectural fabric of the fortifications (135,000 metres squared of restored rampart elevation). The most important result is that the fortifications, once restored, will once again regain their architectural and cultural integrity befitting prime cultural-tourism sites; integrity that has been diminished over the years owing to the processes of decay, urbanisation, and pollution brought about the various factors. The restored fortifications will provide renewed opportunities for revalorisation and reuses by other stakeholders. In many ways this project is akin to the repair of an extensive, but rundown, network of arterial roads once repaired, these would improve traffic flow, reduce accidents and ultimately facilitate commerce. The possibility of offering tours around the fortifications should be pursued in the future, however, it can only materialise after the fortifications have been repaired and restored in their totality, and not during the duration on the project both for safety and aesthetic reasons. As such, this and other related activities which will be able to materialise after completion of the project cannot be used to measure and judge the success of the restoration project. The very benefit to tourism that will accrue from this project lies squarely in MRRA ability to restore the very fabric if these fortifications. It makes little sense for a country which seeks to promote its cultural assets, particularly as part of its tourism product) and its brand name when it then presents its prime assets in a neglected and consumed state of repair. As for the improved accessibility that will result from certain aspects of this project, this will be in the form of the recuperation of some of the unused areas of the fortifications in question, including underground passage ways which link the ditches to the interior of the ramparts","The projects intends to achieve the following objectives for each of the four chosen sites: Valletta: The main scope of the project is the restoration of the Bastions and masonry revetments and the scraped bedrock of the main bastioned front of Valletta - a world heritage site - together with its outer screen of counterguards and advanced works. The project also seeks to identify and promote the spaces within the fortifications in such a way so as to maximise the cultural potential of the fortifications. Birgu: The main scope of the project is to restore and rehabilitate the Birgu fortifications, in such a manner as to re-establish the physical connections in the Cottonera area between the Birgu seafront, Bormla and Kalkara seafront. Mdina: The main scope of this project is to consolidate the fragile terrain on which the bastion walls and historic places such as the Vilhena Palace at the entrance to Malta's medieval capital city are built in order to diminish and possibly stop further settlement and damage of these historic legacies. Gozo Citadel:  The main scope of this project is to restore and repair the ramparts of the Cittadella and to consolidate the fragile face and medieval ramparts on the northern part of the enceinte."
"ERDF 054","Multimedia Training Centre at the Institute of Art and Design, MCAST","€2,200,713","Malta College of Arts, Science and Technology","Ministry for Education and Employment","2008","2011","The project involves the purchase of equipment and the setting up of four integrated studios namely the TV Studio, Video and Sound Control Room, Editing Suite Room and Graphics Laboratory. This project will promote Multimedia training and will enable students to develop their creative intentions through hands-on training on Digital technologies.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Education, Social and Health-related Infrastructure","The overall objectives of the project are to: ","This project involves the purchase of equipment and the setting up of four integrated studios namely the TV studio, Video and Sound Control Room, Editing Suite Room and Graphics Laboratory.","The purpose of this project is to: "
"ERDF 057","Junior College Building Extension","€1,169,875","The University of Malta","Ministry for Education and  Employment","2008","2012","Two extra floors will be built above the Administration and Seminar areas, to bring the skyline in conformity with the main blocks of four floors. These floors would include a number of classrooms and tutorial rooms with the state of art education equipment that is required for a University College.","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Education, Social and Health-related Infrastructure","The Project is meant to increase the infrastructure capacity of the Junior College so as to reduce the overcrowding already present and to accommodate the future, projected increase in post-secondary students. This would support governments commitment to decrease the number of early school leavers to around a 10% level. In addition the students that successfully complete the two year course at the Junior College and obtain the necessary MATSEC qualifications can enrol in the various University Courses especially the S&T courses and thus contribute towards the achievement of the Lisbon Criteria","The building of two floors over an area of 1662 sq.m. having 8 large lecture rooms, 20 tutorial rooms, 4 bathrooms having a total of 10 toilet cubicles 4 of which fully accessible for persons with special needs, 2 utility rooms and two lifts increasing the accessibility to students with special needs.","The purpose of the project is to extend and modernize the Junior College campus to provide education for more students. A number of International studies have shown that academic achievement is negatively correlated with student density i.e. the smaller the density (the smaller number of students per classroom), the higher the academic success."
"ERDF 058","Purchase of Science and Technology Laboratory Equipment for State Schools","€1,246,341","Ministry for Education and Employment","Ministry for Education and Employment","2008","2011","The aim of the project is to enhance laboratory equipment in schools in order to","OPI Investing in Competitiveness for a Better Quality of Life ERDF","European Regional Development Fund","","PA6 Urban Regeneration and Improving the Quality of Life","OPIPA6 Education, Social and Health-related Infrastructure","The project aims to furnish school laboratories with science equipment. This equipment will enable students to carry out effectively and efficiently experiments which are part and parcel of their curriculum. Apart from science, technology is also being targeted. this project will ensure that the latest equipment is installed in science and technology laboratories.","The project will include the purchasing of the required laboratory equipment that will result in: Better equipped laboratory facilities for the teaching of Integrated Science, physics, chemistry and Biology in 31 Secondary and post-Secondary State Schools including the Science Centre.","The upgrading of science and technology laboratories in State Secondary and Post-Secondary Schools as well as the Science Centre."
