Name des Begünstigten,Bezeichnung des Vorhabens,Zusammenfassung des Vorhabens,Datum des Beginns,Datum des Endes,"Gesamtbetrag förderfähiger 
Ausgaben","Kofinanzierungssatz","PLZ 
Begünstigter",Land,Themenfeld
A & QUA gGmbH,Ausbildung in Sicht: Deutsch & Berufsorientierung für junge Neu-BerlinerInnen,Ausbildung in Sicht: Deutsch & Berufsorientierung für junge Neu-BerlinerInnen,17.10.2016,13.04.2017,"47.764,80 €",50%,10997,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
A & QUA gGmbH,Ausbildung in Sicht: Deutsch & Berufsorientierung für junge Neu-BerlinerInnen,Ausbildung in Sicht: Deutsch & Berufsorientierung für junge Neu-BerlinerInnen,01.11.2016,31.08.2017,"80.121,60 €",50%,10997,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
A & QUA gGmbH,Ausbildung in Sicht: Deutsch & Berufsorientierung für junge Neu-BerlinerInnen,Ausbildung in Sicht: Deutsch & Berufsorientierung für junge Neu-BerlinerInnen,01.11.2016,30.04.2017,"46.994,40 €",50%,10997,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
ABBV GmbH,Deutsch für den Beruf und Basisqualifikation in der Pflege,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",30.05.2016,11.11.2016,"75.126,00 €","49,92%",12057,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ABBV GmbH,Nachträglicher Erwerb des Mittleren Schulabschlusses,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",05.09.2016,12.06.2017,"129.394,65 €","49,92%",12057,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ABBV GmbH,Nachträglicher Erwerb des Mittleren Schulabschlusses für junge Mütter,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",05.09.2016,12.06.2017,"129.394,65 €","49,92%",12057,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ABBV GmbH,Vorbereitung auf eine Ausbildung zum Sozialassistent / zur Sozialassistentin ,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",04.10.2016,10.05.2017,"153.942,40 €","49,92%",12057,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ABT gGmbH - Akademie für berufliches Training,Sozialassistent/-in Familie - Schwerpunkt Kinderbetreuung und -pflege (ABT-Kurs KIB-16.1),"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.     

 

",01.04.2016,28.10.2016,"113.875,20 €","49,92%",10407,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ABT gGmbH - Akademie für berufliches Training,Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-16.1),"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",01.04.2016,30.09.2016,"131.800,00 €","49,92%",10407,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ABT gGmbH - Akademie für berufliches Training,Pflege- und Betreuungsassistent/-in (ABT-Kurs AKP-16.1),"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

 

",18.04.2016,21.10.2016,"105.440,00 €","49,92%",10407,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ABT gGmbH - Akademie für berufliches Training,Betreuungsassistent/-in (ABT-Kurs BEA-16.1),"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",04.05.2016,12.08.2016,"59.046,40 €","49,92%",10407,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ABT gGmbH - Akademie für berufliches Training,Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-16.2),"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",01.08.2016,31.01.2017,"118.620,00 €","49,92%",10407,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ABT gGmbH - Akademie für berufliches Training,Sozialassistent/-in Familie - Schwerpunkt Kinderbetreuung und -pflege (ABT-Kurs KIB-16.2),"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",04.11.2016,09.06.2017,"88.569,60 €","49,92%",10407,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
ABT gGmbH - Akademie für berufliches Training,Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-16.3),"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",14.11.2016,24.05.2017,"118.620,00 €","49,92%",10407,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
"abw - gemeinnützige Gesellschaft für Arbeit, Bildung und Wohnen mbH",Frauenladen - Kurs 1 - 01/072016 - 30/06/2017 - Prüfung Juni 2017,"Gefördert werden Maßnahmen der beruflichen Orientierung und Qualifizierung für Frauen, die erwerbslos bzw. nicht erwerbstätig sind. Die Maßnahmen sollen sich an Frauen richten, die den Einstieg oder den Wiedereinstieg in den Arbeitsmarkt anstreben und  / oder besondere Zugangshemmnisse zum Ausbildungs- bzw. Arbeitsmarkt aufweisen. Die Maßnahmen müssen gleichstellungs- und arbeitsmarkpolitisch zweckmäßig und auf die persönlichen und fachlichen Voraussetzungen der Teilnehmerinnen zugeschnitten sein.

",01.07.2016,30.06.2017,"82.003,62 €","49,70%",14057,DE300,"105 - Gleichstellung von Frauen und Männern auf allen Gebieten, einschließlich des Zugangs zur Beschäftigung..."
"abw - gemeinnützige Gesellschaft für Arbeit, Bildung und Wohnen mbH",Frauenladen - Kurs B 01/01 - 31/12/2016 - Prüfung November 2016,"Gefördert werden Maßnahmen der beruflichen Orientierung und Qualifizierung für Frauen, die erwerbslos bzw. nicht erwerbstätig sind. Die Maßnahmen sollen sich an Frauen richten, die den Einstieg oder den Wiedereinstieg in den Arbeitsmarkt anstreben und  / oder besondere Zugangshemmnisse zum Ausbildungs- bzw. Arbeitsmarkt aufweisen. Die Maßnahmen müssen gleichstellungs- und arbeitsmarkpolitisch zweckmäßig und auf die persönlichen und fachlichen Voraussetzungen der Teilnehmerinnen zugeschnitten sein.

",01.01.2016,31.12.2016,"77.053,61 €","49,68%",14057,DE300,"105 - Gleichstellung von Frauen und Männern auf allen Gebieten, einschließlich des Zugangs zur Beschäftigung..."
"abw - gemeinnützige Gesellschaft für Arbeit, Bildung und Wohnen mbH",Frauenladen - Kurs A - 01/01-30/06/2016 - Prüfung Juni 2016,"Gefördert werden Maßnahmen der beruflichen Orientierung und Qualifizierung für Frauen, die erwerbslos bzw. nicht erwerbstätig sind. Die Maßnahmen sollen sich an Frauen richten, die den Einstieg oder den Wiedereinstieg in den Arbeitsmarkt anstreben und  / oder besondere Zugangshemmnisse zum Ausbildungs- bzw. Arbeitsmarkt aufweisen. Die Maßnahmen müssen gleichstellungs- und arbeitsmarkpolitisch zweckmäßig und auf die persönlichen und fachlichen Voraussetzungen der Teilnehmerinnen zugeschnitten sein.

",01.01.2016,30.06.2016,"38.516,80 €","49,68%",14057,DE300,"105 - Gleichstellung von Frauen und Männern auf allen Gebieten, einschließlich des Zugangs zur Beschäftigung..."
agens Arbeitsmarktservice gGmbH,Wach- und Sicherheitsgewerbe - Vorbereitung auf die Sachkundeprüfung § 34a,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

 

",10.10.2016,20.02.2017,"63.264,00 €","49,92%",12099,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
agens Arbeitsmarktservice gGmbH,Pflegebasiskurs mit beruflichem Praktikum und Prüfung zum/zur Pflegehelfer/in,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",04.10.2016,26.01.2017,"52.298,24 €","49,92%",12099,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
agens Arbeitsmarktservice gGmbH,Geprüfte Betreuungsfachkraft gemäß Richtlinien nach § 87b Abs. 3 SGB XI,"Mit diesem Projekt wird die berufliche Weiterbildung bzw. die Berufsorientierung von arbeitslosen Personen im SGB-II-Bezug zur Integration oder Reintegration in den allgemeinen Arbeitsmarkt gefördert.

Der Zuwendungszweck entspricht den Förderrichtlinien des Instrumentes Fi20A - Qualifizierung vor Beschäftigung.

",04.10.2016,14.02.2017,"63.264,00 €","49,92%",12099,DE300,"117 - Förderung des gleichen Zugangs zum lebenslangen Lernen für alle Altersgruppen im formalen, nichtformalen und informellen..."
agens Arbeitsmarktservice gGmbH,Young Makers I,Young Makers I,17.10.2016,30.04.2017,"58.704,48 €",50%,12099,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
agens Arbeitsmarktservice gGmbH,Young Makers II,Young Makers II,17.10.2016,30.04.2017,"58.704,48 €",50%,12099,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
ajb GmbH Gemeinnützige Gesellschaft für Jugendberatung,Deli Plus - Förderschwerpunkt 2,Deli Plus - Förderschwerpunkt 3,01.01.2016,31.12.2017,"192.758,60 €",50%,12047,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
Akelei e.V.,Existenzgründungskurse für Gründerinnen und selbständige Frauen,"Es werden Maßnahmen zur Beratung und Qualifizierung von gründungsinteressierten Frauen und Frauen vor und in der Gründungsphase gefördert. Die Teilnehmerinnen sollen auf die Gründungsentscheidung und -realisierung vorbereitet werden. Die Maßnahmen müssen gleichstellungs- und arbeitsmarktpolitisch zweckmäßig und auf die persönlichen und fachlichen Eignungen der Teilnehmerinnen zugeschnitten sein.

Eine Förderung erfolgt für die Vorberatung gründungsinteressierter Frauen, die Akquise von Teilnehmerinnen für frauenspezifische Existenzgründungskurse, die Kurse selbst und für speziell auf weibliche Gründungen zugeschnittene Beratungs- und Coachingmodule. Zielgruppe sind gründungsinteressierte, arbeitslose bzw. arbeitsuchende Teilnehmerinnen sowie Frauen, deren selbständige Tätigkeit sich noch nicht nachhaltig verfestigt hat.

",01.07.2016,30.06.2018,"336.078,35 €",50%,12681,DE300,"105 - Gleichstellung von Frauen und Männern auf allen Gebieten, einschließlich des Zugangs zur Beschäftigung..."
Akelei e.V.,Zukunftplanung für Frauen im Existenzgründungsbereich,"Instrument 7   
Es werden Maßnahmen zur Beratung und Qualifizierung von gründungsinteressierten Frauen und Frauen vor und in der Gründungsphase gefördert. Die Teilnehmerinnen sollen auf die Gründungsentscheidung und -realisierung vorbereitet werden. Die Maßnahmen müssen gleichstellungs- und arbeitsmarktpolitisch zweckmäßig und auf die persönlichen und fachlichen Eignungen der Teilnehmerinnen zugeschnitten sein.

Eine Förderung erfolgt für die Vorberatung gründungsinteressierter Frauen, die Akquise von Teilnehmerinnen für frauenspezifische Existenzgründungskurse, die Kurse selbst und für speziell auf weibliche Gründungen zugeschnittene Beratungs- und Coachingmodule. Zielgruppe sind gründungsinteressierte, arbeitslose bzw. arbeitsuchende Teilnehmerinnen sowie Frauen, deren selbständige Tätigkeit sich noch nicht nachhaltig verfestigt hat.

",01.01.2016,30.06.2016,"78.383,17 €","48,88%",12681,DE300,"105 - Gleichstellung von Frauen und Männern auf allen Gebieten, einschließlich des Zugangs zur Beschäftigung..."
all2gethernow e.V.,Music Pool Berlin,"Qualifizierung Kulturwirtschaft - KuWiQ 

 Erweiterung der berufsbezogenen nichtkünstlerischen Beratungs- und Weiterbildungsmöglichkeiten für Selbständige und freiberuflich Tätige in den kulturell geprägten Teilbranchen der Kulturwirtschaft Berlins. Ziel ist es, den Teilnehmenden durch ein höheres Maß an individueller berufsbezogener Handlungskompetenz Hilfe zur Selbsthilfe zu geben, um auf diese Weise 

  *  die Betätigung      auf den kreativwirtschaftlichen Märkten wirtschaftlich ertragreicher zu      gestalten,  

  *  neue      Perspektiven und Chancen am Markt (auch im Ausland) zu eröffnen und 

  *  die wirtschaftliche Existenz der Teilnehmenden mittelfristig zu stabilisieren. 

 ",01.02.2016,31.01.2018,"321.707,35 €",50%,10243,DE300,"106 - Anpassung der Arbeitskräfte, Unternehmen und Unternehmer an den Wandel"
Anti-Drogen-Verein e.V. (ADV),Modulare Qualifizierung Holztechnik,"Durchführung von Maßnahmen der Beschäftigung und Qualifizierung für langzeitarbeitslose suchtmittelgefährdete und suchtmittelabhängige Menschen in Berlin aus Mitteln des Europäischen Sozialfonds (ESF), die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können.

",01.11.2015,31.12.2017,"513.851,62 €","49,69%",10559,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
AOB e.V.,Alphabetisierung und Theater,"Projekte mit Lernangeboten für funktionale Analphabeten/innen in Berlin.

Stärkung der sozialen Integration durch verbesserte Lese-, Schreib- und/oder Rechenkompetenzen, ggf. in Verbindung mit weiteren Grundbildungskompetenzen.

",01.02.2016,31.03.2017,"25.770,09 €",50%,10961,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
Arabisches Kulturinstitut AKI e.V.,Kreative Werkstatt für Wissenschaft und Technik,Kreative Werkstatt für Wissenschaft und Technik,01.11.2016,31.10.2017,"10.000,00 €",50%,12053,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
Arbeit und Bildung e.V.,"""Zukunft im Beruf-ZIB"" -(Betriebs-)pädagogische Begleitung an beruflichen Schulen","Konzeptionierungs- und Umsetzungsleistungen betreffend das ESF-Förderinstrument Nr. 17 des Landes Berlin &bdquo;(Betriebs)pädagogische Begleitung an beruflichen Schulen&ldquo;

",30.09.2015,31.08.2017,"5.425.000,00 €",50%,10785,DE300,115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs...
Arbeit und Leben Berlin e.V.,Alphabetisierungsangebote für die berufliche Bildung,"Lernangebote für funktionale Analphabeten/innen in Berlin.

Stärkung der sozialen Integration durch verbesserte Lese-, Schreib- und/oder Rechenkompetenzen, ggf. in Verbindung mit weiteren Grundbildungskompetenzen.

",01.02.2016,31.12.2017,"109.276,16 €",50%,10787,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
Arbeit und Leben Berlin e.V.,Kurssystem zur Verbesserung der ausbildungsorientierten Literalität junger Erwachsener ,"Am Projektvorhaben &bdquo;Kurssystem zur Verbesserung der ausbildungsorientierten Literalität junger Erwachsener&ldquo; beteiligen sich sechs von zwölf Berliner VHS &ndash; (VHS Mitte, VHS Neukölln, VHS Pankow, VHS Spandau, VHS Steglitz &ndash; Zehlendorf, VHS Reinickendorf) &ndash; mit einer bezirklichen sowie fachlich-inhaltlichen Angebotsorientierung. Es werden 6 Kurse zu 360 UE vorgehalten. 

  Das Angebot richtet sich an junge Erwachsene im ausbildungsreifen Alter zwischen 16 -25 Jahren und ist offen für junge Erwachsene des zweiten Bildungsweges der Berufsorientierung und -ausbildung. Die Gewinnung der Teilnehmer soll über die jeweiligen im Bezirk der VHS ansässigen OSZ und über BQN &ndash; Berlin e.V. erfolgen, oder bezirksübergreifend an den Berliner OSZ berufsfeldorientiert erfolgen. Zum Angebot gehört das vorherige Testen der Lernstände, die gemeinsame Identifizierung der potentiellen Lerner auf der Grundlage der Testergebnisse,Schließung einer gemeinsamen Vereinbarung zwischen VHS und jeweiligen OSZ und Bildungsstätten zur Durchführungsteilnahme der jeweiligen Jugendlichen zu den jeweiligen Lernmodulen. Zu dem Angebot gehört eine begleitende Lernberatung und pädagogische Betreuung die ggf. auch zwischen den Lernern und/oder beteiligten Institutionen und Lehrkräften intermediär wirken soll und in Richtung der Lehrkräfte durch ein Supervisionsangebot flankiert wird. 

  Das Angebot ist modular aufgebaut und Ziel ist die berufliche Literalität der Schülerinnen und Schüler zu verbessern. Die Module beinhalten Lesen, Schreiben, Rechnen, Medien- und Sozialkompetenzen, die besonders am Arbeitsplatz erforderlich sind. Dadurch versprechen wir uns die Zielgruppe besser erreichen zu können und ihre Chancen auf eine Ausbildung zu erhöhen. Ein weiteres Ziel ist, dass dieses Angebot in der Zukunft Teil des Regelangebotes werden kann, möglicherweise über die sechs VHS hinaus, die den Antrag stellen. 

",01.08.2016,31.12.2017,"173.625,90 €",50%,10787,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
Atina gemeinnützige UG (haftungsbeschränkt) Beschäftigungs- und Qualifizierungsgesellschaft ,PEB - Taktile Orientierung Lichtenberg,"Gefördert wird ein Projekt im Rahmen des ESF-Instruments 13- PEB- Innovative Modellprojekte. Zweck ist die modellhafte Erprobung neuer Handlungsansäzte in den Bezirken. Das zu fördernde Modellvorhaben will mit Hilfe der Beschäftigung und Qualifizierung von Langzeitarbeitslosen Materialen zur Verbesserung der Orientierungsmöglichkeiten von Blinden und Sehschwachen im Bezirk Lichtenberg entwickeln. So gehen beide Gruppen gestärkt aus der Maßnahme hervor.

",01.10.2016,30.09.2018,"475.968,28 €",50%,10965,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
aussichtsreich e.V.,Entdecke das PLUS,Entdecke das PLUS,01.10.2016,30.09.2017,"9.661,01 €",50%,10245,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
Ayekoo - arbeit und ausbildung e.V.,PEB - Be part of it! Gesellschaftliche Teilhabe von Zuwanderern und Stärkung der Internationalität in Cha-Wi,"Gefördert wird ein Projekt im Rahmen des ESF-Instruments 13- PEB- Innovative Modellprojekte. Zweck ist die modellhafte Erprobung neuer Handlungsansäzte in den Bezirken.

Be part of it! möchte aus dem Ausland zugewanderten Menschen bei  ihrer Integration in die gesellschaftl. Strukturen helfen und eine  wachsende Wirtschaft bei der Akquise von Arbeitskräften für die  Besetzung freier Stellen unterstützen.

Eine erfolgreiche gesellschafliche Integration umfasst u.a. Aspekte wie Bildung, Arbeit, Sprache und politische Teilhabe. Diese anzubieten und zur Eingliederung von geflüchteten Menschen zu nutzen ist das Ziel des Vorhabens.

",01.10.2016,30.04.2019,"495.600,82 €","49,84%",12055,DE300,"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
